table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2019_actual,field_2020_preliminarya,field_2021_proposed,field_2019_20_change_,field_2020_21_change_
3359,r012,R&D and R&D plant -> National Aeronautics and Space Administration -> Science -> Planetary science,R&D and R&D plant,National Aeronautics and Space Administration,Science,Planetary science,,4,NA,NA,NA,--,--
3359,r013,R&D and R&D plant -> National Aeronautics and Space Administration -> LEO (low earth orbit) and space flight operations,R&D and R&D plant,National Aeronautics and Space Administration,LEO (low earth orbit) and space flight operations,,,3,1586,1551,1496,-2.2,-3.5
3359,r014,R&D and R&D plant -> National Aeronautics and Space Administration -> LEO (low earth orbit) and space flight operations -> International Space Station,R&D and R&D plant,National Aeronautics and Space Administration,LEO (low earth orbit) and space flight operations,International Space Station,,4,NA,NA,NA,--,--
3359,r015,R&D and R&D plant -> National Aeronautics and Space Administration -> LEO (low earth orbit) and space flight operations -> Space flight and support,R&D and R&D plant,National Aeronautics and Space Administration,LEO (low earth orbit) and space flight operations,Space flight and support,,4,NA,NA,NA,--,--
3359,r016,R&D and R&D plant -> National Aeronautics and Space Administration -> LEO (low earth orbit) and space flight operations -> Space transportation,R&D and R&D plant,National Aeronautics and Space Administration,LEO (low earth orbit) and space flight operations,Space transportation,,4,NA,NA,NA,--,--
3359,r017,R&D and R&D plant -> National Aeronautics and Space Administration -> LEO (low earth orbit) and space flight operations -> Commercial LEO development,R&D and R&D plant,National Aeronautics and Space Administration,LEO (low earth orbit) and space flight operations,Commercial LEO development,,4,NA,NA,NA,--,--
3359,r018,R&D and R&D plant -> National Aeronautics and Space Administration -> Exploration technology,R&D and R&D plant,National Aeronautics and Space Administration,Exploration technology,,,3,716,1045,1515,45.9,45.0
3359,r019,"R&D and R&D plant -> National Aeronautics and Space Administration -> Construction, environmental compliance, and restoration",R&D and R&D plant,National Aeronautics and Space Administration,"Construction, environmental compliance, and restoration",,,3,117,54,48,-53.8,-11.1
3359,r020,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,10016,13428,12656,34.1,-5.7
3359,r021,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration,R&D and R&D plant,R&D,National Aeronautics and Space Administration,,,3,10016,13428,12656,34.1,-5.7
3359,r022,"R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Safety, security, and mission services",R&D and R&D plant,R&D,National Aeronautics and Space Administration,"Safety, security, and mission services",,4,272,237,245,-12.9,3.4
3359,r023,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Deep Space Exploration Systems,R&D and R&D plant,R&D,National Aeronautics and Space Administration,Deep Space Exploration Systems,,4,1288,3576,3139,177.6,-12.2
3359,r024,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Deep Space Exploration Systems -> Exploration R&D,R&D and R&D plant,R&D,National Aeronautics and Space Administration,Deep Space Exploration Systems,Exploration R&D,5,NA,NA,NA,--,--
3359,r025,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Deep Space Exploration Systems -> Exploration systems development,R&D and R&D plant,R&D,National Aeronautics and Space Administration,Deep Space Exploration Systems,Exploration systems development,5,NA,NA,NA,--,--
3359,r026,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Science,R&D and R&D plant,R&D,National Aeronautics and Space Administration,Science,,4,6154,7019,6261,14.1,-10.8
3359,r027,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Science -> Astrophysics,R&D and R&D plant,R&D,National Aeronautics and Space Administration,Science,Astrophysics,5,NA,NA,NA,--,--
3359,r028,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Science -> Earth science,R&D and R&D plant,R&D,National Aeronautics and Space Administration,Science,Earth science,5,NA,NA,NA,--,--
3359,r029,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Science -> Heliophysics,R&D and R&D plant,R&D,National Aeronautics and Space Administration,Science,Heliophysics,5,NA,NA,NA,--,--
3359,r030,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Science -> James Webb Space Telescope,R&D and R&D plant,R&D,National Aeronautics and Space Administration,Science,James Webb Space Telescope,5,NA,NA,NA,--,--
3359,r031,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Science -> Planetary science,R&D and R&D plant,R&D,National Aeronautics and Space Administration,Science,Planetary science,5,NA,NA,NA,--,--
3359,r032,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> LEO (low earth orbit) and space flight operations,R&D and R&D plant,R&D,National Aeronautics and Space Administration,LEO (low earth orbit) and space flight operations,,4,1586,1551,1496,-2.2,-3.5
3359,r033,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> LEO (low earth orbit) and space flight operations -> International Space Station,R&D and R&D plant,R&D,National Aeronautics and Space Administration,LEO (low earth orbit) and space flight operations,International Space Station,5,NA,NA,NA,--,--
3359,r034,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> LEO (low earth orbit) and space flight operations -> Space flight and support,R&D and R&D plant,R&D,National Aeronautics and Space Administration,LEO (low earth orbit) and space flight operations,Space flight and support,5,NA,NA,NA,--,--
3359,r035,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> LEO (low earth orbit) and space flight operations -> Space transportation,R&D and R&D plant,R&D,National Aeronautics and Space Administration,LEO (low earth orbit) and space flight operations,Space transportation,5,NA,NA,NA,--,--
3359,r036,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> LEO (low earth orbit) and space flight operations -> Commercial LEO development,R&D and R&D plant,R&D,National Aeronautics and Space Administration,LEO (low earth orbit) and space flight operations,Commercial LEO development,5,NA,NA,NA,--,--
3359,r037,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Exploration technology,R&D and R&D plant,R&D,National Aeronautics and Space Administration,Exploration technology,,4,716,1045,1515,45.9,45.0
3359,r038,"R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Construction, environmental compliance, and restoration",R&D and R&D plant,R&D,National Aeronautics and Space Administration,"Construction, environmental compliance, and restoration",,4,0,0,0,--,--
