table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_level_4,_b_broad_field_b_hierarchy_depth,field_total,field_federal_number,field_federal_percent,field_institutional_number,field_institutional_percent,field_nonfederal_domestic_number,field_nonfederal_domestic_percent,field_foreign_number,field_foreign_percent,field_self_support_number,field_self_support_percent
10684,r011,All graduate students -> Science -> Psychology,All graduate students,Science,Psychology,,3,45196,3113,6.9,15536,34.4,775,1.7,51,0.1,25721,56.9
10684,r012,All graduate students -> Science -> Social sciences,All graduate students,Science,Social sciences,,3,56526,2794,4.9,31572,55.9,1272,2.3,359,0.6,20529,36.3
10684,r013,All graduate students -> Engineering,All graduate students,Engineering,,,2,130447,24183,18.5,50289,38.6,7347,5.6,1142,0.9,47486,36.4
10684,r014,"All graduate students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All graduate students,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,5420,1244,23.0,2297,42.4,274,5.1,77,1.4,1528,28.2
10684,r015,"All graduate students -> Engineering -> Biological, biomedical, and biosystems engineering",All graduate students,Engineering,"Biological, biomedical, and biosystems engineering",,3,12416,3463,27.9,5363,43.2,732,5.9,55,0.4,2803,22.6
10684,r016,"All graduate students -> Engineering -> Chemical, petroleum, and chemical-related engineering",All graduate students,Engineering,"Chemical, petroleum, and chemical-related engineering",,3,9320,2419,26.0,4320,46.4,902,9.7,111,1.2,1568,16.8
10684,r017,"All graduate students -> Engineering -> Civil, environmental, transportation and related engineering fields",All graduate students,Engineering,"Civil, environmental, transportation and related engineering fields",,3,14920,2239,15.0,6737,45.2,790,5.3,158,1.1,4996,33.5
10684,r018,"All graduate students -> Engineering -> Electrical, electronics, communications and computer engineering",All graduate students,Engineering,"Electrical, electronics, communications and computer engineering",,3,37882,5621,14.8,12399,32.7,1706,4.5,256,0.7,17900,47.3
10684,r019,"All graduate students -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All graduate students,Engineering,"Industrial, manufacturing, systems engineering and operations research",,3,9822,1070,10.9,3309,33.7,319,3.2,72,0.7,5052,51.4
10684,r020,All graduate students -> Engineering -> Mechanical engineering,All graduate students,Engineering,Mechanical engineering,,3,20696,4117,19.9,8511,41.1,1253,6.1,225,1.1,6590,31.8
10684,r021,"All graduate students -> Engineering -> Metallurgical, mining, materials and related engineering fields",All graduate students,Engineering,"Metallurgical, mining, materials and related engineering fields",,3,5888,1697,28.8,2399,40.7,557,9.5,68,1.2,1167,19.8
10684,r022,All graduate students -> Engineering -> Other engineering,All graduate students,Engineering,Other engineering,,3,14083,2313,16.4,4954,35.2,814,5.8,120,0.9,5882,41.8
10684,r023,All graduate students -> Health,All graduate students,Health,,,2,56662,4816,8.5,14893,26.3,1269,2.2,288,0.5,35396,62.5
10684,r024,All graduate students -> Health -> Clinical medicine<sup>a</sup>,All graduate students,Health,Clinical medicine<sup>a</sup>,,3,23215,1828,7.9,5670,24.4,626,2.7,97,0.4,14994,64.6
10684,r025,All graduate students -> Health -> Other health,All graduate students,Health,Other health,,3,33447,2988,8.9,9223,27.6,643,1.9,191,0.6,20402,61.0
10684,r026,All graduate students -> Master's students,All graduate students,Master's students,,,2,319618,15823,5.0,74909,23.4,5428,1.7,952,0.3,222506,69.6
10684,r027,All graduate students -> Master's students -> Science,All graduate students,Master's students,Science,,3,208749,9442,4.5,48623,23.3,3045,1.5,530,0.3,147109,70.5
10684,r028,All graduate students -> Master's students -> Science -> Agricultural and veterinary sciences,All graduate students,Master's students,Science,Agricultural and veterinary sciences,4,4143,790,19.1,1819,43.9,401,9.7,18,0.4,1115,26.9
10684,r029,All graduate students -> Master's students -> Science -> Biological and biomedical sciences,All graduate students,Master's students,Science,Biological and biomedical sciences,4,27987,1896,6.8,7268,26.0,485,1.7,67,0.2,18271,65.3
10684,r030,All graduate students -> Master's students -> Science -> Computer and information sciences,All graduate students,Master's students,Science,Computer and information sciences,4,83708,1870,2.2,14742,17.6,736,0.9,167,0.2,66193,79.1
10684,r031,"All graduate students -> Master's students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All graduate students,Master's students,Science,"Geosciences, atmospheric sciences, and ocean sciences",4,3621,686,18.9,1851,51.1,140,3.9,17,0.5,927,25.6
10684,r032,All graduate students -> Master's students -> Science -> Mathematics and statistics,All graduate students,Master's students,Science,Mathematics and statistics,4,14239,205,1.4,3560,25.0,113,0.8,41,0.3,10320,72.5
10684,r033,All graduate students -> Master's students -> Science -> Multidisciplinary and interdisciplinary sciences,All graduate students,Master's students,Science,Multidisciplinary and interdisciplinary sciences,4,9767,413,4.2,2002,20.5,169,1.7,25,0.3,7158,73.3
10684,r034,All graduate students -> Master's students -> Science -> Natural resources and conservation,All graduate students,Master's students,Science,Natural resources and conservation,4,6010,879,14.6,2239,37.3,225,3.7,9,0.1,2658,44.2
10684,r035,All graduate students -> Master's students -> Science -> Physical sciences,All graduate students,Master's students,Science,Physical sciences,4,3726,323,8.7,1738,46.6,81,2.2,28,0.8,1556,41.8
10684,r036,All graduate students -> Master's students -> Science -> Psychology,All graduate students,Master's students,Science,Psychology,4,27861,1072,3.8,4619,16.6,162,0.6,9,0.05,21999,79.0
10684,r037,All graduate students -> Master's students -> Science -> Social sciences,All graduate students,Master's students,Science,Social sciences,4,27687,1308,4.7,8785,31.7,533,1.9,149,0.5,16912,61.1
10684,r038,All graduate students -> Master's students -> Engineering,All graduate students,Master's students,Engineering,,3,66427,3981,6.0,17367,26.1,1673,2.5,289,0.4,43117,64.9
10684,r039,"All graduate students -> Master's students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All graduate students,Master's students,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,2937,404,13.8,1106,37.7,99,3.4,25,0.9,1303,44.4
10684,r040,"All graduate students -> Master's students -> Engineering -> Biological, biomedical, and biosystems engineering",All graduate students,Master's students,Engineering,"Biological, biomedical, and biosystems engineering",4,3834,219,5.7,1050,27.4,99,2.6,7,0.2,2459,64.1
10684,r041,"All graduate students -> Master's students -> Engineering -> Chemical, petroleum, and chemical-related engineering",All graduate students,Master's students,Engineering,"Chemical, petroleum, and chemical-related engineering",4,2099,92,4.4,613,29.2,88,4.2,14,0.7,1292,61.6
10684,r042,"All graduate students -> Master's students -> Engineering -> Civil, environmental, transportation and related engineering fields",All graduate students,Master's students,Engineering,"Civil, environmental, transportation and related engineering fields",4,8215,541,6.6,2942,35.8,229,2.8,53,0.6,4450,54.2
10684,r043,"All graduate students -> Master's students -> Engineering -> Electrical, electronics, communications and computer engineering",All graduate students,Master's students,Engineering,"Electrical, electronics, communications and computer engineering",4,22725,820,3.6,4859,21.4,370,1.6,53,0.2,16623,73.1
10684,r044,"All graduate students -> Master's students -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All graduate students,Master's students,Engineering,"Industrial, manufacturing, systems engineering and operations research",4,6920,486,7.0,1535,22.2,114,1.6,46,0.7,4739,68.5
10684,r045,All graduate students -> Master's students -> Engineering -> Mechanical engineering,All graduate students,Master's students,Engineering,Mechanical engineering,4,10423,830,8.0,3252,31.2,358,3.4,62,0.6,5921,56.8
10684,r046,"All graduate students -> Master's students -> Engineering -> Metallurgical, mining, materials and related engineering fields",All graduate students,Master's students,Engineering,"Metallurgical, mining, materials and related engineering fields",4,1667,191,11.5,470,28.2,100,6.0,9,0.5,897,53.8
10684,r047,All graduate students -> Master's students -> Engineering -> Other engineering,All graduate students,Master's students,Engineering,Other engineering,4,7607,398,5.2,1540,20.2,216,2.8,20,0.3,5433,71.4
10684,r048,All graduate students -> Master's students -> Health,All graduate students,Master's students,Health,,3,44442,2400,5.4,8919,20.1,710,1.6,133,0.3,32280,72.6
10684,r049,All graduate students -> Master's students -> Health -> Clinical medicine<sup>a</sup>,All graduate students,Master's students,Health,Clinical medicine<sup>a</sup>,4,19519,1058,5.4,3811,19.5,401,2.1,54,0.3,14195,72.7
10684,r050,All graduate students -> Master's students -> Health -> Other health,All graduate students,Master's students,Health,Other health,4,24923,1342,5.4,5108,20.5,309,1.2,79,0.3,18085,72.6
10684,r051,All graduate students -> Doctoral students,All graduate students,Doctoral students,,,2,259683,65950,25.4,154983,59.7,14778,5.7,2179,0.8,21793,8.4
10684,r052,All graduate students -> Doctoral students -> Science,All graduate students,Doctoral students,Science,,3,183443,43332,23.6,116087,63.3,8545,4.7,1171,0.6,14308,7.8
10684,r053,All graduate students -> Doctoral students -> Science -> Agricultural and veterinary sciences,All graduate students,Doctoral students,Science,Agricultural and veterinary sciences,4,3892,1117,28.7,2122,54.5,412,10.6,32,0.8,209,5.4
10684,r054,All graduate students -> Doctoral students -> Science -> Biological and biomedical sciences,All graduate students,Doctoral students,Science,Biological and biomedical sciences,4,55630,19348,34.8,30633,55.1,3251,5.8,293,0.5,2105,3.8
10684,r055,All graduate students -> Doctoral students -> Science -> Computer and information sciences,All graduate students,Doctoral students,Science,Computer and information sciences,4,17544,4453,25.4,10364,59.1,1064,6.1,183,1.0,1480,8.4
10684,r056,"All graduate students -> Doctoral students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All graduate students,Doctoral students,Science,"Geosciences, atmospheric sciences, and ocean sciences",4,6126,2040,33.3,3352,54.7,335,5.5,73,1.2,326,5.3
10684,r057,All graduate students -> Doctoral students -> Science -> Mathematics and statistics,All graduate students,Doctoral students,Science,Mathematics and statistics,4,12359,1367,11.1,9957,80.6,268,2.2,92,0.7,675,5.5
10684,r058,All graduate students -> Doctoral students -> Science -> Multidisciplinary and interdisciplinary sciences,All graduate students,Doctoral students,Science,Multidisciplinary and interdisciplinary sciences,4,3281,531,16.2,2095,63.9,147,4.5,25,0.8,483,14.7
10684,r059,All graduate students -> Doctoral students -> Science -> Natural resources and conservation,All graduate students,Doctoral students,Science,Natural resources and conservation,4,3151,756,24.0,1788,56.7,231,7.3,26,0.8,350,11.1
10684,r060,All graduate students -> Doctoral students -> Science -> Physical sciences,All graduate students,Doctoral students,Science,Physical sciences,4,35286,10193,28.9,22072,62.6,1485,4.2,195,0.6,1341,3.8
10684,r061,All graduate students -> Doctoral students -> Science -> Psychology,All graduate students,Doctoral students,Science,Psychology,4,17335,2041,11.8,10917,63.0,613,3.5,42,0.2,3722,21.5
10684,r062,All graduate students -> Doctoral students -> Science -> Social sciences,All graduate students,Doctoral students,Science,Social sciences,4,28839,1486,5.2,22787,79.0,739,2.6,210,0.7,3617,12.5
10684,r063,All graduate students -> Doctoral students -> Engineering,All graduate students,Doctoral students,Engineering,,3,64020,20202,31.6,32922,51.4,5674,8.9,853,1.3,4369,6.8
10684,r064,"All graduate students -> Doctoral students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All graduate students,Doctoral students,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,2483,840,33.8,1191,48.0,175,7.0,52,2.1,225,9.1
10684,r065,"All graduate students -> Doctoral students -> Engineering -> Biological, biomedical, and biosystems engineering",All graduate students,Doctoral students,Engineering,"Biological, biomedical, and biosystems engineering",4,8582,3244,37.8,4313,50.3,633,7.4,48,0.6,344,4.0
10684,r066,"All graduate students -> Doctoral students -> Engineering -> Chemical, petroleum, and chemical-related engineering",All graduate students,Doctoral students,Engineering,"Chemical, petroleum, and chemical-related engineering",4,7221,2327,32.2,3707,51.3,814,11.3,97,1.3,276,3.8
10684,r067,"All graduate students -> Doctoral students -> Engineering -> Civil, environmental, transportation and related engineering fields",All graduate students,Doctoral students,Engineering,"Civil, environmental, transportation and related engineering fields",4,6705,1698,25.3,3795,56.6,561,8.4,105,1.6,546,8.1
10684,r068,"All graduate students -> Doctoral students -> Engineering -> Electrical, electronics, communications and computer engineering",All graduate students,Doctoral students,Engineering,"Electrical, electronics, communications and computer engineering",4,15157,4801,31.7,7540,49.7,1336,8.8,203,1.3,1277,8.4
10684,r069,"All graduate students -> Doctoral students -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All graduate students,Doctoral students,Engineering,"Industrial, manufacturing, systems engineering and operations research",4,2902,584,20.1,1774,61.1,205,7.1,26,0.9,313,10.8
10684,r070,All graduate students -> Doctoral students -> Engineering -> Mechanical engineering,All graduate students,Doctoral students,Engineering,Mechanical engineering,4,10273,3287,32.0,5259,51.2,895,8.7,163,1.6,669,6.5
10684,r071,"All graduate students -> Doctoral students -> Engineering -> Metallurgical, mining, materials and related engineering fields",All graduate students,Doctoral students,Engineering,"Metallurgical, mining, materials and related engineering fields",4,4221,1506,35.7,1929,45.7,457,10.8,59,1.4,270,6.4
10684,r072,All graduate students -> Doctoral students -> Engineering -> Other engineering,All graduate students,Doctoral students,Engineering,Other engineering,4,6476,1915,29.6,3414,52.7,598,9.2,100,1.5,449,6.9
10684,r073,All graduate students -> Doctoral students -> Health,All graduate students,Doctoral students,Health,,3,12220,2416,19.8,5974,48.9,559,4.6,155,1.3,3116,25.5
10684,r074,All graduate students -> Doctoral students -> Health -> Clinical medicine<sup>a</sup>,All graduate students,Doctoral students,Health,Clinical medicine<sup>a</sup>,4,3696,770,20.8,1859,50.3,225,6.1,43,1.2,799,21.6
10684,r075,All graduate students -> Doctoral students -> Health -> Other health,All graduate students,Doctoral students,Health,Other health,4,8524,1646,19.3,4115,48.3,334,3.9,112,1.3,2317,27.2
