table_id,row_id,level_of_highest_degree_and_occupation_full_path,level_of_highest_degree_and_occupation_level_1,level_of_highest_degree_and_occupation_level_2,level_of_highest_degree_and_occupation_level_3,level_of_highest_degree_and_occupation_level_4,level_of_highest_degree_and_occupation_level_5,level_of_highest_degree_and_occupation_hierarchy_depth,field_total,field_primary_work_activity_computer_applications,field_primary_work_activity_design,field_primary_work_activity_management_and_administrationa,field_primary_work_activity_research_and_developmentb,field_primary_work_activity_teaching,field_primary_work_activity_otherc
7772,r035,All degree levels -> S&E-related occupations -> Health-related occupations,All degree levels,S&E-related occupations,Health-related occupations,,,3,6136000,32000,10000,560000,248000,245000,5039000
7772,r036,All degree levels -> S&E-related occupations -> S&E managers,All degree levels,S&E-related occupations,S&E managers,,,3,1135000,62000,37000,789000,45000,2000,200000
7772,r037,All degree levels -> S&E-related occupations -> S&E precollege teachers,All degree levels,S&E-related occupations,S&E precollege teachers,,,3,915000,,,18000,S,887000,3000
7772,r038,All degree levels -> S&E-related occupations -> S&E technicians and technologists,All degree levels,S&E-related occupations,S&E technicians and technologists,,,3,1088000,224000,116000,237000,237000,3000,271000
7772,r039,All degree levels -> S&E-related occupations -> Other S&E-related occupations,All degree levels,S&E-related occupations,Other S&E-related occupations,,,3,248000,12000,85000,61000,30000,,59000
7772,r040,All degree levels -> Non-S&E occupations,All degree levels,Non-S&E occupations,,,,2,34349000,357000,451000,18923000,1491000,5068000,8058000
7772,r041,All degree levels -> Non-S&E occupations -> Non-S&E managers,All degree levels,Non-S&E occupations,Non-S&E managers,,,3,4985000,62000,73000,4122000,189000,32000,506000
7772,r042,All degree levels -> Non-S&E occupations -> Management-related occupations,All degree levels,Non-S&E occupations,Management-related occupations,,,3,7868000,128000,130000,6042000,385000,94000,1088000
7772,r043,All degree levels -> Non-S&E occupations -> Non-S&E precollege teachers,All degree levels,Non-S&E occupations,Non-S&E precollege teachers,,,3,3919000,,,129000,45000,3686000,59000
7772,r044,All degree levels -> Non-S&E occupations -> Non-S&E postsecondary teachers,All degree levels,Non-S&E occupations,Non-S&E postsecondary teachers,,,3,559000,,,37000,38000,453000,30000
7772,r045,All degree levels -> Non-S&E occupations -> Social services and related occupations,All degree levels,Non-S&E occupations,Social services and related occupations,,,3,2072000,S,S,406000,66000,206000,1388000
7772,r046,All degree levels -> Non-S&E occupations -> Sales and marketing occupations,All degree levels,Non-S&E occupations,Sales and marketing occupations,,,3,4448000,16000,64000,3742000,122000,S,483000
7772,r047,"All degree levels -> Non-S&E occupations -> Art, humanities, and related occupations",All degree levels,Non-S&E occupations,"Art, humanities, and related occupations",,,3,1408000,41000,105000,381000,200000,47000,634000
7772,r048,All degree levels -> Non-S&E occupations -> Other non-S&E occupations,All degree levels,Non-S&E occupations,Other non-S&E occupations,,,3,9089000,104000,76000,4064000,447000,529000,3870000
7772,r049,All degree levels -> Bachelor's,All degree levels,Bachelor's,,,,2,31688000,1943000,958000,15513000,2024000,2967000,8284000
7772,r050,All degree levels -> Bachelor's -> S&E occupations,All degree levels,Bachelor's,S&E occupations,,,3,4438000,1458000,507000,1028000,793000,77000,575000
7772,r051,"All degree levels -> Bachelor's -> S&E occupations -> Biological, agricultural, and other life scientists",All degree levels,Bachelor's,S&E occupations,"Biological, agricultural, and other life scientists",,4,295000,5000,3000,69000,158000,13000,46000
7772,r052,"All degree levels -> Bachelor's -> S&E occupations -> Biological, agricultural, and other life scientists -> Agricultural and food scientists",All degree levels,Bachelor's,S&E occupations,"Biological, agricultural, and other life scientists",Agricultural and food scientists,5,34000,,,10000,16000,,8000
7772,r053,"All degree levels -> Bachelor's -> S&E occupations -> Biological, agricultural, and other life scientists -> Biological and medical scientists",All degree levels,Bachelor's,S&E occupations,"Biological, agricultural, and other life scientists",Biological and medical scientists,5,216000,4000,3000,43000,127000,4000,35000
7772,r054,"All degree levels -> Bachelor's -> S&E occupations -> Biological, agricultural, and other life scientists -> Environmental life scientists",All degree levels,Bachelor's,S&E occupations,"Biological, agricultural, and other life scientists",Environmental life scientists,5,26000,,0.05,17000,6000,,3000
7772,r055,"All degree levels -> Bachelor's -> S&E occupations -> Biological, agricultural, and other life scientists -> Postsecondary teachers - life and related sciences",All degree levels,Bachelor's,S&E occupations,"Biological, agricultural, and other life scientists",Postsecondary teachers - life and related sciences,5,18000,,,,9000,9000,
7772,r056,All degree levels -> Bachelor's -> S&E occupations -> Computer and mathematical scientists,All degree levels,Bachelor's,S&E occupations,Computer and mathematical scientists,,4,2574000,1380000,157000,467000,268000,35000,266000
7772,r057,All degree levels -> Bachelor's -> S&E occupations -> Computer and mathematical scientists -> Computer and information scientists,All degree levels,Bachelor's,S&E occupations,Computer and mathematical scientists,Computer and information scientists,5,2438000,1361000,139000,434000,234000,24000,247000
7772,r058,All degree levels -> Bachelor's -> S&E occupations -> Computer and mathematical scientists -> Mathematical scientists,All degree levels,Bachelor's,S&E occupations,Computer and mathematical scientists,Mathematical scientists,5,124000,19000,18000,34000,33000,,19000
7772,r059,All degree levels -> Bachelor's -> S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers - computer and math sciences,All degree levels,Bachelor's,S&E occupations,Computer and mathematical scientists,Postsecondary teachers - computer and math sciences,5,11000,,,,1000,10000,
7772,r060,All degree levels -> Bachelor's -> S&E occupations -> Physical and related scientists,All degree levels,Bachelor's,S&E occupations,Physical and related scientists,,4,177000,5000,2000,36000,77000,9000,49000
7772,r061,"All degree levels -> Bachelor's -> S&E occupations -> Physical and related scientists -> Chemists, except biochemists",All degree levels,Bachelor's,S&E occupations,Physical and related scientists,"Chemists, except biochemists",5,65000,0.05,0.05,12000,26000,,26000
7772,r062,"All degree levels -> Bachelor's -> S&E occupations -> Physical and related scientists -> Earth, atmospheric, and ocean scientists",All degree levels,Bachelor's,S&E occupations,Physical and related scientists,"Earth, atmospheric, and ocean scientists",5,40000,2000,0.05,9000,18000,,11000
7772,r063,All degree levels -> Bachelor's -> S&E occupations -> Physical and related scientists -> Physicists,All degree levels,Bachelor's,S&E occupations,Physical and related scientists,Physicists,5,11000,,,0.05,9000,,
7772,r064,"All degree levels -> Bachelor's -> S&E occupations -> Physical and related scientists -> Other physical and related scientists, including astronomers",All degree levels,Bachelor's,S&E occupations,Physical and related scientists,"Other physical and related scientists, including astronomers",5,47000,S,,13000,20000,,11000
7772,r065,All degree levels -> Bachelor's -> S&E occupations -> Physical and related scientists -> Postsecondary teachers - physical and related sciences,All degree levels,Bachelor's,S&E occupations,Physical and related scientists,Postsecondary teachers - physical and related sciences,5,14000,,,,4000,8000,
7772,r066,All degree levels -> Bachelor's -> S&E occupations -> Social and related scientists,All degree levels,Bachelor's,S&E occupations,Social and related scientists,,4,170000,S,S,47000,57000,11000,49000
7772,r067,All degree levels -> Bachelor's -> S&E occupations -> Social and related scientists -> Economists,All degree levels,Bachelor's,S&E occupations,Social and related scientists,Economists,5,9000,,,S,3000,,S
7772,r068,All degree levels -> Bachelor's -> S&E occupations -> Social and related scientists -> Political scientists,All degree levels,Bachelor's,S&E occupations,Social and related scientists,Political scientists,5,10000,,,S,S,,S
7772,r069,All degree levels -> Bachelor's -> S&E occupations -> Social and related scientists -> Psychologists,All degree levels,Bachelor's,S&E occupations,Social and related scientists,Psychologists,5,38000,,,S,8000,,15000
7772,r070,All degree levels -> Bachelor's -> S&E occupations -> Social and related scientists -> Anthropologists,All degree levels,Bachelor's,S&E occupations,Social and related scientists,Anthropologists,5,3000,,,S,2000,,0.05
7772,r071,All degree levels -> Bachelor's -> S&E occupations -> Social and related scientists -> Other social and related scientists,All degree levels,Bachelor's,S&E occupations,Social and related scientists,Other social and related scientists,5,91000,S,,26000,35000,,26000
7772,r072,All degree levels -> Bachelor's -> S&E occupations -> Social and related scientists -> Postsecondary teachers - social and related sciences,All degree levels,Bachelor's,S&E occupations,Social and related scientists,Postsecondary teachers - social and related sciences,5,18000,,,,S,11000,
7772,r073,All degree levels -> Bachelor's -> S&E occupations -> Engineers,All degree levels,Bachelor's,S&E occupations,Engineers,,4,1222000,66000,341000,409000,233000,9000,165000
7772,r074,"All degree levels -> Bachelor's -> S&E occupations -> Engineers -> Aerospace, aeronautical, and astronautical engineers",All degree levels,Bachelor's,S&E occupations,Engineers,"Aerospace, aeronautical, and astronautical engineers",5,66000,5000,20000,16000,19000,,7000
7772,r075,All degree levels -> Bachelor's -> S&E occupations -> Engineers -> Chemical engineers,All degree levels,Bachelor's,S&E occupations,Engineers,Chemical engineers,5,53000,3000,15000,13000,10000,,12000
7772,r076,"All degree levels -> Bachelor's -> S&E occupations -> Engineers -> Civil, architectural, and sanitary engineers",All degree levels,Bachelor's,S&E occupations,Engineers,"Civil, architectural, and sanitary engineers",5,194000,2000,58000,80000,24000,,29000
7772,r077,All degree levels -> Bachelor's -> S&E occupations -> Engineers -> Electrical and computer hardware engineers,All degree levels,Bachelor's,S&E occupations,Engineers,Electrical and computer hardware engineers,5,242000,36000,70000,50000,57000,,28000
7772,r078,All degree levels -> Bachelor's -> S&E occupations -> Engineers -> Industrial engineers,All degree levels,Bachelor's,S&E occupations,Engineers,Industrial engineers,5,62000,2000,13000,30000,3000,,15000
7772,r079,All degree levels -> Bachelor's -> S&E occupations -> Engineers -> Mechanical engineers,All degree levels,Bachelor's,S&E occupations,Engineers,Mechanical engineers,5,274000,4000,114000,71000,51000,1000,33000
7772,r080,All degree levels -> Bachelor's -> S&E occupations -> Engineers -> Other engineers,All degree levels,Bachelor's,S&E occupations,Engineers,Other engineers,5,323000,14000,50000,149000,68000,,42000
7772,r081,All degree levels -> Bachelor's -> S&E occupations -> Engineers -> Postsecondary teachers - engineering,All degree levels,Bachelor's,S&E occupations,Engineers,Postsecondary teachers - engineering,5,7000,,,,,4000,
7772,r082,All degree levels -> Bachelor's -> S&E-related occupations,All degree levels,Bachelor's,S&E-related occupations,,,3,5031000,219000,167000,978000,316000,463000,2888000
7772,r083,All degree levels -> Bachelor's -> S&E-related occupations -> Health-related occupations,All degree levels,Bachelor's,S&E-related occupations,Health-related occupations,,4,3160000,28000,6000,354000,130000,97000,2544000
7772,r084,All degree levels -> Bachelor's -> S&E-related occupations -> S&E managers,All degree levels,Bachelor's,S&E-related occupations,S&E managers,,4,553000,34000,23000,400000,13000,,83000
7772,r085,All degree levels -> Bachelor's -> S&E-related occupations -> S&E precollege teachers,All degree levels,Bachelor's,S&E-related occupations,S&E precollege teachers,,4,377000,,,9000,S,363000,
7772,r086,All degree levels -> Bachelor's -> S&E-related occupations -> S&E technicians and technologists,All degree levels,Bachelor's,S&E-related occupations,S&E technicians and technologists,,4,784000,147000,89000,170000,151000,S,225000
7772,r087,All degree levels -> Bachelor's -> S&E-related occupations -> Other S&E-related occupations,All degree levels,Bachelor's,S&E-related occupations,Other S&E-related occupations,,4,157000,10000,49000,45000,17000,,35000
7772,r088,All degree levels -> Bachelor's -> Non-S&E occupations,All degree levels,Bachelor's,Non-S&E occupations,,,3,22219000,265000,284000,13507000,914000,2427000,4821000
7772,r089,All degree levels -> Bachelor's -> Non-S&E occupations -> Non-S&E managers,All degree levels,Bachelor's,Non-S&E occupations,Non-S&E managers,,4,2978000,38000,45000,2482000,94000,7000,312000
7772,r090,All degree levels -> Bachelor's -> Non-S&E occupations -> Management-related occupations,All degree levels,Bachelor's,Non-S&E occupations,Management-related occupations,,4,5231000,85000,72000,4047000,236000,75000,715000
7772,r091,All degree levels -> Bachelor's -> Non-S&E occupations -> Non-S&E precollege teachers,All degree levels,Bachelor's,Non-S&E occupations,Non-S&E precollege teachers,,4,1934000,,,68000,S,1822000,27000
7772,r092,All degree levels -> Bachelor's -> Non-S&E occupations -> Non-S&E postsecondary teachers,All degree levels,Bachelor's,Non-S&E occupations,Non-S&E postsecondary teachers,,4,79000,,,9000,0.05,66000,S
7772,r093,All degree levels -> Bachelor's -> Non-S&E occupations -> Social services and related occupations,All degree levels,Bachelor's,Non-S&E occupations,Social services and related occupations,,4,897000,,,230000,39000,76000,550000
7772,r094,All degree levels -> Bachelor's -> Non-S&E occupations -> Sales and marketing occupations,All degree levels,Bachelor's,Non-S&E occupations,Sales and marketing occupations,,4,3652000,11000,52000,3069000,96000,S,414000
7772,r095,"All degree levels -> Bachelor's -> Non-S&E occupations -> Art, humanities, and related occupations",All degree levels,Bachelor's,Non-S&E occupations,"Art, humanities, and related occupations",,4,1008000,38000,58000,295000,127000,26000,464000
7772,r096,All degree levels -> Bachelor's -> Non-S&E occupations -> Other non-S&E occupations,All degree levels,Bachelor's,Non-S&E occupations,Other non-S&E occupations,,4,6438000,89000,56000,3306000,304000,346000,2336000
7772,r097,All degree levels -> Master's,All degree levels,Master's,,,,2,14688000,882000,465000,5847000,1100000,3042000,3353000
7772,r098,All degree levels -> Master's -> S&E occupations,All degree levels,Master's,S&E occupations,,,3,2411000,700000,236000,494000,544000,146000,291000
7772,r099,"All degree levels -> Master's -> S&E occupations -> Biological, agricultural, and other life scientists",All degree levels,Master's,S&E occupations,"Biological, agricultural, and other life scientists",,4,188000,3000,2000,26000,115000,16000,27000
7772,r100,"All degree levels -> Master's -> S&E occupations -> Biological, agricultural, and other life scientists -> Agricultural and food scientists",All degree levels,Master's,S&E occupations,"Biological, agricultural, and other life scientists",Agricultural and food scientists,5,23000,,,1000,18000,,4000
7772,r101,"All degree levels -> Master's -> S&E occupations -> Biological, agricultural, and other life scientists -> Biological and medical scientists",All degree levels,Master's,S&E occupations,"Biological, agricultural, and other life scientists",Biological and medical scientists,5,133000,3000,2000,22000,86000,2000,18000
7772,r102,"All degree levels -> Master's -> S&E occupations -> Biological, agricultural, and other life scientists -> Environmental life scientists",All degree levels,Master's,S&E occupations,"Biological, agricultural, and other life scientists",Environmental life scientists,5,16000,,,3000,S,,3000
7772,r103,"All degree levels -> Master's -> S&E occupations -> Biological, agricultural, and other life scientists -> Postsecondary teachers - life and related sciences",All degree levels,Master's,S&E occupations,"Biological, agricultural, and other life scientists",Postsecondary teachers - life and related sciences,5,16000,,,,1000,13000,
7772,r104,All degree levels -> Master's -> S&E occupations -> Computer and mathematical scientists,All degree levels,Master's,S&E occupations,Computer and mathematical scientists,,4,1251000,645000,77000,229000,169000,54000,78000
7772,r105,All degree levels -> Master's -> S&E occupations -> Computer and mathematical scientists -> Computer and information scientists,All degree levels,Master's,S&E occupations,Computer and mathematical scientists,Computer and information scientists,5,1072000,615000,65000,199000,118000,9000,66000
7772,r106,All degree levels -> Master's -> S&E occupations -> Computer and mathematical scientists -> Mathematical scientists,All degree levels,Master's,S&E occupations,Computer and mathematical scientists,Mathematical scientists,5,133000,28000,11000,28000,49000,S,12000
7772,r107,All degree levels -> Master's -> S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers - computer and math sciences,All degree levels,Master's,S&E occupations,Computer and mathematical scientists,Postsecondary teachers - computer and math sciences,5,46000,,,1000,S,40000,
7772,r108,All degree levels -> Master's -> S&E occupations -> Physical and related scientists,All degree levels,Master's,S&E occupations,Physical and related scientists,,4,105000,1000,2000,18000,51000,16000,16000
7772,r109,"All degree levels -> Master's -> S&E occupations -> Physical and related scientists -> Chemists, except biochemists",All degree levels,Master's,S&E occupations,Physical and related scientists,"Chemists, except biochemists",5,19000,,0.05,3000,10000,,5000
7772,r110,"All degree levels -> Master's -> S&E occupations -> Physical and related scientists -> Earth, atmospheric, and ocean scientists",All degree levels,Master's,S&E occupations,Physical and related scientists,"Earth, atmospheric, and ocean scientists",5,32000,1000,S,7000,18000,,5000
7772,r111,All degree levels -> Master's -> S&E occupations -> Physical and related scientists -> Physicists,All degree levels,Master's,S&E occupations,Physical and related scientists,Physicists,5,10000,,,,8000,,S
7772,r112,"All degree levels -> Master's -> S&E occupations -> Physical and related scientists -> Other physical and related scientists, including astronomers",All degree levels,Master's,S&E occupations,Physical and related scientists,"Other physical and related scientists, including astronomers",5,25000,,,7000,12000,,5000
7772,r113,All degree levels -> Master's -> S&E occupations -> Physical and related scientists -> Postsecondary teachers - physical and related sciences,All degree levels,Master's,S&E occupations,Physical and related scientists,Postsecondary teachers - physical and related sciences,5,19000,,,,3000,16000,
7772,r114,All degree levels -> Master's -> S&E occupations -> Social and related scientists,All degree levels,Master's,S&E occupations,Social and related scientists,,4,283000,S,4000,46000,71000,48000,103000
7772,r115,All degree levels -> Master's -> S&E occupations -> Social and related scientists -> Economists,All degree levels,Master's,S&E occupations,Social and related scientists,Economists,5,23000,S,0.05,S,8000,,3000
7772,r116,All degree levels -> Master's -> S&E occupations -> Social and related scientists -> Political scientists,All degree levels,Master's,S&E occupations,Social and related scientists,Political scientists,5,21000,,,4000,7000,,8000
7772,r117,All degree levels -> Master's -> S&E occupations -> Social and related scientists -> Psychologists,All degree levels,Master's,S&E occupations,Social and related scientists,Psychologists,5,96000,,,4000,10000,1000,81000
7772,r118,All degree levels -> Master's -> S&E occupations -> Social and related scientists -> Anthropologists,All degree levels,Master's,S&E occupations,Social and related scientists,Anthropologists,5,7000,,,3000,4000,,1000
7772,r119,All degree levels -> Master's -> S&E occupations -> Social and related scientists -> Other social and related scientists,All degree levels,Master's,S&E occupations,Social and related scientists,Other social and related scientists,5,81000,S,4000,28000,37000,S,9000
7772,r120,All degree levels -> Master's -> S&E occupations -> Social and related scientists -> Postsecondary teachers - social and related sciences,All degree levels,Master's,S&E occupations,Social and related scientists,Postsecondary teachers - social and related sciences,5,55000,,,S,6000,44000,
7772,r121,All degree levels -> Master's -> S&E occupations -> Engineers,All degree levels,Master's,S&E occupations,Engineers,,4,584000,42000,150000,174000,138000,12000,68000
7772,r122,"All degree levels -> Master's -> S&E occupations -> Engineers -> Aerospace, aeronautical, and astronautical engineers",All degree levels,Master's,S&E occupations,Engineers,"Aerospace, aeronautical, and astronautical engineers",5,53000,2000,11000,14000,21000,,4000
7772,r123,All degree levels -> Master's -> S&E occupations -> Engineers -> Chemical engineers,All degree levels,Master's,S&E occupations,Engineers,Chemical engineers,5,18000,S,3000,7000,4000,,3000
7772,r124,"All degree levels -> Master's -> S&E occupations -> Engineers -> Civil, architectural, and sanitary engineers",All degree levels,Master's,S&E occupations,Engineers,"Civil, architectural, and sanitary engineers",5,98000,1000,34000,33000,13000,,17000
7772,r125,All degree levels -> Master's -> S&E occupations -> Engineers -> Electrical and computer hardware engineers,All degree levels,Master's,S&E occupations,Engineers,Electrical and computer hardware engineers,5,124000,22000,35000,26000,32000,,9000
7772,r126,All degree levels -> Master's -> S&E occupations -> Engineers -> Industrial engineers,All degree levels,Master's,S&E occupations,Engineers,Industrial engineers,5,33000,4000,6000,15000,3000,,5000
7772,r127,All degree levels -> Master's -> S&E occupations -> Engineers -> Mechanical engineers,All degree levels,Master's,S&E occupations,Engineers,Mechanical engineers,5,99000,2000,39000,22000,27000,,10000
7772,r128,All degree levels -> Master's -> S&E occupations -> Engineers -> Other engineers,All degree levels,Master's,S&E occupations,Engineers,Other engineers,5,146000,9000,22000,56000,37000,0.05,21000
7772,r129,All degree levels -> Master's -> S&E occupations -> Engineers -> Postsecondary teachers - engineering,All degree levels,Master's,S&E occupations,Engineers,Postsecondary teachers - engineering,5,13000,,,,S,11000,
7772,r130,All degree levels -> Master's -> S&E-related occupations,All degree levels,Master's,S&E-related occupations,,,3,2578000,100000,76000,561000,142000,573000,1126000
7772,r131,All degree levels -> Master's -> S&E-related occupations -> Health-related occupations,All degree levels,Master's,S&E-related occupations,Health-related occupations,,4,1313000,3000,3000,151000,55000,80000,1021000
7772,r132,All degree levels -> Master's -> S&E-related occupations -> S&E managers,All degree levels,Master's,S&E-related occupations,S&E managers,,4,417000,25000,13000,327000,12000,S,39000
7772,r133,All degree levels -> Master's -> S&E-related occupations -> S&E precollege teachers,All degree levels,Master's,S&E-related occupations,S&E precollege teachers,,4,504000,,,9000,3000,490000,S
7772,r134,All degree levels -> Master's -> S&E-related occupations -> S&E technicians and technologists,All degree levels,Master's,S&E-related occupations,S&E technicians and technologists,,4,257000,70000,25000,59000,60000,1000,42000
7772,r135,All degree levels -> Master's -> S&E-related occupations -> Other S&E-related occupations,All degree levels,Master's,S&E-related occupations,Other S&E-related occupations,,4,88000,2000,35000,15000,12000,,23000
7772,r136,All degree levels -> Master's -> Non-S&E occupations,All degree levels,Master's,Non-S&E occupations,,,3,9699000,81000,154000,4791000,414000,2323000,1935000
7772,r137,All degree levels -> Master's -> Non-S&E occupations -> Non-S&E managers,All degree levels,Master's,Non-S&E occupations,Non-S&E managers,,4,1668000,19000,23000,1413000,58000,20000,135000
7772,r138,All degree levels -> Master's -> Non-S&E occupations -> Management-related occupations,All degree levels,Master's,Non-S&E occupations,Management-related occupations,,4,2370000,38000,53000,1840000,120000,15000,304000
7772,r139,All degree levels -> Master's -> Non-S&E occupations -> Non-S&E precollege teachers,All degree levels,Master's,Non-S&E occupations,Non-S&E precollege teachers,,4,1923000,,,59000,21000,1811000,32000
7772,r140,All degree levels -> Master's -> Non-S&E occupations -> Non-S&E postsecondary teachers,All degree levels,Master's,Non-S&E occupations,Non-S&E postsecondary teachers,,4,231000,,,14000,6000,187000,23000
