table_id,row_id,field_of_highest_degree_father_s_education_and_mother_s_education_full_path,field_of_highest_degree_father_s_education_and_mother_s_education_level_1,field_of_highest_degree_father_s_education_and_mother_s_education_level_2,field_of_highest_degree_father_s_education_and_mother_s_education_level_3,field_of_highest_degree_father_s_education_and_mother_s_education_level_4,field_of_highest_degree_father_s_education_and_mother_s_education_hierarchy_depth,field_bachelor_s_total,field_bachelor_s_0,field_bachelor_s_1_10_000,field_bachelor_s_10_001_20_000,field_bachelor_s_20_001_30_000,field_bachelor_s_30_001_and_over,field_master_s_total,field_master_s_0,field_master_s_1_10_000,field_master_s_10_001_20_000,field_master_s_20_001_30_000,field_master_s_30_001_and_over,field_doctorate_total,field_doctorate_0,field_doctorate_1_10_000,field_doctorate_10_001_20_000,field_doctorate_20_001_30_000,field_doctorate_30_001_and_over,field_professional_total,field_professional_0,field_professional_1_10_000,field_professional_10_001_20_000,field_professional_20_001_30_000,field_professional_30_001_and_over
7781,r019,All fields -> Mother's education -> Not applicable,All fields,Mother's education,Not applicable,,3,697000,304000,63000,81000,58000,192000,261000,76000,9000,23000,6000,55000,27000,12000,1000,S,,S,44000,16000,,,,
7781,r020,All fields -> S&E fields,All fields,S&E fields,,,2,15014000,6578000,1939000,1814000,1492000,3192000,4703000,1912000,506000,403000,299000,620000,1582000,801000,179000,87000,68000,109000,58000,24000,3000,5000,4000,18000
7781,r021,All fields -> S&E fields -> Father's education,All fields,S&E fields,Father's education,,3,,,,,,,,,,,,,,,,,,,,,,,,
7781,r022,All fields -> S&E fields -> Father's education -> Less than high school completed,All fields,S&E fields,Father's education,Less than high school completed,4,1884000,816000,345000,250000,173000,300000,535000,205000,74000,44000,32000,56000,198000,92000,25000,8000,9000,8000,15000,2000,S,,,S
7781,r023,All fields -> S&E fields -> Father's education -> High school diploma or equivalent,All fields,S&E fields,Father's education,High school diploma or equivalent,4,3560000,1399000,515000,446000,376000,823000,927000,295000,119000,95000,64000,153000,256000,108000,35000,19000,15000,18000,9000,S,S,,,1000
7781,r024,"All fields -> S&E fields -> Father's education -> Some college, vocational, or trade school (including 2-year degrees)",All fields,S&E fields,Father's education,"Some college, vocational, or trade school (including 2-year degrees)",4,2757000,1006000,384000,381000,296000,689000,758000,263000,94000,65000,69000,133000,205000,100000,20000,17000,5000,21000,8000,3000,1000,,,S
7781,r025,"All fields -> S&E fields -> Father's education -> Bachelor's degree (e.g., BS, BA, AB)",All fields,S&E fields,Father's education,"Bachelor's degree (e.g., BS, BA, AB)",4,3485000,1669000,378000,392000,350000,696000,1198000,550000,124000,80000,64000,138000,397000,213000,49000,17000,13000,24000,10000,7000,,,,2000
7781,r026,"All fields -> S&E fields -> Father's education -> Master's degree (e.g., MS, MA, MBA)",All fields,S&E fields,Father's education,"Master's degree (e.g., MS, MA, MBA)",4,1742000,817000,177000,194000,171000,383000,657000,282000,54000,77000,33000,76000,233000,119000,24000,10000,15000,20000,8000,4000,,,,S
7781,r027,"All fields -> S&E fields -> Father's education -> Professional degree (e.g., JD, LLB, MD, DDS)",All fields,S&E fields,Father's education,"Professional degree (e.g., JD, LLB, MD, DDS)",4,625000,401000,50000,43000,41000,90000,252000,140000,17000,14000,10000,23000,128000,79000,10000,6000,5000,9000,3000,2000,,,,
7781,r028,"All fields -> S&E fields -> Father's education -> Doctorate (e.g., PhD, DSc, EdD)",All fields,S&E fields,Father's education,"Doctorate (e.g., PhD, DSc, EdD)",4,556000,309000,52000,56000,49000,91000,283000,154000,20000,24000,17000,25000,149000,84000,15000,8000,6000,8000,3000,S,,,,
7781,r029,All fields -> S&E fields -> Father's education -> Not applicable,All fields,S&E fields,Father's education,Not applicable,4,406000,160000,35000,53000,37000,121000,91000,22000,4000,5000,8000,16000,17000,5000,2000,S,,,,,,,,
7781,r030,All fields -> S&E fields -> Mother's education,All fields,S&E fields,Mother's education,,3,,,,,,,,,,,,,,,,,,,,,,,,
7781,r031,All fields -> S&E fields -> Mother's education -> Less than high school completed,All fields,S&E fields,Mother's education,Less than high school completed,4,1817000,830000,287000,232000,164000,305000,630000,242000,71000,42000,34000,61000,227000,113000,26000,6000,5000,8000,14000,2000,S,,,S
7781,r032,All fields -> S&E fields -> Mother's education -> High school diploma or equivalent,All fields,S&E fields,Mother's education,High school diploma or equivalent,4,4069000,1692000,694000,523000,383000,777000,1151000,456000,148000,96000,67000,149000,355000,160000,47000,23000,12000,27000,14000,6000,1000,,,2000
7781,r033,"All fields -> S&E fields -> Mother's education -> Some college, vocational, or trade school (including 2-year degrees)",All fields,S&E fields,Mother's education,"Some college, vocational, or trade school (including 2-year degrees)",4,3385000,1255000,405000,408000,408000,909000,909000,312000,111000,99000,82000,158000,280000,141000,31000,19000,19000,26000,14000,7000,,,,S
7781,r034,"All fields -> S&E fields -> Mother's education -> Bachelor's degree (e.g., BS, BA, AB)",All fields,S&E fields,Mother's education,"Bachelor's degree (e.g., BS, BA, AB)",4,3472000,1671000,356000,417000,326000,701000,1100000,505000,111000,86000,57000,137000,371000,201000,37000,17000,16000,28000,11000,7000,,,,S
7781,r035,"All fields -> S&E fields -> Mother's education -> Master's degree (e.g., MS, MA, MBA)",All fields,S&E fields,Mother's education,"Master's degree (e.g., MS, MA, MBA)",4,1569000,744000,142000,168000,163000,352000,661000,279000,54000,60000,44000,89000,230000,117000,33000,15000,12000,14000,4000,2000,,,,1000
7781,r036,"All fields -> S&E fields -> Mother's education -> Professional degree (e.g., JD, LLB, MD, DDS)",All fields,S&E fields,Mother's education,"Professional degree (e.g., JD, LLB, MD, DDS)",4,240000,153000,12000,15000,15000,44000,93000,53000,3000,7000,5000,11000,53000,31000,2000,3000,2000,3000,S,,,,,
7781,r037,"All fields -> S&E fields -> Mother's education -> Doctorate (e.g., PhD, DSc, EdD)",All fields,S&E fields,Mother's education,"Doctorate (e.g., PhD, DSc, EdD)",4,202000,105000,12000,24000,13000,47000,85000,42000,5000,8000,6000,7000,51000,32000,S,2000,1000,2000,,,,,,
7781,r038,All fields -> S&E fields -> Mother's education -> Not applicable,All fields,S&E fields,Mother's education,Not applicable,4,260000,130000,29000,27000,19000,56000,74000,23000,S,5000,S,7000,15000,6000,1000,S,,,,,,,,
7781,r039,All fields -> S&E-related fields,All fields,S&E-related fields,,,2,5017000,2060000,647000,550000,514000,1246000,2644000,910000,288000,230000,208000,508000,355000,122000,44000,18000,26000,53000,1825000,669000,150000,109000,77000,287000
7781,r040,All fields -> S&E-related fields -> Father's education,All fields,S&E-related fields,Father's education,,3,,,,,,,,,,,,,,,,,,,,,,,,
7781,r041,All fields -> S&E-related fields -> Father's education -> Less than high school completed,All fields,S&E-related fields,Father's education,Less than high school completed,4,745000,311000,113000,68000,84000,169000,353000,107000,66000,33000,23000,63000,36000,11000,5000,S,S,S,147000,52000,21000,4000,S,12000
7781,r042,All fields -> S&E-related fields -> Father's education -> High school diploma or equivalent,All fields,S&E-related fields,Father's education,High school diploma or equivalent,4,1336000,473000,210000,157000,136000,360000,620000,163000,58000,57000,51000,161000,97000,36000,9000,S,S,18000,294000,57000,30000,27000,18000,69000
7781,r043,"All fields -> S&E-related fields -> Father's education -> Some college, vocational, or trade school (including 2-year degrees)",All fields,S&E-related fields,Father's education,"Some college, vocational, or trade school (including 2-year degrees)",4,1017000,352000,137000,117000,115000,296000,483000,150000,67000,37000,53000,88000,52000,9000,7000,2000,S,9000,225000,59000,32000,27000,S,42000
7781,r044,"All fields -> S&E-related fields -> Father's education -> Bachelor's degree (e.g., BS, BA, AB)",All fields,S&E-related fields,Father's education,"Bachelor's degree (e.g., BS, BA, AB)",4,1128000,520000,111000,114000,127000,255000,541000,213000,44000,50000,34000,95000,84000,30000,11000,5000,S,12000,387000,137000,32000,20000,23000,68000
7781,r045,"All fields -> S&E-related fields -> Father's education -> Master's degree (e.g., MS, MA, MBA)",All fields,S&E-related fields,Father's education,"Master's degree (e.g., MS, MA, MBA)",4,367000,186000,33000,48000,25000,75000,333000,128000,30000,30000,27000,53000,37000,15000,5000,S,S,S,250000,93000,13000,S,11000,47000
7781,r046,"All fields -> S&E-related fields -> Father's education -> Professional degree (e.g., JD, LLB, MD, DDS)",All fields,S&E-related fields,Father's education,"Professional degree (e.g., JD, LLB, MD, DDS)",4,183000,121000,S,19000,13000,24000,155000,83000,13000,12000,S,16000,21000,11000,S,,,S,320000,198000,11000,8000,S,22000
7781,r047,"All fields -> S&E-related fields -> Father's education -> Doctorate (e.g., PhD, DSc, EdD)",All fields,S&E-related fields,Father's education,"Doctorate (e.g., PhD, DSc, EdD)",4,102000,51000,25000,S,4000,17000,105000,51000,7000,9000,4000,18000,24000,10000,,,,S,152000,58000,10000,13000,,20000
7781,r048,All fields -> S&E-related fields -> Father's education -> Not applicable,All fields,S&E-related fields,Father's education,Not applicable,4,138000,45000,12000,21000,11000,49000,54000,15000,3000,1000,8000,13000,2000,0.05,,,,,50000,16000,,,,
7781,r049,All fields -> S&E-related fields -> Mother's education,All fields,S&E-related fields,Mother's education,,3,,,,,,,,,,,,,,,,,,,,,,,,
7781,r050,All fields -> S&E-related fields -> Mother's education -> Less than high school completed,All fields,S&E-related fields,Mother's education,Less than high school completed,4,716000,307000,95000,84000,68000,162000,311000,95000,44000,19000,24000,64000,47000,15000,4000,0.05,S,6000,174000,58000,S,S,S,16000
7781,r051,All fields -> S&E-related fields -> Mother's education -> High school diploma or equivalent,All fields,S&E-related fields,Mother's education,High school diploma or equivalent,4,1525000,594000,252000,177000,185000,317000,737000,232000,89000,85000,53000,147000,88000,31000,14000,4000,S,10000,362000,91000,51000,37000,28000,80000
7781,r052,"All fields -> S&E-related fields -> Mother's education -> Some college, vocational, or trade school (including 2-year degrees)",All fields,S&E-related fields,Mother's education,"Some college, vocational, or trade school (including 2-year degrees)",4,1143000,411000,174000,115000,109000,334000,591000,210000,61000,47000,67000,111000,66000,15000,7000,S,S,12000,362000,97000,46000,32000,15000,64000
7781,r053,"All fields -> S&E-related fields -> Mother's education -> Bachelor's degree (e.g., BS, BA, AB)",All fields,S&E-related fields,Mother's education,"Bachelor's degree (e.g., BS, BA, AB)",4,1098000,497000,80000,118000,119000,284000,558000,190000,46000,55000,39000,101000,70000,31000,5000,5000,3000,7000,477000,242000,17000,17000,18000,55000
7781,r054,"All fields -> S&E-related fields -> Mother's education -> Master's degree (e.g., MS, MA, MBA)",All fields,S&E-related fields,Mother's education,"Master's degree (e.g., MS, MA, MBA)",4,356000,178000,30000,33000,26000,89000,336000,143000,40000,15000,23000,64000,57000,23000,S,3000,S,11000,262000,115000,20000,12000,7000,54000
7781,r055,"All fields -> S&E-related fields -> Mother's education -> Professional degree (e.g., JD, LLB, MD, DDS)",All fields,S&E-related fields,Mother's education,"Professional degree (e.g., JD, LLB, MD, DDS)",4,60000,31000,,S,S,18000,37000,14000,S,3000,1000,11000,10000,S,,,,S,106000,34000,,,,S
7781,r056,"All fields -> S&E-related fields -> Mother's education -> Doctorate (e.g., PhD, DSc, EdD)",All fields,S&E-related fields,Mother's education,"Doctorate (e.g., PhD, DSc, EdD)",4,22000,5000,S,S,,7000,31000,14000,S,S,,6000,16000,5000,,,,S,50000,27000,,,,S
7781,r057,All fields -> S&E-related fields -> Mother's education -> Not applicable,All fields,S&E-related fields,Mother's education,Not applicable,4,99000,36000,10000,14000,S,36000,43000,11000,S,,,S,2000,0.05,,,,,31000,4000,,,,
7781,r058,All fields -> Non-S&E fields,All fields,Non-S&E fields,,,2,22838000,10020000,3074000,2638000,2386000,4719000,11950000,4509000,1566000,1150000,843000,2095000,707000,312000,110000,64000,27000,75000,1900000,861000,240000,223000,142000,234000
7781,r059,All fields -> Non-S&E fields -> Father's education,All fields,Non-S&E fields,Father's education,,3,,,,,,,,,,,,,,,,,,,,,,,,
7781,r060,All fields -> Non-S&E fields -> Father's education -> Less than high school completed,All fields,Non-S&E fields,Father's education,Less than high school completed,4,3047000,1377000,518000,413000,281000,459000,1705000,621000,261000,180000,101000,213000,107000,35000,24000,10000,5000,12000,146000,46000,20000,16000,S,31000
7781,r061,All fields -> Non-S&E fields -> Father's education -> High school diploma or equivalent,All fields,Non-S&E fields,Father's education,High school diploma or equivalent,4,6110000,2375000,913000,665000,709000,1449000,2859000,901000,394000,266000,228000,584000,151000,55000,24000,17000,11000,12000,330000,109000,52000,36000,41000,42000
7781,r062,"All fields -> Non-S&E fields -> Father's education -> Some college, vocational, or trade school (including 2-year degrees)",All fields,Non-S&E fields,Father's education,"Some college, vocational, or trade school (including 2-year degrees)",4,4420000,1658000,624000,566000,554000,1017000,2218000,718000,243000,285000,239000,472000,139000,53000,27000,22000,2000,14000,339000,134000,64000,62000,17000,39000
7781,r063,"All fields -> Non-S&E fields -> Father's education -> Bachelor's degree (e.g., BS, BA, AB)",All fields,Non-S&E fields,Father's education,"Bachelor's degree (e.g., BS, BA, AB)",4,4741000,2373000,529000,565000,432000,843000,2289000,1000000,311000,192000,125000,329000,115000,65000,14000,5000,3000,13000,424000,192000,46000,49000,43000,73000
7781,r064,"All fields -> Non-S&E fields -> Father's education -> Master's degree (e.g., MS, MA, MBA)",All fields,Non-S&E fields,Father's education,"Master's degree (e.g., MS, MA, MBA)",4,2368000,1113000,280000,251000,260000,464000,1509000,643000,169000,126000,79000,282000,73000,37000,7000,5000,3000,9000,230000,114000,36000,17000,11000,25000
7781,r065,"All fields -> Non-S&E fields -> Father's education -> Professional degree (e.g., JD, LLB, MD, DDS)",All fields,Non-S&E fields,Father's education,"Professional degree (e.g., JD, LLB, MD, DDS)",4,836000,546000,46000,48000,34000,162000,547000,311000,50000,24000,40000,48000,51000,28000,S,1000,,5000,269000,165000,11000,21000,13000,14000
7781,r066,"All fields -> Non-S&E fields -> Father's education -> Doctorate (e.g., PhD, DSc, EdD)",All fields,Non-S&E fields,Father's education,"Doctorate (e.g., PhD, DSc, EdD)",4,624000,343000,74000,69000,45000,93000,519000,249000,99000,38000,13000,73000,52000,33000,7000,S,,6000,138000,89000,10000,21000,S,S
7781,r067,All fields -> Non-S&E fields -> Father's education -> Not applicable,All fields,Non-S&E fields,Father's education,Not applicable,4,692000,235000,90000,62000,72000,233000,304000,65000,39000,39000,18000,94000,18000,6000,,,,,23000,13000,,,,S
7781,r068,All fields -> Non-S&E fields -> Mother's education,All fields,Non-S&E fields,Mother's education,,3,,,,,,,,,,,,,,,,,,,,,,,,
7781,r069,All fields -> Non-S&E fields -> Mother's education -> Less than high school completed,All fields,Non-S&E fields,Mother's education,Less than high school completed,4,2914000,1336000,551000,363000,202000,462000,1481000,574000,244000,142000,90000,150000,106000,36000,13000,15000,4000,10000,154000,50000,16000,10000,20000,29000
7781,r070,All fields -> Non-S&E fields -> Mother's education -> High school diploma or equivalent,All fields,Non-S&E fields,Mother's education,High school diploma or equivalent,4,7321000,3102000,1091000,825000,813000,1491000,3525000,1210000,474000,363000,263000,636000,179000,65000,31000,22000,7000,9000,416000,126000,85000,54000,42000,48000
7781,r071,"All fields -> Non-S&E fields -> Mother's education -> Some college, vocational, or trade school (including 2-year degrees)",All fields,Non-S&E fields,Mother's education,"Some college, vocational, or trade school (including 2-year degrees)",4,5073000,1981000,704000,682000,588000,1119000,2660000,966000,374000,294000,213000,522000,143000,64000,31000,11000,5000,18000,413000,205000,43000,53000,33000,46000
7781,r072,"All fields -> Non-S&E fields -> Mother's education -> Bachelor's degree (e.g., BS, BA, AB)",All fields,Non-S&E fields,Mother's education,"Bachelor's degree (e.g., BS, BA, AB)",4,5018000,2487000,496000,528000,478000,1029000,2341000,1003000,268000,186000,137000,423000,132000,66000,20000,8000,8000,18000,532000,250000,52000,84000,28000,65000
7781,r073,"All fields -> Non-S&E fields -> Mother's education -> Master's degree (e.g., MS, MA, MBA)",All fields,Non-S&E fields,Mother's education,"Master's degree (e.g., MS, MA, MBA)",4,1799000,789000,179000,182000,213000,435000,1464000,562000,163000,129000,120000,279000,106000,59000,11000,7000,2000,14000,255000,138000,39000,17000,11000,38000
7781,r074,"All fields -> Non-S&E fields -> Mother's education -> Professional degree (e.g., JD, LLB, MD, DDS)",All fields,Non-S&E fields,Mother's education,"Professional degree (e.g., JD, LLB, MD, DDS)",4,211000,99000,22000,S,30000,50000,143000,79000,22000,S,S,18000,17000,8000,,,,,65000,42000,,5000,S,S
7781,r075,"All fields -> Non-S&E fields -> Mother's education -> Doctorate (e.g., PhD, DSc, EdD)",All fields,Non-S&E fields,Mother's education,"Doctorate (e.g., PhD, DSc, EdD)",4,165000,88000,,9000,27000,34000,192000,73000,18000,11000,13000,23000,15000,8000,,,S,,52000,38000,,,S,S
7781,r076,All fields -> Non-S&E fields -> Mother's education -> Not applicable,All fields,Non-S&E fields,Mother's education,Not applicable,4,337000,138000,24000,40000,36000,100000,144000,42000,3000,18000,S,43000,11000,5000,,,,,13000,,,,,
