table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_level_6,budget_function_and_agency_hierarchy_depth,field_2019_actual,field_2020_preliminary,field_2021_proposed,field_2019_20_change_,field_2020_21_change_
3355,r011,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Department of the Navy",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Department of the Navy,,,4,13807,15230,16131,10.3,5.9
3355,r012,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Operational Test and Evaluation",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Operational Test and Evaluation,,,4,377,228,210,-39.5,-7.9
3355,r013,"R&D and R&D plant -> Department of Defense, military (051) -> Other military funding<sup>b</sup>",R&D and R&D plant,"Department of Defense, military (051)",Other military funding<sup>b</sup>,,,,3,3393,5890,1793,73.6,-69.6
3355,r014,"R&D and R&D plant -> Department of Energy, atomic energy defense activities (053)",R&D and R&D plant,"Department of Energy, atomic energy defense activities (053)",,,,,2,7306,7752,8627,6.1,11.3
3355,r015,"R&D and R&D plant -> Department of Energy, atomic energy defense activities (053) -> Defense environmental cleanup",R&D and R&D plant,"Department of Energy, atomic energy defense activities (053)",Defense environmental cleanup,,,,3,25,30,28,18.5,-6.7
3355,r016,"R&D and R&D plant -> Department of Energy, atomic energy defense activities (053) -> Naval reactors development",R&D and R&D plant,"Department of Energy, atomic energy defense activities (053)",Naval reactors development,,,,3,1543,1365,1498,-11.5,9.7
3355,r017,"R&D and R&D plant -> Department of Energy, atomic energy defense activities (053) -> Nonproliferation",R&D and R&D plant,"Department of Energy, atomic energy defense activities (053)",Nonproliferation,,,,3,379,411,452,8.5,10.1
3355,r018,"R&D and R&D plant -> Department of Energy, atomic energy defense activities (053) -> Weapons activities",R&D and R&D plant,"Department of Energy, atomic energy defense activities (053)",Weapons activities,,,,3,5359,5947,6649,11.0,11.8
3355,r019,"R&D and R&D plant -> Department of Justice, Federal Bureau of Investigation (054)",R&D and R&D plant,"Department of Justice, Federal Bureau of Investigation (054)",,,,,2,23,2,2,-91.3,0.0
3355,r020,"R&D and R&D plant -> Department of Homeland Security, Cybersecurity and Infrastructure Security Agency (054)",R&D and R&D plant,"Department of Homeland Security, Cybersecurity and Infrastructure Security Agency (054)",,,,,2,13,14,6,9.9,-55.4
3355,r021,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,,2,71396,78439,75556,9.9,-3.7
3355,r022,"R&D and R&D plant -> R&D -> Department of Defense, military (051)",R&D and R&D plant,R&D,"Department of Defense, military (051)",,,,3,64663,71301,67844,10.3,-4.8
3355,r023,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup>",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,,,4,61292,67264,66052,9.7,-1.8
3355,r024,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Defense agencies",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Defense agencies,,5,19021,19863,17690,4.4,-10.9
3355,r025,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Defense agencies -> Defense Advanced Research Projects Agency",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Defense agencies,Defense Advanced Research Projects Agency,6,3426,3458,3566,1.0,3.1
3355,r026,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Defense agencies -> Missile Defense Agency",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Defense agencies,Missile Defense Agency,6,7246,8138,7170,12.3,-11.9
3355,r027,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Defense agencies -> Other defense agencies",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Defense agencies,Other defense agencies,6,8350,8266,6954,-1.0,-15.9
3355,r028,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Department of the Air Force",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Department of the Air Force,,5,18436,21130,15925,14.6,-24.6
3355,r029,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Space Force",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Space Force,,5,na,na,5445,--,--
3355,r030,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Department of the Army",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Department of the Army,,5,9650,10812,10650,12.0,-1.5
3355,r031,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Department of the Navy",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Department of the Navy,,5,13807,15230,16131,10.3,5.9
3355,r032,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Operational Test and Evaluation",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Operational Test and Evaluation,,5,377,228,210,-39.5,-7.9
3355,r033,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> Other military funding<sup>b</sup>",R&D and R&D plant,R&D,"Department of Defense, military (051)",Other military funding<sup>b</sup>,,,4,3371,4037,1793,19.8,-55.6
3355,r034,"R&D and R&D plant -> R&D -> Department of Energy, atomic energy defense activities (053)",R&D and R&D plant,R&D,"Department of Energy, atomic energy defense activities (053)",,,,3,6698,7121,7703,6.3,8.2
3355,r035,"R&D and R&D plant -> R&D -> Department of Energy, atomic energy defense activities (053) -> Defense environmental cleanup",R&D and R&D plant,R&D,"Department of Energy, atomic energy defense activities (053)",Defense environmental cleanup,,,4,25,30,28,18.5,-6.7
3355,r036,"R&D and R&D plant -> R&D -> Department of Energy, atomic energy defense activities (053) -> Naval reactors development",R&D and R&D plant,R&D,"Department of Energy, atomic energy defense activities (053)",Naval reactors development,,,4,1238,1112,1164,-10.2,4.7
3355,r037,"R&D and R&D plant -> R&D -> Department of Energy, atomic energy defense activities (053) -> Nonproliferation",R&D and R&D plant,R&D,"Department of Energy, atomic energy defense activities (053)",Nonproliferation,,,4,379,393,452,3.8,15.1
3355,r038,"R&D and R&D plant -> R&D -> Department of Energy, atomic energy defense activities (053) -> Weapons activities",R&D and R&D plant,R&D,"Department of Energy, atomic energy defense activities (053)",Weapons activities,,,4,5056,5587,6059,10.5,8.5
3355,r039,"R&D and R&D plant -> R&D -> Department of Justice, Federal Bureau of Investigation (054)",R&D and R&D plant,R&D,"Department of Justice, Federal Bureau of Investigation (054)",,,,3,23,2,2,-91.3,0.0
3355,r040,"R&D and R&D plant -> R&D -> Department of Homeland Security, Cybersecurity and Infrastructure Security Agency (054)",R&D and R&D plant,R&D,"Department of Homeland Security, Cybersecurity and Infrastructure Security Agency (054)",,,,3,13,14,6,9.9,-55.4
