table_id,row_id,_b_2018_carnegie_classification_by_area_of_study_b_full_path,_b_2018_carnegie_classification_by_area_of_study_b_level_1,_b_2018_carnegie_classification_by_area_of_study_b_level_2,_b_2018_carnegie_classification_by_area_of_study_b_level_3,_b_2018_carnegie_classification_by_area_of_study_b_hierarchy_depth,field_graduate_students_all_graduate_students_number,field_graduate_students_all_graduate_students_percent,field_graduate_students_master_s_number,field_graduate_students_master_s_percent,field_graduate_students_doctoral_number,field_graduate_students_doctoral_percent,field_postdoctoral_appointees_number,field_postdoctoral_appointees_percent,field_doctorate_holding_nonfaculty_researchers_number,field_doctorate_holding_nonfaculty_researchers_percent
6045,r011,All broad fields -> Science,All broad fields,Science,,2,464646,100.0,267904,100.0,196742,100.0,38741,100.0,18212,100.0
6045,r012,All broad fields -> Science -> Doctoral: highest research,All broad fields,Science,Doctoral: highest research,3,295679,63.6,136695,51.0,158984,80.8,31581,81.5,15262,83.8
6045,r013,All broad fields -> Science -> Doctoral: higher research,All broad fields,Science,Doctoral: higher research,3,71299,15.3,46849,17.5,24450,12.4,2207,5.7,1766,9.7
6045,r014,All broad fields -> Science -> Doctoral: moderate research,All broad fields,Science,Doctoral: moderate research,3,34063,7.3,30209,11.3,3854,2.0,104,0.3,1,0.05
6045,r015,All broad fields -> Science -> Master's: larger programs,All broad fields,Science,Master's: larger programs,3,44962,9.7,43908,16.4,1054,0.5,79,0.2,44,0.2
6045,r016,All broad fields -> Science -> Master's: medium programs,All broad fields,Science,Master's: medium programs,3,3323,0.7,3172,1.2,151,0.1,14,0.05,15,0.1
6045,r017,All broad fields -> Science -> Master's: small programs and baccalaureate,All broad fields,Science,Master's: small programs and baccalaureate,3,3135,0.7,2576,1.0,559,0.3,63,0.2,16,0.1
6045,r018,All broad fields -> Science -> Medical schools and centers,All broad fields,Science,Medical schools and centers,3,10750,2.3,4203,1.6,6547,3.3,3432,8.9,816,4.5
6045,r019,All broad fields -> Science -> Other 4-year special focus,All broad fields,Science,Other 4-year special focus,3,338,0.1,126,0.05,212,0.1,7,0.05,1,0.05
6045,r020,All broad fields -> Science -> Not classified,All broad fields,Science,Not classified,3,1097,0.2,166,0.1,931,0.5,1254,3.2,291,1.6
6045,r021,All broad fields -> Engineering,All broad fields,Engineering,,2,157729,100.0,86450,100.0,71279,100.0,8462,100.0,3921,100.0
6045,r022,All broad fields -> Engineering -> Doctoral: highest research,All broad fields,Engineering,Doctoral: highest research,3,120918,76.7,59569,68.9,61349,86.1,7798,92.2,3174,80.9
6045,r023,All broad fields -> Engineering -> Doctoral: higher research,All broad fields,Engineering,Doctoral: higher research,3,24220,15.4,15472,17.9,8748,12.3,505,6.0,590,15.0
6045,r024,All broad fields -> Engineering -> Doctoral: moderate research,All broad fields,Engineering,Doctoral: moderate research,3,2044,1.3,1835,2.1,209,0.3,10,0.1,0,0.0
6045,r025,All broad fields -> Engineering -> Master's: larger programs,All broad fields,Engineering,Master's: larger programs,3,8392,5.3,8112,9.4,280,0.4,12,0.1,14,0.4
6045,r026,All broad fields -> Engineering -> Master's: medium programs,All broad fields,Engineering,Master's: medium programs,3,653,0.4,476,0.6,177,0.2,20,0.2,74,1.9
6045,r027,All broad fields -> Engineering -> Master's: small programs and baccalaureate,All broad fields,Engineering,Master's: small programs and baccalaureate,3,524,0.3,493,0.6,31,0.05,3,0.05,2,0.1
6045,r028,All broad fields -> Engineering -> Medical schools and centers,All broad fields,Engineering,Medical schools and centers,3,455,0.3,67,0.1,388,0.5,101,1.2,33,0.8
6045,r029,All broad fields -> Engineering -> Other 4-year special focus,All broad fields,Engineering,Other 4-year special focus,3,522,0.3,425,0.5,97,0.1,1,0.05,16,0.4
6045,r030,All broad fields -> Engineering -> Not classified,All broad fields,Engineering,Not classified,3,1,0.05,1,0.05,0,0.0,12,0.1,18,0.5
6045,r031,All broad fields -> Health,All broad fields,Health,,2,75438,100.0,60124,100.0,15314,100.0,18478,100.0,7528,100.0
6045,r032,All broad fields -> Health -> Doctoral: highest research,All broad fields,Health,Doctoral: highest research,3,38617,51.2,28388,47.2,10229,66.8,15213,82.3,6666,88.5
6045,r033,All broad fields -> Health -> Doctoral: higher research,All broad fields,Health,Doctoral: higher research,3,13403,17.8,10879,18.1,2524,16.5,311,1.7,232,3.1
6045,r034,All broad fields -> Health -> Doctoral: moderate research,All broad fields,Health,Doctoral: moderate research,3,7180,9.5,6090,10.1,1090,7.1,50,0.3,0,0.0
6045,r035,All broad fields -> Health -> Master's: larger programs,All broad fields,Health,Master's: larger programs,3,9274,12.3,9113,15.2,161,1.1,1,0.05,1,0.05
6045,r036,All broad fields -> Health -> Master's: medium programs,All broad fields,Health,Master's: medium programs,3,653,0.9,653,1.1,0,0.0,0,0.0,0,0.0
6045,r037,All broad fields -> Health -> Master's: small programs and baccalaureate,All broad fields,Health,Master's: small programs and baccalaureate,3,375,0.5,344,0.6,31,0.2,2,0.05,1,0.05
6045,r038,All broad fields -> Health -> Medical schools and centers,All broad fields,Health,Medical schools and centers,3,5800,7.7,4537,7.5,1263,8.2,2817,15.2,623,8.3
6045,r039,All broad fields -> Health -> Other 4-year special focus,All broad fields,Health,Other 4-year special focus,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6045,r040,All broad fields -> Health -> Not classified,All broad fields,Health,Not classified,3,136,0.2,120,0.2,16,0.1,84,0.5,5,0.1
