table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_level_5,field_of_study_hierarchy_depth,field_u_s_residing_all_number,field_u_s_residing_all_se,field_u_s_residing_male_number,field_u_s_residing_male_se,field_u_s_residing_female_number,field_u_s_residing_female_se,field_non_u_s_residing_all_number,field_non_u_s_residing_all_se,field_non_u_s_residing_male_number,field_non_u_s_residing_male_se,field_non_u_s_residing_female_number,field_non_u_s_residing_female_se
9256,r021,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Zoology",All fields,Science,"Biological, agricultural, and environmental life sciences",Zoology,,4,9100,200,6350,200,2800,150,1500,200,1100,200,400,75
9256,r022,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,,4,124400,675,65500,825,58900,625,13600,575,7850,450,5750,375
9256,r023,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Biomathematics, bioinformatics, and computational biology",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,"Biomathematics, bioinformatics, and computational biology",5,6600,125,3950,150,2650,125,650,125,400,125,250,75
9256,r024,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Botany and plant biology",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,Botany and plant biology,5,8400,225,4900,200,3500,175,1750,200,1050,150,700,125
9256,r025,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Epidemiology, ecology, and population biology",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,"Epidemiology, ecology, and population biology",5,19400,325,9100,350,10300,275,3250,300,1700,225,1500,225
9256,r026,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Genetics",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,Genetics,5,10100,200,5050,225,5050,225,1350,175,850,175,500,100
9256,r027,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Neurobiology and neuroscience",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,Neurobiology and neuroscience,5,20000,225,10300,350,9700,325,1600,225,800,175,850,150
9256,r028,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Nutrition sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,Nutrition sciences,5,4850,150,1300,125,3550,175,800,150,250,100,500,125
9256,r029,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Pharmacology and toxicology",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,Pharmacology and toxicology,5,15050,175,8800,300,6300,250,700,125,300,75,400,125
9256,r030,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Physiology, pathology, and related sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,"Physiology, pathology, and related sciences",5,18350,225,10650,325,7750,250,1500,200,1100,175,400,75
9256,r031,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Biological and biomedical sciences, general",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,"Biological and biomedical sciences, general",5,15650,225,8100,300,7550,275,1400,225,850,175,550,125
9256,r032,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Biological and biomedical sciences, other",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,"Biological and biomedical sciences, other",5,5900,200,3350,200,2500,150,600,150,450,150,150,75
9256,r033,All fields -> Science -> Computer and information sciences,All fields,Science,Computer and information sciences,,,3,36650,400,29450,425,7200,275,5450,400,4350,350,1100,225
9256,r034,All fields -> Science -> Computer and information sciences -> Computer science,All fields,Science,Computer and information sciences,Computer science,,4,31450,375,26150,375,5300,250,4400,350,3550,300,850,200
9256,r035,"All fields -> Science -> Computer and information sciences -> Information science, studies",All fields,Science,Computer and information sciences,"Information science, studies",,4,3050,125,1850,125,1200,100,550,125,400,100,150,75
9256,r036,"All fields -> Science -> Computer and information sciences -> Computer and information sciences, other",All fields,Science,Computer and information sciences,"Computer and information sciences, other",,4,2150,100,1450,100,700,75,500,100,400,100,100,50
9256,r037,All fields -> Science -> Mathematics and statistics,All fields,Science,Mathematics and statistics,,,3,42950,525,32850,525,10100,350,10050,525,8000,525,2050,300
9256,r038,All fields -> Science -> Mathematics and statistics -> Applied mathematics,All fields,Science,Mathematics and statistics,Applied mathematics,,4,8950,250,6500,250,2450,200,2150,275,1700,275,450,150
9256,r039,All fields -> Science -> Mathematics and statistics -> Mathematics,All fields,Science,Mathematics and statistics,Mathematics,,4,20650,375,16700,375,3950,175,5200,350,4300,325,850,150
9256,r040,All fields -> Science -> Mathematics and statistics -> Statistics,All fields,Science,Mathematics and statistics,Statistics,,4,8400,300,5800,300,2600,225,1600,300,1100,250,550,200
9256,r041,"All fields -> Science -> Mathematics and statistics -> Mathematics and statistics, other",All fields,Science,Mathematics and statistics,"Mathematics and statistics, other",,4,4950,125,3850,150,1100,100,1100,125,900,125,200,50
9256,r042,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,,3,163600,875,122600,875,41000,675,24800,825,19500,750,5300,375
9256,r043,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Astronomy and astrophysics",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Astronomy and astrophysics,,4,7250,125,5550,150,1700,100,950,125,750,125,150,50
9256,r044,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry",,4,80500,650,56800,725,23700,550,8800,550,6350,475,2450,275
9256,r045,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry -> Inorganic chemistry",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry",Inorganic chemistry,5,10500,175,7400,225,3150,200,1150,175,900,150,300,75
9256,r046,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry -> Organic chemistry",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry",Organic chemistry,5,21750,350,16750,375,5000,250,2400,300,1950,275,450,150
9256,r047,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry -> Chemistry, other, except biochemistry",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry","Chemistry, other, except biochemistry",5,48250,475,32700,575,15550,500,5250,450,3500,350,1700,250
9256,r048,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences",,4,26950,275,18550,300,8350,225,5250,275,3750,275,1500,175
9256,r049,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric sciences and meteorology",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences",Atmospheric sciences and meteorology,5,4750,100,3400,100,1400,75,850,100,600,75,250,50
9256,r050,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences, geosciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences","Geological and earth sciences, geosciences",5,16950,250,11950,275,5000,175,3000,250,2300,250,700,125
9256,r051,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,5,2750,75,1600,75,1150,75,300,75,200,50,100,50
9256,r052,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Oceanography, chemical and physical",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences","Oceanography, chemical and physical",5,2450,125,1650,125,800,75,1100,125,650,125,400,100
9256,r053,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Physics",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Physics,,4,48900,650,41650,650,7250,400,9850,600,8600,600,1250,225
9256,r054,All fields -> Science -> Psychology,All fields,Science,Psychology,,,3,137550,550,52100,825,85500,775,6950,450,2550,250,4400,400
9256,r055,All fields -> Science -> Psychology -> Clinical psychology,All fields,Science,Psychology,Clinical psychology,,4,47450,350,16550,450,30900,475,1350,275,250,75,1100,250
9256,r056,All fields -> Science -> Psychology -> Counseling and applied psychology,All fields,Science,Psychology,Counseling and applied psychology,,4,16900,200,6250,325,10650,350,700,150,150,50,550,150
9256,r057,All fields -> Science -> Psychology -> Educational and school psychology,All fields,Science,Psychology,Educational and school psychology,,4,17700,250,5950,275,11800,300,950,150,250,75,650,150
9256,r058,All fields -> Science -> Psychology -> Industrial and organizational psychology,All fields,Science,Psychology,Industrial and organizational psychology,,4,5800,175,2350,175,3450,175,450,150,50,25,400,150
9256,r059,All fields -> Science -> Psychology -> Research and experimental psychology,All fields,Science,Psychology,Research and experimental psychology,,4,34700,250,14950,400,19750,350,2600,200,1350,175,1300,150
9256,r060,"All fields -> Science -> Psychology -> Psychology, general",All fields,Science,Psychology,"Psychology, general",,4,9150,225,3650,250,5500,275,500,150,350,125,150,75
9256,r061,"All fields -> Science -> Psychology -> Psychology, other",All fields,Science,Psychology,"Psychology, other",,4,5900,125,2400,175,3450,150,400,100,150,75,250,50
9256,r062,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,,3,121000,950,67800,850,53200,650,34700,900,23500,775,11200,525
9256,r063,All fields -> Science -> Social sciences -> Economics,All fields,Science,Social sciences,Economics,,4,32250,550,22850,575,9400,375,13850,500,10650,475,3200,300
9256,r064,All fields -> Science -> Social sciences -> Political science and government,All fields,Science,Social sciences,Political science and government,,4,24050,550,14850,475,9200,375,5450,500,3550,425,1900,275
9256,r065,All fields -> Science -> Social sciences -> Political science and government -> Political science and government,All fields,Science,Social sciences,Political science and government,Political science and government,5,18950,550,12150,450,6800,350,4600,500,3050,425,1550,275
9256,r066,All fields -> Science -> Social sciences -> Political science and government -> Public policy analysis,All fields,Science,Social sciences,Political science and government,Public policy analysis,5,5100,100,2700,150,2400,125,800,125,450,100,350,75
9256,r067,"All fields -> Science -> Social sciences -> Sociology, demography, and population studies",All fields,Science,Social sciences,"Sociology, demography, and population studies",,4,19400,325,8750,325,10650,325,3250,300,1800,275,1450,200
9256,r068,All fields -> Science -> Social sciences -> Other social sciences,All fields,Science,Social sciences,Other social sciences,,4,45300,525,21350,475,23950,450,12150,475,7550,425,4600,325
9256,r069,All fields -> Science -> Social sciences -> Other social sciences -> Anthropology,All fields,Science,Social sciences,Other social sciences,Anthropology,5,14000,250,5850,300,8150,275,2150,225,1100,200,1050,150
9256,r070,"All fields -> Science -> Social sciences -> Other social sciences -> Area, ethnic, cultural, gender, and group studies",All fields,Science,Social sciences,Other social sciences,"Area, ethnic, cultural, gender, and group studies",5,4900,125,1950,150,2950,150,500,100,150,75,300,75
9256,r071,All fields -> Science -> Social sciences -> Other social sciences -> Geography and cartography,All fields,Science,Social sciences,Other social sciences,Geography and cartography,5,5300,225,3200,175,2100,150,1650,225,1050,175,550,150
9256,r072,All fields -> Science -> Social sciences -> Other social sciences -> International relations and national security studies,All fields,Science,Social sciences,Other social sciences,International relations and national security studies,5,2600,125,1700,125,900,75,1200,150,900,150,250,75
9256,r073,All fields -> Science -> Social sciences -> Other social sciences -> Linguistics,All fields,Science,Social sciences,Other social sciences,Linguistics,5,5550,250,2250,200,3300,225,3200,250,1800,250,1400,225
9256,r074,"All fields -> Science -> Social sciences -> Other social sciences -> Urban studies, affairs",All fields,Science,Social sciences,Other social sciences,"Urban studies, affairs",5,1600,125,1050,100,600,75,800,125,700,125,100,50
9256,r075,"All fields -> Science -> Social sciences -> Other social sciences -> Social sciences, other",All fields,Science,Social sciences,Other social sciences,"Social sciences, other",5,11400,275,5350,225,6000,250,2700,250,1800,200,900,175
9256,r076,All fields -> Engineering,All fields,Engineering,,,,2,206100,1150,169600,1200,36500,700,41650,1050,36300,1000,5300,375
9256,r077,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,,3,7850,250,7100,275,800,75,1650,250,1550,250,100,50
9256,r078,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,,,3,24850,425,19350,400,5500,325,4400,375,3450,350,1000,200
9256,r079,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,,,3,21800,550,17250,450,4600,275,6850,525,5850,475,1000,200
9256,r080,All fields -> Engineering -> Electrical and computer engineering,All fields,Engineering,Electrical and computer engineering,,,3,55900,575,48900,600,7000,375,10000,550,9150,550,850,175
9256,r081,All fields -> Engineering -> Electrical and computer engineering -> Computer engineering,All fields,Engineering,Electrical and computer engineering,Computer engineering,,4,7850,250,6900,250,950,100,1750,225,1450,225,300,100
9256,r082,"All fields -> Engineering -> Electrical and computer engineering -> Electrical, electronics, and communications engineering",All fields,Engineering,Electrical and computer engineering,"Electrical, electronics, and communications engineering",,4,48000,525,42000,550,6050,375,8250,525,7700,500,550,125
9256,r083,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,,,3,30550,425,26400,500,4150,300,5250,425,4800,400,450,125
9256,r084,All fields -> Engineering -> Metallurgical and materials engineering,All fields,Engineering,Metallurgical and materials engineering,,,3,19750,375,16050,400,3700,250,3900,375,3400,375,500,100
9256,r085,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,,,3,45350,450,34600,525,10750,375,9500,450,8100,450,1400,200
9256,r086,All fields -> Engineering -> Other engineering -> Agricultural engineering,All fields,Engineering,Other engineering,Agricultural engineering,,4,2050,100,1700,100,350,50,650,100,600,100,50,50
9256,r087,All fields -> Engineering -> Other engineering -> Bioengineering and biomedical engineering,All fields,Engineering,Other engineering,Bioengineering and biomedical engineering,,4,16050,250,10900,325,5150,275,1500,250,1100,225,400,125
9256,r088,"All fields -> Engineering -> Other engineering -> Engineering mechanics, physics, and science",All fields,Engineering,Other engineering,"Engineering mechanics, physics, and science",,4,4900,175,4350,175,550,50,1200,175,1150,150,50,25
9256,r089,All fields -> Engineering -> Other engineering -> Industrial and manufacturing engineering,All fields,Engineering,Other engineering,Industrial and manufacturing engineering,,4,10450,300,7850,300,2600,175,3400,300,2950,300,450,75
9256,r090,All fields -> Engineering -> Other engineering -> Nuclear engineering,All fields,Engineering,Other engineering,Nuclear engineering,,4,3550,125,3100,125,450,50,750,125,700,125,50,50
9256,r091,"All fields -> Engineering -> Other engineering -> Engineering, other",All fields,Engineering,Other engineering,"Engineering, other",,4,8350,225,6650,250,1650,125,2000,225,1600,225,400,125
9256,r092,All fields -> Health,All fields,Health,,,,2,50050,450,17950,450,32100,525,5950,425,2650,300,3350,325
9256,r093,All fields -> Health -> Communication disorders sciences and services,All fields,Health,Communication disorders sciences and services,,,3,3900,125,1100,100,2850,125,350,100,S,S,200,75
9256,r094,All fields -> Health -> Hospital and medical administration services,All fields,Health,Hospital and medical administration services,,,3,1750,75,750,75,950,75,300,75,200,50,100,25
9256,r095,"All fields -> Health -> Pharmacy, pharmaceutical sciences, and administration",All fields,Health,"Pharmacy, pharmaceutical sciences, and administration",,,3,9000,250,5300,250,3700,250,1250,250,700,175,550,150
9256,r096,All fields -> Health -> Public health,All fields,Health,Public health,,,3,10700,200,3400,200,7300,250,1300,225,700,150,600,150
9256,r097,"All fields -> Health -> Registered nursing, nursing administration, nursing research",All fields,Health,"Registered nursing, nursing administration, nursing research",,,3,11450,275,850,100,10600,275,1350,250,100,50,1250,250
9256,r098,"All fields -> Health -> Health sciences, other",All fields,Health,"Health sciences, other",,,3,13200,200,6500,250,6700,225,1400,175,800,150,600,100
