table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_foreign_companies_subsidiaries,field_foreign_companies_company_s_parent,field_foreign_companies_unaffiliated_companies,field_foreign_government_agencies,field_foreign_universities_colleges_and_academic_researchers,field_all_other
2073,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['194', '  ']","['25', '  ']","['129 - 169', '  ']","['0 - 39', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['15', '  ']","['1', '  ']","['13', '  ']","['*', 'i ']","['0', '  ']","['0', '  ']","['*', 'i ']"
2073,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['266 - 385', '  ']","['1', '  ']","['231 - 383', '  ']","['0 - 39', 'i ']","['0', '  ']","['0', '  ']","['0 - 4', 'i ']"
2073,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['11,280', '  ']","['3,202', '  ']","['6,465', '  ']","['1,554', '  ']","['0 - 4', '  ']","['0 - 23', '  ']","['31 - 60', '  ']"
2073,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['119 - 220', '  ']","['6', '  ']","['111 - 212', '  ']","['*', 'i ']","['0', '  ']","['0', '  ']","['0 - 4', 'i ']"
2073,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['7 - 32', '  ']","['7', '  ']","['0 - 24', '  ']","['*', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['59', '  ']","['47', '  ']","['11', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['13 - 29', '  ']","['14', '  ']","['0 - 14', '  ']","['0 - 14', 'i ']","['0', '  ']","['0', '  ']","['0 - 14', 'i ']"
2073,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['2', 'i ']","['1', '  ']","['0 - 2', 'i ']","['*', 'i ']","['0', '  ']","['0 - 2', '  ']","['0 - 2', 'i ']"
2073,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['6', '  ']","['2', '  ']","['4', '  ']","['*', 'i ']","['0', '  ']","['0', '  ']","['*', 'i ']"
2073,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['657', '  ']","['18', '  ']","['621', '  ']","['19', 'i ']","['0', '  ']","['0', '  ']","['*', 'i ']"
2073,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['58', 'i ']","['2', '  ']","['50', 'i ']","['6', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['454', '  ']","['0', '  ']","['449', '  ']","['5', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['9', '  ']","['0', '  ']","['9', '  ']","['*', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['137', '  ']","['16', '  ']","['113', '  ']","['8', '  ']","['0', '  ']","['0', '  ']","['*', 'i ']"
2073,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['14,267', '  ']","['10,960', '  ']","['2,889', '  ']","['326 - 352', '  ']","['0 - 4', '  ']","['0 - 23', 'i ']","['39 - 94', '  ']"
2073,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['3,794', '  ']","['3,131 - 3,167', '  ']","['628', '  ']","['0 - 30', '  ']","['0 - 4', '  ']","['0', '  ']","['*', 'i ']"
2073,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['3,088', '  ']","['1,098', '  ']","['1,754', '  ']","['214', '  ']","['0', '  ']","['0 - 23', 'i ']","['0 - 24', '  ']"
2073,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['622 - 687', '  ']","['82', '  ']","['418', '  ']","['109', '  ']","['0', '  ']","['*', '  ']","['14 - 79', '  ']"
2073,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['104', '  ']","['6', '  ']","['92', '  ']","['6', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",5,334511,"['417', '  ']","['0 - 77', 'i ']","['193 - 327', '  ']","['0 - 104', '  ']","['0', '  ']","['*', '  ']","['14 - 79', '  ']"
2073,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling device",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling device,5,other 3345,"['100 - 167', '  ']","['0 - 77', '  ']","['0 - 132', '  ']","['0 - 104', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['6,700 - 6,765', '  ']","['6,611 - 6,650', '  ']","['89', '  ']","['0 - 30', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['248', '  ']","['171', '  ']","['77', '  ']","['*', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['2,387 - 2,443', '  ']","['170', '  ']","['2,073', '  ']","['146', '  ']","['0 - 4', 'i ']","['0', '  ']","['0 - 55', 'i ']"
2073,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['26 - 2,443', '  ']","['26 - 171', '  ']","['0 - 2,074', '  ']","['0 - 147', '  ']","['0 - 4', '  ']","['0', '  ']","['0 - 55', '  ']"
2073,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['0 - 2,158', '  ']","['0 - 145', '  ']","['0 - 2,012', '  ']","['0 - 147', '  ']","['0 - 4', 'i ']","['0', '  ']","['0 - 55', 'i ']"
2073,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['0 - 2,158', '  ']","['0 - 145', '  ']","['0 - 2,012', '  ']","['0 - 147', '  ']","['0 - 4', 'i ']","['0', '  ']","['0 - 55', 'i ']"
2073,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['*', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['0 - 1,434', '  ']","['0', '  ']","['0 - 1,434', '  ']","['0 - 147', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['8', '  ']","['8', '  ']","['*', '  ']","['*', 'i ']","['0', '  ']","['0', '  ']","['*', 'i ']"
2073,r043,All industries -> Manufacturing industries -> Miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,,,3,339,"['425 - 458', '  ']","['279', '  ']","['138 - 169', '  ']","['9', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r044,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous manufacturing,Medical equipment and supplies,,4,3391,"['406', '  ']","['265', '  ']","['132', '  ']","['8', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r045,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,Other miscellaneous manufacturing,,4,3399,"['20 - 52', '  ']","['14', '  ']","['6 - 37', '  ']","['1', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['7,226', '  ']","['4,229', '  ']","['2,111', '  ']","['859', '  ']","['4', '  ']","['2', '  ']","['21', 'i ']"
2073,r047,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['834', '  ']","['615', '  ']","['6', '  ']","['213', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['4', '  ']","['*', '  ']","['4', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', '  ']"
2073,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['27', 'i ']","['5', 'i ']","['22', 'i ']","['1', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['4,467', '  ']","['3,328', '  ']","['1,047', '  ']","['91', '  ']","['0', '  ']","['0', '  ']","['1', '  ']"
2073,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['1,702', '  ']","['767', '  ']","['843', '  ']","['90', '  ']","['0', '  ']","['0', '  ']","['1', '  ']"
2073,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['1,702', '  ']","['767', '  ']","['843', '  ']","['90', '  ']","['0', '  ']","['0', '  ']","['1', '  ']"
2073,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['24 - 162', '  ']","['4', '  ']","['21 - 158', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['236', '  ']","['188', '  ']","['48', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['2,367 - 2,503', '  ']","['2,368', '  ']","['0 - 134', '  ']","['*', 'i ']","['0', '  ']","['0', '  ']","['*', 'i ']"
2073,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['36', '  ']","['36', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['10', '  ']","['0', '  ']","['10', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['10', '  ']","['0', '  ']","['10', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['1,772', '  ']","['216', '  ']","['1,001', '  ']","['529', '  ']","['4', '  ']","['2', '  ']","['20', 'i ']"
2073,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['68', '  ']","['11', '  ']","['45', '  ']","['12', '  ']","['*', '  ']","['0', '  ']","['0', '  ']"
2073,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['346', '  ']","['143', '  ']","['177', '  ']","['24', '  ']","['1', '  ']","['0', '  ']","['0', '  ']"
2073,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['1,231', '  ']","['49', '  ']","['685', '  ']","['475', 'i ']","['3', '  ']","['2', '  ']","['16', 'i ']"
2073,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,"['317', '  ']","['0', '  ']","['104', '  ']","['210', '  ']","['2', '  ']","['0', '  ']","['1', '  ']"
2073,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Physical, engineering, and life sciences (except biotechnology) research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Physical, engineering, and life sciences (except biotechnology) research and development",5,541712,"['914', '  ']","['49', '  ']","['582', '  ']","['266', 'i ']","['1', '  ']","['2', '  ']","['15', 'i ']"
2073,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Social sciences and humanities research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Social sciences and humanities research and development,5,541720,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['126', '  ']","['12', '  ']","['93', '  ']","['17', '  ']","['0', '  ']","['0', '  ']","['3', '  ']"
2073,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['33', 'i ']","['23', '  ']","['0', '  ']","['10', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['43', '  ']","['6', '  ']","['22', '  ']","['15', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['37,822', '  ']","['19,240', '  ']","['15,426', '  ']","['2,978', '  ']","['7', '  ']","['24', 'i ']","['147', '  ']"
2073,r074,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2073,r075,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>a</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>a</sup>,,,3,–,"['171', '  ']","['58', '  ']","['59', '  ']","['0 - 54', '  ']","['2', '  ']","['*', 'i ']","['0 - 54', '  ']"
2073,r076,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['693', '  ']","['135', '  ']","['434', '  ']","['97', '  ']","['1', '  ']","['21', 'i ']","['5', '  ']"
2073,r077,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2073,r078,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['766', '  ']","['120', '  ']","['494', '  ']","['105', '  ']","['1', 'i ']","['1', '  ']","['47', '  ']"
2073,r079,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['1,734', '  ']","['195', '  ']","['1,426', '  ']","['98', '  ']","['*', 'i ']","['1', '  ']","['15', 'i ']"
2073,r080,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2073,r081,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['1,205', '  ']","['338', '  ']","['668', '  ']","['195', '  ']","['1', '  ']","['*', '  ']","['3', '  ']"
2073,r082,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['1,738', '  ']","['698', '  ']","['795', '  ']","['243', '  ']","['*', '  ']","['1', '  ']","['1', 'i ']"
2073,r083,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['11,280', '  ']","['2,741', '  ']","['7,446', '  ']","['1,085', '  ']","['2', '  ']","['*', '  ']","['6', '  ']"
2073,r084,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['2,270', '  ']","['1,258', 'i ']","['909', '  ']","['102', 'i ']","['0', '  ']","['*', '  ']","['*', 'i ']"
2073,r085,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['6,741', '  ']","['2,824', '  ']","['2,987', '  ']","['930', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2073,r086,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['11,222', '  ']","['10,873', '  ']","['209', '  ']","['64 - 127', '  ']","['1', 'i ']","['0', '  ']","['12 - 74', '  ']"
