table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_fy_2020_all_r_d_expenditures,field_fy_2020_internal_funds,field_fy_2020_federal_government,field_fy_2020_all_other_sources_of_funds,field_fy_2021_all_r_d_expenditures,field_fy_2021_internal_funds,field_fy_2021_federal_government,field_fy_2021_all_other_sources_of_funds,field_fy_2022_all_r_d_expenditures,field_fy_2022_internal_funds,field_fy_2022_federal_government,field_fy_2022_all_other_sources_of_funds
12383,r019,All states -> Kentucky,All states,Kentucky,2,"['1,777', '  ']","['168', '  ']","['286', '  ']","['1,324', '  ']","['9,685', '  ']","['3,629', '  ']","['2,714', '  ']","['3,341', '  ']","['4,553', '  ']","['2,909', '  ']","['56', '  ']","['1,587', '  ']"
12383,r020,All states -> Louisiana,All states,Louisiana,2,"['55,173', '  ']","['7,868', 'i ']","['27,177', '  ']","['20,129', '  ']","['39,385', '  ']","['7,191', '  ']","['22,100', '  ']","['10,094', '  ']","['71,125', '  ']","['34,899', '  ']","['29,332', '  ']","['6,894', '  ']"
12383,r021,All states -> Maine,All states,Maine,2,"['172,329', '  ']","['3,539', '  ']","['128,756', '  ']","['40,033', '  ']","['178,944', '  ']","['2,957', '  ']","['134,831', '  ']","['41,156', '  ']","['308,582', '  ']","['65,949', '  ']","['162,993', '  ']","['79,640', '  ']"
12383,r022,All states -> Maryland,All states,Maryland,2,"['1,493,486', '  ']","['810,571', '  ']","['616,279', '  ']","['66,635', '  ']","['1,609,393', '  ']","['860,117', '  ']","['687,275', '  ']","['62,000', '  ']","['1,514,546', '  ']","['954,914', '  ']","['478,204', '  ']","['81,428', '  ']"
12383,r023,All states -> Massachusetts,All states,Massachusetts,2,"['5,318,579', '  ']","['972,737', '  ']","['2,729,888', '  ']","['1,615,954', '  ']","['5,356,426', '  ']","['1,155,852', '  ']","['2,506,156', '  ']","['1,694,418', '  ']","['5,791,608', '  ']","['1,055,992', '  ']","['2,674,160', '  ']","['2,061,456', '  ']"
12383,r024,All states -> Michigan,All states,Michigan,2,"['326,666', '  ']","['105,426', '  ']","['119,953', '  ']","['101,288', '  ']","['247,440', '  ']","['96,996', '  ']","['70,762', '  ']","['79,681', '  ']","['200,832', '  ']","['72,218', '  ']","['81,649', '  ']","['46,964', '  ']"
12383,r025,All states -> Minnesota,All states,Minnesota,2,"['1,328,940', '  ']","['372,920', 'i ']","['458,151', 'i ']","['497,869', '  ']","['1,351,659', '  ']","['733,519', 'i ']","['186,679', 'i ']","['431,460', '  ']","['1,440,000', '  ']","['571,325', 'i ']","['78,679', 'i ']","['789,997', '  ']"
12383,r026,All states -> Mississippi,All states,Mississippi,2,"['12,336', '  ']","['414', '  ']","['1,034', '  ']","['10,888', '  ']","['995', '  ']","['0', '  ']","['995', '  ']","['0', '  ']","['818', '  ']","['0', '  ']","['818', '  ']","['0', '  ']"
12383,r027,All states -> Missouri,All states,Missouri,2,"['149,112', '  ']","['54,763', 'i ']","['45,042', 'i ']","['49,308', '  ']","['107,312', '  ']","['44,279', '  ']","['29,429', '  ']","['33,604', '  ']","['124,882', '  ']","['46,094', '  ']","['33,010', '  ']","['45,778', '  ']"
12383,r028,All states -> Montana,All states,Montana,2,"['4,472', '  ']","['64', '  ']","['1,661', '  ']","['2,747', '  ']","['7,203', '  ']","['532', '  ']","['1,296', '  ']","['5,375', '  ']","['9,369', '  ']","['47', '  ']","['2,151', '  ']","['7,170', '  ']"
12383,r029,All states -> Nebraska,All states,Nebraska,2,"['25,902', '  ']","['8,085', '  ']","['11,241', '  ']","['6,576', '  ']","['10,746', '  ']","['927', '  ']","['8,893', '  ']","['925', '  ']","['65,969', '  ']","['3,113', '  ']","['62,073', '  ']","['783', '  ']"
12383,r030,All states -> Nevada,All states,Nevada,2,"['5,053', '  ']","['0', '  ']","['3,667', '  ']","['1,386', '  ']","['14,954', '  ']","['4,190', '  ']","['3,662', '  ']","['7,102', '  ']","['14,867', '  ']","['5,653', '  ']","['4,534', '  ']","['4,679', '  ']"
12383,r031,All states -> New Hampshire,All states,New Hampshire,2,"['28,693', '  ']","['0', '  ']","['18,500', '  ']","['10,193', '  ']","['31,310', '  ']","['0', '  ']","['19,841', '  ']","['11,469', '  ']","['46,228', '  ']","['9,023', '  ']","['17,786', '  ']","['19,420', '  ']"
12383,r032,All states -> New Jersey,All states,New Jersey,2,"['46,032', '  ']","['9,686', '  ']","['13,649', '  ']","['22,697', '  ']","['171,639', '  ']","['33,476', '  ']","['36,396', '  ']","['101,768', '  ']","['307,198', '  ']","['143,594', '  ']","['40,765', '  ']","['122,838', '  ']"
12383,r033,All states -> New Mexico,All states,New Mexico,2,"['97,310', '  ']","['12,547', 'i ']","['42,858', 'i ']","['41,905', '  ']","['21,442', '  ']","['5,060', '  ']","['8,729', '  ']","['7,653', '  ']","['23,274', '  ']","['5,650', '  ']","['9,127', '  ']","['8,497', '  ']"
12383,r034,All states -> New York,All states,New York,2,"['2,779,059', '  ']","['860,728', '  ']","['904,897', '  ']","['1,013,434', '  ']","['3,211,781', '  ']","['1,071,385', '  ']","['1,080,238', '  ']","['1,060,158', '  ']","['3,290,088', '  ']","['1,135,545', '  ']","['939,077', '  ']","['1,215,465', '  ']"
12383,r035,All states -> North Carolina,All states,North Carolina,2,"['944,693', '  ']","['395', '  ']","['756,013', '  ']","['188,286', '  ']","['888,653', '  ']","['15,272', '  ']","['751,954', '  ']","['121,427', '  ']","['1,202,472', '  ']","['56,067', '  ']","['976,563', '  ']","['169,842', '  ']"
12383,r036,All states -> North Dakota,All states,North Dakota,2,"['32,702', '  ']","['1,147', '  ']","['13,454', '  ']","['18,101', '  ']","['1,007', '  ']","['313', '  ']","['338', '  ']","['356', '  ']","['657', '  ']","['593', '  ']","['0', '  ']","['65', '  ']"
12383,r037,All states -> Ohio,All states,Ohio,2,"['1,237,992', '  ']","['431,629', '  ']","['509,752', '  ']","['296,612', '  ']","['1,293,509', '  ']","['436,090', '  ']","['548,578', '  ']","['308,841', '  ']","['1,584,179', '  ']","['579,804', '  ']","['675,390', '  ']","['328,984', '  ']"
12383,r038,All states -> Oklahoma,All states,Oklahoma,2,"['89,402', '  ']","['5,442', '  ']","['35,596', '  ']","['48,364', '  ']","['86,965', '  ']","['590', '  ']","['41,039', '  ']","['45,335', '  ']","['98,327', '  ']","['1,697', '  ']","['53,052', '  ']","['43,578', '  ']"
12383,r039,All states -> Oregon,All states,Oregon,2,"['64,926', '  ']","['1,890', '  ']","['22,081', '  ']","['40,954', '  ']","['45,545', '  ']","['14,028', '  ']","['15,321', '  ']","['16,197', '  ']","['31,162', '  ']","['1,009', '  ']","['14,646', '  ']","['15,507', '  ']"
12383,r040,All states -> Pennsylvania,All states,Pennsylvania,2,"['855,874', '  ']","['208,714', '  ']","['352,612', '  ']","['294,548', '  ']","['759,153', '  ']","['172,894', '  ']","['366,595', '  ']","['219,663', '  ']","['737,023', '  ']","['220,080', '  ']","['301,294', '  ']","['215,649', '  ']"
12383,r041,All states -> Rhode Island,All states,Rhode Island,2,"['188,575', '  ']","['40,497', 'i ']","['79,881', 'i ']","['68,196', '  ']","['171,003', '  ']","['11,008', '  ']","['71,847', '  ']","['88,148', '  ']","['130,165', '  ']","['8,241', '  ']","['72,929', '  ']","['48,995', '  ']"
12383,r042,All states -> South Carolina,All states,South Carolina,2,"['6,563', '  ']","['0', '  ']","['4,274', '  ']","['2,289', '  ']","['6,576', '  ']","['343', '  ']","['3,851', '  ']","['2,382', '  ']","['31,336', '  ']","['264', '  ']","['11,704', '  ']","['19,368', '  ']"
12383,r043,All states -> South Dakota,All states,South Dakota,2,"['559', '  ']","['0', '  ']","['542', '  ']","['17', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['12,712', '  ']","['0', '  ']","['0', '  ']","['12,712', '  ']"
12383,r044,All states -> Tennessee,All states,Tennessee,2,"['548,852', '  ']","['368,791', '  ']","['132,256', '  ']","['47,806', '  ']","['631,171', '  ']","['381,659', '  ']","['228,590', '  ']","['20,922', '  ']","['599,601', '  ']","['435,578', '  ']","['128,531', '  ']","['35,491', '  ']"
12383,r045,All states -> Texas,All states,Texas,2,"['1,067,782', '  ']","['152,421', '  ']","['454,525', '  ']","['460,837', '  ']","['1,236,551', '  ']","['208,746', '  ']","['576,521', '  ']","['451,285', '  ']","['1,313,784', '  ']","['109,282', '  ']","['624,480', '  ']","['580,021', '  ']"
12383,r046,All states -> Utah,All states,Utah,2,"['33,293', '  ']","['5,366', '  ']","['9,268', '  ']","['18,659', '  ']","['25,978', '  ']","['1,731', '  ']","['12,441', '  ']","['11,806', '  ']","['20,073', '  ']","['1,994', '  ']","['11,946', '  ']","['6,133', '  ']"
12383,r047,All states -> Vermont,All states,Vermont,2,"['7,226', '  ']","['0', '  ']","['3,896', '  ']","['3,330', '  ']","['9,840', '  ']","['681', '  ']","['4,554', '  ']","['4,606', '  ']","['999', '  ']","['0', '  ']","['999', '  ']","['0', '  ']"
12383,r048,All states -> Virginia,All states,Virginia,2,"['596,429', '  ']","['71,242', '  ']","['334,303', '  ']","['190,884', '  ']","['804,783', '  ']","['106,159', '  ']","['572,195', '  ']","['126,428', '  ']","['785,659', '  ']","['135,115', '  ']","['531,876', '  ']","['118,668', '  ']"
12383,r049,All states -> Washington,All states,Washington,2,"['1,577,239', '  ']","['206,349', '  ']","['810,941', '  ']","['559,949', '  ']","['1,453,716', '  ']","['164,984', '  ']","['835,598', '  ']","['453,135', '  ']","['1,536,003', '  ']","['290,919', '  ']","['821,631', '  ']","['423,452', '  ']"
12383,r050,All states -> West Virginia,All states,West Virginia,2,"['56,500', '  ']","['11,377', '  ']","['21,701', '  ']","['23,423', '  ']","['22,343', '  ']","['193', '  ']","['8,710', '  ']","['13,440', '  ']","['28,494', '  ']","['515', '  ']","['11,226', '  ']","['16,753', '  ']"
12383,r051,All states -> Wisconsin,All states,Wisconsin,2,"['107,198', '  ']","['22,182', '  ']","['33,121', '  ']","['51,894', '  ']","['390,183', '  ']","['188,662', '  ']","['52,224', '  ']","['149,298', '  ']","['372,088', '  ']","['101,167', '  ']","['185,345', '  ']","['85,576', '  ']"
12383,r052,All states -> Wyoming,All states,Wyoming,2,"['228', '  ']","['0', '  ']","['108', '  ']","['120', '  ']","['113', '  ']","['0', '  ']","['113', '  ']","['0', '  ']","['529', '  ']","['74', '  ']","['335', '  ']","['120', '  ']"
