table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_level_5,selected_characteristic_hierarchy_depth,field_increased_subject_matter_knowledge,field_conducted_own_independent_research,field_published_papers,field_presented_papers_at_a_professional_conference,field_taught_courses,field_provided_clinical_or_professional_services,field_supervised_others,field_wrote_grant_proposals,field_worked_in_interdisciplinary_research_environments,field_collaborated_or_networked_with_colleagues,field_developed_marketable_products
3834,r020,Number of early career doctorates for whom the item was applicable (denominator) -> Field of doctoral degree -> Science and engineering -> Mathematics and computer sciences -> Computer and information sciences,Number of early career doctorates for whom the item was applicable (denominator),Field of doctoral degree,Science and engineering,Mathematics and computer sciences,Computer and information sciences,5,22.7,16.4,12.5,15.3,24.3,,20.3,14.8,23.6,20.0,6.1
3834,r021,Number of early career doctorates for whom the item was applicable (denominator) -> Field of doctoral degree -> Science and engineering -> Mathematics and computer sciences -> Mathematics and statistics,Number of early career doctorates for whom the item was applicable (denominator),Field of doctoral degree,Science and engineering,Mathematics and computer sciences,Mathematics and statistics,5,24.7,14.6,12.3,14.3,21.7,8.9,23.1,18.4,17.1,18.6,S
3834,r022,Number of early career doctorates for whom the item was applicable (denominator) -> Field of doctoral degree -> Science and engineering -> Multidisciplinary fields and science and engineering related fields,Number of early career doctorates for whom the item was applicable (denominator),Field of doctoral degree,Science and engineering,Multidisciplinary fields and science and engineering related fields,,4,25.5,21.8,7.3,10.2,24.0,17.6,35.0,16.3,22.7,29.9,
3834,r023,"Number of early career doctorates for whom the item was applicable (denominator) -> Field of doctoral degree -> Science and engineering -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Number of early career doctorates for whom the item was applicable (denominator),Field of doctoral degree,Science and engineering,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,4,27.0,23.3,12.9,16.9,15.4,6.3,24.3,17.7,22.6,22.8,10.1
3834,r024,Number of early career doctorates for whom the item was applicable (denominator) -> Field of doctoral degree -> Science and engineering -> Psychology and social sciences,Number of early career doctorates for whom the item was applicable (denominator),Field of doctoral degree,Science and engineering,Psychology and social sciences,,4,20.0,16.7,9.8,12.9,20.5,6.4,25.5,12.7,18.8,18.9,5.8
3834,r025,Number of early career doctorates for whom the item was applicable (denominator) -> Field of doctoral degree -> Science and engineering -> Psychology and social sciences -> Psychology,Number of early career doctorates for whom the item was applicable (denominator),Field of doctoral degree,Science and engineering,Psychology and social sciences,Psychology,5,23.4,20.0,8.9,11.4,16.0,9.4,25.5,15.6,20.2,18.2,6.8
3834,r026,Number of early career doctorates for whom the item was applicable (denominator) -> Field of doctoral degree -> Science and engineering -> Psychology and social sciences -> Social sciences,Number of early career doctorates for whom the item was applicable (denominator),Field of doctoral degree,Science and engineering,Psychology and social sciences,Social sciences,5,18.7,15.4,10.1,13.5,22.1,4.9,25.5,11.5,18.3,19.1,5.3
3834,r027,Number of early career doctorates for whom the item was applicable (denominator) -> Field of doctoral degree -> Health,Number of early career doctorates for whom the item was applicable (denominator),Field of doctoral degree,Health,,,3,27.1,13.5,12.6,14.2,28.9,11.9,19.6,10.8,16.2,20.7,4.6
3834,r028,Number of early career doctorates for whom the item was applicable (denominator) -> Field of doctoral degree -> Non-science and engineering,Number of early career doctorates for whom the item was applicable (denominator),Field of doctoral degree,Non-science and engineering,,,3,22.9,14.1,11.1,13.4,23.0,9.3,22.5,10.8,12.9,17.9,9.7
3834,r029,Number of early career doctorates for whom the item was applicable (denominator) -> Field of doctoral degree -> Non-science and engineering -> Education,Number of early career doctorates for whom the item was applicable (denominator),Field of doctoral degree,Non-science and engineering,Education,,4,28.4,15.2,12.2,14.9,21.8,9.9,24.5,10.6,10.4,18.6,9.8
3834,r030,Number of early career doctorates for whom the item was applicable (denominator) -> Field of doctoral degree -> Non-science and engineering -> Humanities,Number of early career doctorates for whom the item was applicable (denominator),Field of doctoral degree,Non-science and engineering,Humanities,,4,20.9,11.4,9.5,11.6,19.8,8.4,26.9,10.8,12.5,15.7,9.7
3834,r031,Number of early career doctorates for whom the item was applicable (denominator) -> Field of doctoral degree -> Non-science and engineering -> Other non-science and engineering,Number of early career doctorates for whom the item was applicable (denominator),Field of doctoral degree,Non-science and engineering,Other non-science and engineering,,4,19.4,15.1,11.2,13.3,26.1,8.9,17.9,11.0,15.1,18.6,9.7
