table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_level_6,budget_function_and_agency_hierarchy_depth,field_2022_actual,field_2023_preliminary,field_2024_proposed,field_2022_23_change_,field_2023_24_change_
10430,r026,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Defense agencies",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts,Defense agencies,,5,21464,24046,24078,12.0,0.1
10430,r027,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Defense agencies -> Defense Advanced Research Projects Agency",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts,Defense agencies,Defense Advanced Research Projects Agency,6,3868,4061,4388,5.0,8.1
10430,r028,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Defense agencies -> Missile Defense Agency",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts,Defense agencies,Missile Defense Agency,6,7266,8293,8721,14.1,5.2
10430,r029,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Defense agencies -> Other defense agencies",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts,Defense agencies,Other defense agencies,6,10330,11692,10968,13.2,-6.2
10430,r030,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Department of the Air Force",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts,Department of the Air Force,,5,18446,21194,22736,14.9,7.3
10430,r031,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Space Force",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts,Space Force,,5,5948,10032,11589,68.7,15.5
10430,r032,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Department of the Army",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts,Department of the Army,,5,13136,15767,14586,20.0,-7.5
10430,r033,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Department of the Navy",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts,Department of the Navy,,5,16460,19758,20540,20.0,4.0
10430,r034,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Operational Test and Evaluation",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts,Operational Test and Evaluation,,5,277,446,331,61.3,-25.7
10430,r035,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> Other military funding<sup>a</sup>",R&D and R&D plant,R&D,"Department of Defense, military (051)",Other military funding<sup>a</sup>,,,4,3044,1076,964,-64.7,-10.4
10430,r036,R&D and R&D plant -> R&D -> Atomic energy defense activities (053),R&D and R&D plant,R&D,Atomic energy defense activities (053),,,,3,5071,5437,5571,7.2,2.5
10430,r037,R&D and R&D plant -> R&D -> Atomic energy defense activities (053) -> Department of Energy,R&D and R&D plant,R&D,Atomic energy defense activities (053),Department of Energy,,,4,5071,5437,5571,7.2,2.5
10430,r038,R&D and R&D plant -> R&D -> Atomic energy defense activities (053) -> Department of Energy -> Defense environmental cleanup,R&D and R&D plant,R&D,Atomic energy defense activities (053),Department of Energy,Defense environmental cleanup,,5,33,43,33,30.3,-23.3
10430,r039,R&D and R&D plant -> R&D -> Atomic energy defense activities (053) -> Department of Energy -> Naval reactors development,R&D and R&D plant,R&D,Atomic energy defense activities (053),Department of Energy,Naval reactors development,,5,807,841,952,4.2,13.2
10430,r040,R&D and R&D plant -> R&D -> Atomic energy defense activities (053) -> Department of Energy -> Nonproliferation,R&D and R&D plant,R&D,Atomic energy defense activities (053),Department of Energy,Nonproliferation,,5,487,514,501,5.5,-2.5
10430,r041,R&D and R&D plant -> R&D -> Atomic energy defense activities (053) -> Department of Energy -> Weapons activities,R&D and R&D plant,R&D,Atomic energy defense activities (053),Department of Energy,Weapons activities,,5,3744,4039,4085,7.9,1.1
10430,r042,R&D and R&D plant -> R&D -> Defense-related activities (054),R&D and R&D plant,R&D,Defense-related activities (054),,,,3,12,9,4,-25.0,-55.6
10430,r043,"R&D and R&D plant -> R&D -> Defense-related activities (054) -> Department of Justice, Federal Bureau of Investigation",R&D and R&D plant,R&D,Defense-related activities (054),"Department of Justice, Federal Bureau of Investigation",,,4,2,2,2,0.0,0.0
10430,r044,"R&D and R&D plant -> R&D -> Defense-related activities (054) -> Department of Homeland Security, Cybersecurity and Infrastructure Security Agency",R&D and R&D plant,R&D,Defense-related activities (054),"Department of Homeland Security, Cybersecurity and Infrastructure Security Agency",,,4,10,7,2,-30.0,-71.4
