table_id,row_id,_b_state_outlying_area_and_institution_b_full_path,_b_state_outlying_area_and_institution_b_level_1,_b_state_outlying_area_and_institution_b_level_2,_b_state_outlying_area_and_institution_b_level_3,_b_state_outlying_area_and_institution_b_hierarchy_depth,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_and_equipment_for_instruction_in_s_e,field_s_e_fellowships_traineeships_and_training_grants,field_other_general_support_for_s_e
11221,r030,"All states and outlying areas -> Arizona -> Midwestern U., Glendale",All states and outlying areas,Arizona,"Midwestern U., Glendale",3,1305,1305,0,0,0,0
11221,r031,All states and outlying areas -> Arizona -> Northern Arizona U.,All states and outlying areas,Arizona,Northern Arizona U.,3,45138,43985,0,0,1153,0
11221,r032,All states and outlying areas -> Arizona -> Pima Community C.,All states and outlying areas,Arizona,Pima Community C.,3,267,245,0,0,21,0
11221,r033,All states and outlying areas -> Arizona -> Tohono O'odham Community C.,All states and outlying areas,Arizona,Tohono O'odham Community C.,3,998,298,0,0,587,114
11221,r034,All states and outlying areas -> Arizona -> U. Arizona,All states and outlying areas,Arizona,U. Arizona,3,364661,340488,4842,0,12725,6605
11221,r035,All states and outlying areas -> Arizona -> U. Phoenix,All states and outlying areas,Arizona,U. Phoenix,3,3,3,0,0,0,0
11221,r036,All states and outlying areas -> Arkansas,All states and outlying areas,Arkansas,,2,166656,129614,18436,0,6454,12151
11221,r037,All states and outlying areas -> Arkansas -> Arkansas Colleges of Health Education,All states and outlying areas,Arkansas,Arkansas Colleges of Health Education,3,375,375,0,0,0,0
11221,r038,"All states and outlying areas -> Arkansas -> Arkansas State U., Jonesboro",All states and outlying areas,Arkansas,"Arkansas State U., Jonesboro",3,3848,1054,586,0,2208,0
11221,r039,All states and outlying areas -> Arkansas -> Harding U.,All states and outlying areas,Arkansas,Harding U.,3,111,111,0,0,0,0
11221,r040,All states and outlying areas -> Arkansas -> North Arkansas C.,All states and outlying areas,Arkansas,North Arkansas C.,3,1210,279,0,0,931,0
11221,r041,All states and outlying areas -> Arkansas -> Ouachita Baptist U.,All states and outlying areas,Arkansas,Ouachita Baptist U.,3,150,150,0,0,0,0
11221,r042,All states and outlying areas -> Arkansas -> U. Arkansas for Medical Sciences,All states and outlying areas,Arkansas,U. Arkansas for Medical Sciences,3,70469,61640,7975,0,854,0
11221,r043,"All states and outlying areas -> Arkansas -> U. Arkansas, Fayetteville",All states and outlying areas,Arkansas,"U. Arkansas, Fayetteville",3,57134,39246,9875,0,50,7964
11221,r044,"All states and outlying areas -> Arkansas -> U. Arkansas, Little Rock",All states and outlying areas,Arkansas,"U. Arkansas, Little Rock",3,2250,2090,0,0,160,0
11221,r045,"All states and outlying areas -> Arkansas -> U. Arkansas, Pine Bluff",All states and outlying areas,Arkansas,"U. Arkansas, Pine Bluff",3,7437,6686,0,0,750,0
11221,r046,"All states and outlying areas -> Arkansas -> U. Arkansas, System Office",All states and outlying areas,Arkansas,"U. Arkansas, System Office",3,23620,17970,0,0,1461,4188
11221,r047,All states and outlying areas -> Arkansas -> U. Central Arkansas,All states and outlying areas,Arkansas,U. Central Arkansas,3,51,12,0,0,39,0
11221,r048,All states and outlying areas -> California,All states and outlying areas,California,,2,6097377,5822928,21815,1033,205005,46596
11221,r049,All states and outlying areas -> California -> Allan Hancock C.,All states and outlying areas,California,Allan Hancock C.,3,1042,0,0,0,1042,0
11221,r050,All states and outlying areas -> California -> Bakersfield C.,All states and outlying areas,California,Bakersfield C.,3,200,184,0,0,16,0
11221,r051,All states and outlying areas -> California -> C. Canyons,All states and outlying areas,California,C. Canyons,3,646,129,0,0,517,0
11221,r052,All states and outlying areas -> California -> California Community Colleges,All states and outlying areas,California,California Community Colleges,3,30,30,0,0,0,0
11221,r053,All states and outlying areas -> California -> California Institute of Technology,All states and outlying areas,California,California Institute of Technology,3,254732,251220,1312,0,1693,506
11221,r054,All states and outlying areas -> California -> California Lutheran U.,All states and outlying areas,California,California Lutheran U.,3,1124,324,0,0,801,0
11221,r055,"All states and outlying areas -> California -> California Polytechnic State U., San Luis Obispo",All states and outlying areas,California,"California Polytechnic State U., San Luis Obispo",3,6976,5767,0,0,1056,153
11221,r056,"All states and outlying areas -> California -> California State Polytechnic U., Pomona",All states and outlying areas,California,"California State Polytechnic U., Pomona",3,5102,3689,0,0,1413,0
11221,r057,All states and outlying areas -> California -> California State U. Maritime Academy,All states and outlying areas,California,California State U. Maritime Academy,3,1591,0,0,1000,404,187
11221,r058,"All states and outlying areas -> California -> California State U., Bakersfield",All states and outlying areas,California,"California State U., Bakersfield",3,1843,757,520,0,296,270
11221,r059,"All states and outlying areas -> California -> California State U., Channel Islands",All states and outlying areas,California,"California State U., Channel Islands",3,847,847,0,0,0,0
11221,r060,"All states and outlying areas -> California -> California State U., Chico",All states and outlying areas,California,"California State U., Chico",3,1179,597,582,0,0,0
11221,r061,"All states and outlying areas -> California -> California State U., Dominguez Hills",All states and outlying areas,California,"California State U., Dominguez Hills",3,3833,3557,0,0,272,5
11221,r062,"All states and outlying areas -> California -> California State U., East Bay",All states and outlying areas,California,"California State U., East Bay",3,2100,1751,0,0,349,0
11221,r063,"All states and outlying areas -> California -> California State U., Fresno",All states and outlying areas,California,"California State U., Fresno",3,7403,3660,97,0,3021,626
11221,r064,"All states and outlying areas -> California -> California State U., Fullerton",All states and outlying areas,California,"California State U., Fullerton",3,6971,6487,0,0,484,0
11221,r065,"All states and outlying areas -> California -> California State U., Long Beach",All states and outlying areas,California,"California State U., Long Beach",3,12286,10768,0,0,1064,454
11221,r066,"All states and outlying areas -> California -> California State U., Los Angeles",All states and outlying areas,California,"California State U., Los Angeles",3,7841,5606,0,0,2204,32
11221,r067,"All states and outlying areas -> California -> California State U., Monterey Bay",All states and outlying areas,California,"California State U., Monterey Bay",3,2751,1977,0,0,774,0
11221,r068,"All states and outlying areas -> California -> California State U., Northridge",All states and outlying areas,California,"California State U., Northridge",3,19020,16543,0,0,2477,0
11221,r069,"All states and outlying areas -> California -> California State U., Sacramento",All states and outlying areas,California,"California State U., Sacramento",3,3533,2647,203,0,684,0
11221,r070,"All states and outlying areas -> California -> California State U., San Bernardino",All states and outlying areas,California,"California State U., San Bernardino",3,6179,4736,0,0,1443,0
11221,r071,"All states and outlying areas -> California -> California State U., San Marcos",All states and outlying areas,California,"California State U., San Marcos",3,5117,4380,0,0,725,12
11221,r072,"All states and outlying areas -> California -> California State U., Stanislaus",All states and outlying areas,California,"California State U., Stanislaus",3,520,498,0,0,22,0
11221,r073,"All states and outlying areas -> California -> California State U., system office",All states and outlying areas,California,"California State U., system office",3,97,89,0,0,8,0
11221,r074,All states and outlying areas -> California -> Cerritos C.,All states and outlying areas,California,Cerritos C.,3,429,149,0,0,280,0
11221,r075,All states and outlying areas -> California -> Chapman U.,All states and outlying areas,California,Chapman U.,3,8432,8094,0,0,339,0
11221,r076,All states and outlying areas -> California -> Charles R. Drew U. Medicine and Science,All states and outlying areas,California,Charles R. Drew U. Medicine and Science,3,7859,7859,0,0,0,0
11221,r077,All states and outlying areas -> California -> Citrus C.,All states and outlying areas,California,Citrus C.,3,187,187,0,0,0,0
11221,r078,All states and outlying areas -> California -> Claremont Graduate U.,All states and outlying areas,California,Claremont Graduate U.,3,157,157,0,0,0,0
11221,r079,All states and outlying areas -> California -> Claremont McKenna C.,All states and outlying areas,California,Claremont McKenna C.,3,566,562,0,0,3,0
11221,r080,"All states and outlying areas -> California -> Coast Community C., district office",All states and outlying areas,California,"Coast Community C., district office",3,1486,371,0,0,1114,0
11221,r081,All states and outlying areas -> California -> Feather River Community C. District,All states and outlying areas,California,Feather River Community C. District,3,750,188,0,0,563,0
11221,r082,All states and outlying areas -> California -> Fielding Graduate U.,All states and outlying areas,California,Fielding Graduate U.,3,1362,407,0,0,955,0
11221,r083,"All states and outlying areas -> California -> Foothill-De Anza Community C. District, Foothill C.",All states and outlying areas,California,"Foothill-De Anza Community C. District, Foothill C.",3,526,105,0,0,421,0
11221,r084,All states and outlying areas -> California -> Harvey Mudd C.,All states and outlying areas,California,Harvey Mudd C.,3,1481,1387,0,0,94,0
11221,r085,All states and outlying areas -> California -> Humboldt State U.,All states and outlying areas,California,Humboldt State U.,3,953,739,0,0,178,36
11221,r086,All states and outlying areas -> California -> Keck Graduate Institute,All states and outlying areas,California,Keck Graduate Institute,3,1048,1048,0,0,0,0
11221,r087,All states and outlying areas -> California -> Loma Linda U.,All states and outlying areas,California,Loma Linda U.,3,9451,9451,0,0,0,0
11221,r088,"All states and outlying areas -> California -> Los Angeles Community C. District, Los Angeles Harbor C.",All states and outlying areas,California,"Los Angeles Community C. District, Los Angeles Harbor C.",3,350,70,0,0,280,0
11221,r089,"All states and outlying areas -> California -> Los Angeles Community C. District, Pierce C.",All states and outlying areas,California,"Los Angeles Community C. District, Pierce C.",3,400,368,0,0,32,0
11221,r090,All states and outlying areas -> California -> Loyola Marymount U.,All states and outlying areas,California,Loyola Marymount U.,3,763,763,0,0,0,0
11221,r091,All states and outlying areas -> California -> Menlo C.,All states and outlying areas,California,Menlo C.,3,200,184,0,0,16,0
11221,r092,All states and outlying areas -> California -> Merced Community C. District,All states and outlying areas,California,Merced Community C. District,3,750,188,0,0,563,0
11221,r093,All states and outlying areas -> California -> Monterey Peninsula C.,All states and outlying areas,California,Monterey Peninsula C.,3,437,108,0,0,329,0
11221,r094,All states and outlying areas -> California -> Mount Saint Mary's U.,All states and outlying areas,California,Mount Saint Mary's U.,3,1496,374,0,0,1122,0
11221,r095,All states and outlying areas -> California -> National Physical Science Consortium,All states and outlying areas,California,National Physical Science Consortium,3,668,423,0,0,0,245
11221,r096,All states and outlying areas -> California -> Naval Postgraduate School,All states and outlying areas,California,Naval Postgraduate School,3,35126,35126,0,0,0,0
11221,r097,All states and outlying areas -> California -> North Orange County Community C. District,All states and outlying areas,California,North Orange County Community C. District,3,40,0,0,0,40,0
11221,r098,All states and outlying areas -> California -> Occidental C.,All states and outlying areas,California,Occidental C.,3,514,514,0,0,0,0
11221,r099,All states and outlying areas -> California -> Palo Alto U.,All states and outlying areas,California,Palo Alto U.,3,185,185,0,0,0,0
11221,r100,"All states and outlying areas -> California -> Pepperdine U., Malibu",All states and outlying areas,California,"Pepperdine U., Malibu",3,2441,2401,0,0,0,40
11221,r101,All states and outlying areas -> California -> Pomona C.,All states and outlying areas,California,Pomona C.,3,750,710,0,0,40,0
11221,r102,"All states and outlying areas -> California -> Rancho Santiago Community C. District, Santa Ana",All states and outlying areas,California,"Rancho Santiago Community C. District, Santa Ana",3,350,70,0,0,280,0
11221,r103,All states and outlying areas -> California -> Rio Hondo C.,All states and outlying areas,California,Rio Hondo C.,3,1504,1021,0,0,484,0
11221,r104,All states and outlying areas -> California -> Riverside Community C. District,All states and outlying areas,California,Riverside Community C. District,3,1538,375,0,0,1163,0
11221,r105,All states and outlying areas -> California -> Saddleback C.,All states and outlying areas,California,Saddleback C.,3,2584,1459,0,0,1125,0
11221,r106,All states and outlying areas -> California -> Saint Mary's C. California,All states and outlying areas,California,Saint Mary's C. California,3,636,596,0,0,40,0
11221,r107,All states and outlying areas -> California -> Samuel Merritt U.,All states and outlying areas,California,Samuel Merritt U.,3,1364,0,0,0,1364,0
11221,r108,"All states and outlying areas -> California -> San Diego Community C., district office",All states and outlying areas,California,"San Diego Community C., district office",3,183,183,0,0,0,0
11221,r109,"All states and outlying areas -> California -> San Diego State U., San Diego",All states and outlying areas,California,"San Diego State U., San Diego",3,58746,54927,0,0,3819,0
11221,r110,All states and outlying areas -> California -> San Francisco State U.,All states and outlying areas,California,San Francisco State U.,3,13031,8945,0,0,3834,252
11221,r111,All states and outlying areas -> California -> San Jose State U.,All states and outlying areas,California,San Jose State U.,3,19833,18543,0,0,952,339
11221,r112,"All states and outlying areas -> California -> San Jose-Evergreen Community C. District, Evergreen Valley C.",All states and outlying areas,California,"San Jose-Evergreen Community C. District, Evergreen Valley C.",3,750,187,0,0,562,0
11221,r113,All states and outlying areas -> California -> San Mateo County Community C. District,All states and outlying areas,California,San Mateo County Community C. District,3,1499,375,0,0,1124,0
11221,r114,All states and outlying areas -> California -> Santa Clara U.,All states and outlying areas,California,Santa Clara U.,3,1310,979,332,0,0,0
11221,r115,All states and outlying areas -> California -> Santa Monica C.,All states and outlying areas,California,Santa Monica C.,3,434,148,0,0,286,0
11221,r116,All states and outlying areas -> California -> Scripps C.,All states and outlying areas,California,Scripps C.,3,403,403,0,0,0,0
11221,r117,"All states and outlying areas -> California -> Scripps Research Institute, The",All states and outlying areas,California,"Scripps Research Institute, The",3,281562,275052,3870,0,2040,600
11221,r118,All states and outlying areas -> California -> Sonoma State U.,All states and outlying areas,California,Sonoma State U.,3,1126,1078,0,0,48,0
11221,r119,All states and outlying areas -> California -> Southern California U. Health Sciences,All states and outlying areas,California,Southern California U. Health Sciences,3,460,460,0,0,0,0
11221,r120,"All states and outlying areas -> California -> Southwestern C., Chula Vista",All states and outlying areas,California,"Southwestern C., Chula Vista",3,650,130,0,0,520,0
11221,r121,All states and outlying areas -> California -> Stanford U.,All states and outlying areas,California,Stanford U.,3,796224,778508,0,0,16777,939
11221,r122,All states and outlying areas -> California -> State Center Community C. District,All states and outlying areas,California,State Center Community C. District,3,500,0,0,0,250,250
11221,r123,"All states and outlying areas -> California -> U. California, Berkeley",All states and outlying areas,California,"U. California, Berkeley",3,273226,256347,1642,0,9349,5887
11221,r124,"All states and outlying areas -> California -> U. California, Cooperative Extension",All states and outlying areas,California,"U. California, Cooperative Extension",3,2397,2397,0,0,0,0
11221,r125,"All states and outlying areas -> California -> U. California, Davis",All states and outlying areas,California,"U. California, Davis",3,399989,379098,536,0,13421,6934
11221,r126,"All states and outlying areas -> California -> U. California, Irvine",All states and outlying areas,California,"U. California, Irvine",3,283095,270806,2930,0,7927,1433
11221,r127,"All states and outlying areas -> California -> U. California, Los Angeles",All states and outlying areas,California,"U. California, Los Angeles",3,756368,737785,0,0,16012,2572
11221,r128,"All states and outlying areas -> California -> U. California, Merced",All states and outlying areas,California,"U. California, Merced",3,22829,19234,280,0,3059,256
11221,r129,"All states and outlying areas -> California -> U. California, Office of the President",All states and outlying areas,California,"U. California, Office of the President",3,149362,132923,0,0,1846,14593
11221,r130,"All states and outlying areas -> California -> U. California, Riverside",All states and outlying areas,California,"U. California, Riverside",3,100105,90382,660,0,6980,2083
11221,r131,"All states and outlying areas -> California -> U. California, San Diego",All states and outlying areas,California,"U. California, San Diego",3,879536,848318,5424,33,22031,3730
11221,r132,"All states and outlying areas -> California -> U. California, San Francisco",All states and outlying areas,California,"U. California, San Francisco",3,876442,836277,0,0,40165,0
11221,r133,"All states and outlying areas -> California -> U. California, Santa Barbara",All states and outlying areas,California,"U. California, Santa Barbara",3,169727,156306,2848,0,8804,1769
11221,r134,"All states and outlying areas -> California -> U. California, Santa Cruz",All states and outlying areas,California,"U. California, Santa Cruz",3,83506,80350,580,0,2563,12
11221,r135,All states and outlying areas -> California -> U. La Verne,All states and outlying areas,California,U. La Verne,3,235,235,0,0,0,0
11221,r136,All states and outlying areas -> California -> U. Pacific,All states and outlying areas,California,U. Pacific,3,1396,1396,0,0,0,0
11221,r137,All states and outlying areas -> California -> U. Redlands,All states and outlying areas,California,U. Redlands,3,249,249,0,0,0,0
11221,r138,All states and outlying areas -> California -> U. San Diego,All states and outlying areas,California,U. San Diego,3,4598,4589,0,0,0,9
11221,r139,All states and outlying areas -> California -> U. San Francisco,All states and outlying areas,California,U. San Francisco,3,3232,1999,0,0,1233,0
11221,r140,All states and outlying areas -> California -> U. Southern California,All states and outlying areas,California,U. Southern California,3,470720,458530,0,0,9818,2372
11221,r141,All states and outlying areas -> California -> Western U. Health Sciences,All states and outlying areas,California,Western U. Health Sciences,3,3666,3666,0,0,0,0
11221,r142,All states and outlying areas -> California -> Westmont C.,All states and outlying areas,California,Westmont C.,3,200,200,0,0,0,0
11221,r143,All states and outlying areas -> California -> Whittier C.,All states and outlying areas,California,Whittier C.,3,43,43,0,0,0,0
11221,r144,All states and outlying areas -> Colorado,All states and outlying areas,Colorado,,2,1203788,1137307,5733,0,47731,13017
11221,r145,All states and outlying areas -> Colorado -> Colorado C.,All states and outlying areas,Colorado,Colorado C.,3,532,495,0,0,37,0
11221,r146,All states and outlying areas -> Colorado -> Colorado Christian U.,All states and outlying areas,Colorado,Colorado Christian U.,3,55,1,0,0,54,0
11221,r147,All states and outlying areas -> Colorado -> Colorado Mesa U.,All states and outlying areas,Colorado,Colorado Mesa U.,3,704,0,0,0,704,0
11221,r148,All states and outlying areas -> Colorado -> Colorado School of Mines,All states and outlying areas,Colorado,Colorado School of Mines,3,37184,35287,0,0,1667,230
11221,r149,"All states and outlying areas -> Colorado -> Colorado State U., Fort Collins",All states and outlying areas,Colorado,"Colorado State U., Fort Collins",3,127973,113909,3193,0,4493,6378
11221,r150,"All states and outlying areas -> Colorado -> Colorado State U., Pueblo",All states and outlying areas,Colorado,"Colorado State U., Pueblo",3,6120,5959,0,0,161,0
11221,r151,"All states and outlying areas -> Colorado -> Colorado State U., system office",All states and outlying areas,Colorado,"Colorado State U., system office",3,26400,22185,0,0,0,4215
11221,r152,All states and outlying areas -> Colorado -> Colorado Theological Seminary,All states and outlying areas,Colorado,Colorado Theological Seminary,3,720,720,0,0,0,0
11221,r153,All states and outlying areas -> Colorado -> Fort Lewis C.,All states and outlying areas,Colorado,Fort Lewis C.,3,1387,1043,0,0,319,25
11221,r154,All states and outlying areas -> Colorado -> Front Range Community C.,All states and outlying areas,Colorado,Front Range Community C.,3,474,436,0,0,38,0
11221,r155,All states and outlying areas -> Colorado -> Metropolitan State U. Denver,All states and outlying areas,Colorado,Metropolitan State U. Denver,3,1765,935,0,0,830,0
11221,r156,All states and outlying areas -> Colorado -> Regis U.,All states and outlying areas,Colorado,Regis U.,3,749,250,0,0,499,0
11221,r157,All states and outlying areas -> Colorado -> U. Colorado Boulder,All states and outlying areas,Colorado,U. Colorado Boulder,3,798189,754809,2540,0,38811,2028
11221,r158,All states and outlying areas -> Colorado -> U. Corp. for Atmospheric Research,All states and outlying areas,Colorado,U. Corp. for Atmospheric Research,3,176701,176701,0,0,0,0
11221,r159,All states and outlying areas -> Colorado -> U. Denver,All states and outlying areas,Colorado,U. Denver,3,8790,8547,0,0,103,141
11221,r160,All states and outlying areas -> Colorado -> U. Northern Colorado,All states and outlying areas,Colorado,U. Northern Colorado,3,748,734,0,0,14,0
11221,r161,All states and outlying areas -> Colorado -> UNAVCO Inc.,All states and outlying areas,Colorado,UNAVCO Inc.,3,15197,15197,0,0,0,0
11221,r162,All states and outlying areas -> Colorado -> Western Colorado U.,All states and outlying areas,Colorado,Western Colorado U.,3,100,100,0,0,0,0
11221,r163,All states and outlying areas -> Connecticut,All states and outlying areas,Connecticut,,2,850709,785534,13632,0,41101,10443
11221,r164,All states and outlying areas -> Connecticut -> Central Connecticut State U.,All states and outlying areas,Connecticut,Central Connecticut State U.,3,75,75,0,0,0,0
11221,r165,All states and outlying areas -> Connecticut -> Connecticut Board of Regents for Higher Education,All states and outlying areas,Connecticut,Connecticut Board of Regents for Higher Education,3,4910,4127,0,0,783,0
11221,r166,All states and outlying areas -> Connecticut -> Connecticut C.,All states and outlying areas,Connecticut,Connecticut C.,3,223,223,0,0,0,0
11221,r167,All states and outlying areas -> Connecticut -> Eastern Connecticut State U.,All states and outlying areas,Connecticut,Eastern Connecticut State U.,3,5,5,0,0,0,0
11221,r168,All states and outlying areas -> Connecticut -> Fairfield U.,All states and outlying areas,Connecticut,Fairfield U.,3,1095,0,0,0,1095,0
11221,r169,All states and outlying areas -> Connecticut -> Goodwin U.,All states and outlying areas,Connecticut,Goodwin U.,3,1588,88,0,0,1500,0
11221,r170,All states and outlying areas -> Connecticut -> Sacred Heart U.,All states and outlying areas,Connecticut,Sacred Heart U.,3,6871,1997,0,0,4874,0
11221,r171,All states and outlying areas -> Connecticut -> Southern Connecticut State U.,All states and outlying areas,Connecticut,Southern Connecticut State U.,3,2548,1423,0,0,1125,0
11221,r172,"All states and outlying areas -> Connecticut -> Trinity C., Hartford",All states and outlying areas,Connecticut,"Trinity C., Hartford",3,1212,1212,0,0,0,0
11221,r173,All states and outlying areas -> Connecticut -> U. Bridgeport,All states and outlying areas,Connecticut,U. Bridgeport,3,796,384,0,0,412,0
11221,r174,All states and outlying areas -> Connecticut -> U. Connecticut,All states and outlying areas,Connecticut,U. Connecticut,3,194096,170193,11132,0,7204,5568
11221,r175,All states and outlying areas -> Connecticut -> U. New Haven,All states and outlying areas,Connecticut,U. New Haven,3,822,822,0,0,0,0
11221,r176,All states and outlying areas -> Connecticut -> U. of Saint Joseph,All states and outlying areas,Connecticut,U. of Saint Joseph,3,500,0,0,0,500,0
11221,r177,All states and outlying areas -> Connecticut -> Wesleyan U.,All states and outlying areas,Connecticut,Wesleyan U.,3,6432,6105,0,0,0,327
11221,r178,All states and outlying areas -> Connecticut -> Western Connecticut State U.,All states and outlying areas,Connecticut,Western Connecticut State U.,3,474,0,0,0,474,0
11221,r179,All states and outlying areas -> Connecticut -> Yale U.,All states and outlying areas,Connecticut,Yale U.,3,629061,598880,2500,0,23133,4547
11221,r180,All states and outlying areas -> Delaware,All states and outlying areas,Delaware,,2,178295,160126,1286,0,7681,9201
11221,r181,All states and outlying areas -> Delaware -> Delaware State U.,All states and outlying areas,Delaware,Delaware State U.,3,28400,22483,0,0,2869,3048
11221,r182,"All states and outlying areas -> Delaware -> Delaware Technical Community C., Dover",All states and outlying areas,Delaware,"Delaware Technical Community C., Dover",3,807,0,0,0,0,807
11221,r183,All states and outlying areas -> Delaware -> U. Delaware,All states and outlying areas,Delaware,U. Delaware,3,149088,137643,1286,0,4812,5347
11221,r184,All states and outlying areas -> District of Columbia,All states and outlying areas,District of Columbia,,2,599707,525083,47488,116,23492,3528
11221,r185,All states and outlying areas -> District of Columbia -> American U.,All states and outlying areas,District of Columbia,American U.,3,21963,21228,0,0,240,495
11221,r186,All states and outlying areas -> District of Columbia -> Association of Universities for Research in Astronomy,All states and outlying areas,District of Columbia,Association of Universities for Research in Astronomy,3,310227,262739,47488,0,0,0
11221,r187,"All states and outlying areas -> District of Columbia -> Catholic U. America, The",All states and outlying areas,District of Columbia,"Catholic U. America, The",3,21670,20785,0,0,886,0
11221,r188,All states and outlying areas -> District of Columbia -> Consortium for Ocean Leadership,All states and outlying areas,District of Columbia,Consortium for Ocean Leadership,3,650,650,0,0,0,0
11221,r189,All states and outlying areas -> District of Columbia -> Consortium of Universities of the Washington Metropolitan Area,All states and outlying areas,District of Columbia,Consortium of Universities of the Washington Metropolitan Area,3,4462,4462,0,0,0,0
11221,r190,All states and outlying areas -> District of Columbia -> Gallaudet U.,All states and outlying areas,District of Columbia,Gallaudet U.,3,7366,6208,0,0,1018,140
11221,r191,"All states and outlying areas -> District of Columbia -> George Washington U., The",All states and outlying areas,District of Columbia,"George Washington U., The",3,117199,109383,0,116,6584,1116
11221,r192,All states and outlying areas -> District of Columbia -> Georgetown U.,All states and outlying areas,District of Columbia,Georgetown U.,3,70116,60948,0,0,9168,0
11221,r193,All states and outlying areas -> District of Columbia -> Graduate School USA,All states and outlying areas,District of Columbia,Graduate School USA,3,8,8,0,0,0,0
