table_id,row_id,science_and_engineering_classification,major_occupational_code_and_label_n2ocprmg_n2ocmlst_,minor_occupational_code_and_label_n2ocprng_n2ocnlst_,detailed_occupational_code_and_label_n2ocpr_n2oclst_
3659,r043,,"['', '']","['48', 'Postsecondary teachers - social and related sciences']","['482780', 'Postsecondary teachers: Economics']"
3659,r044,,"['', '']","['', '']","['482900', 'Postsecondary teachers: Political science']"
3659,r045,,"['', '']","['', '']","['482910', 'Postsecondary teachers: Psychology']"
3659,r046,,"['', '']","['', '']","['482930', 'Postsecondary teachers: Sociology']"
3659,r047,,"['', '']","['', '']","['482980', 'Postsecondary teachers: Other social sciences']"
3659,r048,Engineering occupations,"['5', 'Engineers']","['51', 'Aerospace, aeronautical or astronautical engineers']","['510820', 'Aeronautical, aerospace and astronautical engineers ']"
3659,r049,,"['', '']","['52', 'Chemical engineers']","['520850', 'Chemical engineers ']"
3659,r050,,"['', '']","['53', 'Civil, architectural or sanitary engineers']","['530860', 'Civil engineers, including architectural and sanitary ']"
3659,r051,,"['', '']","['54', 'Electrical or computer hardware engineers']","['540870', 'Computer engineers, hardware ']"
3659,r052,,"['', '']","['', '']","['540890', 'Electrical and electronics engineers ']"
3659,r053,,"['', '']","['55', 'Industrial engineers']","['550910', 'Industrial engineers']"
3659,r054,,"['', '']","['56', 'Mechanical engineers']","['560940', 'Mechanical engineers ']"
3659,r055,,"['', '']","['57', 'Other engineers']","['570830', 'Agricultural engineers ']"
3659,r056,,"['', '']","['', '']","['570840', 'Bioengineers or biomedical engineers ']"
3659,r057,,"['', '']","['', '']","['570900', 'Environmental engineers ']"
3659,r058,,"['', '']","['', '']","['570920', 'Marine engineers and naval architects ']"
3659,r059,,"['', '']","['', '']","['570930', 'Materials and metallurgical engineers ']"
3659,r060,,"['', '']","['', '']","['570950', 'Mining and geological engineers ']"
3659,r061,,"['', '']","['', '']","['570960', 'Nuclear engineers ']"
3659,r062,,"['', '']","['', '']","['570970', 'Petroleum engineers ']"
3659,r063,,"['', '']","['', '']","['570980', 'Sales engineers ']"
3659,r064,,"['', '']","['', '']","['570990', 'Other engineers ']"
3659,r065,,"['', '']","['58', 'Postsecondary teachers - engineering']","['582800', 'Postsecondary teachers: Engineering']"
3659,r066,Science/  engineering related occupations,"['6', 'S&E related occupations']","['61', 'Health-related occupations']","['611110', 'Diagnosing and treating practitioners']"
3659,r067,,"['', '']","['', '']","['611120', 'Registered nurses, pharmacists, dieticians, therapists, physician assistants, nurse practitioners']"
3659,r068,,"['', '']","['', '']","['611130', 'Health technologists and technicians ']"
3659,r069,,"['', '']","['', '']","['611140', 'Other health occupations ']"
3659,r070,,"['', '']","['', '']","['612870', 'Postsecondary teachers, health and related sciences ']"
3659,r071,,"['', '']","['62', 'S&E managers']","['621420', 'Computer and information systems managers']"
3659,r072,,"['', '']","['', '']","['621430', 'Engineering managers']"
3659,r073,,"['', '']","['', '']","['621440', 'Medical and health services managers']"
3659,r074,,"['', '']","['', '']","['621450', 'Natural sciences managers']"
3659,r075,,"['', '']","['63', 'S&E Pre-college Teachers']","['632530', 'Teachers: Secondary - computer, math or sciences']"
3659,r076,,"['', '']","['', 'S&E Pre-college Teachers']","['632540', 'Teachers: Secondary - social sciences']"
3659,r077,,"['', '']","['64', 'S&E technicians and technologists']","['640260', 'Technologists and technicians, biological and life sciences ']"
3659,r078,,"['', '']","['', '']","['640530', 'Computer programmers, business, scientific, and process control']"
3659,r079,,"['', '']","['', '']","['641000', 'Electrical, electronic, industrial, and mechanical technicians ']"
3659,r080,,"['', '']","['', '']","['641010', 'Drafting occupations, including computer drafting']"
3659,r081,,"['', '']","['', '']","['641020', 'Surveying and mapping technicians ']"
3659,r082,,"['', '']","['', '']","['641030', 'Other engineers, technologists, and technicians ']"
3659,r083,,"['', '']","['', '']","['641040', 'Surveyors, cartographers, and photogrammetrists']"
3659,r084,,"['', '']","['', '']","['641750', 'Technologists and technicians, mathematical sciences']"
3659,r085,,"['', '']","['', '']","['641970', 'Technologists and technicians, physical sciences']"
3659,r086,,"['', '']","['65', 'Other S&E-related occupations']","['650810', 'Architects']"
3659,r087,,"['', '']","['', '']","['651710', 'Actuaries']"
3659,r088,Non-science/  non-engineering occupations,"['7', 'Non-S&E occupations']","['71', 'Non-S&E Managers']","['711410', 'Top-level managers, executives, and administrators']"
3659,r089,,"['', '']","['', '']","['711460', 'Education administrators']"
3659,r090,,"['', '']","['', '']","['711470', 'Other mid-level managers']"
3659,r091,,"['', '']","['72', 'Management-related occupations']","['721510', 'Accountants, auditors, and other financial specialists']"
3659,r092,,"['', '']","['', '']","['721520', 'Personnel, training, and labor relations specialists']"
3659,r093,,"['', '']","['', '']","['721530', 'Other management-related occupations ']"
3659,r094,,"['', '']","['73', 'Non-S&E precollege teachers']","['732510', 'Teachers: Pre-kindergarten and kindergarten']"
3659,r095,,"['', '']","['', '']","['732520', 'Teachers: Elementary']"
3659,r096,,"['', '']","['', '']","['732550', 'Teachers: Secondary - other subjects']"
3659,r097,,"['', '']","['', '']","['732560', 'Teachers: Special education - primary and secondary']"
3659,r098,,"['', '']","['', '']","['732570', 'Teachers: Other precollegiate area']"
3659,r099,,"['', '']","['74', 'Non-S&E postsecondary teachers']","['742720', 'Postsecondary teachers: Art, drama, and music']"
3659,r100,,"['', '']","['', '']","['742740', 'Postsecondary teachers: Business commerce and marketing']"
3659,r101,,"['', '']","['', '']","['742790', 'Postsecondary teachers: Education']"
3659,r102,,"['', '']","['', '']","['742810', 'Postsecondary teachers: English']"
3659,r103,,"['', '']","['', '']","['742820', 'Postsecondary teachers: Foreign language']"
3659,r104,,"['', '']","['', '']","['742830', 'Postsecondary teachers: History']"
3659,r105,,"['', '']","['', '']","['742880', 'Postsecondary teachers: Physical education']"
3659,r106,,"['', '']","['', '']","['742990', 'Postsecondary teachers: Other postsecondary fields']"
3659,r107,,"['', '']","['75', 'Social services and related occupations']","['750400', 'Clergy and other religious workers']"
3659,r108,,"['', '']","['', '']","['750700', 'Counselors, educational, vocational, mental health, and  substance abuse']"
3659,r109,,"['', '']","['', '']","['752400', 'Social workers']"
3659,r110,,"['', '']","['76', 'Sales and marketing occupations']","['762000', 'Insurance, securities, real estate, and business services']"
3659,r111,,"['', '']","['', '']","['762010', 'Sales occupations, commodities, except retail ']"
3659,r112,,"['', '']","['', '']","['762020', 'Sales occupations, retail ']"
3659,r113,,"['', '']","['', '']","['762030', 'Other marketing and sales occupations ']"
3659,r114,,"['', '']","['77', 'Art, humanities and related occupations']","['770100', 'Writers, editors, public relations specialists, artists, entertainers, and broadcasters']"
3659,r115,,"['', '']","['', '']","['772330', 'Historians']"
3659,r116,,"['', '']","['78', 'Other non-S&E occupations']","['780310', 'Accounting clerks, and bookkeepers ']"
3659,r117,,"['', '']","['', '']","['780320', 'Secretaries, receptionists, and typists ']"
3659,r118,,"['', '']","['', '']","['780330', 'Other administrative occupations']"
3659,r119,,"['', '']","['', '']","['781100', 'Farmers, foresters, and fishermen ']"
3659,r120,,"['', '']","['', '']","['781200', 'Lawyers and judges ']"
3659,r121,,"['', '']","['', '']","['781300', 'Librarians, archivists, and curators ']"
3659,r122,,"['', '']","['', '']","['782210', 'Food preparation and service occupations']"
3659,r123,,"['', '']","['', '']","['782220', 'Protective services ']"
3659,r124,,"['', '']","['', '']","['782230', 'Other service occupations, except health ']"
3659,r125,,"['', '']","['', '']","['783000', 'Other teachers and instructors']"
3659,r126,,"['', '']","['', '']","['784010', 'Construction and extraction occupations ']"
3659,r127,,"['', '']","['', '']","['784020', 'Installation, maintenance, and repair occupations ']"
3659,r128,,"['', '']","['', '']","['784030', 'Precision/  production occupations ']"
3659,r129,,"['', '']","['', '']","['784050', 'Transportation and material moving occupations ']"
3659,r130,,"['', '']","['', '']","['785000', 'Other occupations ']"
