table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_paid_for_by_the_company_total,field_paid_for_by_the_company_r_d_performed_by_others_purchased_and_collaborative_r_d_,field_paid_for_by_the_company_r_d_performed_by_the_company,field_paid_for_by_others_total,field_paid_for_by_others_r_d_performed_by_others_subcontracted_or_passed_through_r_d_costs_,field_paid_for_by_others_r_d_performed_by_the_company_total,field_paid_for_by_others_r_d_performed_by_the_company_paid_for_by_the_u_s_government,field_paid_for_by_others_r_d_performed_by_the_company_paid_for_by_non_u_s_government_sources
2077,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['23,851', '  ']","['2,714', '  ']","['21,137', '  ']","['2,869', '  ']","['124', '  ']","['2,745', '  ']","['0 - 2,745', '  ']","['0 - 2,745', '  ']"
2077,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['12,573', '  ']","['670', '  ']","['11,903', '  ']","['16,940', 'i ']","['2,460', 'i ']","['14,480', 'i ']","['11,259 - 13,070', 'i ']","['1,410 - 3,221', 'i ']"
2077,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['12,032', '  ']","['559', '  ']","['11,473', '  ']","['15,563', 'i ']","['2,460', 'i ']","['13,103', 'i ']","['9,905 - 11,715', 'i ']","['1,388 - 3,198', 'i ']"
2077,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['541', '  ']","['111', '  ']","['430', '  ']","['1,378', '  ']","['1', '  ']","['1,377', '  ']","['1,355', '  ']","['23', '  ']"
2077,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,"['5', '  ']","['1', '  ']","['4', '  ']","['5', '  ']","['0', '  ']","['5', '  ']","['2', '  ']","['3', '  ']"
2077,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['1,627', '  ']","['43', '  ']","['1,585', '  ']","['1,437', '  ']","['3', '  ']","['1,433', '  ']","['0 - 1,434', '  ']","['0 - 1,434', '  ']"
2077,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['439', '  ']","['19', '  ']","['419', '  ']","['3', '  ']","['*', '  ']","['3', '  ']","['1', 'i ']","['2', '  ']"
2077,r043,All industries -> Manufacturing industries -> Miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,,,3,339,"['16,444', '  ']","['1,034', '  ']","['15,410', '  ']","['319', '  ']","['35', '  ']","['285', '  ']","['27 - 42', '  ']","['242 - 258', '  ']"
2077,r044,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous manufacturing,Medical equipment and supplies,,4,3391,"['14,257', '  ']","['909', '  ']","['13,348', '  ']","['273', '  ']","['33', '  ']","['240', '  ']","['7 - 38', '  ']","['202 - 233', '  ']"
2077,r045,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,Other miscellaneous manufacturing,,4,3399,"['2,187', '  ']","['125', '  ']","['2,062', '  ']","['46', '  ']","['2', '  ']","['44', '  ']","['0 - 35', '  ']","['10 - 45', '  ']"
2077,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['126,400', '  ']","['3,519', '  ']","['122,881', '  ']","['22,163', '  ']","['2,170', '  ']","['19,993', '  ']","['5,388', '  ']","['14,604', '  ']"
2077,r047,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['3,141', '  ']","['300', '  ']","['2,841', '  ']","['308 - 315', '  ']","['0 - 6', '  ']","['309', '  ']","['0', '  ']","['309', '  ']"
2077,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['481', '  ']","['200', '  ']","['281', '  ']","['81', 'i ']","['45', '  ']","['36', 'i ']","['27', 'i ']","['9', '  ']"
2077,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['611', '  ']","['108', '  ']","['503', '  ']","['42', '  ']","['11', '  ']","['31', '  ']","['0', '  ']","['31', 'i ']"
2077,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['9,320', '  ']","['3', '  ']","['9,318', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2077,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['1,161', '  ']","['44', '  ']","['1,116', '  ']","['31', '  ']","['*', '  ']","['31', '  ']","['0', '  ']","['31', '  ']"
2077,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['80,711', '  ']","['1,814', '  ']","['78,898', '  ']","['1,437', '  ']","['83', '  ']","['1,354', '  ']","['98', '  ']","['1,256', '  ']"
2077,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['34,363', '  ']","['1,088', '  ']","['33,276', '  ']","['1,142', '  ']","['80', '  ']","['1,062', '  ']","['62', '  ']","['1,001', '  ']"
2077,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['84', '  ']","['10', '  ']","['74', '  ']","['*', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2077,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['34,279', '  ']","['1,078', '  ']","['33,201', '  ']","['1,142', '  ']","['80', '  ']","['1,062', '  ']","['62', '  ']","['1,001', '  ']"
2077,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['3,880', '  ']","['237', '  ']","['3,643', '  ']","['42 - 165', '  ']","['3', '  ']","['40 - 163', '  ']","['0 - 3', 'i ']","['37 - 163', '  ']"
2077,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['16,276', '  ']","['239', '  ']","['16,037', '  ']","['120', '  ']","['1', '  ']","['119', '  ']","['35', '  ']","['84', '  ']"
2077,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['26,193', '  ']","['250', '  ']","['25,943', '  ']","['11 - 134', '  ']","['0', '  ']","['11 - 134', '  ']","['0 - 3', 'i ']","['9 - 134', '  ']"
2077,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['7,927', '  ']","['362', '  ']","['7,565', '  ']","['51', '  ']","['0', '  ']","['51', '  ']","['0', '  ']","['51', '  ']"
2077,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['712', '  ']","['4', 'i ']","['708', '  ']","['11', '  ']","['1', '  ']","['10', '  ']","['0', '  ']","['10', '  ']"
2077,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['141', 'i ']","['2', 'i ']","['138', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2077,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['571', '  ']","['1', '  ']","['570', '  ']","['11', '  ']","['1', '  ']","['10', '  ']","['0', '  ']","['10', '  ']"
2077,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['19,529', '  ']","['557', '  ']","['18,972', '  ']","['19,943', '  ']","['1,992', '  ']","['17,951', '  ']","['5,256', '  ']","['12,695', '  ']"
2077,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['1,646', '  ']","['85', '  ']","['1,561', '  ']","['1,462', '  ']","['315', '  ']","['1,147', '  ']","['788', '  ']","['359', '  ']"
2077,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['11,789', '  ']","['120', '  ']","['11,669', '  ']","['1,695', '  ']","['37', '  ']","['1,658', '  ']","['995', '  ']","['663', '  ']"
2077,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['3,150', '  ']","['332', '  ']","['2,817', '  ']","['16,035', '  ']","['1,531', 'i ']","['14,504', '  ']","['3,200', '  ']","['11,304', '  ']"
2077,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,"['912', '  ']","['117', '  ']","['795', '  ']","['3,699', '  ']","['46', '  ']","['3,653', '  ']","['113', '  ']","['3,540', '  ']"
2077,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Physical, engineering, and life sciences (except biotechnology) research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Physical, engineering, and life sciences (except biotechnology) research and development",5,541712,"['2,151', '  ']","['216', '  ']","['1,936', '  ']","['11,306', '  ']","['1,328', 'i ']","['9,978', '  ']","['2,258', '  ']","['7,720', '  ']"
2077,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Social sciences and humanities research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Social sciences and humanities research and development,5,541720,"['86', '  ']","['*', '  ']","['86', '  ']","['1,030', '  ']","['157', '  ']","['873', '  ']","['830', '  ']","['43', '  ']"
2077,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['2,945', '  ']","['20', '  ']","['2,925', '  ']","['751', '  ']","['109', '  ']","['641', '  ']","['272', '  ']","['369', '  ']"
2077,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['991', '  ']","['34', 'i ']","['958', 'i ']","['143 - 150', 'i ']","['0 - 6', '  ']","['144', '  ']","['5', 'i ']","['139', 'i ']"
2077,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['1,815', '  ']","['93', '  ']","['1,722', '  ']","['111', '  ']","['35', '  ']","['76', '  ']","['2', '  ']","['74', '  ']"
2077,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['381,739', '  ']","['42,704', '  ']","['339,036', '  ']","['70,854', '  ']","['9,789', 'i ']","['61,065', '  ']","['24,277', 'i ']","['36,787', '  ']"
2077,r074,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2077,r075,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>a</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>a</sup>,,,3,–,"['2,852', '  ']","['449', '  ']","['2,402', '  ']","['1,036', '  ']","['127', '  ']","['909', '  ']","['485', '  ']","['424', '  ']"
2077,r076,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['8,838', '  ']","['1,245', '  ']","['7,593', '  ']","['2,156', '  ']","['314', '  ']","['1,842', '  ']","['605', '  ']","['1,237', '  ']"
2077,r077,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2077,r078,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['9,538', '  ']","['1,468', '  ']","['8,070', '  ']","['2,493', '  ']","['422', '  ']","['2,071', '  ']","['659', '  ']","['1,413', '  ']"
2077,r079,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['16,561', '  ']","['3,048', '  ']","['13,514', '  ']","['4,681', '  ']","['978', '  ']","['3,703', '  ']","['1,241', '  ']","['2,462', '  ']"
2077,r080,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2077,r081,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['12,962', '  ']","['1,189', '  ']","['11,773', '  ']","['2,647', '  ']","['317', '  ']","['2,331', '  ']","['592', '  ']","['1,739', '  ']"
2077,r082,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['18,532', '  ']","['2,237', '  ']","['16,295', '  ']","['1,822', '  ']","['246', '  ']","['1,576', '  ']","['221', '  ']","['1,355', '  ']"
2077,r083,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['60,698', '  ']","['8,357', '  ']","['52,341', '  ']","['14,705', '  ']","['1,933', 'i ']","['12,771', '  ']","['1,461', '  ']","['11,311', '  ']"
2077,r084,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['35,915', '  ']","['3,213', '  ']","['32,701', '  ']","['8,637', '  ']","['1,140', 'i ']","['7,497', '  ']","['1,525', '  ']","['5,972', '  ']"
