table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_all_othersa
5214,r022,"United States<sup>b</sup> -> Arizona -> Juvenile Corrections, Department of ",United States<sup>b</sup>,Arizona,"Juvenile Corrections, Department of ",3,559621,0,559621
5214,r023,"United States<sup>b</sup> -> Arizona -> Transportation, Department of",United States<sup>b</sup>,Arizona,"Transportation, Department of",3,1782836,1473269,309567
5214,r024,United States<sup>b</sup> -> Arkansas,United States<sup>b</sup>,Arkansas,,2,19921168,4966349,14954819
5214,r025,"United States<sup>b</sup> -> Arkansas -> Agriculture, Department of",United States<sup>b</sup>,Arkansas,"Agriculture, Department of",3,251460,0,251460
5214,r026,United States<sup>b</sup> -> Arkansas -> Beef Council,United States<sup>b</sup>,Arkansas,Beef Council,3,40223,0,40223
5214,r027,United States<sup>b</sup> -> Arkansas -> Corn and Grain Sorghum Board,United States<sup>b</sup>,Arkansas,Corn and Grain Sorghum Board,3,965000,0,965000
5214,r028,United States<sup>b</sup> -> Arkansas -> Economic Development Commission,United States<sup>b</sup>,Arkansas,Economic Development Commission,3,5446430,3449333,1997097
5214,r029,United States<sup>b</sup> -> Arkansas -> Game and Fish Commission,United States<sup>b</sup>,Arkansas,Game and Fish Commission,3,954281,946864,7417
5214,r030,United States<sup>b</sup> -> Arkansas -> Natural Heritage Commission,United States<sup>b</sup>,Arkansas,Natural Heritage Commission,3,274611,18065,256546
5214,r031,United States<sup>b</sup> -> Arkansas -> Rice Research and Promotion Board,United States<sup>b</sup>,Arkansas,Rice Research and Promotion Board,3,8623500,0,8623500
5214,r032,United States<sup>b</sup> -> Arkansas -> Soybean Promotion Board,United States<sup>b</sup>,Arkansas,Soybean Promotion Board,3,2625555,0,2625555
5214,r033,"United States<sup>b</sup> -> Arkansas -> Transportation, Department of",United States<sup>b</sup>,Arkansas,"Transportation, Department of",3,690108,552087,138021
5214,r034,United States<sup>b</sup> -> Arkansas -> Wheat Promotion Board,United States<sup>b</sup>,Arkansas,Wheat Promotion Board,3,50000,0,50000
5214,r035,United States<sup>b</sup> -> California,United States<sup>b</sup>,California,,2,533900597,22657670,511242927
5214,r036,United States<sup>b</sup> -> California -> Air Resources Board,United States<sup>b</sup>,California,Air Resources Board,3,16709642,0,16709642
5214,r037,United States<sup>b</sup> -> California -> Children and Families Commission (First 5 California),United States<sup>b</sup>,California,Children and Families Commission (First 5 California),3,3518680,0,3518680
5214,r038,"United States<sup>b</sup> -> California -> Conservation, Department of",United States<sup>b</sup>,California,"Conservation, Department of",3,1143000,190000,953000
5214,r039,"United States<sup>b</sup> -> California -> Corrections and Rehabilitation, Department of",United States<sup>b</sup>,California,"Corrections and Rehabilitation, Department of",3,1974791,0,1974791
5214,r040,United States<sup>b</sup> -> California -> Covered California,United States<sup>b</sup>,California,Covered California,3,3209181,0,3209181
5214,r041,United States<sup>b</sup> -> California -> Delta Stewardship Council,United States<sup>b</sup>,California,Delta Stewardship Council,3,5602379,1133461,4468918
5214,r042,United States<sup>b</sup> -> California -> Earthquake Authority,United States<sup>b</sup>,California,Earthquake Authority,3,2664000,0,2664000
5214,r043,United States<sup>b</sup> -> California -> Energy Commission,United States<sup>b</sup>,California,Energy Commission,3,219532543,0,219532543
5214,r044,"United States<sup>b</sup> -> California -> Environmental Health Hazard Assessment, Office of",United States<sup>b</sup>,California,"Environmental Health Hazard Assessment, Office of",3,19726954,0,19726954
5214,r045,"United States<sup>b</sup> -> California -> Food and Agriculture, Department of",United States<sup>b</sup>,California,"Food and Agriculture, Department of",3,4213376,298913,3914463
5214,r046,"United States<sup>b</sup> -> California -> Forestry and Fire Protection, Department of",United States<sup>b</sup>,California,"Forestry and Fire Protection, Department of",3,3500000,0,3500000
5214,r047,United States<sup>b</sup> -> California -> Horse Racing Board,United States<sup>b</sup>,California,Horse Racing Board,3,627442,0,627442
5214,r048,"United States<sup>b</sup> -> California -> Housing and Community Development, Department of",United States<sup>b</sup>,California,"Housing and Community Development, Department of",3,75000,0,75000
5214,r049,United States<sup>b</sup> -> California -> Institute for Regenerative Medicine,United States<sup>b</sup>,California,Institute for Regenerative Medicine,3,127546003,0,127546003
5214,r050,United States<sup>b</sup> -> California -> Mental Health Services Oversight and Accountability Commission,United States<sup>b</sup>,California,Mental Health Services Oversight and Accountability Commission,3,2500000,0,2500000
5214,r051,"United States<sup>b</sup> -> California -> Motor Vehicles, Department of",United States<sup>b</sup>,California,"Motor Vehicles, Department of",3,1401521,52964,1348557
5214,r052,"United States<sup>b</sup> -> California -> Pesticide Regulation, Department of ",United States<sup>b</sup>,California,"Pesticide Regulation, Department of ",3,14088416,109485,13978931
5214,r053,"United States<sup>b</sup> -> California -> Public Health, Department of",United States<sup>b</sup>,California,"Public Health, Department of",3,3370497,169,3370328
5214,r054,"United States<sup>b</sup> -> California -> Public Utilities Commission, Executive Division",United States<sup>b</sup>,California,"Public Utilities Commission, Executive Division",3,37000000,0,37000000
5214,r055,"United States<sup>b</sup> -> California -> Rehabilitation, Department of ",United States<sup>b</sup>,California,"Rehabilitation, Department of ",3,2814595,2814595,0
5214,r056,United States<sup>b</sup> -> California -> State Coastal Conservancy,United States<sup>b</sup>,California,State Coastal Conservancy,3,1620693,119114,1501579
5214,r057,United States<sup>b</sup> -> California -> State Water Resources Control Board,United States<sup>b</sup>,California,State Water Resources Control Board,3,17957684,1546120,16411564
5214,r058,"United States<sup>b</sup> -> California -> Transportation, Department of",United States<sup>b</sup>,California,"Transportation, Department of",3,41248806,16347019,24901787
5214,r059,"United States<sup>b</sup> -> California -> Water Resources, Department of",United States<sup>b</sup>,California,"Water Resources, Department of",3,1855394,45830,1809564
5214,r060,United States<sup>b</sup> -> Colorado,United States<sup>b</sup>,Colorado,,2,34365638,6659704,27705934
5214,r061,"United States<sup>b</sup> -> Colorado -> Agriculture, Department of",United States<sup>b</sup>,Colorado,"Agriculture, Department of",3,635148,625148,10000
5214,r062,"United States<sup>b</sup> -> Colorado -> Economic Development and International Trade, Office of",United States<sup>b</sup>,Colorado,"Economic Development and International Trade, Office of",3,15456483,0,15456483
5214,r063,"United States<sup>b</sup> -> Colorado -> Higher Education Competitive, Research Authority",United States<sup>b</sup>,Colorado,"Higher Education Competitive, Research Authority",3,2455224,0,2455224
5214,r064,"United States<sup>b</sup> -> Colorado -> Higher Education, Department of ",United States<sup>b</sup>,Colorado,"Higher Education, Department of ",3,124839,124839,0
5214,r065,"United States<sup>b</sup> -> Colorado -> Natural Resources, Department of",United States<sup>b</sup>,Colorado,"Natural Resources, Department of",3,8002949,2708309,5294640
5214,r066,"United States<sup>b</sup> -> Colorado -> Public Health and Environment, Department of",United States<sup>b</sup>,Colorado,"Public Health and Environment, Department of",3,3808558,311904,3496654
5214,r067,"United States<sup>b</sup> -> Colorado -> Public Safety, Department of",United States<sup>b</sup>,Colorado,"Public Safety, Department of",3,826494,55871,770623
5214,r068,"United States<sup>b</sup> -> Colorado -> Transportation, Department of",United States<sup>b</sup>,Colorado,"Transportation, Department of",3,2833633,2833633,0
5214,r069,United States<sup>b</sup> -> Colorado -> Wine Industry Development Board,United States<sup>b</sup>,Colorado,Wine Industry Development Board,3,222310,0,222310
5214,r070,United States<sup>b</sup> -> Connecticut,United States<sup>b</sup>,Connecticut,,2,58810853,15873807,42937046
5214,r071,United States<sup>b</sup> -> Connecticut -> Agricultural Experiment Station,United States<sup>b</sup>,Connecticut,Agricultural Experiment Station,3,12445226,5337429,7107797
5214,r072,"United States<sup>b</sup> -> Connecticut -> Children and Families, Department of",United States<sup>b</sup>,Connecticut,"Children and Families, Department of",3,604461,115524,488937
5214,r073,"United States<sup>b</sup> -> Connecticut -> Education, Department of",United States<sup>b</sup>,Connecticut,"Education, Department of",3,429097,429097,0
5214,r074,"United States<sup>b</sup> -> Connecticut -> Energy and Environmental Protection, Department of",United States<sup>b</sup>,Connecticut,"Energy and Environmental Protection, Department of",3,7498136,5404300,2093836
5214,r075,United States<sup>b</sup> -> Connecticut -> Innovation Inc.,United States<sup>b</sup>,Connecticut,Innovation Inc.,3,27245173,0,27245173
5214,r076,"United States<sup>b</sup> -> Connecticut -> Mental Health and Addiction Services, Department of",United States<sup>b</sup>,Connecticut,"Mental Health and Addiction Services, Department of",3,6310349,626074,5684275
5214,r077,"United States<sup>b</sup> -> Connecticut -> Public Health, Department of",United States<sup>b</sup>,Connecticut,"Public Health, Department of",3,27000,27000,0
5214,r078,"United States<sup>b</sup> -> Connecticut -> Social Services, Department of",United States<sup>b</sup>,Connecticut,"Social Services, Department of",3,1516916,1516916,0
5214,r079,"United States<sup>b</sup> -> Connecticut -> Transportation, Department of",United States<sup>b</sup>,Connecticut,"Transportation, Department of",3,2734495,2417467,317028
5214,r080,United States<sup>b</sup> -> Delaware,United States<sup>b</sup>,Delaware,,2,3598156,1476864,2121292
5214,r081,United States<sup>b</sup> -> Delaware -> Geological Survey,United States<sup>b</sup>,Delaware,Geological Survey,3,2183965,405384,1778581
5214,r082,"United States<sup>b</sup> -> Delaware -> Natural Resources and Environmental Control, Department of",United States<sup>b</sup>,Delaware,"Natural Resources and Environmental Control, Department of",3,159000,109700,49300
5214,r083,United States<sup>b</sup> -> Delaware -> Sustainable Energy Utility,United States<sup>b</sup>,Delaware,Sustainable Energy Utility,3,20800,0,20800
5214,r084,"United States<sup>b</sup> -> Delaware -> Transportation, Department of",United States<sup>b</sup>,Delaware,"Transportation, Department of",3,1234391,961780,272611
5214,r085,United States<sup>b</sup> -> District of Columbia,United States<sup>b</sup>,District of Columbia,,2,5860668,2560026,3300642
5214,r086,"United States<sup>b</sup> -> District of Columbia -> Energy and Environment, Department of",United States<sup>b</sup>,District of Columbia,"Energy and Environment, Department of",3,1550000,471000,1079000
5214,r087,"United States<sup>b</sup> -> District of Columbia -> Forensic Sciences, Department of",United States<sup>b</sup>,District of Columbia,"Forensic Sciences, Department of",3,114283,30000,84283
5214,r088,"United States<sup>b</sup> -> District of Columbia -> Health, Department of",United States<sup>b</sup>,District of Columbia,"Health, Department of",3,1957090,1867590,89500
5214,r089,"United States<sup>b</sup> -> District of Columbia -> Transportation, Department of",United States<sup>b</sup>,District of Columbia,"Transportation, Department of",3,239295,191436,47859
5214,r090,United States<sup>b</sup> -> District of Columbia -> Water and Sewer Authority,United States<sup>b</sup>,District of Columbia,Water and Sewer Authority,3,2000000,0,2000000
5214,r091,United States<sup>b</sup> -> Florida,United States<sup>b</sup>,Florida,,2,184600202,30382990,154217212
5214,r092,"United States<sup>b</sup> -> Florida -> Agriculture and Consumer Services, Department of",United States<sup>b</sup>,Florida,"Agriculture and Consumer Services, Department of",3,22450768,10465613,11985155
5214,r093,"United States<sup>b</sup> -> Florida -> Business and Professional Regulation, Department of",United States<sup>b</sup>,Florida,"Business and Professional Regulation, Department of",3,88406,0,88406
5214,r094,"United States<sup>b</sup> -> Florida -> Citrus, Department of",United States<sup>b</sup>,Florida,"Citrus, Department of",3,1127588,0,1127588
5214,r095,"United States<sup>b</sup> -> Florida -> Environmental Protection, Department of",United States<sup>b</sup>,Florida,"Environmental Protection, Department of",3,217759,66669,151090
5214,r096,United States<sup>b</sup> -> Florida -> Fish and Wildlife Conservation Commission,United States<sup>b</sup>,Florida,Fish and Wildlife Conservation Commission,3,56278906,12823710,43455196
5214,r097,"United States<sup>b</sup> -> Florida -> Health, Department of",United States<sup>b</sup>,Florida,"Health, Department of",3,91114600,0,91114600
5214,r098,United States<sup>b</sup> -> Florida -> Space Florida,United States<sup>b</sup>,Florida,Space Florida,3,1299010,0,1299010
5214,r099,"United States<sup>b</sup> -> Florida -> Transportation, Department of",United States<sup>b</sup>,Florida,"Transportation, Department of",3,12023165,7026998,4996167
5214,r100,United States<sup>b</sup> -> Georgia,United States<sup>b</sup>,Georgia,,2,15877238,14101354,1775884
5214,r101,"United States<sup>b</sup> -> Georgia -> Natural Resources, Department of",United States<sup>b</sup>,Georgia,"Natural Resources, Department of",3,997526,672871,324655
5214,r102,United States<sup>b</sup> -> Georgia -> Seed Development Commission,United States<sup>b</sup>,Georgia,Seed Development Commission,3,255642,0,255642
5214,r103,United States<sup>b</sup> -> Georgia -> Southern States Energy Board,United States<sup>b</sup>,Georgia,Southern States Energy Board,3,8092378,7893986,198392
5214,r104,"United States<sup>b</sup> -> Georgia -> Transportation, Department of",United States<sup>b</sup>,Georgia,"Transportation, Department of",3,6531692,5534497,997195
5214,r105,United States<sup>b</sup> -> Hawaii,United States<sup>b</sup>,Hawaii,,2,11122545,7330911,3791634
5214,r106,"United States<sup>b</sup> -> Hawaii -> Agriculture, Department of",United States<sup>b</sup>,Hawaii,"Agriculture, Department of",3,702000,632000,70000
5214,r107,"United States<sup>b</sup> -> Hawaii -> Business, Economic Development, and Tourism, Department of",United States<sup>b</sup>,Hawaii,"Business, Economic Development, and Tourism, Department of",3,7297767,5491637,1806130
5214,r108,"United States<sup>b</sup> -> Hawaii -> Land and Natural Resources, Department of",United States<sup>b</sup>,Hawaii,"Land and Natural Resources, Department of",3,385278,68774,316504
5214,r109,United States<sup>b</sup> -> Hawaii -> Natural Energy Laboratory,United States<sup>b</sup>,Hawaii,Natural Energy Laboratory,3,2250000,900000,1350000
5214,r110,"United States<sup>b</sup> -> Hawaii -> Transportation, Department of",United States<sup>b</sup>,Hawaii,"Transportation, Department of",3,487500,238500,249000
5214,r111,United States<sup>b</sup> -> Idaho,United States<sup>b</sup>,Idaho,,2,21882976,12620448,9262528
5214,r112,"United States<sup>b</sup> -> Idaho -> Agriculture, Department of",United States<sup>b</sup>,Idaho,"Agriculture, Department of",3,900539,900539,0
5214,r113,United States<sup>b</sup> -> Idaho -> Alfalfa and Clover Seed Commission,United States<sup>b</sup>,Idaho,Alfalfa and Clover Seed Commission,3,1500,0,1500
5214,r114,United States<sup>b</sup> -> Idaho -> Barley Commission,United States<sup>b</sup>,Idaho,Barley Commission,3,238859,0,238859
5214,r115,United States<sup>b</sup> -> Idaho -> Bean Commission,United States<sup>b</sup>,Idaho,Bean Commission,3,28220,0,28220
5214,r116,United States<sup>b</sup> -> Idaho -> Beef Council,United States<sup>b</sup>,Idaho,Beef Council,3,88187,0,88187
5214,r117,"United States<sup>b</sup> -> Idaho -> Commerce, Department of ",United States<sup>b</sup>,Idaho,"Commerce, Department of ",3,953711,0,953711
5214,r118,United States<sup>b</sup> -> Idaho -> Dairy West,United States<sup>b</sup>,Idaho,Dairy West,3,2900000,0,2900000
5214,r119,"United States<sup>b</sup> -> Idaho -> Environmental Quality, Department of",United States<sup>b</sup>,Idaho,"Environmental Quality, Department of",3,450000,0,450000
5214,r120,"United States<sup>b</sup> -> Idaho -> Fish and Game, Department of",United States<sup>b</sup>,Idaho,"Fish and Game, Department of",3,10381981,8783225,1598756
5214,r121,United States<sup>b</sup> -> Idaho -> Honey Commission,United States<sup>b</sup>,Idaho,Honey Commission,3,1500,0,1500
5214,r122,United States<sup>b</sup> -> Idaho -> Oilseed Commission,United States<sup>b</sup>,Idaho,Oilseed Commission,3,62000,0,62000
5214,r123,United States<sup>b</sup> -> Idaho -> Pea and Lentil Commission,United States<sup>b</sup>,Idaho,Pea and Lentil Commission,3,73418,0,73418
5214,r124,United States<sup>b</sup> -> Idaho -> Potato Commission,United States<sup>b</sup>,Idaho,Potato Commission,3,1596042,95067,1500975
5214,r125,United States<sup>b</sup> -> Idaho -> Transportation Department,United States<sup>b</sup>,Idaho,Transportation Department,3,3069711,2841617,228094
5214,r126,United States<sup>b</sup> -> Idaho -> Wheat Commission,United States<sup>b</sup>,Idaho,Wheat Commission,3,1137308,0,1137308
5214,r127,United States<sup>b</sup> -> Illinois,United States<sup>b</sup>,Illinois,,2,16055917,7641755,8414162
5214,r128,"United States<sup>b</sup> -> Illinois -> Children and Family Services, Department of",United States<sup>b</sup>,Illinois,"Children and Family Services, Department of",3,2559932,0,2559932
5214,r129,"United States<sup>b</sup> -> Illinois -> Human Services, Department of",United States<sup>b</sup>,Illinois,"Human Services, Department of",3,244978,244978,0
5214,r130,United States<sup>b</sup> -> Illinois -> Nutrient Research and Education,United States<sup>b</sup>,Illinois,Nutrient Research and Education,3,3140385,0,3140385
5214,r131,"United States<sup>b</sup> -> Illinois -> Public Health, Department of",United States<sup>b</sup>,Illinois,"Public Health, Department of",3,399924,0,399924
5214,r132,"United States<sup>b</sup> -> Illinois -> Transportation, Department of",United States<sup>b</sup>,Illinois,"Transportation, Department of",3,9710698,7396777,2313921
5214,r133,United States<sup>b</sup> -> Indiana,United States<sup>b</sup>,Indiana,,2,9591408,7126764,2464644
5214,r134,United States<sup>b</sup> -> Indiana -> Economic Development Corporation,United States<sup>b</sup>,Indiana,Economic Development Corporation,3,595000,0,595000
5214,r135,"United States<sup>b</sup> -> Indiana -> Environmental Management, Department of",United States<sup>b</sup>,Indiana,"Environmental Management, Department of",3,56764,56764,0
5214,r136,"United States<sup>b</sup> -> Indiana -> Natural Resources, Department of",United States<sup>b</sup>,Indiana,"Natural Resources, Department of",3,100000,0,100000
5214,r137,United States<sup>b</sup> -> Indiana -> St. Joseph River Basin Commission,United States<sup>b</sup>,Indiana,St. Joseph River Basin Commission,3,105000,0,105000
5214,r138,"United States<sup>b</sup> -> Indiana -> Transportation, Department of",United States<sup>b</sup>,Indiana,"Transportation, Department of",3,8734644,7070000,1664644
5214,r139,United States<sup>b</sup> -> Iowa,United States<sup>b</sup>,Iowa,,2,12348062,7734114,4613948
5214,r140,United States<sup>b</sup> -> Iowa -> Beef Industry Council,United States<sup>b</sup>,Iowa,Beef Industry Council,3,60000,0,60000
5214,r141,United States<sup>b</sup> -> Iowa -> Corrections,United States<sup>b</sup>,Iowa,Corrections,3,470931,0,470931
5214,r142,"United States<sup>b</sup> -> Iowa -> Human Rights, Criminal and Juvenile Justice Planning, Division of, Department of",United States<sup>b</sup>,Iowa,"Human Rights, Criminal and Juvenile Justice Planning, Division of, Department of",3,417493,220463,197030
5214,r143,"United States<sup>b</sup> -> Iowa -> Natural Resources, Department of",United States<sup>b</sup>,Iowa,"Natural Resources, Department of",3,4170756,2076078,2094678
5214,r144,"United States<sup>b</sup> -> Iowa -> Transportation, Department of",United States<sup>b</sup>,Iowa,"Transportation, Department of",3,7228882,5437573,1791309
5214,r145,United States<sup>b</sup> -> Kansas,United States<sup>b</sup>,Kansas,,2,13152904,6612890,6540014
5214,r146,United States<sup>b</sup> -> Kansas -> Corn Commission,United States<sup>b</sup>,Kansas,Corn Commission,3,871765,0,871765
5214,r147,United States<sup>b</sup> -> Kansas -> Grain Sorghum Commission,United States<sup>b</sup>,Kansas,Grain Sorghum Commission,3,445300,0,445300
5214,r148,United States<sup>b</sup> -> Kansas -> Soybean Commission,United States<sup>b</sup>,Kansas,Soybean Commission,3,1200000,0,1200000
5214,r149,United States<sup>b</sup> -> Kansas -> State Board of Regents,United States<sup>b</sup>,Kansas,State Board of Regents,3,998756,0,998756
5214,r150,United States<sup>b</sup> -> Kansas -> Sunflower Commission,United States<sup>b</sup>,Kansas,Sunflower Commission,3,20000,0,20000
5214,r151,"United States<sup>b</sup> -> Kansas -> Transportation, Department of",United States<sup>b</sup>,Kansas,"Transportation, Department of",3,3637912,2452147,1185765
5214,r152,United States<sup>b</sup> -> Kansas -> Water Office,United States<sup>b</sup>,Kansas,Water Office,3,429361,57002,372359
5214,r153,United States<sup>b</sup> -> Kansas -> Wheat Commission,United States<sup>b</sup>,Kansas,Wheat Commission,3,1138289,0,1138289
5214,r154,"United States<sup>b</sup> -> Kansas -> Wildlife, Parks, and Tourism, Department of",United States<sup>b</sup>,Kansas,"Wildlife, Parks, and Tourism, Department of",3,4411521,4103741,307780
5214,r155,United States<sup>b</sup> -> Kentucky,United States<sup>b</sup>,Kentucky,,2,26782125,6273543,20508582
5214,r156,"United States<sup>b</sup> -> Kentucky -> Behavioral Health, Developmental and Intellectual Disabilities",United States<sup>b</sup>,Kentucky,"Behavioral Health, Developmental and Intellectual Disabilities",3,67500,0,67500
5214,r157,"United States<sup>b</sup> -> Kentucky -> Economic Development, Cabinet for",United States<sup>b</sup>,Kentucky,"Economic Development, Cabinet for",3,3051000,0,3051000
5214,r158,"United States<sup>b</sup> -> Kentucky -> Fish and Wildlife Resources, Department of ",United States<sup>b</sup>,Kentucky,"Fish and Wildlife Resources, Department of ",3,2008546,1271959,736587
5214,r159,United States<sup>b</sup> -> Kentucky -> Horse Racing Commission,United States<sup>b</sup>,Kentucky,Horse Racing Commission,3,430748,0,430748
5214,r160,"United States<sup>b</sup> -> Kentucky -> Nature Preserves, Office of ",United States<sup>b</sup>,Kentucky,"Nature Preserves, Office of ",3,34200,0,34200
5214,r161,"United States<sup>b</sup> -> Kentucky -> Postsecondary Education, Council on",United States<sup>b</sup>,Kentucky,"Postsecondary Education, Council on",3,9939022,0,9939022
5214,r162,"United States<sup>b</sup> -> Kentucky -> Public Health, Department for ",United States<sup>b</sup>,Kentucky,"Public Health, Department for ",3,3336309,0,3336309
5214,r163,United States<sup>b</sup> -> Kentucky -> Public Service Commission,United States<sup>b</sup>,Kentucky,Public Service Commission,3,21000,0,21000
5214,r164,United States<sup>b</sup> -> Kentucky -> Soybean Promotion Board,United States<sup>b</sup>,Kentucky,Soybean Promotion Board,3,658864,0,658864
5214,r165,United States<sup>b</sup> -> Kentucky -> Transportation Cabinet,United States<sup>b</sup>,Kentucky,Transportation Cabinet,3,7234936,5001584,2233352
5214,r166,United States<sup>b</sup> -> Louisiana,United States<sup>b</sup>,Louisiana,,2,32360516,19451587,12908929
5214,r167,United States<sup>b</sup> -> Louisiana -> Board of Regents,United States<sup>b</sup>,Louisiana,Board of Regents,3,12728300,6291305,6436995
5214,r168,United States<sup>b</sup> -> Louisiana -> Coastal Protection and Restoration Authority,United States<sup>b</sup>,Louisiana,Coastal Protection and Restoration Authority,3,3436344,642156,2794188
5214,r169,"United States<sup>b</sup> -> Louisiana -> Education, Department of",United States<sup>b</sup>,Louisiana,"Education, Department of",3,394664,199912,194752
5214,r170,"United States<sup>b</sup> -> Louisiana -> Transportation and Development, Department of ",United States<sup>b</sup>,Louisiana,"Transportation and Development, Department of ",3,9200000,7360000,1840000
5214,r171,"United States<sup>b</sup> -> Louisiana -> Wildlife and Fisheries, Department of",United States<sup>b</sup>,Louisiana,"Wildlife and Fisheries, Department of",3,6601208,4958214,1642994
5214,r172,United States<sup>b</sup> -> Maine,United States<sup>b</sup>,Maine,,2,29035990,4162595,24873395
5214,r173,"United States<sup>b</sup> -> Maine -> Agriculture, Conservation and Forestry, Department of ",United States<sup>b</sup>,Maine,"Agriculture, Conservation and Forestry, Department of ",3,1511473,648246,863227
5214,r174,"United States<sup>b</sup> -> Maine -> Inland Fisheries and Wildlife, Department of",United States<sup>b</sup>,Maine,"Inland Fisheries and Wildlife, Department of",3,1080841,847899,232942
5214,r175,"United States<sup>b</sup> -> Maine -> Marine Resources, Department of",United States<sup>b</sup>,Maine,"Marine Resources, Department of",3,2458575,1962450,496125
5214,r176,United States<sup>b</sup> -> Maine -> Technology Institute,United States<sup>b</sup>,Maine,Technology Institute,3,23161101,0,23161101
5214,r177,"United States<sup>b</sup> -> Maine -> Transportation, Department of ",United States<sup>b</sup>,Maine,"Transportation, Department of ",3,824000,704000,120000
5214,r178,United States<sup>b</sup> -> Maryland,United States<sup>b</sup>,Maryland,,2,33407022,4016621,29390401
5214,r179,"United States<sup>b</sup> -> Maryland -> Education, Department of",United States<sup>b</sup>,Maryland,"Education, Department of",3,1160456,1160456,0
5214,r180,United States<sup>b</sup> -> Maryland -> Energy Administration,United States<sup>b</sup>,Maryland,Energy Administration,3,1026832,0,1026832
5214,r181,"United States<sup>b</sup> -> Maryland -> Health and Mental Hygiene, Department of",United States<sup>b</sup>,Maryland,"Health and Mental Hygiene, Department of",3,15000000,0,15000000
5214,r182,"United States<sup>b</sup> -> Maryland -> Natural Resources, Department of",United States<sup>b</sup>,Maryland,"Natural Resources, Department of",3,607906,12000,595906
