table_id,row_id,_b_budget_function_and_agency_b_full_path,_b_budget_function_and_agency_b_level_1,_b_budget_function_and_agency_b_level_2,_b_budget_function_and_agency_b_level_3,_b_budget_function_and_agency_b_level_4,_b_budget_function_and_agency_b_level_5,_b_budget_function_and_agency_b_level_6,_b_budget_function_and_agency_b_hierarchy_depth,field_2021_actual,field_2022_preliminarya,field_2023_proposed,field_2021_22_change_,field_2022_23_change_
8445,r011,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Department of the Navy",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts,Department of the Navy,,,4,15100,16085,18571,6.5,15.5
8445,r012,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Operational Test and Evaluation",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts,Operational Test and Evaluation,,,4,257,258,277,0.4,7.4
8445,r013,"R&D and R&D plant -> Department of Defense, military (051) -> Other military funding<sup>b</sup>",R&D and R&D plant,"Department of Defense, military (051)",Other military funding<sup>b</sup>,,,,3,3641,932,1116,-74.4,19.8
8445,r014,R&D and R&D plant -> Atomic energy defense activities (053),R&D and R&D plant,Atomic energy defense activities (053),,,,,2,6273,6233,6649,-0.6,6.7
8445,r015,R&D and R&D plant -> Atomic energy defense activities (053) ->     Department of Energy,R&D and R&D plant,Atomic energy defense activities (053),    Department of Energy,,,,3,6273,6233,6649,-0.6,6.7
8445,r016,R&D and R&D plant -> Atomic energy defense activities (053) ->     Department of Energy ->    Defense environmental cleanup,R&D and R&D plant,Atomic energy defense activities (053),    Department of Energy,   Defense environmental cleanup,,,4,35,35,25,0.0,-28.6
8445,r017,R&D and R&D plant -> Atomic energy defense activities (053) ->     Department of Energy ->    Naval reactors development,R&D and R&D plant,Atomic energy defense activities (053),    Department of Energy,   Naval reactors development,,,4,1471,1471,1793,0.0,21.9
8445,r018,R&D and R&D plant -> Atomic energy defense activities (053) ->     Department of Energy ->    Nonproliferation,R&D and R&D plant,Atomic energy defense activities (053),    Department of Energy,   Nonproliferation,,,4,493,452,534,-8.3,18.1
8445,r019,R&D and R&D plant -> Atomic energy defense activities (053) ->     Department of Energy ->    Weapons activities,R&D and R&D plant,Atomic energy defense activities (053),    Department of Energy,   Weapons activities,,,4,4274,4275,4297,0.0,0.5
8445,r020,R&D and R&D plant -> Defense-related activities (054),R&D and R&D plant,Defense-related activities (054),,,,,2,11,11,6,0.0,-45.5
8445,r021,"R&D and R&D plant -> Defense-related activities (054) ->    Department of Justice, Federal Bureau of Investigation",R&D and R&D plant,Defense-related activities (054),"   Department of Justice, Federal Bureau of Investigation",,,,3,2,2,2,0.0,0.0
8445,r022,"R&D and R&D plant -> Defense-related activities (054) ->    Department of Homeland Security, Cybersecurity and Infrastructure Security Agency",R&D and R&D plant,Defense-related activities (054),"   Department of Homeland Security, Cybersecurity and Infrastructure Security Agency",,,,3,9,9,4,0.0,-55.6
8445,r023,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,,2,77219,79387,89120,2.8,12.3
8445,r024,"R&D and R&D plant -> R&D -> Department of Defense, military (051)",R&D and R&D plant,R&D,"Department of Defense, military (051)",,,,3,72084,74181,83448,2.9,12.5
8445,r025,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts,,,4,68443,73249,82332,7.0,12.4
8445,r026,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Defense agencies",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts,Defense agencies,,5,18939,20920,21398,10.5,2.3
8445,r027,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Defense agencies -> Defense Advanced Research Projects Agency",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts,Defense agencies,Defense Advanced Research Projects Agency,6,3504,3868,4119,10.4,6.5
8445,r028,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Defense agencies -> Missile Defense Agency",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts,Defense agencies,Missile Defense Agency,6,7850,7227,7873,-7.9,8.9
8445,r029,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Defense agencies -> Other defense agencies",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts,Defense agencies,Other defense agencies,6,7585,9825,9406,29.5,-4.3
8445,r030,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Department of the Air Force",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts,Department of the Air Force,,5,15999,18078,20097,13.0,11.2
8445,r031,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Space Force",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts,Space Force,,5,5727,5703,9561,-0.4,67.6
8445,r032,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Department of the Army",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts,Department of the Army,,5,12421,12205,12427,-1.7,1.8
8445,r033,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Department of the Navy",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts,Department of the Navy,,5,15100,16085,18571,6.5,15.5
8445,r034,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Operational Test and Evaluation",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts,Operational Test and Evaluation,,5,257,258,277,0.4,7.4
8445,r035,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> Other military funding<sup>b</sup>",R&D and R&D plant,R&D,"Department of Defense, military (051)",Other military funding<sup>b</sup>,,,4,3641,932,1116,-74.4,19.8
8445,r036,R&D and R&D plant -> R&D -> Atomic energy defense activities (053),R&D and R&D plant,R&D,Atomic energy defense activities (053),,,,3,5124,5195,5666,1.4,9.1
8445,r037,R&D and R&D plant -> R&D -> Atomic energy defense activities (053) ->     Department of Energy,R&D and R&D plant,R&D,Atomic energy defense activities (053),    Department of Energy,,,4,5124,5195,5666,1.4,9.1
8445,r038,R&D and R&D plant -> R&D -> Atomic energy defense activities (053) ->     Department of Energy ->    Defense environmental cleanup,R&D and R&D plant,R&D,Atomic energy defense activities (053),    Department of Energy,   Defense environmental cleanup,,5,35,35,25,0.0,-28.6
8445,r039,R&D and R&D plant -> R&D -> Atomic energy defense activities (053) ->     Department of Energy ->    Naval reactors development,R&D and R&D plant,R&D,Atomic energy defense activities (053),    Department of Energy,   Naval reactors development,,5,1140,1140,1316,0.0,15.4
8445,r040,R&D and R&D plant -> R&D -> Atomic energy defense activities (053) ->     Department of Energy ->    Nonproliferation,R&D and R&D plant,R&D,Atomic energy defense activities (053),    Department of Energy,   Nonproliferation,,5,468,427,508,-8.8,19.0
8445,r041,R&D and R&D plant -> R&D -> Atomic energy defense activities (053) ->     Department of Energy ->    Weapons activities,R&D and R&D plant,R&D,Atomic energy defense activities (053),    Department of Energy,   Weapons activities,,5,3481,3593,3817,3.2,6.2
8445,r042,R&D and R&D plant -> R&D -> Defense-related activities (054),R&D and R&D plant,R&D,Defense-related activities (054),,,,3,11,11,6,0.0,-45.5
8445,r043,"R&D and R&D plant -> R&D -> Defense-related activities (054) ->    Department of Justice, Federal Bureau of Investigation",R&D and R&D plant,R&D,Defense-related activities (054),"   Department of Justice, Federal Bureau of Investigation",,,4,2,2,2,0.0,0.0
8445,r044,"R&D and R&D plant -> R&D -> Defense-related activities (054) ->    Department of Homeland Security, Cybersecurity and Infrastructure Security Agency",R&D and R&D plant,R&D,Defense-related activities (054),"   Department of Homeland Security, Cybersecurity and Infrastructure Security Agency",,,4,9,9,4,0.0,-55.6
