table_id,row_id,region_country_or_economy,austria,belgium,czechia,denmark,finland,france,germany,greece,ireland,italy,netherlands,poland,portugal,romania,spain,sweden,argentina,australia,bangladesh,brazil,canada,chile,china,colombia,egypt,india,indonesia,iran,israel,japan,malaysia,mexico,new_zealand,nigeria,norway,pakistan,peru,russia,saudi_arabia,singapore,south_africa,south_korea,switzerland,taiwan,thailand,turkey,united_arab_emirates,united_kingdom,united_states,vietnam
5019,r024,Colombia,5,13,4,6,7,16,23,9,7,39,14,9,16,4,60,8,38,22,4,69,26,40,25,na,9,51,7,11,11,18,2,43,5,5,7,5,33,9,23,12,14,11,23,6,6,13,9,39,97,1
5019,r025,Egypt,5,9,6,5,10,24,41,10,9,52,17,15,11,6,31,12,8,15,15,26,24,3,39,9,na,45,8,24,5,27,12,14,7,15,3,19,6,8,172,7,12,14,22,12,8,23,31,70,116,5
5019,r026,India,12,27,15,20,17,65,89,26,20,104,45,34,29,13,74,36,20,128,40,71,100,22,121,51,45,na,36,55,24,78,41,36,25,22,23,39,23,36,141,62,53,95,45,39,41,52,36,237,448,22
5019,r027,Indonesia,1,2,1,1,na,9,11,4,1,10,9,3,4,1,13,na,2,19,9,8,5,4,23,7,8,36,na,13,1,24,37,2,8,5,2,4,5,5,11,16,7,14,4,25,20,7,3,26,35,7
5019,r028,Iran,16,16,10,15,11,23,42,18,6,88,24,32,20,18,38,26,8,54,8,23,81,10,52,11,24,55,13,na,9,19,20,11,14,8,12,22,9,17,22,19,16,12,19,26,11,40,21,101,221,17
5019,r029,Israel,17,25,15,28,11,47,56,25,20,92,32,19,21,9,51,25,9,30,2,23,49,8,45,11,5,24,1,9,na,27,2,9,7,2,11,2,4,38,4,12,12,11,38,6,5,23,3,87,119,2
5019,r030,Japan,17,33,10,17,12,55,72,16,16,85,45,19,22,6,69,33,20,79,25,41,59,13,138,18,27,78,24,19,27,na,19,25,19,8,13,11,8,18,34,38,23,60,38,40,32,30,9,113,212,15
5019,r031,Malaysia,1,7,7,2,1,9,13,8,4,24,11,7,7,4,16,5,6,42,29,11,20,3,55,2,12,41,37,20,2,19,na,3,3,7,2,38,2,2,41,23,13,12,10,16,23,9,7,61,52,17
5019,r032,Mexico,10,11,6,10,13,42,50,20,11,70,17,16,17,7,67,21,41,27,4,69,54,37,38,43,14,36,2,11,9,25,3,na,9,4,8,14,28,7,16,13,15,16,26,7,5,21,6,46,174,5
5019,r033,New Zealand,9,15,na,10,6,22,28,8,14,33,18,2,10,1,24,10,2,87,4,17,46,7,33,5,7,25,8,14,7,19,3,9,na,5,7,4,4,10,5,14,14,10,12,5,7,6,2,79,74,2
5019,r034,Nigeria,2,6,1,2,4,7,13,5,na,12,4,2,7,2,9,6,6,12,6,9,14,4,18,5,15,22,5,8,2,8,7,4,5,na,2,8,5,2,18,4,39,6,4,1,5,8,6,59,45,7
5019,r035,Norway,29,34,7,15,16,43,59,23,16,62,39,11,14,8,31,55,5,40,6,25,31,7,33,7,3,23,2,12,11,13,2,8,7,2,na,5,5,10,8,12,12,10,33,8,7,16,3,97,85,2
5019,r036,Pakistan,2,5,3,2,3,17,12,4,5,20,10,8,10,7,17,6,3,15,14,8,32,4,92,5,19,39,4,22,2,11,38,14,4,8,5,na,3,3,113,4,13,16,5,20,8,34,14,49,89,16
5019,r037,Peru,1,8,4,4,5,18,17,5,7,17,6,2,5,3,23,7,24,15,4,39,12,23,13,33,6,23,5,9,4,8,2,28,4,5,5,3,na,4,12,6,5,5,12,6,4,6,4,26,66,1
5019,r038,Russia,23,26,19,16,12,50,72,39,14,104,30,18,22,21,54,18,11,28,na,25,31,10,45,9,8,36,5,17,38,18,2,7,10,2,10,3,4,na,9,14,18,10,32,3,2,22,7,65,105,5
5019,r039,Saudi Arabia,6,20,9,10,8,38,30,8,10,51,23,14,5,9,26,15,7,59,23,23,79,5,88,23,172,141,11,22,4,34,41,16,5,18,8,113,12,9,na,14,24,33,19,20,7,35,42,105,188,18
5019,r040,Singapore,14,19,9,21,6,51,68,19,17,82,41,16,10,3,51,27,16,88,6,34,78,11,148,12,7,62,16,19,12,38,23,13,14,4,12,4,6,14,14,na,25,48,43,34,21,15,10,138,209,28
5019,r041,South Africa,10,39,4,12,10,38,56,10,12,63,36,12,15,2,37,34,18,64,10,49,52,18,47,14,12,53,7,16,12,23,13,15,14,39,12,13,5,18,24,25,na,23,33,12,5,20,6,151,170,8
5019,r042,South Korea,15,11,3,16,8,48,47,10,4,66,24,9,15,6,59,14,16,51,16,28,41,12,99,11,14,95,14,12,11,60,12,16,10,6,10,16,5,10,33,48,23,na,27,37,26,16,8,82,176,15
5019,r043,Switzerland,89,105,20,56,35,181,228,59,41,250,149,53,42,23,151,67,34,111,8,58,125,15,106,23,22,45,4,19,38,38,10,26,12,4,33,5,12,32,19,43,33,27,na,12,12,55,4,273,337,1
5019,r044,Taiwan,7,9,2,7,4,16,31,4,5,28,19,7,5,8,25,11,4,33,7,13,16,7,85,6,12,39,25,26,6,40,16,7,5,1,8,20,6,3,20,34,12,37,12,na,24,25,7,35,98,22
5019,r045,Thailand,4,14,na,2,3,18,13,3,3,16,12,5,1,na,14,4,8,27,5,11,17,1,53,6,8,41,20,11,5,32,23,5,7,5,7,8,4,2,7,21,5,26,12,24,na,6,4,53,58,8
5019,r046,Turkey,32,41,21,17,26,63,72,53,25,115,52,36,33,37,74,34,19,31,10,38,46,12,49,13,23,52,7,40,23,30,9,21,6,8,16,34,6,22,35,15,20,16,55,25,6,na,11,123,111,10
5019,r047,United Arab Emirates,4,5,2,10,5,14,17,13,5,33,14,11,8,1,15,10,2,27,5,15,31,1,24,9,31,36,3,21,3,9,7,6,2,6,3,14,4,7,42,10,6,8,4,7,4,11,na,49,54,4
5019,r048,United Kingdom,149,222,47,142,72,339,426,121,160,662,338,103,116,55,354,183,53,410,55,178,382,39,493,39,70,237,26,101,87,113,61,46,79,59,97,49,26,65,105,138,151,82,273,35,53,123,49,na,1043,17
5019,r049,United States,148,197,37,134,75,436,515,136,114,833,316,116,80,54,410,182,102,524,85,330,805,88,1164,97,116,448,35,221,119,212,52,174,74,45,85,89,66,105,188,209,170,176,337,98,58,111,54,1043,na,53
5019,r050,Vietnam,1,11,na,2,4,19,8,4,1,9,2,4,3,6,3,7,1,26,5,3,9,3,22,1,5,22,7,17,2,15,17,5,2,7,2,16,1,5,18,28,8,15,1,22,8,10,4,17,53,na
