table_id,row_id,core_based_statistical_area_full_path,core_based_statistical_area_level_1,core_based_statistical_area_level_2,core_based_statistical_area_hierarchy_depth,field_cbsa_code,field_total,field_paid_for_by_the_company,field_paid_for_by_others
1382,r086,"All locations -> Midland, MI",All locations,"Midland, MI",2,33220,"['357', '&nbsp;']","['357', '&nbsp;']","['*', 'e']"
1382,r087,"All locations -> Greenville-Anderson-Mauldin, SC",All locations,"Greenville-Anderson-Mauldin, SC",2,24860,"['354', 'i']","['332', 'i']","['22', 'i']"
1382,r088,"All locations -> Davenport-Moline-Rock Island, IA-IL",All locations,"Davenport-Moline-Rock Island, IA-IL",2,19340,"['340', '&nbsp;']","['336', '&nbsp;']","['4', 'e']"
1382,r089,"All locations -> Nashville-Davidson--Murfreesboro--Franklin, TN",All locations,"Nashville-Davidson--Murfreesboro--Franklin, TN",2,34980,"['338', 'i']","['286', 'i']","['52', 'i']"
1382,r090,"All locations -> Charleston-North Charleston, SC",All locations,"Charleston-North Charleston, SC",2,16700,"['335', '&nbsp;']","['239', '&nbsp;']","['96', 'i']"
1382,r091,"All locations -> Pueblo, CO",All locations,"Pueblo, CO",2,39380,"['328', '&nbsp;']","['16', 'i']","['312', '&nbsp;']"
1382,r092,"All locations -> Waterloo-Cedar Falls, IA",All locations,"Waterloo-Cedar Falls, IA",2,47940,"['322', 'i']","['321', 'i']","['1', 'e']"
1382,r093,"All locations -> Lexington-Fayette, KY",All locations,"Lexington-Fayette, KY",2,30460,"['314', '&nbsp;']","['290', '&nbsp;']","['25', 'i']"
1382,r094,"All locations -> Spokane-Spokane Valley, WA",All locations,"Spokane-Spokane Valley, WA",2,44060,"['312', 'i']","['290', 'i']","['23', 'i']"
1382,r095,"All locations -> Hickory-Lenoir-Morganton, NC",All locations,"Hickory-Lenoir-Morganton, NC",2,25860,"['307', 'i']","['300', 'i']","['7', 'e']"
1382,r096,"All locations -> Las Vegas-Henderson-Paradise, NV",All locations,"Las Vegas-Henderson-Paradise, NV",2,29820,"['299', 'i']","['268', 'i']","['30', 'i']"
1382,r097,"All locations -> Fort Collins, CO",All locations,"Fort Collins, CO",2,22660,"['295', 'i']","['274', 'i']","['21', '&nbsp;']"
1382,r098,"All locations -> Virginia Beach-Norfolk-Newport News, VA-NC",All locations,"Virginia Beach-Norfolk-Newport News, VA-NC",2,47260,"['290', 'i']","['132', 'i']","['158', 'i']"
1382,r099,"All locations -> Rochester, MN",All locations,"Rochester, MN",2,40340,"['285', 'i']","['284', 'i']","['2', 'i']"
1382,r100,"All locations -> Dubuque, IA",All locations,"Dubuque, IA",2,20220,"['283', '&nbsp;']","['282', '&nbsp;']","['*', 'e']"
1382,r101,"All locations -> Kingsport-Bristol-Bristol, TN-VA",All locations,"Kingsport-Bristol-Bristol, TN-VA",2,28700,"['271', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
1382,r102,All locations -> All other CBSAs,All locations,All other CBSAs,2,,"['20,353', 'i']","['17,141', 'i']","['3,212', 'i']"
1382,r103,All locations -> Locations outside a CBSA,All locations,Locations outside a CBSA,2,,"['2,689', 'i']","['2,198', 'i']","['491', 'i']"
1382,r104,All locations -> Undistributed<sup>a</sup>,All locations,Undistributed<sup>a</sup>,2,,"['7,173', '&nbsp;']","['5,664', '&nbsp;']","['1,509', '&nbsp;']"
