table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_hierarchy_depth,field_total_2017,field_total_2018,field_total_2019,field_total_2020,field_federally_financed_2017,field_federally_financed_2018,field_federally_financed_2019,field_federally_financed_2020
4582,r020,All FFRDCs -> Nonprofit-administered FFRDCs -> Brookhaven National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Brookhaven National Laboratory,3,"['556,875', '']","['552,640', '']","['590,470', '']","['595,466', '']","['539,075', '']","['525,170', '']","['561,030', '']","['569,925', '']"
4582,r021,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Advanced Aviation System Development,All FFRDCs,Nonprofit-administered FFRDCs,Center for Advanced Aviation System Development,3,"['168,169', '']","['177,530', '']","['174,123', '']","['180,634', '']","['148,610', '']","['156,437', '']","['152,539', '']","['163,497', '']"
4582,r022,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Communications and Computing,All FFRDCs,Nonprofit-administered FFRDCs,Center for Communications and Computing,3,"['66,692', '']","['68,237', '']","['68,371', '']","['67,072', '']","['66,692', '']","['68,237', '']","['68,371', '']","['67,072', '']"
4582,r023,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Enterprise Modernization,All FFRDCs,Nonprofit-administered FFRDCs,Center for Enterprise Modernization,3,"['154,933', '']","['162,690', '']","['174,712', '']","['190,408', '']","['154,829', '']","['161,448', '']","['173,127', '']","['190,408', '']"
4582,r024,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Naval Analyses,All FFRDCs,Nonprofit-administered FFRDCs,Center for Naval Analyses,3,"['90,401', '']","['95,198', '']","['96,697', '']","['95,874', '']","['90,401', '']","['95,198', '']","['96,697', '']","['95,874', '']"
4582,r025,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Nuclear Waste Regulatory Analyses,All FFRDCs,Nonprofit-administered FFRDCs,Center for Nuclear Waste Regulatory Analyses,3,"['6,312', '']","['5,054', '']","['6,987', '']","['6,762', '']","['5,207', '']","['4,647', '']","['6,340', '']","['6,359', '']"
4582,r026,All FFRDCs -> Nonprofit-administered FFRDCs -> CMS Alliance to Modernize Healthcare,All FFRDCs,Nonprofit-administered FFRDCs,CMS Alliance to Modernize Healthcare,3,"['169,013', '']","['175,030', '']","['213,369', '']","['228,162', '']","['169,013', '']","['175,030', '']","['213,369', '']","['228,162', '']"
4582,r027,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Operational Analysis Center,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Operational Analysis Center,3,"['8,622', '']","['46,321', '']","['54,751', '']","['44,736', '']","['8,622', '']","['46,321', '']","['54,751', '']","['44,736', '']"
4582,r028,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Systems Engineering and Development Institute,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Systems Engineering and Development Institute,3,"['104,414', '']","['104,689', '']","['115,813', '']","['136,874', '']","['104,414', '']","['104,689', '']","['115,813', '']","['135,713', '']"
4582,r029,All FFRDCs -> Nonprofit-administered FFRDCs -> Judiciary Engineering and Modernization Center,All FFRDCs,Nonprofit-administered FFRDCs,Judiciary Engineering and Modernization Center,3,"['8,030', '']","['6,697', '']","['7,331', '']","['6,765', '']","['8,030', '']","['6,697', '']","['7,331', '']","['6,708', '']"
4582,r030,All FFRDCs -> Nonprofit-administered FFRDCs -> National Biodefense Analysis and Countermeasures Center,All FFRDCs,Nonprofit-administered FFRDCs,National Biodefense Analysis and Countermeasures Center,3,"['34,991', '']","['37,598', '']","['39,003', '']","['42,330', '']","['34,991', '']","['37,598', '']","['39,003', '']","['42,330', '']"
4582,r031,All FFRDCs -> Nonprofit-administered FFRDCs -> National Cybersecurity Center of Excellence,All FFRDCs,Nonprofit-administered FFRDCs,National Cybersecurity Center of Excellence,3,"['13,436', '']","['19,556', '']","['22,205', '']","['23,557', '']","['13,436', '']","['19,556', '']","['22,205', '']","['23,557', '']"
4582,r032,All FFRDCs -> Nonprofit-administered FFRDCs -> National Defense Research Institute,All FFRDCs,Nonprofit-administered FFRDCs,National Defense Research Institute,3,"['69,013', '']","['57,743', '']","['67,647', '']","['64,134', '']","['69,013', '']","['57,743', '']","['67,647', '']","['64,134', '']"
4582,r033,All FFRDCs -> Nonprofit-administered FFRDCs -> National Renewable Energy Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,National Renewable Energy Laboratory,3,"['357,916', '']","['388,500', '']","['455,016', '']","['511,585', '']","['328,197', '']","['349,410', '']","['405,923', '']","['456,336', '']"
4582,r034,All FFRDCs -> Nonprofit-administered FFRDCs -> National Security Engineering Center,All FFRDCs,Nonprofit-administered FFRDCs,National Security Engineering Center,3,"['1,012,155', '']","['1,078,610', '']","['1,124,861', '']","['1,143,701', '']","['1,009,971', '']","['1,077,697', '']","['1,123,616', '']","['1,142,013', '']"
4582,r035,All FFRDCs -> Nonprofit-administered FFRDCs -> Oak Ridge National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Oak Ridge National Laboratory,3,"['1,403,204', '']","['1,399,445', '']","['1,470,372', '']","['1,632,684', '']","['1,373,042', '']","['1,378,398', '']","['1,454,122', '']","['1,616,580', '']"
4582,r036,All FFRDCs -> Nonprofit-administered FFRDCs -> Pacific Northwest National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Pacific Northwest National Laboratory,3,"['983,962', '']","['956,193', '']","['1,012,136', '']","['1,071,249', '']","['971,060', '']","['943,147', '']","['993,733', '']","['1,053,982', '']"
4582,r037,All FFRDCs -> Nonprofit-administered FFRDCs -> Project Air Force,All FFRDCs,Nonprofit-administered FFRDCs,Project Air Force,3,"['48,521', '']","['48,858', '']","['48,325', '']","['46,936', '']","['48,521', '']","['48,858', '']","['48,325', '']","['46,936', '']"
4582,r038,All FFRDCs -> Nonprofit-administered FFRDCs -> Science and Technology Policy Institute,All FFRDCs,Nonprofit-administered FFRDCs,Science and Technology Policy Institute,3,"['8,401', '']","['8,086', '']","['9,080', '']","['9,256', '']","['8,401', '']","['8,086', '']","['9,080', '']","['9,256', '']"
4582,r039,All FFRDCs -> Nonprofit-administered FFRDCs -> Systems and Analyses Center,All FFRDCs,Nonprofit-administered FFRDCs,Systems and Analyses Center,3,"['163,125', '']","['168,034', '']","['177,948', '']","['171,335', '']","['163,125', '']","['168,034', '']","['177,948', '']","['170,949', '']"
4582,r040,All FFRDCs -> Industry-administered FFRDCs,All FFRDCs,Industry-administered FFRDCs,,2,"['7,469,443', ' ']","['7,838,917', ' ']","['8,758,076', ' ']","['9,091,600', ' ']","['7,357,635', ' ']","['7,719,730', ' ']","['8,650,429', ' ']","['8,986,694', ' ']"
4582,r041,All FFRDCs -> Industry-administered FFRDCs -> Frederick National Laboratory for Cancer Research,All FFRDCs,Industry-administered FFRDCs,Frederick National Laboratory for Cancer Research,3,"['704,223', '']","['748,500', '']","['751,452', '']","['745,726', '']","['704,223', '']","['748,500', '']","['751,452', '']","['745,726', '']"
4582,r042,All FFRDCs -> Industry-administered FFRDCs -> Idaho National Laboratory,All FFRDCs,Industry-administered FFRDCs,Idaho National Laboratory,3,"['482,840', '']","['395,112', '']","['478,324', '']","['494,094', '']","['462,659', '']","['376,053', '']","['463,588', '']","['481,146', '']"
4582,r043,All FFRDCs -> Industry-administered FFRDCs -> Lawrence Livermore National Laboratory,All FFRDCs,Industry-administered FFRDCs,Lawrence Livermore National Laboratory,3,"['1,290,134', '']","['1,386,687', '']","['1,517,429', '']","['1,558,071', '']","['1,259,015', '']","['1,353,502', '']","['1,480,978', '']","['1,526,467', '']"
4582,r044,All FFRDCs -> Industry-administered FFRDCs -> Los Alamos National Laboratory,All FFRDCs,Industry-administered FFRDCs,Los Alamos National Laboratory,3,"['1,972,769', '']","['2,145,232', '']","['2,461,275', '']","['2,722,375', '']","['1,950,268', '']","['2,120,857', '']","['2,440,514', '']","['2,701,388', '']"
4582,r045,All FFRDCs -> Industry-administered FFRDCs -> Sandia National Laboratories,All FFRDCs,Industry-administered FFRDCs,Sandia National Laboratories,3,"['2,878,000', '']","['3,009,105', '']","['3,373,217', '']","['3,395,241', '']","['2,839,993', '']","['2,967,822', '']","['3,340,658', '']","['3,358,481', '']"
4582,r046,All FFRDCs -> Industry-administered FFRDCs -> Savannah River National Laboratory,All FFRDCs,Industry-administered FFRDCs,Savannah River National Laboratory,3,"['141,477', '']","['154,281', '']","['176,379', '']","['176,093', '']","['141,477', '']","['152,996', '']","['173,239', '']","['173,486', '']"
