table_id,row_id,fine_field_of_study_full_path,fine_field_of_study_level_1,fine_field_of_study_level_2,fine_field_of_study_level_3,fine_field_of_study_level_4,fine_field_of_study_level_5,fine_field_of_study_hierarchy_depth,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
1748,r017,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences -> Soil chemistry, microbiology",All fields,Life sciences,Agricultural sciences and natural resources,Agricultural sciences,"Soil chemistry, microbiology",5,18,20,34,15,16,20,17,23,20,16
1748,r018,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences -> Soil sciences, other",All fields,Life sciences,Agricultural sciences and natural resources,Agricultural sciences,"Soil sciences, other",5,49,39,39,37,51,45,54,38,52,50
1748,r019,All fields -> Life sciences -> Agricultural sciences and natural resources -> Natural resources and conservation,All fields,Life sciences,Agricultural sciences and natural resources,Natural resources and conservation,,4,524,414,514,501,509,501,566,504,536,503
1748,r020,All fields -> Life sciences -> Agricultural sciences and natural resources -> Natural resources and conservation -> Environmental science,All fields,Life sciences,Agricultural sciences and natural resources,Natural resources and conservation,Environmental science,5,201,155,195,182,204,213,182,193,228,223
1748,r021,All fields -> Life sciences -> Agricultural sciences and natural resources -> Natural resources and conservation -> Fishing and fisheries sciences and management,All fields,Life sciences,Agricultural sciences and natural resources,Natural resources and conservation,Fishing and fisheries sciences and management,5,67,34,59,51,53,52,60,47,46,51
1748,r022,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Natural resources and conservation -> Forest management, forest resources management",All fields,Life sciences,Agricultural sciences and natural resources,Natural resources and conservation,"Forest management, forest resources management",5,52,41,34,29,44,28,36,35,25,18
1748,r023,All fields -> Life sciences -> Agricultural sciences and natural resources -> Natural resources and conservation -> Forest sciences and biology,All fields,Life sciences,Agricultural sciences and natural resources,Natural resources and conservation,Forest sciences and biology,5,43,23,26,25,19,22,37,15,32,22
1748,r024,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Natural resources and conservation -> Forestry, other",All fields,Life sciences,Agricultural sciences and natural resources,Natural resources and conservation,"Forestry, other",5,26,17,35,29,26,20,22,29,36,53
1748,r025,All fields -> Life sciences -> Agricultural sciences and natural resources -> Natural resources and conservation -> Natural resource and environmental policy,All fields,Life sciences,Agricultural sciences and natural resources,Natural resources and conservation,Natural resource and environmental policy,5,na,na,na,na,na,35,56,68,54,51
1748,r026,All fields -> Life sciences -> Agricultural sciences and natural resources -> Natural resources and conservation -> Natural resources and conservation,All fields,Life sciences,Agricultural sciences and natural resources,Natural resources and conservation,Natural resources and conservation,5,84,88,100,99,92,70,87,72,63,47
1748,r027,All fields -> Life sciences -> Agricultural sciences and natural resources -> Natural resources and conservation -> Natural resources and environmental economics (agricultural sciences),All fields,Life sciences,Agricultural sciences and natural resources,Natural resources and conservation,Natural resources and environmental economics (agricultural sciences),5,na,na,na,31,22,28,39,23,21,27
1748,r028,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Natural resources and conservation -> Wildlife, range management",All fields,Life sciences,Agricultural sciences and natural resources,Natural resources and conservation,"Wildlife, range management",5,34,48,50,39,41,29,32,14,20,11
1748,r029,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Natural resources and conservation -> Wood science, pulp and paper technology",All fields,Life sciences,Agricultural sciences and natural resources,Natural resources and conservation,"Wood science, pulp and paper technology",5,17,8,15,16,8,4,15,8,11,na
1748,r030,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences and natural resources, general<sup>a</sup>",All fields,Life sciences,Agricultural sciences and natural resources,"Agricultural sciences and natural resources, general<sup>a</sup>",,4,8,2,9,8,9,25,21,73,38,38
1748,r031,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences and natural resources, other<sup>b</sup>",All fields,Life sciences,Agricultural sciences and natural resources,"Agricultural sciences and natural resources, other<sup>b</sup>",,4,14,16,14,11,20,19,16,21,14,29
1748,r032,All fields -> Life sciences -> Biological and biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,,,3,8025,8046,8152,8322,8354,8868,8783,8861,8566,8801
1748,r033,All fields -> Life sciences -> Biological and biomedical sciences -> Anatomy,All fields,Life sciences,Biological and biomedical sciences,Anatomy,,4,15,25,25,23,15,15,24,21,8,23
1748,r034,All fields -> Life sciences -> Biological and biomedical sciences -> Bacteriology,All fields,Life sciences,Biological and biomedical sciences,Bacteriology,,4,20,24,22,23,28,25,22,18,12,13
1748,r035,All fields -> Life sciences -> Biological and biomedical sciences -> Biochemistry (biological sciences),All fields,Life sciences,Biological and biomedical sciences,Biochemistry (biological sciences),,4,858,861,867,847,826,820,749,831,818,811
1748,r036,All fields -> Life sciences -> Biological and biomedical sciences -> Bioinformatics,All fields,Life sciences,Biological and biomedical sciences,Bioinformatics,,4,175,123,140,145,166,183,174,193,184,203
1748,r037,All fields -> Life sciences -> Biological and biomedical sciences -> Biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,Biomedical sciences,,4,300,287,311,366,401,438,416,329,339,421
1748,r038,All fields -> Life sciences -> Biological and biomedical sciences -> Biometrics and biostatistics,All fields,Life sciences,Biological and biomedical sciences,Biometrics and biostatistics,,4,115,127,137,174,145,165,171,198,216,233
1748,r039,All fields -> Life sciences -> Biological and biomedical sciences -> Biophysics (biological sciences),All fields,Life sciences,Biological and biomedical sciences,Biophysics (biological sciences),,4,195,171,192,193,179,186,181,165,181,152
1748,r040,All fields -> Life sciences -> Biological and biomedical sciences -> Biotechnology,All fields,Life sciences,Biological and biomedical sciences,Biotechnology,,4,26,22,33,54,39,45,38,36,37,35
1748,r041,All fields -> Life sciences -> Biological and biomedical sciences -> Botany and plant biology,All fields,Life sciences,Biological and biomedical sciences,Botany and plant biology,,4,113,110,110,110,91,93,97,111,97,120
1748,r042,All fields -> Life sciences -> Biological and biomedical sciences -> Cancer biology,All fields,Life sciences,Biological and biomedical sciences,Cancer biology,,4,273,300,396,381,379,455,454,436,370,355
1748,r043,"All fields -> Life sciences -> Biological and biomedical sciences -> Cell, cellular biology, and histology",All fields,Life sciences,Biological and biomedical sciences,"Cell, cellular biology, and histology",,4,354,361,379,376,318,335,321,258,230,218
1748,r044,All fields -> Life sciences -> Biological and biomedical sciences -> Computational biology,All fields,Life sciences,Biological and biomedical sciences,Computational biology,,4,na,69,65,94,115,117,107,134,149,146
1748,r045,All fields -> Life sciences -> Biological and biomedical sciences -> Developmental biology and embryology,All fields,Life sciences,Biological and biomedical sciences,Developmental biology and embryology,,4,185,193,205,174,197,198,187,162,133,135
1748,r046,All fields -> Life sciences -> Biological and biomedical sciences -> Ecology,All fields,Life sciences,Biological and biomedical sciences,Ecology,,4,456,431,404,415,468,449,453,482,437,418
1748,r047,All fields -> Life sciences -> Biological and biomedical sciences -> Endocrinology,All fields,Life sciences,Biological and biomedical sciences,Endocrinology,,4,33,23,32,26,39,26,22,11,17,21
1748,r048,All fields -> Life sciences -> Biological and biomedical sciences -> Entomology,All fields,Life sciences,Biological and biomedical sciences,Entomology,,4,131,122,113,120,118,112,109,127,129,119
1748,r049,All fields -> Life sciences -> Biological and biomedical sciences -> Environmental toxicology<sup>c</sup>,All fields,Life sciences,Biological and biomedical sciences,Environmental toxicology<sup>c</sup>,,4,na,39,30,45,33,49,34,45,64,56
1748,r050,All fields -> Life sciences -> Biological and biomedical sciences -> Epidemiology<sup>d</sup>,All fields,Life sciences,Biological and biomedical sciences,Epidemiology<sup>d</sup>,,4,na,na,na,na,na,292,378,343,351,401
1748,r051,All fields -> Life sciences -> Biological and biomedical sciences -> Evolutionary biology,All fields,Life sciences,Biological and biomedical sciences,Evolutionary biology,,4,215,214,213,203,209,215,210,200,229,242
1748,r052,"All fields -> Life sciences -> Biological and biomedical sciences -> Genetics, genomics, human and animal",All fields,Life sciences,Biological and biomedical sciences,"Genetics, genomics, human and animal",,4,364,383,374,334,396,401,358,338,344,362
1748,r053,All fields -> Life sciences -> Biological and biomedical sciences -> Immunology,All fields,Life sciences,Biological and biomedical sciences,Immunology,,4,434,452,449,455,471,456,471,397,402,422
1748,r054,All fields -> Life sciences -> Biological and biomedical sciences -> Microbiology,All fields,Life sciences,Biological and biomedical sciences,Microbiology,,4,586,490,462,451,455,463,480,465,431,478
1748,r055,All fields -> Life sciences -> Biological and biomedical sciences -> Molecular biology,All fields,Life sciences,Biological and biomedical sciences,Molecular biology,,4,763,697,716,620,646,670,632,549,634,596
1748,r056,All fields -> Life sciences -> Biological and biomedical sciences -> Molecular medicine,All fields,Life sciences,Biological and biomedical sciences,Molecular medicine,,4,na,na,na,na,na,na,na,25,66,62
1748,r057,"All fields -> Life sciences -> Biological and biomedical sciences -> Neurosciences, neurobiology<sup>e</sup>",All fields,Life sciences,Biological and biomedical sciences,"Neurosciences, neurobiology<sup>e</sup>",,4,983,954,958,1053,1016,1048,1089,996,984,1037
1748,r058,All fields -> Life sciences -> Biological and biomedical sciences -> Nutrition sciences,All fields,Life sciences,Biological and biomedical sciences,Nutrition sciences,,4,174,180,163,183,177,175,184,204,215,201
1748,r059,All fields -> Life sciences -> Biological and biomedical sciences -> Parasitology,All fields,Life sciences,Biological and biomedical sciences,Parasitology,,4,24,37,26,29,26,26,31,20,16,20
1748,r060,"All fields -> Life sciences -> Biological and biomedical sciences -> Pathology, human and animal",All fields,Life sciences,Biological and biomedical sciences,"Pathology, human and animal",,4,106,79,83,95,95,99,88,49,68,52
1748,r061,"All fields -> Life sciences -> Biological and biomedical sciences -> Pharmacology, human and animal",All fields,Life sciences,Biological and biomedical sciences,"Pharmacology, human and animal",,4,343,290,301,308,286,292,243,207,230,210
1748,r062,"All fields -> Life sciences -> Biological and biomedical sciences -> Physiology, human and animal",All fields,Life sciences,Biological and biomedical sciences,"Physiology, human and animal",,4,244,258,226,254,210,208,210,165,162,202
1748,r063,All fields -> Life sciences -> Biological and biomedical sciences -> Plant genetics,All fields,Life sciences,Biological and biomedical sciences,Plant genetics,,4,48,52,45,41,37,48,57,67,50,72
1748,r064,All fields -> Life sciences -> Biological and biomedical sciences -> Plant pathology and phytopathology (biological sciences),All fields,Life sciences,Biological and biomedical sciences,Plant pathology and phytopathology (biological sciences),,4,26,19,18,25,21,29,20,13,11,11
1748,r065,All fields -> Life sciences -> Biological and biomedical sciences -> Plant physiology,All fields,Life sciences,Biological and biomedical sciences,Plant physiology,,4,13,28,15,19,25,17,18,13,17,18
1748,r066,All fields -> Life sciences -> Biological and biomedical sciences -> Structural biology,All fields,Life sciences,Biological and biomedical sciences,Structural biology,,4,na,53,71,57,67,59,64,47,56,51
1748,r067,All fields -> Life sciences -> Biological and biomedical sciences -> Toxicology,All fields,Life sciences,Biological and biomedical sciences,Toxicology,,4,120,99,96,101,99,117,104,85,77,95
1748,r068,All fields -> Life sciences -> Biological and biomedical sciences -> Virology,All fields,Life sciences,Biological and biomedical sciences,Virology,,4,na,134,178,162,162,163,164,142,115,116
1748,r069,All fields -> Life sciences -> Biological and biomedical sciences -> Wildlife biology,All fields,Life sciences,Biological and biomedical sciences,Wildlife biology,,4,na,na,na,na,na,36,47,47,60,62
1748,r070,All fields -> Life sciences -> Biological and biomedical sciences -> Zoology,All fields,Life sciences,Biological and biomedical sciences,Zoology,,4,79,72,65,51,40,32,46,38,40,29
1748,r071,"All fields -> Life sciences -> Biological and biomedical sciences -> Biological and biomedical sciences, general",All fields,Life sciences,Biological and biomedical sciences,"Biological and biomedical sciences, general",,4,173,184,168,223,256,245,258,771,469,468
1748,r072,"All fields -> Life sciences -> Biological and biomedical sciences -> Biological and biomedical sciences, other",All fields,Life sciences,Biological and biomedical sciences,"Biological and biomedical sciences, other",,4,81,83,64,92,103,66,72,123,118,115
1748,r073,All fields -> Life sciences -> Health sciences,All fields,Life sciences,Health sciences,,,3,2095,2173,2177,2387,2529,2278,2276,2297,2495,2534
1748,r074,All fields -> Life sciences -> Health sciences -> Environmental health,All fields,Life sciences,Health sciences,Environmental health,,4,42,66,56,67,70,77,79,76,84,83
1748,r075,All fields -> Life sciences -> Health sciences -> Environmental toxicology<sup>c</sup>,All fields,Life sciences,Health sciences,Environmental toxicology<sup>c</sup>,,4,37,na,na,na,na,na,na,na,na,na
1748,r076,All fields -> Life sciences -> Health sciences -> Epidemiology<sup>d</sup>,All fields,Life sciences,Health sciences,Epidemiology<sup>d</sup>,,4,273,324,314,365,353,na,na,na,na,na
1748,r077,All fields -> Life sciences -> Health sciences -> Gerontology (health sciences),All fields,Life sciences,Health sciences,Gerontology (health sciences),,4,na,10,15,14,13,14,13,25,19,15
1748,r078,All fields -> Life sciences -> Health sciences -> Health and behavior,All fields,Life sciences,Health sciences,Health and behavior,,4,na,na,na,na,na,88,125,119,84,60
1748,r079,All fields -> Life sciences -> Health sciences -> Health services research,All fields,Life sciences,Health sciences,Health services research,,4,na,na,na,na,na,na,na,120,164,138
1748,r080,All fields -> Life sciences -> Health sciences -> Health systems administration,All fields,Life sciences,Health sciences,Health systems administration,,4,70,75,84,51,89,89,70,41,36,22
1748,r081,"All fields -> Life sciences -> Health sciences -> Kinesiology, exercise science<sup>f</sup>",All fields,Life sciences,Health sciences,"Kinesiology, exercise science<sup>f</sup>",,4,211,215,198,228,214,249,264,231,267,268
1748,r082,"All fields -> Life sciences -> Health sciences -> Medical physics, radiological science",All fields,Life sciences,Health sciences,"Medical physics, radiological science",,4,na,61,74,80,93,103,84,94,92,74
1748,r083,All fields -> Life sciences -> Health sciences -> Nursing science,All fields,Life sciences,Health sciences,Nursing science,,4,511,482,523,552,510,580,536,482,552,585
1748,r084,"All fields -> Life sciences -> Health sciences -> Oral biology, oral pathology",All fields,Life sciences,Health sciences,"Oral biology, oral pathology",,4,na,15,22,15,20,15,19,23,33,24
1748,r085,All fields -> Life sciences -> Health sciences -> Pharmaceutical sciences<sup>g</sup>,All fields,Life sciences,Health sciences,Pharmaceutical sciences<sup>g</sup>,,4,277,274,271,295,332,279,270,274,292,345
1748,r086,All fields -> Life sciences -> Health sciences -> Public health,All fields,Life sciences,Health sciences,Public health,,4,299,295,266,349,431,400,437,379,439,421
1748,r087,"All fields -> Life sciences -> Health sciences -> Rehabilitation, therapeutic services",All fields,Life sciences,Health sciences,"Rehabilitation, therapeutic services",,4,80,61,60,80,85,83,86,108,90,125
1748,r088,All fields -> Life sciences -> Health sciences -> Speech-language pathology and audiology,All fields,Life sciences,Health sciences,Speech-language pathology and audiology,,4,121,100,110,119,110,114,117,116,128,112
1748,r089,All fields -> Life sciences -> Health sciences -> Veterinary sciences,All fields,Life sciences,Health sciences,Veterinary sciences,,4,60,57,60,59,67,42,56,49,50,57
1748,r090,"All fields -> Life sciences -> Health sciences -> Health sciences, general",All fields,Life sciences,Health sciences,"Health sciences, general",,4,35,37,41,37,62,39,36,93,65,72
1748,r091,"All fields -> Life sciences -> Health sciences -> Health sciences, other",All fields,Life sciences,Health sciences,"Health sciences, other",,4,79,101,83,76,80,106,84,67,100,133
1748,r092,All fields -> Physical sciences and earth sciences,All fields,Physical sciences and earth sciences,,,,2,5160,4995,5271,5419,5584,5910,5917,6251,6084,6335
1748,r093,All fields -> Physical sciences and earth sciences -> Chemistry,All fields,Physical sciences and earth sciences,Chemistry,,,3,2391,2304,2432,2416,2484,2673,2667,2703,2701,2810
1748,r094,All fields -> Physical sciences and earth sciences -> Chemistry -> Analytical chemistry,All fields,Physical sciences and earth sciences,Chemistry,Analytical chemistry,,4,364,402,391,370,417,415,388,393,387,401
1748,r095,All fields -> Physical sciences and earth sciences -> Chemistry -> Chemical biology,All fields,Physical sciences and earth sciences,Chemistry,Chemical biology,,4,na,na,na,na,na,na,na,120,150,160
1748,r096,All fields -> Physical sciences and earth sciences -> Chemistry -> Inorganic chemistry,All fields,Physical sciences and earth sciences,Chemistry,Inorganic chemistry,,4,331,294,320,307,297,372,354,343,354,358
1748,r097,All fields -> Physical sciences and earth sciences -> Chemistry -> Medicinal chemistry<sup>h</sup>,All fields,Physical sciences and earth sciences,Chemistry,Medicinal chemistry<sup>h</sup>,,4,na,na,na,na,na,86,79,72,70,86
1748,r098,All fields -> Physical sciences and earth sciences -> Chemistry -> Organic chemistry,All fields,Physical sciences and earth sciences,Chemistry,Organic chemistry,,4,684,599,663,667,643,605,625,565,552,574
1748,r099,All fields -> Physical sciences and earth sciences -> Chemistry -> Physical chemistry,All fields,Physical sciences and earth sciences,Chemistry,Physical chemistry,,4,319,360,390,360,355,340,366,379,343,398
1748,r100,All fields -> Physical sciences and earth sciences -> Chemistry -> Polymer chemistry,All fields,Physical sciences and earth sciences,Chemistry,Polymer chemistry,,4,119,126,123,125,125,127,135,151,160,132
1748,r101,All fields -> Physical sciences and earth sciences -> Chemistry -> Theoretical chemistry,All fields,Physical sciences and earth sciences,Chemistry,Theoretical chemistry,,4,86,86,69,78,74,103,111,88,88,106
1748,r102,"All fields -> Physical sciences and earth sciences -> Chemistry -> Chemistry, general",All fields,Physical sciences and earth sciences,Chemistry,"Chemistry, general",,4,298,269,289,290,364,416,399,411,433,430
1748,r103,"All fields -> Physical sciences and earth sciences -> Chemistry -> Chemistry, other",All fields,Physical sciences and earth sciences,Chemistry,"Chemistry, other",,4,190,168,187,219,209,209,210,181,164,165
1748,r104,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",,,3,877,862,852,941,989,1098,1057,1227,1169,1185
1748,r105,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,,4,167,170,178,205,205,200,213,245,248,265
1748,r106,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology -> Atmospheric chemistry and climatology",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,Atmospheric chemistry and climatology,5,30,39,43,50,49,42,36,41,62,50
1748,r107,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology -> Atmospheric physics and dynamics",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,Atmospheric physics and dynamics,5,43,45,40,51,43,51,59,58,30,48
1748,r108,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology -> Meteorology",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,Meteorology,5,14,15,29,18,18,32,30,20,17,19
1748,r109,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology -> Atmospheric science and meteorology, general",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,"Atmospheric science and meteorology, general",5,55,47,47,61,77,55,62,108,105,123
1748,r110,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology -> Atmospheric science and meteorology, other",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,"Atmospheric science and meteorology, other",5,25,24,19,25,18,20,26,18,34,25
1748,r111,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,,4,492,463,451,462,489,579,554,618,572,591
1748,r112,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences -> Geochemistry",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,Geochemistry,5,78,74,70,68,73,85,94,81,67,61
1748,r113,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences -> Geology",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,Geology,5,140,128,124,112,126,130,135,127,118,132
1748,r114,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences -> Geomorphology, glacial geology",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,"Geomorphology, glacial geology",5,22,28,23,16,32,25,27,24,22,18
1748,r115,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences -> Geophysics and seismology",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,Geophysics and seismology,5,102,94,95,95,113,151,123,138,124,129
1748,r116,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences -> Mineralogy and petrology",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,Mineralogy and petrology,5,12,13,19,19,16,15,21,6,9,9
1748,r117,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences -> Paleontology",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,Paleontology,5,31,31,38,41,31,38,30,30,29,30
1748,r118,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences -> Stratigraphy and sedimentation",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,Stratigraphy and sedimentation,5,18,18,16,16,22,15,17,12,12,14
1748,r119,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences -> Geological and earth sciences, general",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,"Geological and earth sciences, general",5,31,36,26,34,33,60,55,155,139,125
1748,r120,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences -> Geological and earth sciences, other",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,"Geological and earth sciences, other",5,58,41,40,61,43,60,52,45,52,73
1748,r121,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean and marine sciences",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences,,4,218,229,223,274,295,319,290,364,349,329
1748,r122,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean and marine sciences -> Hydrology and water resources",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences,Hydrology and water resources,5,38,47,48,52,51,63,76,130,99,107
1748,r123,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean and marine sciences -> Marine biology and biological oceanography",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences,Marine biology and biological oceanography,5,na,na,na,100,111,110,85,90,112,73
1748,r124,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean and marine sciences -> Marine sciences",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences,Marine sciences,5,79,79,69,36,26,41,42,54,53,56
1748,r125,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean and marine sciences -> Oceanography, chemical and physical",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences,"Oceanography, chemical and physical",5,81,87,90,70,92,89,67,79,70,81
