table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_r_d_expenditures_for_intramural_performers,field_source_of_funds_federal_government,field_source_of_funds_own_state_government,field_source_of_funds_other_nonfederal_governments,field_source_of_funds_nonprofit_organizations,field_source_of_funds_businesses_and_individuals,field_source_of_funds_higher_education_institutions
12546,r034,United States<sup>a</sup> -> New York,United States<sup>a</sup>,New York,2,286453348,157405093,105631778,1319969,8131629,12179698,1785181
12546,r035,United States<sup>a</sup> -> North Carolina,United States<sup>a</sup>,North Carolina,2,16335642,520035,15815607,0,0,0,0
12546,r036,United States<sup>a</sup> -> North Dakota,United States<sup>a</sup>,North Dakota,2,981502,540406,441096,0,0,0,0
12546,r037,United States<sup>a</sup> -> Ohio,United States<sup>a</sup>,Ohio,2,641094,355768,285326,0,0,0,0
12546,r038,United States<sup>a</sup> -> Oklahoma,United States<sup>a</sup>,Oklahoma,2,1434856,1047254,387602,0,0,0,0
12546,r039,United States<sup>a</sup> -> Oregon,United States<sup>a</sup>,Oregon,2,19770459,13713869,5605775,450815,0,0,0
12546,r040,United States<sup>a</sup> -> Pennsylvania,United States<sup>a</sup>,Pennsylvania,2,16987160,9082034,7785126,120000,0,0,0
12546,r041,United States<sup>a</sup> -> Rhode Island,United States<sup>a</sup>,Rhode Island,2,236546,236546,0,0,0,0,0
12546,r042,United States<sup>a</sup> -> South Carolina,United States<sup>a</sup>,South Carolina,2,32709409,22615194,9188685,160036,0,0,745494
12546,r043,United States<sup>a</sup> -> South Dakota,United States<sup>a</sup>,South Dakota,2,273454,191504,81950,0,0,0,0
12546,r044,United States<sup>a</sup> -> Tennessee,United States<sup>a</sup>,Tennessee,2,175000,140000,35000,0,0,0,0
12546,r045,United States<sup>a</sup> -> Texas,United States<sup>a</sup>,Texas,2,1993899,1202045,791854,0,0,0,0
12546,r046,United States<sup>a</sup> -> Utah,United States<sup>a</sup>,Utah,2,7748094,358994,7389100,0,0,0,0
12546,r047,United States<sup>a</sup> -> Vermont,United States<sup>a</sup>,Vermont,2,2163824,2112389,51435,0,0,0,0
12546,r048,United States<sup>a</sup> -> Virginia,United States<sup>a</sup>,Virginia,2,20744159,7285245,13066261,277653,0,0,115000
12546,r049,United States<sup>a</sup> -> Washington,United States<sup>a</sup>,Washington,2,26263518,7809141,17063967,1280367,110043,0,0
12546,r050,United States<sup>a</sup> -> West Virginia,United States<sup>a</sup>,West Virginia,2,4773515,2257270,2516245,0,0,0,0
12546,r051,United States<sup>a</sup> -> Wisconsin,United States<sup>a</sup>,Wisconsin,2,5377653,4410314,967339,0,0,0,0
12546,r052,United States<sup>a</sup> -> Wyoming,United States<sup>a</sup>,Wyoming,2,4237727,1480607,2734808,22312,0,0,0
12546,r053,Puerto Rico<sup>b</sup>,Puerto Rico<sup>b</sup>,,1,30716521,17691128,13025393,0,0,0,0
