table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_level_5,characteristic_hierarchy_depth,field_master_s_2017,field_master_s_2018,field_master_s_2019,field_master_s_2020,field_master_s_percent_change_2017_20,field_master_s_percent_change_2019_20,field_doctoral_2017,field_doctoral_2018,field_doctoral_2019,field_doctoral_2020,field_doctoral_percent_change_2017_20,field_doctoral_percent_change_2019_20
5558,r034,"Full-time students -> First-time, full-time students -> U.S. citizens and permanent residents<sup>a</sup>",Full-time students,"First-time, full-time students",U.S. citizens and permanent residents<sup>a</sup>,,,3,64513,67821,68897,79715,23.6,15.7,26902,27009,27177,27744,3.1,2.1
5558,r035,"Full-time students -> First-time, full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Male",Full-time students,"First-time, full-time students",U.S. citizens and permanent residents<sup>a</sup>,Male,,4,27523,28480,28005,32396,17.7,15.7,13859,13558,13366,13419,-3.2,0.4
5558,r036,"Full-time students -> First-time, full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Female",Full-time students,"First-time, full-time students",U.S. citizens and permanent residents<sup>a</sup>,Female,,4,36990,39341,40892,47319,27.9,15.7,13043,13451,13811,14325,9.8,3.7
5558,r037,"Full-time students -> First-time, full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino",Full-time students,"First-time, full-time students",U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,4,7694,8618,9034,11483,49.2,27.1,2823,2921,3267,3383,19.8,3.6
5558,r038,"Full-time students -> First-time, full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino",Full-time students,"First-time, full-time students",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,4,,,,,,,,,,,,
5558,r039,"Full-time students -> First-time, full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native",Full-time students,"First-time, full-time students",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,5,285,291,314,306,7.4,-2.5,89,100,115,96,7.9,-16.5
5558,r040,"Full-time students -> First-time, full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian",Full-time students,"First-time, full-time students",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,5,7445,7966,8487,9685,30.1,14.1,2701,2954,3008,3153,16.7,4.8
5558,r041,"Full-time students -> First-time, full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American",Full-time students,"First-time, full-time students",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,5,5429,5789,6188,7664,41.2,23.9,1522,1593,1637,1726,13.4,5.4
5558,r042,"Full-time students -> First-time, full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander",Full-time students,"First-time, full-time students",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,102,138,136,135,32.4,-0.7,24,39,24,27,12.5,12.5
5558,r043,"Full-time students -> First-time, full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White",Full-time students,"First-time, full-time students",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,5,37642,38837,39055,44007,16.9,12.7,17503,17291,17067,16886,-3.5,-1.1
5558,r044,"Full-time students -> First-time, full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race",Full-time students,"First-time, full-time students",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,5,2440,2480,2498,3063,25.5,22.6,1099,1062,1047,1160,5.6,10.8
5558,r045,"Full-time students -> First-time, full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown race and ethnicity",Full-time students,"First-time, full-time students",U.S. citizens and permanent residents<sup>a</sup>,Unknown race and ethnicity,,4,3476,3702,3185,3372,-3.0,5.9,1141,1049,1012,1313,15.1,29.7
5558,r046,"Full-time students -> First-time, full-time students -> Temporary visa holders",Full-time students,"First-time, full-time students",Temporary visa holders,,,3,46467,46393,47610,22381,-51.8,-53.0,18275,18501,19348,13429,-26.5,-30.6
5558,r047,"Full-time students -> First-time, full-time students -> Temporary visa holders -> Male",Full-time students,"First-time, full-time students",Temporary visa holders,Male,,4,28944,28372,28568,12678,-56.2,-55.6,11693,11676,12035,8193,-29.9,-31.9
5558,r048,"Full-time students -> First-time, full-time students -> Temporary visa holders -> Female",Full-time students,"First-time, full-time students",Temporary visa holders,Female,,4,17523,18021,19042,9703,-44.6,-49.0,6582,6825,7313,5236,-20.4,-28.4
