table_id,row_id,time_period,_b_total_b_level_1,_b_total_b_level_2,_b_total_b_level_3,_b_total_b_hierarchy_depth,value
9270,r050,2004,Federally financed,All R&D expenditures,,2,12322
9270,r051,2004,Federally financed,Basic research,Amount,3,4790
9270,r052,2004,Federally financed,Basic research,Percent,3,38.9
9270,r053,2004,Federally financed,Applied research,Amount,3,na
9270,r054,2004,Federally financed,Applied research,Percent,3,na
9270,r055,2004,Federally financed,Experimental development,Amount,3,na
9270,r056,2004,Federally financed,Experimental development,Percent,3,na
9270,r057,2005,Total,All R&D expenditures,,2,13255
9270,r058,2005,Total,Basic research,Amount,3,5110
9270,r059,2005,Total,Basic research,Percent,3,38.5
9270,r060,2005,Total,Applied research,Amount,3,na
9270,r061,2005,Total,Applied research,Percent,3,na
9270,r062,2005,Total,Experimental development,Amount,3,na
9270,r063,2005,Total,Experimental development,Percent,3,na
9270,r064,2005,Federally financed,All R&D expenditures,,2,12917
9270,r065,2005,Federally financed,Basic research,Amount,3,4977
9270,r066,2005,Federally financed,Basic research,Percent,3,38.5
9270,r067,2005,Federally financed,Applied research,Amount,3,na
9270,r068,2005,Federally financed,Applied research,Percent,3,na
9270,r069,2005,Federally financed,Experimental development,Amount,3,na
9270,r070,2005,Federally financed,Experimental development,Percent,3,na
9270,r071,2006,Total,All R&D expenditures,,2,13218
9270,r072,2006,Total,Basic research,Amount,3,5197
9270,r073,2006,Total,Basic research,Percent,3,39.3
9270,r074,2006,Total,Applied research,Amount,3,na
9270,r075,2006,Total,Applied research,Percent,3,na
9270,r076,2006,Total,Experimental development,Amount,3,na
9270,r077,2006,Total,Experimental development,Percent,3,na
9270,r078,2006,Federally financed,All R&D expenditures,,2,12825
9270,r079,2006,Federally financed,Basic research,Amount,3,5048
9270,r080,2006,Federally financed,Basic research,Percent,3,39.4
9270,r081,2006,Federally financed,Applied research,Amount,3,na
9270,r082,2006,Federally financed,Applied research,Percent,3,na
9270,r083,2006,Federally financed,Experimental development,Amount,3,na
9270,r084,2006,Federally financed,Experimental development,Percent,3,na
9270,r085,2007<sup>a</sup>,Total,All R&D expenditures,,2,13825
9270,r086,2007<sup>a</sup>,Total,Basic research,Amount,3,5296
9270,r087,2007<sup>a</sup>,Total,Basic research,Percent,3,38.3
9270,r088,2007<sup>a</sup>,Total,Applied research,Amount,3,3479
9270,r089,2007<sup>a</sup>,Total,Applied research,Percent,3,25.2
9270,r090,2007<sup>a</sup>,Total,Experimental development,Amount,3,4411
9270,r091,2007<sup>a</sup>,Total,Experimental development,Percent,3,31.9
9270,r092,2007<sup>a</sup>,Federally financed,All R&D expenditures,,2,13401
9270,r093,2007<sup>a</sup>,Federally financed,Basic research,Amount,3,5151
9270,r094,2007<sup>a</sup>,Federally financed,Basic research,Percent,3,38.4
9270,r095,2007<sup>a</sup>,Federally financed,Applied research,Amount,3,3314
9270,r096,2007<sup>a</sup>,Federally financed,Applied research,Percent,3,24.7
9270,r097,2007<sup>a</sup>,Federally financed,Experimental development,Amount,3,4319
9270,r098,2007<sup>a</sup>,Federally financed,Experimental development,Percent,3,32.2
9270,r099,2008,Total,All R&D expenditures,,2,15616
9270,r100,2008,Total,Basic research,Amount,3,5379
9270,r101,2008,Total,Basic research,Percent,3,34.4
9270,r102,2008,Total,Applied research,Amount,3,3992
9270,r103,2008,Total,Applied research,Percent,3,25.6
9270,r104,2008,Total,Experimental development,Amount,3,6245
9270,r105,2008,Total,Experimental development,Percent,3,40.0
9270,r106,2008,Federally financed,All R&D expenditures,,2,15177
9270,r107,2008,Federally financed,Basic research,Amount,3,5210
9270,r108,2008,Federally financed,Basic research,Percent,3,34.3
9270,r109,2008,Federally financed,Applied research,Amount,3,3825
9270,r110,2008,Federally financed,Applied research,Percent,3,25.2
9270,r111,2008,Federally financed,Experimental development,Amount,3,6143
9270,r112,2008,Federally financed,Experimental development,Percent,3,40.5
9270,r113,2009,Total,All R&D expenditures,,2,16390
9270,r114,2009,Total,Basic research,Amount,3,5871
9270,r115,2009,Total,Basic research,Percent,3,35.8
9270,r116,2009,Total,Applied research,Amount,3,4545
9270,r117,2009,Total,Applied research,Percent,3,27.7
9270,r118,2009,Total,Experimental development,Amount,3,5974
9270,r119,2009,Total,Experimental development,Percent,3,36.4
9270,r120,2009,Federally financed,All R&D expenditures,,2,15943
9270,r121,2009,Federally financed,Basic research,Amount,3,5714
9270,r122,2009,Federally financed,Basic research,Percent,3,35.8
9270,r123,2009,Federally financed,Applied research,Amount,3,4346
9270,r124,2009,Federally financed,Applied research,Percent,3,27.3
9270,r125,2009,Federally financed,Experimental development,Amount,3,5884
9270,r126,2009,Federally financed,Experimental development,Percent,3,36.9
9270,r127,2010,Total,All R&D expenditures,,2,18881
9270,r128,2010,Total,Basic research,Amount,3,6655
9270,r129,2010,Total,Basic research,Percent,3,35.2
9270,r130,2010,Total,Applied research,Amount,3,5191
9270,r131,2010,Total,Applied research,Percent,3,27.5
9270,r132,2010,Total,Experimental development,Amount,3,7034
9270,r133,2010,Total,Experimental development,Percent,3,37.3
9270,r134,2010,Federally financed,All R&D expenditures,,2,18454
9270,r135,2010,Federally financed,Basic research,Amount,3,6487
9270,r136,2010,Federally financed,Basic research,Percent,3,35.2
9270,r137,2010,Federally financed,Applied research,Amount,3,5031
9270,r138,2010,Federally financed,Applied research,Percent,3,27.3
9270,r139,2010,Federally financed,Experimental development,Amount,3,6935
9270,r140,2010,Federally financed,Experimental development,Percent,3,37.6
9270,r141,2011,Total,All R&D expenditures,,2,18671
9270,r142,2011,Total,Basic research,Amount,3,6582
9270,r143,2011,Total,Basic research,Percent,3,35.3
9270,r144,2011,Total,Applied research,Amount,3,5175
9270,r145,2011,Total,Applied research,Percent,3,27.7
9270,r146,2011,Total,Experimental development,Amount,3,6914
9270,r147,2011,Total,Experimental development,Percent,3,37.0
9270,r148,2011,Federally financed,All R&D expenditures,,2,18276
9270,r149,2011,Federally financed,Basic research,Amount,3,6439
9270,r150,2011,Federally financed,Basic research,Percent,3,35.2
9270,r151,2011,Federally financed,Applied research,Amount,3,5006
9270,r152,2011,Federally financed,Applied research,Percent,3,27.4
9270,r153,2011,Federally financed,Experimental development,Amount,3,6830
9270,r154,2011,Federally financed,Experimental development,Percent,3,37.4
9270,r155,2012,Total,All R&D expenditures,,2,18281
9270,r156,2012,Total,Basic research,Amount,3,6153
9270,r157,2012,Total,Basic research,Percent,3,33.7
9270,r158,2012,Total,Applied research,Amount,3,5382
9270,r159,2012,Total,Applied research,Percent,3,29.4
9270,r160,2012,Total,Experimental development,Amount,3,6746
9270,r161,2012,Total,Experimental development,Percent,3,36.9
9270,r162,2012,Federally financed,All R&D expenditures,,2,17875
9270,r163,2012,Federally financed,Basic research,Amount,3,6013
9270,r164,2012,Federally financed,Basic research,Percent,3,33.6
9270,r165,2012,Federally financed,Applied research,Amount,3,5209
9270,r166,2012,Federally financed,Applied research,Percent,3,29.1
9270,r167,2012,Federally financed,Experimental development,Amount,3,6653
9270,r168,2012,Federally financed,Experimental development,Percent,3,37.2
9270,r169,2013,Total,All R&D expenditures,,2,17667
9270,r170,2013,Total,Basic research,Amount,3,4186
9270,r171,2013,Total,Basic research,Percent,3,23.7
9270,r172,2013,Total,Applied research,Amount,3,6818
9270,r173,2013,Total,Applied research,Percent,3,38.6
9270,r174,2013,Total,Experimental development,Amount,3,6663
9270,r175,2013,Total,Experimental development,Percent,3,37.7
9270,r176,2013,Federally financed,All R&D expenditures,,2,17285
9270,r177,2013,Federally financed,Basic research,Amount,3,4081
9270,r178,2013,Federally financed,Basic research,Percent,3,23.6
9270,r179,2013,Federally financed,Applied research,Amount,3,6636
9270,r180,2013,Federally financed,Applied research,Percent,3,38.4
9270,r181,2013,Federally financed,Experimental development,Amount,3,6568
9270,r182,2013,Federally financed,Experimental development,Percent,3,38.0
9270,r183,2014,Total,All R&D expenditures,,2,17719
9270,r184,2014,Total,Basic research,Amount,3,4195
9270,r185,2014,Total,Basic research,Percent,3,23.7
9270,r186,2014,Total,Applied research,Amount,3,6839
9270,r187,2014,Total,Applied research,Percent,3,38.6
9270,r188,2014,Total,Experimental development,Amount,3,6684
9270,r189,2014,Total,Experimental development,Percent,3,37.7
9270,r190,2014,Federally financed,All R&D expenditures,,2,17331
9270,r191,2014,Federally financed,Basic research,Amount,3,4098
9270,r192,2014,Federally financed,Basic research,Percent,3,23.6
9270,r193,2014,Federally financed,Applied research,Amount,3,6648
9270,r194,2014,Federally financed,Applied research,Percent,3,38.4
9270,r195,2014,Federally financed,Experimental development,Amount,3,6585
9270,r196,2014,Federally financed,Experimental development,Percent,3,38.0
9270,r197,2015,Total,All R&D expenditures,,2,18458
9270,r198,2015,Total,Basic research,Amount,3,4094
9270,r199,2015,Total,Basic research,Percent,3,22.2
9270,r200,2015,Total,Applied research,Amount,3,7292
9270,r201,2015,Total,Applied research,Percent,3,39.5
9270,r202,2015,Total,Experimental development,Amount,3,7072
9270,r203,2015,Total,Experimental development,Percent,3,38.3
9270,r204,2015,Federally financed,All R&D expenditures,,2,18097
9270,r205,2015,Federally financed,Basic research,Amount,3,4012
9270,r206,2015,Federally financed,Basic research,Percent,3,22.2
9270,r207,2015,Federally financed,Applied research,Amount,3,7118
9270,r208,2015,Federally financed,Applied research,Percent,3,39.3
9270,r209,2015,Federally financed,Experimental development,Amount,3,6968
9270,r210,2015,Federally financed,Experimental development,Percent,3,38.5
9270,r211,2016,Total,All R&D expenditures,,2,19220
9270,r212,2016,Total,Basic research,Amount,3,4224
9270,r213,2016,Total,Basic research,Percent,3,22.0
9270,r214,2016,Total,Applied research,Amount,3,7527
9270,r215,2016,Total,Applied research,Percent,3,39.2
9270,r216,2016,Total,Experimental development,Amount,3,7468
9270,r217,2016,Total,Experimental development,Percent,3,38.9
9270,r218,2016,Federally financed,All R&D expenditures,,2,18856
9270,r219,2016,Federally financed,Basic research,Amount,3,4136
9270,r220,2016,Federally financed,Basic research,Percent,3,21.9
9270,r221,2016,Federally financed,Applied research,Amount,3,7373
9270,r222,2016,Federally financed,Applied research,Percent,3,39.1
9270,r223,2016,Federally financed,Experimental development,Amount,3,7347
9270,r224,2016,Federally financed,Experimental development,Percent,3,39.0
9270,r225,2017,Total,All R&D expenditures,,2,20038
9270,r226,2017,Total,Basic research,Amount,3,4111
9270,r227,2017,Total,Basic research,Percent,3,20.5
9270,r228,2017,Total,Applied research,Amount,3,7931
9270,r229,2017,Total,Applied research,Percent,3,39.6
9270,r230,2017,Total,Experimental development,Amount,3,7996
9270,r231,2017,Total,Experimental development,Percent,3,39.9
9270,r232,2017,Federally financed,All R&D expenditures,,2,19668
9270,r233,2017,Federally financed,Basic research,Amount,3,4039
9270,r234,2017,Federally financed,Basic research,Percent,3,20.5
9270,r235,2017,Federally financed,Applied research,Amount,3,7756
9270,r236,2017,Federally financed,Applied research,Percent,3,39.4
9270,r237,2017,Federally financed,Experimental development,Amount,3,7873
9270,r238,2017,Federally financed,Experimental development,Percent,3,40.0
9270,r239,2018,Total,All R&D expenditures,,2,21172
9270,r240,2018,Total,Basic research,Amount,3,4180
9270,r241,2018,Total,Basic research,Percent,3,19.7
9270,r242,2018,Total,Applied research,Amount,3,8391
9270,r243,2018,Total,Applied research,Percent,3,39.6
9270,r244,2018,Total,Experimental development,Amount,3,8600
9270,r245,2018,Total,Experimental development,Percent,3,40.6
9270,r246,2018,Federally financed,All R&D expenditures,,2,20770
9270,r247,2018,Federally financed,Basic research,Amount,3,4099
9270,r248,2018,Federally financed,Basic research,Percent,3,19.7
9270,r249,2018,Federally financed,Applied research,Amount,3,8205
9270,r250,2018,Federally financed,Applied research,Percent,3,39.5
9270,r251,2018,Federally financed,Experimental development,Amount,3,8466
9270,r252,2018,Federally financed,Experimental development,Percent,3,40.8
9270,r253,2019,Total,All R&D expenditures,,2,22738
9270,r254,2019,Total,Basic research,Amount,3,4536
9270,r255,2019,Total,Basic research,Percent,3,19.9
9270,r256,2019,Total,Applied research,Amount,3,9200
9270,r257,2019,Total,Applied research,Percent,3,40.5
9270,r258,2019,Total,Experimental development,Amount,3,9002
9270,r259,2019,Total,Experimental development,Percent,3,39.6
9270,r260,2019,Federally financed,All R&D expenditures,,2,22339
9270,r261,2019,Federally financed,Basic research,Amount,3,4455
9270,r262,2019,Federally financed,Basic research,Percent,3,19.9
9270,r263,2019,Federally financed,Applied research,Amount,3,9014
9270,r264,2019,Federally financed,Applied research,Percent,3,40.4
9270,r265,2019,Federally financed,Experimental development,Amount,3,8869
9270,r266,2019,Federally financed,Experimental development,Percent,3,39.7
9270,r267,2020,Total,All R&D expenditures,,2,23514
9270,r268,2020,Total,Basic research,Amount,3,4712
9270,r269,2020,Total,Basic research,Percent,3,20.0
9270,r270,2020,Total,Applied research,Amount,3,9433
9270,r271,2020,Total,Applied research,Percent,3,40.1
9270,r272,2020,Total,Experimental development,Amount,3,9369
9270,r273,2020,Total,Experimental development,Percent,3,39.8
9270,r274,2020,Federally financed,All R&D expenditures,,2,23134
9270,r275,2020,Federally financed,Basic research,Amount,3,4637
9270,r276,2020,Federally financed,Basic research,Percent,3,20.0
9270,r277,2020,Federally financed,Applied research,Amount,3,9257
9270,r278,2020,Federally financed,Applied research,Percent,3,40.0
9270,r279,2020,Federally financed,Experimental development,Amount,3,9239
9270,r280,2020,Federally financed,Experimental development,Percent,3,39.9
9270,r281,2021,Total,All R&D expenditures,,2,24921
9270,r282,2021,Total,Basic research,Amount,3,5021
9270,r283,2021,Total,Basic research,Percent,3,20.1
9270,r284,2021,Total,Applied research,Amount,3,9951
9270,r285,2021,Total,Applied research,Percent,3,39.9
9270,r286,2021,Total,Experimental development,Amount,3,9949
9270,r287,2021,Total,Experimental development,Percent,3,39.9
9270,r288,2021,Federally financed,All R&D expenditures,,2,24510
9270,r289,2021,Federally financed,Basic research,Amount,3,4945
9270,r290,2021,Federally financed,Basic research,Percent,3,20.2
9270,r291,2021,Federally financed,Applied research,Amount,3,9765
9270,r292,2021,Federally financed,Applied research,Percent,3,39.8
9270,r293,2021,Federally financed,Experimental development,Amount,3,9799
9270,r294,2021,Federally financed,Experimental development,Percent,3,40.0
9270,r295,2022,Total,All R&D expenditures,,2,26524
9270,r296,2022,Total,Basic research,Amount,3,5273
9270,r297,2022,Total,Basic research,Percent,3,19.9
9270,r298,2022,Total,Applied research,Amount,3,10839
9270,r299,2022,Total,Applied research,Percent,3,40.9
9270,r300,2022,Total,Experimental development,Amount,3,10412
9270,r301,2022,Total,Experimental development,Percent,3,39.3
9270,r302,2022,Federally financed,All R&D expenditures,,2,25962
9270,r303,2022,Federally financed,Basic research,Amount,3,5188
9270,r304,2022,Federally financed,Basic research,Percent,3,20.0
9270,r305,2022,Federally financed,Applied research,Amount,3,10510
9270,r306,2022,Federally financed,Applied research,Percent,3,40.5
9270,r307,2022,Federally financed,Experimental development,Amount,3,10264
9270,r308,2022,Federally financed,Experimental development,Percent,3,39.5
