table_id,row_id,location_full_path,location_level_1,location_level_2,location_level_3,location_hierarchy_depth,field_total,field_paid_for_by_the_company,field_paid_for_by_others
763,r036,All locations -> Europe -> Ireland,All locations,Europe,Ireland,3,"['2,317', '&nbsp;']","['2,268', '&nbsp;']","['49', '&nbsp;']"
763,r037,All locations -> Europe -> Italy,All locations,Europe,Italy,3,"['1,027', '&nbsp;']","['935', '&nbsp;']","['92', '&nbsp;']"
763,r038,All locations -> Europe -> Luxembourg,All locations,Europe,Luxembourg,3,"['18', '&nbsp;']","['18', '&nbsp;']","['0', '&nbsp;']"
763,r039,All locations -> Europe -> Netherlands,All locations,Europe,Netherlands,3,"['1,237', '&nbsp;']","['1,127', '&nbsp;']","['109', '&nbsp;']"
763,r040,All locations -> Europe -> Norway,All locations,Europe,Norway,3,"['490', '&nbsp;']","['484', '&nbsp;']","['6', '&nbsp;']"
763,r041,All locations -> Europe -> Poland,All locations,Europe,Poland,3,"['494', '&nbsp;']","['421', '&nbsp;']","['73', '&nbsp;']"
763,r042,All locations -> Europe -> Russia,All locations,Europe,Russia,3,"['288', '&nbsp;']","['236', '&nbsp;']","['52', '&nbsp;']"
763,r043,All locations -> Europe -> Spain,All locations,Europe,Spain,3,"['532', '&nbsp;']","['435', '&nbsp;']","['96', '&nbsp;']"
763,r044,All locations -> Europe -> Sweden,All locations,Europe,Sweden,3,"['807', '&nbsp;']","['762', '&nbsp;']","['45', '&nbsp;']"
763,r045,All locations -> Europe -> Switzerland,All locations,Europe,Switzerland,3,"['2,926', '&nbsp;']","['2,489', '&nbsp;']","['437', '&nbsp;']"
763,r046,All locations -> Europe -> Turkey,All locations,Europe,Turkey,3,"['99', '&nbsp;']","['87', '&nbsp;']","['13', '&nbsp;']"
763,r047,All locations -> Europe -> United Kingdom,All locations,Europe,United Kingdom,3,"['8,565', '&nbsp;']","['7,368', '&nbsp;']","['1,197', 'i']"
763,r048,All locations -> Europe -> Other European locations,All locations,Europe,Other European locations,3,"['2,393', '&nbsp;']","['2,100', '&nbsp;']","['292', 'i']"
763,r049,All locations -> Middle East,All locations,Middle East,,2,"['3,702', '&nbsp;']","['3,623', '&nbsp;']","['79', '&nbsp;']"
763,r050,All locations -> Middle East -> Israel,All locations,Middle East,Israel,3,"['3,530', '&nbsp;']","['3,457', '&nbsp;']","['73', '&nbsp;']"
763,r051,All locations -> Middle East -> Other Middle Eastern locations,All locations,Middle East,Other Middle Eastern locations,3,"['172', '&nbsp;']","['166', '&nbsp;']","['6', '&nbsp;']"
763,r052,All locations -> Undistributed,All locations,Undistributed,,2,"['2,277', 'i']","['1,791', 'i']","['486', 'i']"
