table_id,row_id,_b_field_and_citizenship_status_b_full_path,_b_field_and_citizenship_status_b_level_1,_b_field_and_citizenship_status_b_level_2,_b_field_and_citizenship_status_b_level_3,_b_field_and_citizenship_status_b_level_4,_b_field_and_citizenship_status_b_hierarchy_depth,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022,field__change_2012_22
9453,r060,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Psychology and social sciences -> Economics,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Psychology and social sciences,Economics,4,517,505,469,552,522,547,483,491,458,438,476,-7.9
9453,r061,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Psychology and social sciences -> Political science and government,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Psychology and social sciences,Political science and government,4,536,593,574,621,579,572,544,504,459,408,465,-13.2
9453,r062,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Psychology and social sciences -> Sociology,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Psychology and social sciences,Sociology,4,512,516,544,596,506,562,557,511,487,460,485,-5.3
9453,r063,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Psychology and social sciences -> Other social sciences,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Psychology and social sciences,Other social sciences,4,1263,1326,1355,1416,1490,1437,1462,1510,1515,1456,1544,22.2
9453,r064,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Engineering,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Engineering,,3,3579,3767,4066,4219,4181,4311,4213,4251,4153,4095,4729,32.1
9453,r065,"All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,181,194,246,216,233,241,221,212,221,187,192,6.1
9453,r066,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Engineering -> Bioengineering and biomedical engineering,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Engineering,Bioengineering and biomedical engineering,4,602,637,674,723,746,695,743,771,688,734,841,39.7
9453,r067,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Engineering -> Chemical engineering,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Engineering,Chemical engineering,4,377,365,445,488,470,469,469,480,465,464,546,44.8
9453,r068,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Engineering -> Civil engineering,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Engineering,Civil engineering,4,159,182,229,231,219,231,200,200,244,191,295,85.5
9453,r069,"All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Engineering -> Electrical, electronics, and communications engineering",All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Engineering,"Electrical, electronics, and communications engineering",4,614,603,575,632,548,581,543,518,552,595,608,-1.0
9453,r070,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Engineering -> Industrial and manufacturing engineering,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Engineering,Industrial and manufacturing engineering,4,75,77,91,65,82,85,62,84,82,115,111,48.0
9453,r071,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Engineering -> Materials science engineering,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Engineering,Materials science engineering,4,350,349,363,381,456,470,462,501,399,415,539,54.0
9453,r072,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Engineering -> Mechanical engineering,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Engineering,Mechanical engineering,4,505,547,558,620,585,591,608,600,601,580,734,45.3
9453,r073,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Engineering -> Other engineering,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Engineering,Other engineering,4,716,813,885,863,842,948,905,885,901,814,863,20.5
9453,r074,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Education,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Education,,3,4040,4118,3934,4196,4303,4052,4025,3848,3897,3478,3679,-8.9
9453,r075,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Education -> Education administration,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Education,Education administration,4,936,844,763,797,727,792,783,755,822,613,643,-31.3
9453,r076,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Education -> Education research,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Education,Education research,4,2107,2165,2064,2234,1942,1995,2026,1874,1853,1800,1857,-11.9
9453,r077,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Education -> Teacher education,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Education,Teacher education,4,134,90,132,134,158,97,87,87,94,90,91,-32.1
9453,r078,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Education -> Teaching fields,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Education,Teaching fields,4,613,741,732,762,950,763,785,769,750,630,703,14.7
9453,r079,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Education -> Other education,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Education,Other education,4,250,278,243,269,526,405,344,363,378,345,385,54.0
9453,r080,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Humanities and arts,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Humanities and arts,,3,4434,4535,4361,4478,4450,4297,4145,3988,3908,3155,3462,-21.9
9453,r081,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Humanities and arts -> Foreign languages and literature,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Humanities and arts,Foreign languages and literature,4,472,467,469,463,399,430,405,383,350,237,271,-42.6
9453,r082,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Humanities and arts -> History,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Humanities and arts,History,4,889,947,968,944,950,890,800,741,745,570,604,-32.1
9453,r083,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Humanities and arts -> Letters,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Humanities and arts,Letters,4,1383,1354,1304,1353,1314,1277,1232,1187,1163,950,1073,-22.4
9453,r084,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Humanities and arts -> Other humanities and arts,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Humanities and arts,Other humanities and arts,4,1690,1767,1620,1718,1787,1700,1708,1677,1650,1398,1514,-10.4
9453,r085,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Other,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Other,,3,1650,1850,1825,1879,1865,1943,1743,1718,1738,1637,1762,6.8
9453,r086,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Other -> Business management and administration,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Other,Business management and administration,4,736,831,849,892,845,859,740,748,710,609,662,-10.1
9453,r087,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Other -> Communication,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Other,Communication,4,426,471,473,479,472,458,434,349,411,347,377,-11.5
9453,r088,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Other -> Non-science and engineering fields nec,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Other,Non-science and engineering fields nec,4,488,548,503,508,548,626,569,621,617,681,723,48.2
9453,r089,All doctorate recipients<sup>a</sup> -> Temporary visa holder,All doctorate recipients<sup>a</sup>,Temporary visa holder,,,2,14784,15674,15839,16129,16477,16288,17582,18324,18473,17771,19633,32.8
9453,r090,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Life sciences,All doctorate recipients<sup>a</sup>,Temporary visa holder,Life sciences,,3,3197,3177,3169,3264,3352,3331,3360,3395,3427,3089,3493,9.3
9453,r091,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Life sciences -> Agricultural sciences and natural resources,All doctorate recipients<sup>a</sup>,Temporary visa holder,Life sciences,Agricultural sciences and natural resources,4,529,516,504,555,561,607,607,646,632,548,575,8.7
9453,r092,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Life sciences -> Biological and biomedical sciences,All doctorate recipients<sup>a</sup>,Temporary visa holder,Life sciences,Biological and biomedical sciences,4,2166,2154,2229,2266,2304,2180,2157,2129,2173,2029,2289,5.7
9453,r093,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Life sciences -> Health sciences,All doctorate recipients<sup>a</sup>,Temporary visa holder,Life sciences,Health sciences,4,502,507,436,443,487,544,596,620,622,512,629,25.3
9453,r094,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Physical sciences and earth sciences,All doctorate recipients<sup>a</sup>,Temporary visa holder,Physical sciences and earth sciences,,3,1959,2032,2196,2099,2313,2160,2373,2484,2311,2197,2533,29.3
9453,r095,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Physical sciences and earth sciences -> Chemistry,All doctorate recipients<sup>a</sup>,Temporary visa holder,Physical sciences and earth sciences,Chemistry,4,880,888,1000,929,1000,919,1021,1071,993,944,1150,30.7
9453,r096,"All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All doctorate recipients<sup>a</sup>,Temporary visa holder,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",4,281,290,326,307,390,332,392,429,391,345,392,39.5
9453,r097,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Physical sciences and earth sciences -> Physics and astronomy,All doctorate recipients<sup>a</sup>,Temporary visa holder,Physical sciences and earth sciences,Physics and astronomy,4,798,854,870,863,923,909,960,984,927,908,991,24.2
9453,r098,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Mathematics and computer sciences,All doctorate recipients<sup>a</sup>,Temporary visa holder,Mathematics and computer sciences,,3,1617,1833,1850,1917,2053,1926,2128,2303,2475,2472,2741,69.5
