table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total_r_d,field_basic_research,field_applied_research,field_experimental_development_total,field_experimental_development_advanced_technology,field_experimental_development_major_systems
10234,r078,All agencies -> Departments -> Department of Transportation -> Federal Highway Administration,All agencies,Departments,Department of Transportation,Federal Highway Administration,,4,390819,0,361044,29775,na,na
10234,r079,All agencies -> Departments -> Department of Transportation -> Federal Motor Carrier Safety Administration,All agencies,Departments,Department of Transportation,Federal Motor Carrier Safety Administration,,4,16000,900,14100,1000,na,na
10234,r080,All agencies -> Departments -> Department of Transportation -> Federal Railroad Administration,All agencies,Departments,Department of Transportation,Federal Railroad Administration,,4,50802,0,42112,8690,na,na
10234,r081,All agencies -> Departments -> Department of Transportation -> Federal Transit Administration,All agencies,Departments,Department of Transportation,Federal Transit Administration,,4,33000,0,33000,0,na,na
10234,r082,All agencies -> Departments -> Department of Transportation -> National Highway Traffic Safety Administration,All agencies,Departments,Department of Transportation,National Highway Traffic Safety Administration,,4,50000,0,50000,0,na,na
10234,r083,All agencies -> Departments -> Department of Transportation -> Office of the Secretary of Transportation,All agencies,Departments,Department of Transportation,Office of the Secretary of Transportation,,4,15022,0,15022,0,na,na
10234,r084,All agencies -> Departments -> Department of Transportation -> Pipeline and Hazardous Materials Safety Administration,All agencies,Departments,Department of Transportation,Pipeline and Hazardous Materials Safety Administration,,4,24479,8116,16363,0,na,na
10234,r085,All agencies -> Departments -> Department of the Treasury,All agencies,Departments,Department of the Treasury,,,3,65079,5900,44134,15045,na,na
10234,r086,All agencies -> Departments -> Department of the Treasury -> Bureau of Engraving and Printing,All agencies,Departments,Department of the Treasury,Bureau of Engraving and Printing,,4,64373,5900,44081,14392,na,na
10234,r087,All agencies -> Departments -> Department of the Treasury -> Mint,All agencies,Departments,Department of the Treasury,Mint,,4,706,0,53,653,na,na
10234,r088,All agencies -> Departments -> Department of Veterans Affairs,All agencies,Departments,Department of Veterans Affairs,,,3,1831467,670701,1002408,158358,na,na
10234,r089,All agencies -> Other agencies,All agencies,Other agencies,,,,2,,,,,,
10234,r090,All agencies -> Other agencies -> Administrative Office of the U.S. Courts,All agencies,Other agencies,Administrative Office of the U.S. Courts,,,3,1443,0,1443,0,na,na
10234,r091,All agencies -> Other agencies -> Agency for Global Media,All agencies,Other agencies,Agency for Global Media,,,3,7884,0,7884,0,na,na
10234,r092,All agencies -> Other agencies -> Agency for International Development,All agencies,Other agencies,Agency for International Development,,,3,81698,0,51211,30487,na,na
10234,r093,All agencies -> Other agencies -> Appalachian Regional Commission,All agencies,Other agencies,Appalachian Regional Commission,,,3,122,0,122,0,na,na
10234,r094,All agencies -> Other agencies -> Consumer Product Safety Commission,All agencies,Other agencies,Consumer Product Safety Commission,,,3,440,0,440,0,na,na
10234,r095,All agencies -> Other agencies -> Environmental Protection Agency,All agencies,Other agencies,Environmental Protection Agency,,,3,525457,0,406371,119086,na,na
10234,r096,All agencies -> Other agencies -> Federal Trade Commission,All agencies,Other agencies,Federal Trade Commission,,,3,8571,0,8571,0,na,na
10234,r097,All agencies -> Other agencies -> Library of Congress,All agencies,Other agencies,Library of Congress,,,3,2899,0,493,2406,na,na
10234,r098,All agencies -> Other agencies -> National Aeronautics and Space Administration,All agencies,Other agencies,National Aeronautics and Space Administration,,,3,11403647,4588766,3009641,3805240,na,na
10234,r099,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,,,3,7035853,6049547,986305,0,na,na
10234,r100,All agencies -> Other agencies -> Nuclear Regulatory Commission,All agencies,Other agencies,Nuclear Regulatory Commission,,,3,81663,0,78147,3516,na,na
10234,r101,All agencies -> Other agencies -> Patient-Centered Outcomes Research Trust Fund,All agencies,Other agencies,Patient-Centered Outcomes Research Trust Fund,,,3,481465,0,481465,0,na,na
10234,r102,All agencies -> Other agencies -> Postal Service,All agencies,Other agencies,Postal Service,,,3,15702,0,15702,0,na,na
10234,r103,All agencies -> Other agencies -> RESTORE Act Centers of Excellence Research Grants Program,All agencies,Other agencies,RESTORE Act Centers of Excellence Research Grants Program,,,3,6960,0,6960,0,na,na
10234,r104,All agencies -> Other agencies -> Smithsonian Institution,All agencies,Other agencies,Smithsonian Institution,,,3,95000,95000,0,0,na,na
10234,r105,All agencies -> Other agencies -> Social Security Administration,All agencies,Other agencies,Social Security Administration,,,3,98560,0,98560,0,na,na
10234,r106,All agencies -> Other agencies -> Tennessee Valley Authority,All agencies,Other agencies,Tennessee Valley Authority,,,3,40501,0,12952,27549,na,na
