table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_hierarchy_depth,field_field_levela,field_sed_cip_series_codes
7647,r031,Science and engineering -> Biological and biomedical sciences -> Cell/ cellular biology and anatomy -> Developmental biology and embryology,Science and engineering,Biological and biomedical sciences,Cell/ cellular biology and anatomy,Developmental biology and embryology,4,Detailed,26.0404
7647,r032,Science and engineering -> Biological and biomedical sciences -> Cell/ cellular biology and anatomy -> Cell/ cellular biology and anatomy nec,Science and engineering,Biological and biomedical sciences,Cell/ cellular biology and anatomy,Cell/ cellular biology and anatomy nec,4,Detailed,all other 26.04
7647,r033,"Science and engineering -> Biological and biomedical sciences -> Ecology, evolutionary biology, and epidemiology",Science and engineering,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",,3,Major,26.13 except 26.1302
7647,r034,"Science and engineering -> Biological and biomedical sciences -> Ecology, evolutionary biology, and epidemiology -> Ecology",Science and engineering,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",Ecology,4,Detailed,26.1301
7647,r035,"Science and engineering -> Biological and biomedical sciences -> Ecology, evolutionary biology, and epidemiology -> Ecology and evolutionary biology",Science and engineering,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",Ecology and evolutionary biology,4,Detailed,26.131
7647,r036,"Science and engineering -> Biological and biomedical sciences -> Ecology, evolutionary biology, and epidemiology -> Epidemiology",Science and engineering,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",Epidemiology,4,Detailed,26.1309
7647,r037,"Science and engineering -> Biological and biomedical sciences -> Ecology, evolutionary biology, and epidemiology -> Epidemiology and biostatistics",Science and engineering,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",Epidemiology and biostatistics,4,Detailed,26.1311
7647,r038,"Science and engineering -> Biological and biomedical sciences -> Ecology, evolutionary biology, and epidemiology -> Evolutionary biology",Science and engineering,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",Evolutionary biology,4,Detailed,26.1303
7647,r039,"Science and engineering -> Biological and biomedical sciences -> Ecology, evolutionary biology, and epidemiology -> Ecology, evolutionary biology, and epidemiology nec",Science and engineering,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology","Ecology, evolutionary biology, and epidemiology nec",4,Detailed,all other 26.13 except 26.1302
7647,r040,Science and engineering -> Biological and biomedical sciences -> Genetics and genomics,Science and engineering,Biological and biomedical sciences,Genetics and genomics,,3,Major,26.08
7647,r041,"Science and engineering -> Biological and biomedical sciences -> Genetics and genomics -> Genetics, general",Science and engineering,Biological and biomedical sciences,Genetics and genomics,"Genetics, general",4,Detailed,26.0801
7647,r042,Science and engineering -> Biological and biomedical sciences -> Genetics and genomics -> Genome sciences and genomics,Science and engineering,Biological and biomedical sciences,Genetics and genomics,Genome sciences and genomics,4,Detailed,26.0807
7647,r043,Science and engineering -> Biological and biomedical sciences -> Genetics and genomics -> Human/ medical genetics,Science and engineering,Biological and biomedical sciences,Genetics and genomics,Human/ medical genetics,4,Detailed,26.0806
7647,r044,Science and engineering -> Biological and biomedical sciences -> Genetics and genomics -> Molecular genetics,Science and engineering,Biological and biomedical sciences,Genetics and genomics,Molecular genetics,4,Detailed,26.0802
7647,r045,Science and engineering -> Biological and biomedical sciences -> Genetics and genomics -> Genetics nec,Science and engineering,Biological and biomedical sciences,Genetics and genomics,Genetics nec,4,Detailed,all other 26.08
7647,r046,Science and engineering -> Biological and biomedical sciences -> Microbiology and immunology,Science and engineering,Biological and biomedical sciences,Microbiology and immunology,,3,Major,26.05
7647,r047,Science and engineering -> Biological and biomedical sciences -> Microbiology and immunology -> Immunology,Science and engineering,Biological and biomedical sciences,Microbiology and immunology,Immunology,4,Detailed,26.0507
7647,r048,Science and engineering -> Biological and biomedical sciences -> Microbiology and immunology -> Microbiology and immunology,Science and engineering,Biological and biomedical sciences,Microbiology and immunology,Microbiology and immunology,4,Detailed,26.0508
7647,r049,"Science and engineering -> Biological and biomedical sciences -> Microbiology and immunology -> Microbiology, general",Science and engineering,Biological and biomedical sciences,Microbiology and immunology,"Microbiology, general",4,Detailed,26.0502
7647,r050,Science and engineering -> Biological and biomedical sciences -> Microbiology and immunology -> Virology,Science and engineering,Biological and biomedical sciences,Microbiology and immunology,Virology,4,Detailed,26.0504
7647,r051,Science and engineering -> Biological and biomedical sciences -> Microbiology and immunology -> Microbiology and immunology nec,Science and engineering,Biological and biomedical sciences,Microbiology and immunology,Microbiology and immunology nec,4,Detailed,all other 26.05
7647,r052,Science and engineering -> Biological and biomedical sciences -> Neurobiology and neurosciences,Science and engineering,Biological and biomedical sciences,Neurobiology and neurosciences,,3,Major,26.15
7647,r053,Science and engineering -> Biological and biomedical sciences -> Neurobiology and neurosciences -> Cognitive neuroscience,Science and engineering,Biological and biomedical sciences,Neurobiology and neurosciences,Cognitive neuroscience,4,Detailed,26.1599b
7647,r054,Science and engineering -> Biological and biomedical sciences -> Neurobiology and neurosciences -> Neurobiology and anatomy,Science and engineering,Biological and biomedical sciences,Neurobiology and neurosciences,Neurobiology and anatomy,4,Detailed,26.1503
7647,r055,Science and engineering -> Biological and biomedical sciences -> Neurobiology and neurosciences -> Neuroscience,Science and engineering,Biological and biomedical sciences,Neurobiology and neurosciences,Neuroscience,4,Detailed,26.1501
7647,r056,Science and engineering -> Biological and biomedical sciences -> Neurobiology and neurosciences -> Neurobiology and neurosciences nec,Science and engineering,Biological and biomedical sciences,Neurobiology and neurosciences,Neurobiology and neurosciences nec,4,Detailed,all other 26.15
7647,r057,Science and engineering -> Biological and biomedical sciences -> Pharmacology and toxicology,Science and engineering,Biological and biomedical sciences,Pharmacology and toxicology,,3,Major,26.1
7647,r058,Science and engineering -> Biological and biomedical sciences -> Pharmacology and toxicology -> Pharmacology,Science and engineering,Biological and biomedical sciences,Pharmacology and toxicology,Pharmacology,4,Detailed,26.1001
7647,r059,Science and engineering -> Biological and biomedical sciences -> Pharmacology and toxicology -> Toxicology,Science and engineering,Biological and biomedical sciences,Pharmacology and toxicology,Toxicology,4,Detailed,"26.1004, 26.1005, 26.1006"
7647,r060,Science and engineering -> Biological and biomedical sciences -> Pharmacology and toxicology -> Pharmacology and toxicology nec,Science and engineering,Biological and biomedical sciences,Pharmacology and toxicology,Pharmacology and toxicology nec,4,Detailed,all other 26.10
7647,r061,"Science and engineering -> Biological and biomedical sciences -> Physiology, oncology and cancer biology",Science and engineering,Biological and biomedical sciences,"Physiology, oncology and cancer biology",,3,Major,26.09
7647,r062,"Science and engineering -> Biological and biomedical sciences -> Physiology, oncology and cancer biology -> Biomechanics",Science and engineering,Biological and biomedical sciences,"Physiology, oncology and cancer biology",Biomechanics,4,Detailed,26.0913
7647,r063,"Science and engineering -> Biological and biomedical sciences -> Physiology, oncology and cancer biology -> Exercise physiology and kinesiology",Science and engineering,Biological and biomedical sciences,"Physiology, oncology and cancer biology",Exercise physiology and kinesiology,4,Detailed,26.0908
7647,r064,"Science and engineering -> Biological and biomedical sciences -> Physiology, oncology and cancer biology -> Oncology and cancer biology",Science and engineering,Biological and biomedical sciences,"Physiology, oncology and cancer biology",Oncology and cancer biology,4,Detailed,26.0911
7647,r065,"Science and engineering -> Biological and biomedical sciences -> Physiology, oncology and cancer biology -> Physiology, general",Science and engineering,Biological and biomedical sciences,"Physiology, oncology and cancer biology","Physiology, general",4,Detailed,26.0901
7647,r066,"Science and engineering -> Biological and biomedical sciences -> Physiology, oncology and cancer biology -> Physiology, oncology and cancer biology nec",Science and engineering,Biological and biomedical sciences,"Physiology, oncology and cancer biology","Physiology, oncology and cancer biology nec",4,Detailed,all other 26.09
7647,r067,"Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other",Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other",,3,Major,all other 26
7647,r068,"Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other -> Biology/ biological sciences, general",Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other","Biology/ biological sciences, general",4,Detailed,26.0101
7647,r069,"Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other -> Biomedical sciences, general",Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other","Biomedical sciences, general",4,Detailed,26.0102
7647,r070,"Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other -> Botany and plant biology",Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other",Botany and plant biology,4,Detailed,26.0301
7647,r071,"Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other -> Entomology",Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other",Entomology,4,Detailed,26.0702
7647,r072,"Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other -> Plant pathology and phytopathology",Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other",Plant pathology and phytopathology,4,Detailed,26.0305
7647,r073,"Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other -> Plant physiology and biology nec",Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other",Plant physiology and biology nec,4,Detailed,"all 26.03 except 26.0301, 26.0305"
7647,r074,"Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other -> Zoology and animal biology",Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other",Zoology and animal biology,4,Detailed,all 26.07 except 26.0702
7647,r075,"Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other -> Biological and biomedical sciences nec",Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other",Biological and biomedical sciences nec,4,Detailed,"26.1201, 26.1401, 26.9999"
7647,r076,Science and engineering -> Computer and information sciences,Science and engineering,Computer and information sciences,,,2,Broad,11 except 11.06
7647,r077,Science and engineering -> Computer and information sciences -> Computer science,Science and engineering,Computer and information sciences,Computer science,,3,Major,11.07
7647,r078,Science and engineering -> Computer and information sciences -> Computer science -> Computer science,Science and engineering,Computer and information sciences,Computer science,Computer science,4,Detailed,11.07
7647,r079,"Science and engineering -> Computer and information sciences -> Computer and information sciences, other",Science and engineering,Computer and information sciences,"Computer and information sciences, other",,3,Major,all 11 except 11.07
7647,r080,"Science and engineering -> Computer and information sciences -> Computer and information sciences, other -> Artificial intelligence",Science and engineering,Computer and information sciences,"Computer and information sciences, other",Artificial intelligence,4,Detailed,11.0102
7647,r081,"Science and engineering -> Computer and information sciences -> Computer and information sciences, other -> Computer and information sciences, general",Science and engineering,Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, general",4,Detailed,11.0101
7647,r082,"Science and engineering -> Computer and information sciences -> Computer and information sciences, other -> Computer systems networking and telecommunications",Science and engineering,Computer and information sciences,"Computer and information sciences, other",Computer systems networking and telecommunications,4,Detailed,"11.09, 11.10"
7647,r083,"Science and engineering -> Computer and information sciences -> Computer and information sciences, other -> Informatics and information technology<strike> </strike>",Science and engineering,Computer and information sciences,"Computer and information sciences, other",Informatics and information technology<strike> </strike>,4,Detailed,"11.0103, 11.0104, 11.0105"
7647,r084,"Science and engineering -> Computer and information sciences -> Computer and information sciences, other -> Information science/ studies",Science and engineering,Computer and information sciences,"Computer and information sciences, other",Information science/ studies,4,Detailed,11.04
7647,r085,"Science and engineering -> Computer and information sciences -> Computer and information sciences, other -> Computer and information sciences nec",Science and engineering,Computer and information sciences,"Computer and information sciences, other",Computer and information sciences nec,4,Detailed,"11.0199, 11.02, 11.03, 11.05, 11.08, 11.99"
7647,r086,Science and engineering -> Engineering,Science and engineering,Engineering,,,2,Broad,"14, most 15 (see below)"
7647,r087,"Science and engineering -> Engineering -> Biological, biomedical, and biosystems engineering",Science and engineering,Engineering,"Biological, biomedical, and biosystems engineering",,3,Major,"14.05, 14.45, 15.0401"
7647,r088,"Science and engineering -> Engineering -> Biological, biomedical, and biosystems engineering -> Bioengineering and biomedical engineering",Science and engineering,Engineering,"Biological, biomedical, and biosystems engineering",Bioengineering and biomedical engineering,4,Detailed,14.05
7647,r089,"Science and engineering -> Engineering -> Biological, biomedical, and biosystems engineering -> Biological and biosystems engineering and biomedical technology",Science and engineering,Engineering,"Biological, biomedical, and biosystems engineering",Biological and biosystems engineering and biomedical technology,4,Detailed,"14.45, 15.0401"
7647,r090,Science and engineering -> Engineering -> Chemical and petroleum engineering,Science and engineering,Engineering,Chemical and petroleum engineering,,3,Major,"14.07, 14.25, 14.32, 14.40-14.44"
7647,r091,Science and engineering -> Engineering -> Chemical and petroleum engineering -> Chemical and biomolecular engineering,Science and engineering,Engineering,Chemical and petroleum engineering,Chemical and biomolecular engineering,4,Detailed,14.0702
7647,r092,Science and engineering -> Engineering -> Chemical and petroleum engineering -> Chemical engineering,Science and engineering,Engineering,Chemical and petroleum engineering,Chemical engineering,4,Detailed,14.0701
7647,r093,Science and engineering -> Engineering -> Chemical and petroleum engineering -> Petroleum engineering,Science and engineering,Engineering,Chemical and petroleum engineering,Petroleum engineering,4,Detailed,14.25
7647,r094,Science and engineering -> Engineering -> Chemical and petroleum engineering -> Chemical and petroleum engineering nec,Science and engineering,Engineering,Chemical and petroleum engineering,Chemical and petroleum engineering nec,4,Detailed,"14.0799, 14.32, 14.40-14.44"
7647,r095,"Science and engineering -> Engineering -> Civil, environmental, and transportation engineering",Science and engineering,Engineering,"Civil, environmental, and transportation engineering",,3,Major,"14.08, 14.14, 14.33, 14.38, 14.39"
7647,r096,"Science and engineering -> Engineering -> Civil, environmental, and transportation engineering -> Civil engineering",Science and engineering,Engineering,"Civil, environmental, and transportation engineering",Civil engineering,4,Detailed,"14.0801, 14.0899"
7647,r097,"Science and engineering -> Engineering -> Civil, environmental, and transportation engineering -> Environmental/ environmental health engineering",Science and engineering,Engineering,"Civil, environmental, and transportation engineering",Environmental/ environmental health engineering,4,Detailed,14.1401
7647,r098,"Science and engineering -> Engineering -> Civil, environmental, and transportation engineering -> Geotechnical and geoenvironmental engineering",Science and engineering,Engineering,"Civil, environmental, and transportation engineering",Geotechnical and geoenvironmental engineering,4,Detailed,"14.0802, 14.3901"
7647,r099,"Science and engineering -> Engineering -> Civil, environmental, and transportation engineering -> Structural engineering",Science and engineering,Engineering,"Civil, environmental, and transportation engineering",Structural engineering,4,Detailed,14.0803
7647,r100,"Science and engineering -> Engineering -> Civil, environmental, and transportation engineering -> Transportation and highway engineering",Science and engineering,Engineering,"Civil, environmental, and transportation engineering",Transportation and highway engineering,4,Detailed,14.0804
7647,r101,"Science and engineering -> Engineering -> Civil, environmental, and transportation engineering -> Civil, environmental, and transportation engineering nec",Science and engineering,Engineering,"Civil, environmental, and transportation engineering","Civil, environmental, and transportation engineering nec",4,Detailed,"14.04, 14.0805, 14.33, 14.38"
7647,r102,Science and engineering -> Engineering -> Electrical and computer engineering,Science and engineering,Engineering,Electrical and computer engineering,,3,Major,"14.09, 14.10, 14.47"
7647,r103,Science and engineering -> Engineering -> Electrical and computer engineering -> Computer engineering,Science and engineering,Engineering,Electrical and computer engineering,Computer engineering,4,Detailed,14.09
7647,r104,Science and engineering -> Engineering -> Electrical and computer engineering -> Electrical and computer engineering,Science and engineering,Engineering,Electrical and computer engineering,Electrical and computer engineering,4,Detailed,14.47
7647,r105,Science and engineering -> Engineering -> Electrical and computer engineering -> Electrical and electronics engineering,Science and engineering,Engineering,Electrical and computer engineering,Electrical and electronics engineering,4,Detailed,14.1001
7647,r106,Science and engineering -> Engineering -> Electrical and computer engineering -> Electrical and computer engineering nec,Science and engineering,Engineering,Electrical and computer engineering,Electrical and computer engineering nec,4,Detailed,"14.1003, 14.1004, 14.1099"
7647,r107,Science and engineering -> Engineering -> Engineering technologies,Science and engineering,Engineering,Engineering technologies,,3,Major,"all 15 except 15.0401, 15.0801, 15.1102, 15.15, 15.16"
7647,r108,Science and engineering -> Engineering -> Engineering technologies -> Electrical and electronic engineering technologies,Science and engineering,Engineering,Engineering technologies,Electrical and electronic engineering technologies,4,Detailed,15.03
7647,r109,Science and engineering -> Engineering -> Engineering technologies -> Electromechanical technologies,Science and engineering,Engineering,Engineering technologies,Electromechanical technologies,4,Detailed,15.04 except 15.0401
7647,r110,Science and engineering -> Engineering -> Engineering technologies -> Environmental control technologies,Science and engineering,Engineering,Engineering technologies,Environmental control technologies,4,Detailed,15.05
7647,r111,Science and engineering -> Engineering -> Engineering technologies -> Engineering technologies nec,Science and engineering,Engineering,Engineering technologies,Engineering technologies nec,4,Detailed,"all other 15 except 15.0801, 15.1102, 15.15, 15.16"
7647,r112,Science and engineering -> Engineering -> Industrial engineering and operations research,Science and engineering,Engineering,Industrial engineering and operations research,,3,Major,"14.27, 14.35, 14.36, 14.37"
7647,r113,Science and engineering -> Engineering -> Industrial engineering and operations research -> Industrial engineering,Science and engineering,Engineering,Industrial engineering and operations research,Industrial engineering,4,Detailed,14.35
7647,r114,Science and engineering -> Engineering -> Industrial engineering and operations research -> Operations research,Science and engineering,Engineering,Industrial engineering and operations research,Operations research,4,Detailed,14.37
7647,r115,Science and engineering -> Engineering -> Industrial engineering and operations research -> Systems and manufacturing engineering,Science and engineering,Engineering,Industrial engineering and operations research,Systems and manufacturing engineering,4,Detailed,"14.27, 14.36"
7647,r116,Science and engineering -> Engineering -> Materials and mining engineering,Science and engineering,Engineering,Materials and mining engineering,,3,Major,"14.06, 14.18, 14.20, 14.21, 14.28"
7647,r117,Science and engineering -> Engineering -> Materials and mining engineering -> Materials engineering,Science and engineering,Engineering,Materials and mining engineering,Materials engineering,4,Detailed,14.1801a
7647,r118,Science and engineering -> Engineering -> Materials and mining engineering -> Materials science and engineering,Science and engineering,Engineering,Materials and mining engineering,Materials science and engineering,4,Detailed,14.1801b
7647,r119,Science and engineering -> Engineering -> Materials and mining engineering -> Materials and mining engineering nec,Science and engineering,Engineering,Materials and mining engineering,Materials and mining engineering nec,4,Detailed,"14.06, 14.20, 14.21, 14.28"
7647,r120,Science and engineering -> Engineering -> Mechanical engineering,Science and engineering,Engineering,Mechanical engineering,,3,Major,14.19
7647,r121,"Science and engineering -> Engineering -> Mechanical engineering -> Mechanical engineering, general",Science and engineering,Engineering,Mechanical engineering,"Mechanical engineering, general",4,Detailed,14.1901
7647,r122,"Science and engineering -> Engineering -> Engineering, other",Science and engineering,Engineering,"Engineering, other",,3,Major,"all other 14, 15.0801, 15.15, 15.16"
7647,r123,"Science and engineering -> Engineering -> Engineering, other -> Aerospace, aeronautical, astronautical, and space engineering",Science and engineering,Engineering,"Engineering, other","Aerospace, aeronautical, astronautical, and space engineering",4,Detailed,"14.02, 15.0801"
7647,r124,"Science and engineering -> Engineering -> Engineering, other -> Engineering mechanics, physics, and science",Science and engineering,Engineering,"Engineering, other","Engineering mechanics, physics, and science",4,Detailed,"14.11, 14.12, 14.13"
7647,r125,"Science and engineering -> Engineering -> Engineering, other -> Nanotechnology",Science and engineering,Engineering,"Engineering, other",Nanotechnology,4,Detailed,15.16
7647,r126,"Science and engineering -> Engineering -> Engineering, other -> Nuclear engineering",Science and engineering,Engineering,"Engineering, other",Nuclear engineering,4,Detailed,14.23
7647,r127,"Science and engineering -> Engineering -> Engineering, other -> Engineering nec",Science and engineering,Engineering,"Engineering, other",Engineering nec,4,Detailed,"14.01, 14.03, 14.22, 14.24, 14.34, 14.48, 14.99, 15.15"
7647,r128,"Science and engineering -> Geosciences, atmospheric sciences, and ocean sciences",Science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",,,2,Broad,"40.04, 40.06, 15.1102, 26.1302, 30.32, 30.35, 30.38, 30.41"
7647,r129,"Science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",Science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,,3,Major,"40.06, 15.1102, 30.38, 30.41"
7647,r130,"Science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences -> Geochemistry",Science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,Geochemistry,4,Detailed,"40.0602, 40.0606"
7647,r131,"Science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences -> Geology",Science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,Geology,4,Detailed,40.0601c
7647,r132,"Science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences -> Geology/ earth science, general",Science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,"Geology/ earth science, general",4,Detailed,40.0601a/b
7647,r133,"Science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences -> Geophysics and seismology",Science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,Geophysics and seismology,4,Detailed,40.0603
7647,r134,"Science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences -> Hydrology and water resources science",Science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,Hydrology and water resources science,4,Detailed,40.0605
