table_id,row_id,industry_naics_code_and_company_size_full_path,industry_naics_code_and_company_size_level_1,industry_naics_code_and_company_size_level_2,industry_naics_code_and_company_size_level_3,industry_naics_code_and_company_size_level_4,industry_naics_code_and_company_size_hierarchy_depth,field_domestic_net_sales_millions_a,field_all_r_d_millions_b,field_r_d_intensity_c,field_domestic_employment_thousands_d_total,field_domestic_employment_thousands_d_r_de
5193,r011,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Transportation equipment, 336 -> Aerospace products and parts, 3364","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Transportation equipment, 336","Aerospace products and parts, 3364",4,280327,"['18,358', 'i ']",6.5,612,61
5193,r012,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Transportation equipment, 336 -> Other 336","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Transportation equipment, 336",Other 336,4,79376,"['2,900', 'i ']",3.6,183,14
5193,r013,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Manufacturing nec, other 31&#8211;33","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Manufacturing nec, other 31&#8211;33",,3,2164849,"['36,060', '&nbsp;']",1.7,4459,209
5193,r014,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81",,,2,5505700,"['207,283', '&nbsp;']",3.8,11113,870
5193,r015,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Information, 51","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Information, 51",,3,1435124,"['110,227', '  ']",7.7,2107,359
5193,r016,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Information, 51 -> Software publishers, 5112","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Information, 51","Software publishers, 5112",4,186003,"['32,958', '  ']",17.7,355,109
5193,r017,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Information, 51 -> Other 51","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Information, 51",Other 51,4,1249121,"['77,269', '  ']",6.2,1752,250
5193,r018,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Finance and insurance, 52","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Finance and insurance, 52",,3,1568443,"['8,917', '&nbsp;']",0.6,1795,54
5193,r019,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54",,3,486234,"['53,233', '  ']",10.9,1421,299
5193,r020,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54 -> Computer systems design and related services, 5415","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54","Computer systems design and related services, 5415",4,197389,"['21,046', '  ']",10.7,482,99
5193,r021,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54 -> Scientific research and development services, 5417","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54","Scientific research and development services, 5417",4,81094,"['21,669', '  ']",26.7,300,98
5193,r022,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54 -> Other 54","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54",Other 54,4,207751,"['10,518', '  ']",5.0,639,102
5193,r023,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Nonmanufacturing nec, other 21&#8211;23, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Nonmanufacturing nec, other 21&#8211;23, 42&#8211;81",,3,2015899,"['34,906', '&nbsp;']",1.7,5790,158
5193,r024,Size of company (number of domestic employees),Size of company (number of domestic employees),,,,1,,"['&#160;', '&nbsp;']",,,
5193,r025,Size of company (number of domestic employees) -> Small companies<sup>f</sup>,Size of company (number of domestic employees),Small companies<sup>f</sup>,,,2,,"['&#160;', '&nbsp;']",,,
5193,r026,Size of company (number of domestic employees) -> Small companies<sup>f</sup> -> 10&#8211;19,Size of company (number of domestic employees),Small companies<sup>f</sup>,10&#8211;19,,3,22272,"['5,501', '&nbsp;']",24.7,79,35
5193,r027,Size of company (number of domestic employees) -> Small companies<sup>f</sup> -> 20&#8211;49,Size of company (number of domestic employees),Small companies<sup>f</sup>,20&#8211;49,,3,108914,"['12,418', '  ']",11.4,257,83
5193,r028,Size of company (number of domestic employees) -> Medium companies,Size of company (number of domestic employees),Medium companies,,,2,,"['', '  ']",,,
5193,r029,Size of company (number of domestic employees) -> Medium companies -> 50&#8211;99,Size of company (number of domestic employees),Medium companies,50&#8211;99,,3,120557,"['14,021', '&nbsp;']",11.6,356,85
5193,r030,Size of company (number of domestic employees) -> Medium companies -> 100&#8211;249,Size of company (number of domestic employees),Medium companies,100&#8211;249,,3,267171,"['19,793', '  ']",7.4,719,127
5193,r031,Size of company (number of domestic employees) -> Large companies,Size of company (number of domestic employees),Large companies,,,2,,"['', '  ']",,,
5193,r032,Size of company (number of domestic employees) -> Large companies -> 250&#8211;499,Size of company (number of domestic employees),Large companies,250&#8211;499,,3,300032,"['18,883', '&nbsp;']",6.3,760,105
5193,r033,Size of company (number of domestic employees) -> Large companies -> 500&#8211;999,Size of company (number of domestic employees),Large companies,500&#8211;999,,3,371248,"['23,969', '  ']",6.5,859,100
5193,r034,"Size of company (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",Size of company (number of domestic employees),Large companies,"1,000&#8211;4,999",,3,1475601,"['75,671', '  ']",5.1,2854,305
5193,r035,"Size of company (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",Size of company (number of domestic employees),Large companies,"5,000&#8211;9,999",,3,1141851,"['50,811', '  ']",4.4,1677,182
5193,r036,"Size of company (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",Size of company (number of domestic employees),Large companies,"10,000&#8211;24,999",,3,2115325,"['88,263', '  ']",4.2,3518,267
5193,r037,"Size of company (number of domestic employees) -> Large companies -> 25,000 or more",Size of company (number of domestic employees),Large companies,"25,000 or more",,3,5257895,"['183,626', '  ']",3.5,10135,542
