table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_companies_in_united_states,field_companies_outside_united_states_company_s_parent,field_companies_outside_united_states_other,field_u_s_federal_government_agencies,field_u_s_state_government_agencies,field_foreign_government_agencies,field_all_other_in_united_states,field_all_other_outside_united_states,field_undistributeda
758,r015,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,"['130', '&nbsp;']","['103', '&nbsp;']","['0', '&nbsp;']","['19', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']"
758,r016,"All industries -> Manufacturing industries -> Chemicals -> Paints, coatings, adhesives, and other chemicals ",All industries,Manufacturing industries,Chemicals,"Paints, coatings, adhesives, and other chemicals ",,4,"3255, 3259","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
758,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['47', '&nbsp;']","['36', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['9', 'i']"
758,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['142', '&nbsp;']","['29', '&nbsp;']","['98', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['1', '&nbsp;']","['1', '&nbsp;']","['13', 'i']"
758,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['62', '&nbsp;']","['5', '&nbsp;']","['*', 'i']","['*', '&nbsp;']","['*', 'i']","['0', '&nbsp;']","['*', '&nbsp;']","['49', 'i']","['0', '&nbsp;']","['8', 'i']"
758,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['45', 'i']","['31', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['14', 'i']"
758,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['477', '&nbsp;']","['372', '&nbsp;']","['10', '&nbsp;']","['25', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['8', '&nbsp;']","['11', '&nbsp;']","['50', 'i']"
758,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implements ,All industries,Manufacturing industries,Machinery,Agricultural implements ,,4,33311,"['169', '&nbsp;']","['150', '&nbsp;']","['*', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['11', '&nbsp;']","['7', 'i']"
758,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery ,All industries,Manufacturing industries,Machinery,Semiconductor machinery ,,4,333242,"['7', '&nbsp;']","['3', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['2', '&nbsp;']","['0', '&nbsp;']","['2', 'i']"
758,r024,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment ",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment ",,4,3336,"['23', '&nbsp;']","['20', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['3', '&nbsp;']","['0', '&nbsp;']","['*', 'i']"
758,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery ,All industries,Manufacturing industries,Machinery,Other machinery ,,4,other 333,"['278', '&nbsp;']","['199', '&nbsp;']","['10', '&nbsp;']","['24', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['2', '&nbsp;']","['*', '&nbsp;']","['41', 'i']"
758,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['1,666', '&nbsp;']","['1,225', '&nbsp;']","['8', '&nbsp;']","['366', '&nbsp;']","['D', '&nbsp;']","['*', 'i']","['0', '&nbsp;']","['14', 'i']","['1', '&nbsp;']","['D', '&nbsp;']"
758,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['858', '&nbsp;']","['552', '&nbsp;']","['1', 'i']","['288', '&nbsp;']","['*', 'i']","['*', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['17', 'i']"
758,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,"['351', '&nbsp;']","['291', '&nbsp;']","['7', '&nbsp;']","['40', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']","['11', 'i']"
758,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['292', '&nbsp;']","['238', '&nbsp;']","['0', '&nbsp;']","['23', '&nbsp;']","['D', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['11', 'i']","['1', '&nbsp;']","['D', '&nbsp;']"
758,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatuses ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatuses ",5,"334510, 334517","['52', '&nbsp;']","['40', '&nbsp;']","['0', '&nbsp;']","['7', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['2', '&nbsp;']","['0', '&nbsp;']","['2', 'i']"
758,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments ",5,334511,"['119', '&nbsp;']","['107', '&nbsp;']","['0', '&nbsp;']","['11', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['1', '&nbsp;']","['*', 'i']"
758,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices ,5,other 3345,"['121', '&nbsp;']","['91', 'i']","['0', '&nbsp;']","['5', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['8', 'i']","['0', '&nbsp;']","['D', '&nbsp;']"
758,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['165', '&nbsp;']","['143', '&nbsp;']","['*', 'i']","['15', '&nbsp;']","['*', 'i']","['*', 'i']","['0', '&nbsp;']","['2', '&nbsp;']","['*', '&nbsp;']","['4', 'i']"
758,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['177', '&nbsp;']","['140', '&nbsp;']","['2', '&nbsp;']","['18', 'i']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']"
758,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['3,810', '&nbsp;']","['3,213', '&nbsp;']","['249', '&nbsp;']","['88', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['16', '&nbsp;']","['2', '&nbsp;']","['D', '&nbsp;']"
758,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['2,331', '&nbsp;']","['1,882', '&nbsp;']","['247', '&nbsp;']","['59', '&nbsp;']","['2', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['2', '&nbsp;']","['D', '&nbsp;']"
758,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['1,437', '&nbsp;']","['1,298', '&nbsp;']","['3', '&nbsp;']","['25', 'i']","['D', '&nbsp;']","['*', 'i']","['0', '&nbsp;']","['D', '&nbsp;']","['*', '&nbsp;']","['D', '&nbsp;']"
758,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engines, and aircraft parts ",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engines, and aircraft parts ",5,336411–13,"['1,329', '&nbsp;']","['1,194', '&nbsp;']","['2', '&nbsp;']","['21', 'i']","['D', '&nbsp;']","['*', 'i']","['0', '&nbsp;']","['D', '&nbsp;']","['*', '&nbsp;']","['D', '&nbsp;']"
758,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missiles, space vehicles, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missiles, space vehicles, and related parts",5,"336414–15, 336419","['108', '&nbsp;']","['103', '&nbsp;']","['1', 'i']","['4', '&nbsp;']","['D', '&nbsp;']","['*', 'i']","['0', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']"
758,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicles, tanks, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicles, tanks, and tank components",,4,336992,"['*', 'i']","['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['*', 'i']"
758,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['41', '&nbsp;']","['34', '&nbsp;']","['*', 'i']","['3', '&nbsp;']","['D', '&nbsp;']","['*', 'i']","['0', '&nbsp;']","['D', '&nbsp;']","['*', '&nbsp;']","['D', '&nbsp;']"
758,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['33', '&nbsp;']","['21', '&nbsp;']","['*', 'i']","['1', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['*', 'i']","['*', 'i']","['D', '&nbsp;']"
758,r043,All industries -> Manufacturing industries -> Miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,,,3,339,"['707', '&nbsp;']","['572', '&nbsp;']","['12', '&nbsp;']","['27', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['20', '&nbsp;']","['5', '&nbsp;']","['D', '&nbsp;']"
758,r044,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Medical equipment and supplies ,All industries,Manufacturing industries,Miscellaneous manufacturing,Medical equipment and supplies ,,4,3391,"['609', '&nbsp;']","['493', '&nbsp;']","['10', '&nbsp;']","['26', '&nbsp;']","['D', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['20', '&nbsp;']","['5', '&nbsp;']","['D', '&nbsp;']"
758,r045,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,Other miscellaneous manufacturing,,4,3399,"['99', '&nbsp;']","['79', '&nbsp;']","['1', '&nbsp;']","['*', 'i']","['*', 'i']","['D', '&nbsp;']","['0', '&nbsp;']","['*', 'i']","['*', 'i']","['D', '&nbsp;']"
758,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['4,107', '&nbsp;']","['2,749', '&nbsp;']","['20', '&nbsp;']","['379', '&nbsp;']","['48', '&nbsp;']","['3', '&nbsp;']","['*', '&nbsp;']","['207', '&nbsp;']","['30', '&nbsp;']","['672', 'i']"
758,r047,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['361', '&nbsp;']","['231', '&nbsp;']","['D', '&nbsp;']","['28', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['71', '&nbsp;']","['6', '&nbsp;']","['D', '&nbsp;']"
758,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['261', '&nbsp;']","['201', '&nbsp;']","['0', '&nbsp;']","['4', '&nbsp;']","['*', '&nbsp;']","['1', 'i']","['0', '&nbsp;']","['43', '&nbsp;']","['0', '&nbsp;']","['13', 'i']"
758,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['73', 'i']","['9', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['64', 'i']"
758,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['*', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['*', 'i']"
758,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['16', '&nbsp;']","['15', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['*', 'i']"
758,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['1,783', '&nbsp;']","['1,442', '&nbsp;']","['D', '&nbsp;']","['206', '&nbsp;']","['D', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['10', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
758,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['1,205', '&nbsp;']","['971', '&nbsp;']","['*', 'i']","['158', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['9', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
758,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['9', 'i']","['7', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['2', 'i']"
758,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['1,196', '&nbsp;']","['964', '&nbsp;']","['*', 'i']","['158', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['9', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
758,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['176', '&nbsp;']","['112', '&nbsp;']","['0', '&nbsp;']","['42', '&nbsp;']","['*', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['1', '&nbsp;']","['*', 'i']","['21', 'i']"
758,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['209', '&nbsp;']","['180', '&nbsp;']","['D', '&nbsp;']","['4', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
758,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['193', '&nbsp;']","['179', '&nbsp;']","['0', '&nbsp;']","['3', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['11', 'i']"
758,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['85', '&nbsp;']","['47', '&nbsp;']","['18', '&nbsp;']","['0', '&nbsp;']","['15', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['4', 'i']"
758,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['7', '&nbsp;']","['4', '&nbsp;']","['0', '&nbsp;']","['3', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['*', 'i']"
758,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['3', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['3', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['*', 'i']"
758,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['4', '&nbsp;']","['4', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['*', 'i']"
758,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['1,388', '&nbsp;']","['744', '&nbsp;']","['D', '&nbsp;']","['132', '&nbsp;']","['14', '&nbsp;']","['2', '&nbsp;']","['0', '&nbsp;']","['74', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
758,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['108', 'i']","['40', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['2', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['67', 'i']"
758,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['87', '&nbsp;']","['54', '&nbsp;']","['D', '&nbsp;']","['16', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['3', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']"
758,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['1,156', '&nbsp;']","['624', '&nbsp;']","['D', '&nbsp;']","['108', '&nbsp;']","['14', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['72', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
758,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,"['593', '&nbsp;']","['383', '&nbsp;']","['D', '&nbsp;']","['28', '&nbsp;']","['4', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['8', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
758,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Physical, engineering, and life sciences (except biotechnology) research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Physical, engineering, and life sciences (except biotechnology) research and development",5,541712,"['559', '&nbsp;']","['239', '&nbsp;']","['0', '&nbsp;']","['80', '&nbsp;']","['9', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['63', '&nbsp;']","['1', '&nbsp;']","['166', 'i']"
