table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_companiesa_number_,field_domestic_r_d_amount,field_health_or_medical_companiesb_number_,field_health_or_medical_amount,field_defense_companiesb_number_,field_defense_amount,field_agriculture_companiesb_number_,field_agriculture_amount
2721,r034,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['5,204', '  ']","['22,374', '  ']","['1,022', 'i ']","['3,102', '  ']","['466', 'i ']","['1,240', 'i ']","['166', 'i ']","['178', '  ']"
2721,r035,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['1,150', '  ']","['2,277', '  ']","['83', 'i ']","['76', 'i ']","['110', 'i ']","['125', 'i ']","['61', 'i ']","['54', 'i ']"
2721,r036,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['785', '  ']","['2,424', '  ']","['545', 'i ']","['1,294', '  ']","['132', 'i ']","['86', '  ']","['86', 'i ']","['117', '  ']"
2721,r037,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology,5,541711,"['202', '  ']","['820', '  ']","['156', 'i ']","['595', '  ']","['D', '  ']","['1', '  ']","['24', 'i ']","['66', '  ']"
2721,r038,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Other scientific research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Other scientific research and development,5,other 5417,"['583', '  ']","['1,603', '  ']","['389', 'i ']","['699', '  ']","['D', '&nbsp;']","['85', '  ']","['62', 'i ']","['51', '  ']"
2721,r039,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['3,269', '  ']","['17,673', '  ']","['394', 'i ']","['1,731', '  ']","['225', 'i ']","['1,030', '  ']","['19', '  ']","['8', '  ']"
2721,r040,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['178', '  ']","['1,401', '  ']","['109', 'i ']","['1,285', 'i ']","['D', '&nbsp;']","['1', 'i ']","['0', '  ']","['0', '  ']"
2721,r041,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45, 48–49, 52–53, 55–56, 624, 71–72, 81","['998', '  ']","['22,982', 'i ']","['D', '  ']","['503', '  ']","['9', '  ']","['14', '  ']","['D', '  ']","['38', 'i ']"
2721,r042,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['24,698', '  ']","['377,806', '  ']","['5,721', 'i ']","['89,550', '  ']","['2,220', 'i ']","['12,721', '  ']","['1,743', 'i ']","['7,273', '  ']"
2721,r043,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2721,r044,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>c</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>c</sup>,,,3,–,"['3,948', '  ']","['3,340', '  ']","['1,087', 'i ']","['1,057', '  ']","['319', 'i ']","['106', 'i ']","['226', 'i ']","['65', 'i ']"
2721,r045,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['6,950', '  ']","['9,556', '  ']","['1,665', 'i ']","['3,360', '  ']","['655', 'i ']","['632', '  ']","['496', 'i ']","['211', 'i ']"
2721,r046,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2721,r047,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['4,406', '  ']","['10,446', '  ']","['887', 'i ']","['3,840', '  ']","['360', 'i ']","['343', '  ']","['231', 'i ']","['174', '  ']"
2721,r048,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['4,562', '  ']","['14,626', '  ']","['1,064', 'i ']","['4,719', '  ']","['405', 'i ']","['456', '  ']","['337', 'i ']","['257', '  ']"
2721,r049,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2721,r050,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['1,967', '  ']","['16,604', '  ']","['404', '  ']","['5,894', '  ']","['213', '  ']","['330', 'i ']","['169', '  ']","['262', '  ']"
2721,r051,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['1,098', '  ']","['15,561', '  ']","['200', '  ']","['4,105', '  ']","['81', '  ']","['386', 'i ']","['83', '  ']","['182', '  ']"
2721,r052,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['1,221', '  ']","['58,509', '  ']","['280', '  ']","['11,670', '  ']","['110', '  ']","['1,653', '  ']","['136', '  ']","['728', 'i ']"
2721,r053,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['231', '  ']","['36,274', '  ']","['53', '  ']","['9,480', '  ']","['34', '  ']","['808', 'i ']","['34', '  ']","['387', '  ']"
2721,r054,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['201', '  ']","['74,423', '  ']","['52', '  ']","['28,103', '  ']","['28', '  ']","['1,329', '  ']","['20', '  ']","['3,071', 'i ']"
2721,r055,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['114', '  ']","['138,465', '  ']","['28', '  ']","['17,322', '  ']","['16', '  ']","['6,679', '  ']","['11', '  ']","['1,936', '  ']"
