table_id,row_id,sector_and_occupation_full_path,sector_and_occupation_level_1,sector_and_occupation_level_2,sector_and_occupation_level_3,sector_and_occupation_level_4,sector_and_occupation_level_5,sector_and_occupation_hierarchy_depth,field_total,field_sex_female,field_sex_male,field_hispanic_or_latinoa,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race,field_disability_status_without_disability,field_disability_status_with_disability
3304,r019,All sectors -> Business or industry -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,All sectors,Business or industry,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,5,169000,60000,109000,11000,,15000,5000,0.05,133000,4000,147000,22000
3304,r020,All sectors -> Business or industry -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,All sectors,Business or industry,S&E occupations<sup>b</sup>,Science occupations,Psychologist,5,59000,49000,9000,5000,,1000,2000,,50000,S,50000,8000
3304,r021,All sectors -> Business or industry -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,All sectors,Business or industry,S&E occupations<sup>b</sup>,Science occupations,Social scientist,5,63000,30000,32000,7000,,6000,S,,45000,2000,56000,7000
3304,r022,All sectors -> Business or industry -> S&E occupations<sup>b</sup> -> Engineering occupations,All sectors,Business or industry,S&E occupations<sup>b</sup>,Engineering occupations,,4,1503000,229000,1275000,126000,3000,253000,54000,3000,1037000,28000,1368000,136000
3304,r023,All sectors -> Business or industry -> S&E-related occupations<sup>c</sup>,All sectors,Business or industry,S&E-related occupations<sup>c</sup>,,,3,4299000,2110000,2189000,430000,S,618000,269000,5000,2877000,85000,3930000,369000
3304,r024,All sectors -> Business or industry -> Non-S&E occupations<sup>d</sup>,All sectors,Business or industry,Non-S&E occupations<sup>d</sup>,,,3,6403000,2745000,3659000,606000,21000,721000,440000,21000,4456000,137000,5638000,765000
3304,r025,All sectors -> Federal government,All sectors,Federal government,,,,2,1262000,492000,770000,126000,S,127000,156000,3000,792000,43000,1123000,139000
3304,r026,All sectors -> Federal government -> S&E occupations<sup>b</sup>,All sectors,Federal government,S&E occupations<sup>b</sup>,,,3,421000,128000,293000,27000,S,42000,40000,1000,286000,11000,385000,36000
3304,r027,All sectors -> Federal government -> S&E occupations<sup>b</sup> -> Science occupations,All sectors,Federal government,S&E occupations<sup>b</sup>,Science occupations,,4,293000,107000,186000,15000,S,28000,33000,,198000,6000,266000,27000
3304,r028,"All sectors -> Federal government -> S&E occupations<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientist",All sectors,Federal government,S&E occupations<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientist",5,58000,33000,26000,S,,8000,2000,,43000,,54000,4000
3304,r029,All sectors -> Federal government -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,All sectors,Federal government,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,5,105000,27000,79000,3000,,13000,13000,,61000,3000,93000,12000
3304,r030,All sectors -> Federal government -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,All sectors,Federal government,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,5,32000,10000,22000,S,,1000,7000,,20000,0.05,30000,2000
3304,r031,All sectors -> Federal government -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,All sectors,Federal government,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,5,43000,12000,31000,1000,,3000,S,,33000,1000,38000,5000
3304,r032,All sectors -> Federal government -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,All sectors,Federal government,S&E occupations<sup>b</sup>,Science occupations,Psychologist,5,12000,8000,3000,,,,,,9000,,11000,S
3304,r033,All sectors -> Federal government -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,All sectors,Federal government,S&E occupations<sup>b</sup>,Science occupations,Social scientist,5,42000,17000,26000,2000,,3000,5000,,32000,1000,41000,2000
3304,r034,All sectors -> Federal government -> S&E occupations<sup>b</sup> -> Engineering occupations,All sectors,Federal government,S&E occupations<sup>b</sup>,Engineering occupations,,4,128000,21000,107000,12000,,14000,8000,,88000,5000,118000,9000
3304,r035,All sectors -> Federal government -> S&E-related occupations<sup>c</sup>,All sectors,Federal government,S&E-related occupations<sup>c</sup>,,,3,299000,128000,171000,34000,S,44000,43000,,174000,3000,265000,34000
3304,r036,All sectors -> Federal government -> Non-S&E occupations<sup>d</sup>,All sectors,Federal government,Non-S&E occupations<sup>d</sup>,,,3,542000,236000,305000,64000,1000,41000,73000,S,333000,28000,473000,69000
3304,r037,All sectors -> Nonprofit,All sectors,Nonprofit,,,,2,3354000,2272000,1083000,275000,7000,382000,289000,24000,2281000,95000,3067000,287000
3304,r038,All sectors -> Nonprofit -> S&E occupations<sup>b</sup>,All sectors,Nonprofit,S&E occupations<sup>b</sup>,,,3,378000,171000,207000,27000,,65000,16000,,261000,5000,348000,30000
3304,r039,All sectors -> Nonprofit -> S&E occupations<sup>b</sup> -> Science occupations,All sectors,Nonprofit,S&E occupations<sup>b</sup>,Science occupations,,4,342000,167000,176000,26000,,59000,15000,,237000,5000,314000,28000
3304,r040,"All sectors -> Nonprofit -> S&E occupations<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientist",All sectors,Nonprofit,S&E occupations<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientist",5,56000,24000,32000,7000,,12000,,,37000,S,50000,6000
3304,r041,All sectors -> Nonprofit -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,All sectors,Nonprofit,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,5,196000,90000,106000,11000,,39000,10000,,132000,S,182000,14000
3304,r042,All sectors -> Nonprofit -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,All sectors,Nonprofit,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,5,27000,14000,13000,S,,4000,,,21000,,22000,5000
3304,r043,All sectors -> Nonprofit -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,All sectors,Nonprofit,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,5,8000,2000,6000,S,,0.05,,,5000,,8000,
3304,r044,All sectors -> Nonprofit -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,All sectors,Nonprofit,S&E occupations<sup>b</sup>,Science occupations,Psychologist,5,21000,16000,5000,3000,,1000,,,16000,,19000,S
3304,r045,All sectors -> Nonprofit -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,All sectors,Nonprofit,S&E occupations<sup>b</sup>,Science occupations,Social scientist,5,35000,20000,15000,2000,,3000,2000,,27000,0.05,33000,2000
3304,r046,All sectors -> Nonprofit -> S&E occupations<sup>b</sup> -> Engineering occupations,All sectors,Nonprofit,S&E occupations<sup>b</sup>,Engineering occupations,,4,35000,4000,31000,1000,,6000,S,,24000,,34000,2000
3304,r047,All sectors -> Nonprofit -> S&E-related occupations<sup>c</sup>,All sectors,Nonprofit,S&E-related occupations<sup>c</sup>,,,3,1757000,1267000,490000,112000,3000,230000,138000,S,1208000,49000,1638000,120000
3304,r048,All sectors -> Nonprofit -> Non-S&E occupations<sup>d</sup>,All sectors,Nonprofit,Non-S&E occupations<sup>d</sup>,,,3,1220000,834000,386000,137000,4000,87000,135000,S,811000,42000,1082000,138000
3304,r049,All sectors -> Self-employed,All sectors,Self-employed,,,,2,1658000,828000,830000,110000,2000,165000,97000,,1240000,43000,1433000,225000
3304,r050,All sectors -> Self-employed -> S&E occupations<sup>b</sup>,All sectors,Self-employed,S&E occupations<sup>b</sup>,,,3,189000,72000,117000,15000,,21000,4000,,147000,1000,166000,23000
3304,r051,All sectors -> Self-employed -> S&E occupations<sup>b</sup> -> Science occupations,All sectors,Self-employed,S&E occupations<sup>b</sup>,Science occupations,,4,151000,66000,85000,10000,,18000,3000,,120000,S,135000,16000
3304,r052,"All sectors -> Self-employed -> S&E occupations<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientist",All sectors,Self-employed,S&E occupations<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientist",5,14000,7000,7000,,,3000,,,10000,,13000,1000
3304,r053,All sectors -> Self-employed -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,All sectors,Self-employed,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,5,70000,19000,51000,4000,,12000,2000,,52000,,60000,10000
3304,r054,All sectors -> Self-employed -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,All sectors,Self-employed,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,5,S,S,S,,,0.05,,,S,,S,
3304,r055,All sectors -> Self-employed -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,All sectors,Self-employed,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,5,12000,S,10000,,,,,,10000,,10000,S
3304,r056,All sectors -> Self-employed -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,All sectors,Self-employed,S&E occupations<sup>b</sup>,Science occupations,Psychologist,5,46000,34000,12000,4000,,1000,,,39000,,42000,4000
3304,r057,All sectors -> Self-employed -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,All sectors,Self-employed,S&E occupations<sup>b</sup>,Science occupations,Social scientist,5,7000,2000,5000,0.05,,,,,6000,,7000,0.05
3304,r058,All sectors -> Self-employed -> S&E occupations<sup>b</sup> -> Engineering occupations,All sectors,Self-employed,S&E occupations<sup>b</sup>,Engineering occupations,,4,38000,6000,32000,5000,,3000,,,28000,0.05,31000,7000
3304,r059,All sectors -> Self-employed -> S&E-related occupations<sup>c</sup>,All sectors,Self-employed,S&E-related occupations<sup>c</sup>,,,3,414000,257000,157000,22000,,42000,22000,,305000,23000,371000,44000
3304,r060,All sectors -> Self-employed -> Non-S&E occupations<sup>d</sup>,All sectors,Self-employed,Non-S&E occupations<sup>d</sup>,,,3,1055000,499000,556000,74000,2000,102000,70000,,788000,19000,896000,159000
3304,r061,All sectors -> State or local government,All sectors,State or local government,,,,2,1640000,850000,790000,227000,6000,155000,227000,8000,987000,31000,1455000,185000
3304,r062,All sectors -> State or local government -> S&E occupations<sup>b</sup>,All sectors,State or local government,S&E occupations<sup>b</sup>,,,3,377000,145000,231000,41000,S,54000,34000,S,237000,7000,338000,39000
3304,r063,All sectors -> State or local government -> S&E occupations<sup>b</sup> -> Science occupations,All sectors,State or local government,S&E occupations<sup>b</sup>,Science occupations,,4,278000,124000,154000,33000,0.05,37000,27000,S,174000,6000,250000,28000
3304,r064,"All sectors -> State or local government -> S&E occupations<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientist",All sectors,State or local government,S&E occupations<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientist",5,62000,26000,36000,7000,,6000,S,,43000,S,57000,S
3304,r065,All sectors -> State or local government -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,All sectors,State or local government,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,5,119000,45000,74000,11000,,27000,14000,,65000,2000,105000,14000
3304,r066,All sectors -> State or local government -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,All sectors,State or local government,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,5,S,S,2000,1000,,0.05,S,,S,,S,0.05
3304,r067,All sectors -> State or local government -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,All sectors,State or local government,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,5,42000,17000,24000,4000,,2000,S,,32000,1000,36000,6000
3304,r068,All sectors -> State or local government -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,All sectors,State or local government,S&E occupations<sup>b</sup>,Science occupations,Psychologist,5,9000,8000,0.05,,,,S,,5000,,8000,
3304,r069,All sectors -> State or local government -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,All sectors,State or local government,S&E occupations<sup>b</sup>,Science occupations,Social scientist,5,34000,18000,16000,9000,,2000,S,,19000,S,32000,2000
3304,r070,All sectors -> State or local government -> S&E occupations<sup>b</sup> -> Engineering occupations,All sectors,State or local government,S&E occupations<sup>b</sup>,Engineering occupations,,4,99000,21000,78000,9000,,17000,7000,,63000,1000,88000,11000
3304,r071,All sectors -> State or local government -> S&E-related occupations<sup>c</sup>,All sectors,State or local government,S&E-related occupations<sup>c</sup>,,,3,332000,195000,137000,49000,1000,40000,45000,S,188000,5000,299000,33000
3304,r072,All sectors -> State or local government -> Non-S&E occupations<sup>d</sup>,All sectors,State or local government,Non-S&E occupations<sup>d</sup>,,,3,931000,510000,421000,136000,3000,62000,149000,2000,562000,19000,819000,113000
3304,r073,All sectors -> Universities and 4-year colleges<sup>e</sup>,All sectors,Universities and 4-year colleges<sup>e</sup>,,,,2,2290000,1275000,1015000,215000,S,419000,132000,8000,1464000,42000,2099000,192000
3304,r074,All sectors -> Universities and 4-year colleges<sup>e</sup> -> S&E occupations<sup>b</sup>,All sectors,Universities and 4-year colleges<sup>e</sup>,S&E occupations<sup>b</sup>,,,3,1013000,450000,563000,91000,1000,226000,46000,2000,631000,16000,925000,89000
3304,r075,All sectors -> Universities and 4-year colleges<sup>e</sup> -> S&E occupations<sup>b</sup> -> Science occupations,All sectors,Universities and 4-year colleges<sup>e</sup>,S&E occupations<sup>b</sup>,Science occupations,,4,905000,421000,484000,85000,0.05,188000,44000,S,572000,15000,824000,81000
3304,r076,"All sectors -> Universities and 4-year colleges<sup>e</sup> -> S&E occupations<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientist",All sectors,Universities and 4-year colleges<sup>e</sup>,S&E occupations<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientist",5,253000,121000,132000,23000,,70000,8000,,147000,5000,232000,21000
3304,r077,All sectors -> Universities and 4-year colleges<sup>e</sup> -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,All sectors,Universities and 4-year colleges<sup>e</sup>,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,5,176000,45000,131000,17000,,41000,8000,,107000,3000,160000,16000
3304,r078,All sectors -> Universities and 4-year colleges<sup>e</sup> -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,All sectors,Universities and 4-year colleges<sup>e</sup>,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,5,80000,32000,48000,3000,,21000,3000,,52000,S,75000,5000
3304,r079,All sectors -> Universities and 4-year colleges<sup>e</sup> -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,All sectors,Universities and 4-year colleges<sup>e</sup>,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,5,127000,45000,81000,8000,,33000,3000,,81000,0.05,117000,9000
3304,r080,All sectors -> Universities and 4-year colleges<sup>e</sup> -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,All sectors,Universities and 4-year colleges<sup>e</sup>,S&E occupations<sup>b</sup>,Science occupations,Psychologist,5,83000,64000,19000,3000,,3000,4000,,70000,3000,77000,6000
3304,r081,All sectors -> Universities and 4-year colleges<sup>e</sup> -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,All sectors,Universities and 4-year colleges<sup>e</sup>,S&E occupations<sup>b</sup>,Science occupations,Social scientist,5,187000,114000,73000,31000,,19000,18000,,115000,2000,164000,23000
3304,r082,All sectors -> Universities and 4-year colleges<sup>e</sup> -> S&E occupations<sup>b</sup> -> Engineering occupations,All sectors,Universities and 4-year colleges<sup>e</sup>,S&E occupations<sup>b</sup>,Engineering occupations,,4,108000,29000,79000,6000,,38000,2000,,59000,2000,101000,7000
3304,r083,All sectors -> Universities and 4-year colleges<sup>e</sup> -> S&E-related occupations<sup>c</sup>,All sectors,Universities and 4-year colleges<sup>e</sup>,S&E-related occupations<sup>c</sup>,,,3,648000,433000,215000,60000,,132000,32000,S,402000,10000,625000,23000
3304,r084,All sectors -> Universities and 4-year colleges<sup>e</sup> -> Non-S&E occupations<sup>d</sup>,All sectors,Universities and 4-year colleges<sup>e</sup>,Non-S&E occupations<sup>d</sup>,,,3,629000,392000,237000,64000,2000,61000,53000,S,432000,15000,549000,80000
3304,r085,All sectors -> Other educational institutions,All sectors,Other educational institutions,,,,2,2843000,2031000,811000,314000,9000,160000,231000,3000,2062000,64000,2508000,335000
3304,r086,All sectors -> Other educational institutions -> S&E occupations<sup>b</sup>,All sectors,Other educational institutions,S&E occupations<sup>b</sup>,,,3,211000,109000,102000,19000,,14000,15000,,156000,6000,188000,24000
3304,r087,All sectors -> Other educational institutions -> S&E occupations<sup>b</sup> -> Science occupations,All sectors,Other educational institutions,S&E occupations<sup>b</sup>,Science occupations,,4,201000,108000,92000,19000,,13000,12000,,150000,6000,182000,18000
3304,r088,"All sectors -> Other educational institutions -> S&E occupations<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientist",All sectors,Other educational institutions,S&E occupations<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientist",5,23000,14000,9000,2000,,S,,,19000,,21000,S
3304,r089,All sectors -> Other educational institutions -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,All sectors,Other educational institutions,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,5,68000,24000,44000,6000,,S,S,,50000,S,64000,4000
3304,r090,All sectors -> Other educational institutions -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,All sectors,Other educational institutions,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,5,34000,19000,15000,2000,,2000,S,,27000,,30000,S
3304,r091,All sectors -> Other educational institutions -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,All sectors,Other educational institutions,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,5,9000,3000,6000,2000,,1000,,,5000,,7000,
3304,r092,All sectors -> Other educational institutions -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,All sectors,Other educational institutions,S&E occupations<sup>b</sup>,Science occupations,Psychologist,5,47000,41000,7000,7000,,3000,3000,,34000,S,42000,6000
3304,r093,All sectors -> Other educational institutions -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,All sectors,Other educational institutions,S&E occupations<sup>b</sup>,Science occupations,Social scientist,5,19000,7000,13000,1000,,,2000,,15000,,19000,1000
3304,r094,All sectors -> Other educational institutions -> S&E occupations<sup>b</sup> -> Engineering occupations,All sectors,Other educational institutions,S&E occupations<sup>b</sup>,Engineering occupations,,4,11000,,10000,,,,,,6000,,5000,S
3304,r095,All sectors -> Other educational institutions -> S&E-related occupations<sup>c</sup>,All sectors,Other educational institutions,S&E-related occupations<sup>c</sup>,,,3,1144000,719000,425000,113000,1000,44000,62000,1000,900000,23000,1021000,123000
3304,r096,All sectors -> Other educational institutions -> Non-S&E occupations<sup>d</sup>,All sectors,Other educational institutions,Non-S&E occupations<sup>d</sup>,,,3,1487000,1203000,284000,181000,7000,102000,154000,2000,1007000,34000,1299000,188000
