table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_companiesa_number_,field_domestic_r_d_amount,field_energy_companiesb_number_,field_energy_amount,field_environmental_protection_companiesb_number_,field_environmental_protection_amount
2720,r045,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['6,950', '  ']","['9,556', '  ']","['976', 'i ']","['637', '  ']","['704', 'i ']","['282', '  ']"
2720,r046,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2720,r047,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['4,406', '  ']","['10,446', '  ']","['540', 'i ']","['547', '  ']","['419', 'i ']","['313', '  ']"
2720,r048,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['4,562', '  ']","['14,626', '  ']","['634', 'i ']","['876', '  ']","['460', 'i ']","['263', '  ']"
2720,r049,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2720,r050,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['1,967', '  ']","['16,604', '  ']","['281', 'i ']","['989', '  ']","['214', 'i ']","['193', '  ']"
2720,r051,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['1,098', '  ']","['15,561', '  ']","['199', '  ']","['877', '  ']","['144', '  ']","['337', '  ']"
2720,r052,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['1,221', '  ']","['58,509', '  ']","['240', '  ']","['3,526', '  ']","['189', '  ']","['1,074', 'i ']"
2720,r053,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['231', '  ']","['36,274', '  ']","['69', '  ']","['2,247', '  ']","['56', '  ']","['666', '  ']"
2720,r054,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['201', '  ']","['74,423', '  ']","['64', '  ']","['4,873', '  ']","['55', '  ']","['1,454', 'i ']"
2720,r055,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['114', '  ']","['138,465', '  ']","['28', '  ']","['8,532', 'i ']","['20', '  ']","['3,320', '  ']"
