table_id,row_id,_b_field_and_institution_b_full_path,_b_field_and_institution_b_level_1,_b_field_and_institution_b_level_2,_b_field_and_institution_b_level_3,_b_field_and_institution_b_level_4,_b_field_and_institution_b_hierarchy_depth,field_rank,field_totala,field_male,field_female
11708,r051,"Science and engineering ->  Biological and biomedical sciences -> From top 20 institutions -> U. Washington, Seattle",Science and engineering, Biological and biomedical sciences,From top 20 institutions,"U. Washington, Seattle",4,4,163,76,87
11708,r052,"Science and engineering ->  Biological and biomedical sciences -> From top 20 institutions -> U. North Carolina, Chapel Hill",Science and engineering, Biological and biomedical sciences,From top 20 institutions,"U. North Carolina, Chapel Hill",4,5,162,61,101
11708,r053,Science and engineering ->  Biological and biomedical sciences -> From top 20 institutions -> U. Pennsylvania,Science and engineering, Biological and biomedical sciences,From top 20 institutions,U. Pennsylvania,4,6,156,68,88
11708,r054,"Science and engineering ->  Biological and biomedical sciences -> From top 20 institutions -> U. Michigan, Ann Arbor",Science and engineering, Biological and biomedical sciences,From top 20 institutions,"U. Michigan, Ann Arbor",4,7,150,67,83
11708,r055,Science and engineering ->  Biological and biomedical sciences -> From top 20 institutions -> U. Wisconsin-Madison,Science and engineering, Biological and biomedical sciences,From top 20 institutions,U. Wisconsin-Madison,4,8,145,70,75
11708,r056,Science and engineering ->  Biological and biomedical sciences -> From top 20 institutions -> U. Florida,Science and engineering, Biological and biomedical sciences,From top 20 institutions,U. Florida,4,9,144,77,67
11708,r057,"Science and engineering ->  Biological and biomedical sciences -> From top 20 institutions -> U. California, Berkeley",Science and engineering, Biological and biomedical sciences,From top 20 institutions,"U. California, Berkeley",4,10,134,72,62
11708,r058,"Science and engineering ->  Biological and biomedical sciences -> From top 20 institutions -> U. California, Los Angeles",Science and engineering, Biological and biomedical sciences,From top 20 institutions,"U. California, Los Angeles",4,10,134,66,68
11708,r059,Science and engineering ->  Biological and biomedical sciences -> From top 20 institutions -> Stanford U.,Science and engineering, Biological and biomedical sciences,From top 20 institutions,Stanford U.,4,12,130,64,66
11708,r060,"Science and engineering ->  Biological and biomedical sciences -> From top 20 institutions -> U. Minnesota, Twin Cities",Science and engineering, Biological and biomedical sciences,From top 20 institutions,"U. Minnesota, Twin Cities",4,12,130,53,77
11708,r061,Science and engineering ->  Biological and biomedical sciences -> From top 20 institutions -> Yale U.,Science and engineering, Biological and biomedical sciences,From top 20 institutions,Yale U.,4,14,121,63,58
11708,r062,Science and engineering ->  Biological and biomedical sciences -> From top 20 institutions -> Columbia U. in the City of New York,Science and engineering, Biological and biomedical sciences,From top 20 institutions,Columbia U. in the City of New York,4,15,119,49,70
11708,r063,"Science and engineering ->  Biological and biomedical sciences -> From top 20 institutions -> Texas A&M U., College Station",Science and engineering, Biological and biomedical sciences,From top 20 institutions,"Texas A&M U., College Station",4,16,114,49,65
11708,r064,"Science and engineering ->  Biological and biomedical sciences -> From top 20 institutions -> U. California, San Diego",Science and engineering, Biological and biomedical sciences,From top 20 institutions,"U. California, San Diego",4,16,114,74,40
11708,r065,Science and engineering ->  Biological and biomedical sciences -> From top 20 institutions -> Vanderbilt U.,Science and engineering, Biological and biomedical sciences,From top 20 institutions,Vanderbilt U.,4,16,114,54,60
11708,r066,"Science and engineering ->  Biological and biomedical sciences -> From top 20 institutions -> U. Pittsburgh, Pittsburgh",Science and engineering, Biological and biomedical sciences,From top 20 institutions,"U. Pittsburgh, Pittsburgh",4,19,113,44,69
11708,r067,Science and engineering ->  Biological and biomedical sciences -> From top 20 institutions -> U. Georgia,Science and engineering, Biological and biomedical sciences,From top 20 institutions,U. Georgia,4,20,109,50,59
11708,r068,Science and engineering ->  Computer and information sciences,Science and engineering, Computer and information sciences,,,2,-,2297,1710,587
11708,r069,Science and engineering ->  Computer and information sciences -> From top 20 institutions,Science and engineering, Computer and information sciences,From top 20 institutions,,3,-,822,628,194
11708,r070,Science and engineering ->  Computer and information sciences -> From top 20 institutions -> Massachusetts Institute of Technology,Science and engineering, Computer and information sciences,From top 20 institutions,Massachusetts Institute of Technology,4,1,64,56,8
11708,r071,Science and engineering ->  Computer and information sciences -> From top 20 institutions -> Stanford U.,Science and engineering, Computer and information sciences,From top 20 institutions,Stanford U.,4,2,53,35,18
11708,r072,"Science and engineering ->  Computer and information sciences -> From top 20 institutions -> U. California, Berkeley",Science and engineering, Computer and information sciences,From top 20 institutions,"U. California, Berkeley",4,3,50,44,6
11708,r073,Science and engineering ->  Computer and information sciences -> From top 20 institutions -> Carnegie Mellon U.,Science and engineering, Computer and information sciences,From top 20 institutions,Carnegie Mellon U.,4,4,48,37,11
11708,r074,"Science and engineering ->  Computer and information sciences -> From top 20 institutions -> Purdue U., West Lafayette",Science and engineering, Computer and information sciences,From top 20 institutions,"Purdue U., West Lafayette",4,5,45,38,7
11708,r075,Science and engineering ->  Computer and information sciences -> From top 20 institutions -> U. Southern California,Science and engineering, Computer and information sciences,From top 20 institutions,U. Southern California,4,6,44,32,12
11708,r076,"Science and engineering ->  Computer and information sciences -> From top 20 institutions -> U. Illinois, Urbana-Champaign",Science and engineering, Computer and information sciences,From top 20 institutions,"U. Illinois, Urbana-Champaign",4,7,41,27,14
11708,r077,"Science and engineering ->  Computer and information sciences -> From top 20 institutions -> U. Maryland, College Park",Science and engineering, Computer and information sciences,From top 20 institutions,"U. Maryland, College Park",4,8,39,26,13
11708,r078,Science and engineering ->  Computer and information sciences -> From top 20 institutions -> Georgia Institute of Technology,Science and engineering, Computer and information sciences,From top 20 institutions,Georgia Institute of Technology,4,9,35,28,7
11708,r079,Science and engineering ->  Computer and information sciences -> From top 20 institutions -> Princeton U.,Science and engineering, Computer and information sciences,From top 20 institutions,Princeton U.,4,9,35,27,8
11708,r080,Science and engineering ->  Computer and information sciences -> From top 20 institutions -> Johns Hopkins U.,Science and engineering, Computer and information sciences,From top 20 institutions,Johns Hopkins U.,4,11,34,31,3
11708,r081,Science and engineering ->  Computer and information sciences -> From top 20 institutions -> U. Central Florida,Science and engineering, Computer and information sciences,From top 20 institutions,U. Central Florida,4,12,32,21,11
11708,r082,Science and engineering ->  Computer and information sciences -> From top 20 institutions -> Cornell U.,Science and engineering, Computer and information sciences,From top 20 institutions,Cornell U.,4,13,30,20,10
11708,r083,"Science and engineering ->  Computer and information sciences -> From top 20 institutions -> U. Texas, Austin",Science and engineering, Computer and information sciences,From top 20 institutions,"U. Texas, Austin",4,13,30,24,6
11708,r084,"Science and engineering ->  Computer and information sciences -> From top 20 institutions -> U. California, San Diego",Science and engineering, Computer and information sciences,From top 20 institutions,"U. California, San Diego",4,15,29,24,5
11708,r085,"Science and engineering ->  Computer and information sciences -> From top 20 institutions -> U. Washington, Seattle",Science and engineering, Computer and information sciences,From top 20 institutions,"U. Washington, Seattle",4,15,29,21,8
11708,r086,"Science and engineering ->  Computer and information sciences -> From top 20 institutions -> U. California, Irvine",Science and engineering, Computer and information sciences,From top 20 institutions,"U. California, Irvine",4,17,27,21,6
11708,r087,Science and engineering ->  Computer and information sciences -> From top 20 institutions -> U. Chicago,Science and engineering, Computer and information sciences,From top 20 institutions,U. Chicago,4,17,27,19,8
11708,r088,Science and engineering ->  Computer and information sciences -> From top 20 institutions -> George Mason U.,Science and engineering, Computer and information sciences,From top 20 institutions,George Mason U.,4,19,26,20,6
11708,r089,"Science and engineering ->  Computer and information sciences -> From top 20 institutions -> Indiana U., Bloomington",Science and engineering, Computer and information sciences,From top 20 institutions,"Indiana U., Bloomington",4,19,26,19,7
11708,r090,Science and engineering ->  Computer and information sciences -> From top 20 institutions -> Northeastern U.,Science and engineering, Computer and information sciences,From top 20 institutions,Northeastern U.,4,19,26,21,5
11708,r091,"Science and engineering ->  Computer and information sciences -> From top 20 institutions -> U. California, Los Angeles",Science and engineering, Computer and information sciences,From top 20 institutions,"U. California, Los Angeles",4,19,26,21,5
11708,r092,"Science and engineering ->  Computer and information sciences -> From top 20 institutions -> U. Michigan, Ann Arbor",Science and engineering, Computer and information sciences,From top 20 institutions,"U. Michigan, Ann Arbor",4,19,26,16,10
11708,r093,Science and engineering ->  Engineering,Science and engineering, Engineering,,,2,-,10724,7873,2851
11708,r094,Science and engineering ->  Engineering -> From top 20 institutions,Science and engineering, Engineering,From top 20 institutions,,3,-,3919,2911,1008
