table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_worldwide_employees_total,field_worldwide_employees_r_d,field_worldwide_employees_r_d_employees,field_domestic_employees_total,field_domestic_employees_r_d,field_domestic_employees_r_d_employees,field_foreign_employees_total,field_foreign_employees_r_d,field_foreign_employees_r_d_employees
1423,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['78', '  ']","['14', '  ']","['17.4', '  ']","['28', '  ']","['9', '  ']","['31.5', '  ']","['50', 'i ']","['5', '  ']","['9.5', ' ']"
1423,r024,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment",,4,3336,"['158', '  ']","['12', '  ']","['7.4', '  ']","['84', '  ']","['7', '  ']","['8.9', '  ']","['74', '  ']","['4', '  ']","['5.6', ' ']"
1423,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['1,086', '  ']","['73', '  ']","['6.7', '  ']","['629', '  ']","['53', '  ']","['8.4', '  ']","['457', '  ']","['20', '  ']","['4.3', ' ']"
1423,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['2,897', '  ']","['424', '  ']","['14.6', '  ']","['1,336', '  ']","['264', '  ']","['19.7', '  ']","['1,561', '  ']","['160', '  ']","['10.3', ' ']"
1423,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['290', '  ']","['77', '  ']","['26.7', '  ']","['171', '  ']","['48', '  ']","['28.1', '  ']","['119', '  ']","['29', '  ']","['24.7', ' ']"
1423,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,"['1,010', '  ']","['156', '  ']","['15.5', '  ']","['410', '  ']","['96', '  ']","['23.4', '  ']","['600', '  ']","['61', '  ']","['10.1', ' ']"
1423,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['956', '  ']","['100', '  ']","['10.4', '  ']","['501', '  ']","['69', '  ']","['13.8', '  ']","['454', '  ']","['30', '  ']","['6.6', ' ']"
1423,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatuses",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatuses",5,"334510, 334517","['137', '  ']","['19', '  ']","['14.0', '  ']","['72', '  ']","['12', '  ']","['17.0', '  ']","['65', '  ']","['7', '  ']","['10.6', ' ']"
1423,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",5,334511,"['298', '  ']","['33', '  ']","['11.1', '  ']","['208', '  ']","['29', '  ']","['14.1', '  ']","['91', '  ']","['4', '  ']","['4.2', ' ']"
1423,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,"['520', '  ']","['47', '  ']","['9.1', '  ']","['221', '  ']","['28', '  ']","['12.6', '  ']","['299', '  ']","['20', '  ']","['6.6', ' ']"
1423,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['642', '  ']","['90', '  ']","['14.1', '  ']","['255', '  ']","['50', '  ']","['19.8', '  ']","['387', '  ']","['40', '  ']","['10.4', ' ']"
1423,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['766', '  ']","['51', '  ']","['6.7', '  ']","['306', '  ']","['28', '  ']","['9.0', '  ']","['460', '  ']","['23', '  ']","['5.1', ' ']"
1423,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['3,286', '  ']","['236', '  ']","['7.2', '  ']","['1,953', '  ']","['168', '  ']","['8.6', '  ']","['1,333', '  ']","['68', '  ']","['5.1', ' ']"
1423,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['2,162', '  ']","['135', '  ']","['6.3', '  ']","['1,088', '  ']","['92', '  ']","['8.5', '  ']","['1,074', '  ']","['43', '  ']","['4.0', ' ']"
1423,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['858', '  ']","['85', '  ']","['9.8', '  ']","['643', '  ']","['61', '  ']","['9.5', '  ']","['215', '  ']","['24', '  ']","['11.0', ' ']"
1423,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engines, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engines, and aircraft parts",5,336411–13,"['810', '  ']","['73', '  ']","['9.1', '  ']","['607', '  ']","['50', '  ']","['8.2', '  ']","['203', '  ']","['24', '  ']","['11.7', ' ']"
1423,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missiles, space vehicles, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missiles, space vehicles, and related parts",5,"336414–15, 336419","['48', '  ']","['11', '  ']","['22.9', '  ']","['36', '  ']","['11', '  ']","['30.4', '  ']","['12', '  ']","['*', '  ']","['0.5', ' ']"
1423,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicles, tanks, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicles, tanks, and tank components",,4,336992,"['1', '  ']","['*', '  ']","['13.2', '  ']","['1', '  ']","['*', '  ']","['13.2', '  ']","['0', '  ']","['0', '  ']","['0.0', ' ']"
1423,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['265', 'i ']","['17', '  ']","['6.2', '  ']","['221', 'i ']","['15', '  ']","['6.6', '  ']","['44', '  ']","['2', '  ']","['4.5', ' ']"
1423,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['172', '  ']","['5', '  ']","['2.9', '  ']","['147', '  ']","['5', '  ']","['3.1', '  ']","['25', '  ']","['*', '  ']","['1.8', ' ']"
1423,r043,All industries -> Manufacturing industries -> Miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,,,3,339,"['1,194', '  ']","['92', '  ']","['7.7', '  ']","['635', '  ']","['70', '  ']","['11.0', '  ']","['559', '  ']","['22', '  ']","['3.9', ' ']"
1423,r044,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous manufacturing,Medical equipment and supplies,,4,3391,"['827', '  ']","['65', '  ']","['7.8', '  ']","['429', '  ']","['47', '  ']","['11.0', '  ']","['398', '  ']","['17', '  ']","['4.4', ' ']"
1423,r045,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,Other miscellaneous manufacturing,,4,3399,"['367', '  ']","['27', 'i ']","['7.5', '  ']","['206', '  ']","['23', 'i ']","['11.1', '  ']","['161', 'i ']","['5', 'i ']","['2.8', ' ']"
1423,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['13,111', '  ']","['878', '  ']","['6.7', '  ']","['9,414', '  ']","['610', '  ']","['6.5', '  ']","['3,697', '  ']","['268', '  ']","['7.2', ' ']"
1423,r047,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['413', '  ']","['14', '  ']","['3.4', '  ']","['199', '  ']","['12', '  ']","['5.9', '  ']","['214', '  ']","['2', '  ']","['1.1', ' ']"
1423,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['383', '  ']","['3', '  ']","['0.7', '  ']","['373', '  ']","['3', '  ']","['0.7', '  ']","['10', '  ']","['*', '  ']","['0.7', ' ']"
1423,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['356', '  ']","['12', '  ']","['3.3', '  ']","['294', '  ']","['11', '  ']","['3.8', '  ']","['63', '  ']","['*', '  ']","['0.7', ' ']"
1423,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['300', '  ']","['6', 'i ']","['2.1', '  ']","['197', '  ']","['5', 'i ']","['2.5', '  ']","['103', '  ']","['1', 'i ']","['1.2', ' ']"
1423,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['1,564', '  ']","['3', 'i ']","['0.2', '  ']","['1,368', 'i ']","['3', 'i ']","['0.2', '  ']","['196', 'i ']","['*', '  ']","['*', ' ']"
1423,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['2,572', '  ']","['414', '  ']","['16.1', '  ']","['1,832', '  ']","['277', '  ']","['15.1', '  ']","['740', '  ']","['137', '  ']","['18.5', ' ']"
1423,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['1,078', '  ']","['241', '  ']","['22.4', '  ']","['650', '  ']","['143', '  ']","['22.0', '  ']","['428', '  ']","['98', '  ']","['23.0', ' ']"
1423,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['23', '  ']","['1', '  ']","['4.3', '  ']","['19', '  ']","['1', '  ']","['4.7', '  ']","['3', '  ']","['*', '  ']","['1.7', ' ']"
1423,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['1,055', '  ']","['240', '  ']","['22.8', '  ']","['630', '  ']","['142', '  ']","['22.5', '  ']","['425', '  ']","['98', '  ']","['23.1', ' ']"
1423,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['752', '  ']","['25', '  ']","['3.3', '  ']","['684', '  ']","['24', '  ']","['3.5', '  ']","['68', '  ']","['1', 'i ']","['1.7', ' ']"
1423,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['556', '  ']","['87', '  ']","['15.6', '  ']","['355', '  ']","['62', '  ']","['17.4', '  ']","['200', '  ']","['25', '  ']","['12.5', ' ']"
1423,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['186', '  ']","['61', '  ']","['32.9', '  ']","['143', '  ']","['49', '  ']","['34.1', '  ']","['44', '  ']","['13', '  ']","['28.9', ' ']"
1423,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['1,420', '  ']","['47', '  ']","['3.3', '  ']","['1,114', '  ']","['37', '  ']","['3.4', '  ']","['306', '  ']","['10', '  ']","['3.2', ' ']"
1423,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['19', '  ']","['3', '  ']","['13.7', '  ']","['18', '  ']","['2', '  ']","['14.1', '  ']","['1', '  ']","['*', '  ']","['6.7', ' ']"
1423,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['2', '  ']","['*', '  ']","['15.6', '  ']","['2', '  ']","['*', '  ']","['12.7', '  ']","['*', '  ']","['*', '  ']","['87.1', ' ']"
1423,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['17', '  ']","['2', '  ']","['13.5', '  ']","['16', '  ']","['2', '  ']","['14.3', '  ']","['1', '  ']","['*', '  ']","['1.8', ' ']"
1423,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['2,439', '  ']","['355', '  ']","['14.5', '  ']","['1,373', '  ']","['240', '  ']","['17.5', '  ']","['1,066', '  ']","['114', '  ']","['10.7', ' ']"
1423,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['444', '  ']","['52', '  ']","['11.7', '  ']","['323', '  ']","['46', '  ']","['14.3', '  ']","['121', '  ']","['6', '  ']","['4.8', ' ']"
1423,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['1,278', '  ']","['140', '  ']","['10.9', '  ']","['480', '  ']","['92', '  ']","['19.1', '  ']","['798', '  ']","['48', '  ']","['6.0', ' ']"
1423,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['354', '  ']","['133', '  ']","['37.6', '  ']","['264', '  ']","['79', '  ']","['29.8', '  ']","['90', '  ']","['55', '  ']","['60.7', ' ']"
1423,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,"['145', '  ']","['35', '  ']","['24.4', '  ']","['125', '  ']","['21', '  ']","['17.0', '  ']","['20', '  ']","['14', '  ']","['69.9', ' ']"
1423,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Physical, engineering, and life sciences (except biotechnology) research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Physical, engineering, and life sciences (except biotechnology) research and development",5,541712,"['195', '  ']","['92', '  ']","['47.3', '  ']","['126', '  ']","['52', '  ']","['41.2', '  ']","['69', '  ']","['40', '  ']","['58.5', ' ']"
1423,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Social sciences and humanities research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Social sciences and humanities research and development,5,541720,"['14', '  ']","['6', '  ']","['39.4', '  ']","['14', '  ']","['6', '  ']","['40.7', '  ']","['*', '  ']","['*', '  ']","['2.1', ' ']"
1423,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['362', '  ']","['30', '  ']","['8.2', '  ']","['306', '  ']","['24', '  ']","['7.9', '  ']","['56', '  ']","['6', '  ']","['9.8', ' ']"
1423,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['441', '  ']","['4', '  ']","['0.9', '  ']","['436', '  ']","['4', '  ']","['0.9', '  ']","['6', '  ']","['*', '  ']","['3.0', ' ']"
1423,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['3,204', '  ']","['18', '  ']","['0.6', '  ']","['2,212', '  ']","['16', '  ']","['0.7', '  ']","['992', '  ']","['2', '  ']","['0.2', ' ']"
1423,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['30,667', '  ']","['2,195', '  ']","['7.2', '  ']","['19,293', '  ']","['1,522', '  ']","['7.9', '  ']","['11,374', '  ']","['674', '  ']","['5.9', ' ']"
1423,r074,All companies (number of domestic employees) -> Micro companies<sup>a</sup>,All companies (number of domestic employees),Micro companies<sup>a</sup>,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1423,r075,All companies (number of domestic employees) -> Micro companies<sup>a</sup> -> 5&#8211;9,All companies (number of domestic employees),Micro companies<sup>a</sup>,5&#8211;9,,,3,–,"['38', '  ']","['17', '  ']","['44.9', '  ']","['34', '  ']","['15', '  ']","['43.2', '  ']","['4', '  ']","['2', '  ']","['60.3', ' ']"
1423,r076,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1423,r077,All companies (number of domestic employees) -> Small companies -> 10&#8211;19,All companies (number of domestic employees),Small companies,10&#8211;19,,,3,–,"['122', '  ']","['40', '  ']","['33.0', '  ']","['111', '  ']","['37', '  ']","['33.6', '  ']","['10', '  ']","['3', '  ']","['27.2', ' ']"
1423,r078,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['353', '  ']","['82', '  ']","['23.3', '  ']","['323', '  ']","['75', '  ']","['23.2', '  ']","['30', '  ']","['7', '  ']","['24.1', ' ']"
1423,r079,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1423,r080,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['495', '  ']","['76', '  ']","['15.3', '  ']","['413', '  ']","['69', '  ']","['16.8', '  ']","['82', '  ']","['7', '  ']","['7.9', ' ']"
1423,r081,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['1,006', '  ']","['116', '  ']","['11.6', '  ']","['764', '  ']","['101', '  ']","['13.3', '  ']","['242', '  ']","['15', '  ']","['6.2', ' ']"
1423,r082,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1423,r083,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['962', '  ']","['94', '  ']","['9.7', '  ']","['700', '  ']","['75', '  ']","['10.7', '  ']","['263', '  ']","['18', '  ']","['7.0', ' ']"
