table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_all_companies_total_sales,field_all_companies_r_d_as_percentage_of_sales,field_1_4_employees_total_sales,field_1_4_employees_r_d_as_percentage_of_sales,field_5_9_employees_total_sales,field_5_9_employees_r_d_as_percentage_of_sales
9861,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,"['70,727', '&nbsp;']","['30', '&nbsp;']","['21,703', 'r']","['56', '&nbsp;']","['49,024', '&nbsp;']","['18', '&nbsp;']"
9861,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['2,164', '&nbsp;']","['68', 'r']","['55', 'r']","['2,000', 'r']","['2,110', '&nbsp;']","['18', '&nbsp;']"
9861,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['258,937', '&nbsp;']","['56', '&nbsp;']","['114,740', 'r']","['75', 'r']","['144,197', '&nbsp;']","['41', 'r']"
9861,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['11,922,660', '&nbsp;']","['45', '&nbsp;']","['5,219,336', '&nbsp;']","['43', '&nbsp;']","['6,703,324', '&nbsp;']","['46', '&nbsp;']"
9861,r028,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['677,836', '&nbsp;']","['21', '&nbsp;']","['121,911', 'r']","['29', 'r']","['555,926', '&nbsp;']","['19', '&nbsp;']"
9861,r029,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['1,883,352', '&nbsp;']","['40', '&nbsp;']","['578,490', '&nbsp;']","['37', '&nbsp;']","['1,304,862', '&nbsp;']","['42', '&nbsp;']"
9861,r030,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['1,382,671', '&nbsp;']","['39', '&nbsp;']","['392,245', '&nbsp;']","['39', '&nbsp;']","['990,426', '&nbsp;']","['39', '&nbsp;']"
9861,r031,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,51 less 5112,"['500,681', '&nbsp;']","['44', '&nbsp;']","['186,245', '&nbsp;']","['33', '&nbsp;']","['314,436', '&nbsp;']","['50', '&nbsp;']"
9861,r032,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['2,265,778', '&nbsp;']","['27', '&nbsp;']","['866,339', '&nbsp;']","['28', '&nbsp;']","['1,399,439', '&nbsp;']","['26', '&nbsp;']"
9861,r033,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['4,752,032', '&nbsp;']","['34', '&nbsp;']","['2,569,060', '&nbsp;']","['31', '&nbsp;']","['2,182,973', '&nbsp;']","['38', '&nbsp;']"
9861,r034,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['2,343,661', '&nbsp;']","['96', '&nbsp;']","['1,083,536', '&nbsp;']","['91', '&nbsp;']","['1,260,125', '&nbsp;']","['101', '&nbsp;']"
9861,r035,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in nanotechnology,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in nanotechnology,4,541713,"['158,222', '&nbsp;']","['109', '&nbsp;']","['78,764', '&nbsp;']","['81', '&nbsp;']","['79,459', '&nbsp;']","['137', '&nbsp;']"
9861,r036,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology),All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),4,541714,"['678,671', '&nbsp;']","['128', '&nbsp;']","['340,728', '&nbsp;']","['124', '&nbsp;']","['337,943', '&nbsp;']","['132', '&nbsp;']"
9861,r037,"All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All selected industries,Selected nonmanufacturing industries,Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",4,541715,"['1,472,335', '&nbsp;']","['81', '&nbsp;']","['641,371', '&nbsp;']","['75', '&nbsp;']","['830,965', '&nbsp;']","['85', '&nbsp;']"
9861,r038,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Social sciences and humanities research and development,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Social sciences and humanities research and development,4,541720,"['23,832', '&nbsp;']","['51', '&nbsp;']","['12,074', '&nbsp;']","['63', 'r']","['11,758', '&nbsp;']","['38', '&nbsp;']"
