table_id,row_id,_b_sex_citizenship_ethnicity_race_and_broad_field_b_full_path,_b_sex_citizenship_ethnicity_race_and_broad_field_b_level_1,_b_sex_citizenship_ethnicity_race_and_broad_field_b_level_2,_b_sex_citizenship_ethnicity_race_and_broad_field_b_level_3,_b_sex_citizenship_ethnicity_race_and_broad_field_b_level_4,_b_sex_citizenship_ethnicity_race_and_broad_field_b_hierarchy_depth,field_graduate_students_all_graduate_students_total_number,field_graduate_students_all_graduate_students_percent_in_hbcus,field_graduate_students_master_s_total_number,field_graduate_students_master_s_percent_in_hbcus,field_graduate_students_doctoral_total_number,field_graduate_students_doctoral_percent_in_hbcus,field_postdoctoral_appointees_total_number,field_postdoctoral_appointees_percent_in_hbcus,field_doctorate_holding_nonfaculty_researchers_total_number,field_doctorate_holding_nonfaculty_researchers_percent_in_hbcus
8370,r011,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,4,294198,0.2,184608,0.3,109590,0.1,16369,0.1,na,na
8370,r012,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,4,19471,0.7,12301,0.7,7170,0.8,687,0.0,na,na
8370,r013,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,3,24352,0.9,16376,1.0,7976,0.8,3285,0.2,na,na
8370,r014,All individuals -> Temporary visa holders,All individuals,Temporary visa holders,,,2,244559,0.5,128958,0.4,115601,0.6,33573,0.2,na,na
8370,r015,All individuals -> Science,All individuals,Science,,,2,509784,0.9,305796,1.0,203988,0.7,37189,0.3,18728,0.6
8370,r016,All individuals -> Science -> Agricultural and veterinary sciences,All individuals,Science,Agricultural and veterinary sciences,,3,11244,2.5,6801,3.5,4443,1.0,1595,1.9,902,0.9
8370,r017,All individuals -> Science -> Biological and biomedical sciences,All individuals,Science,Biological and biomedical sciences,,3,100883,1.0,42728,1.5,58155,0.6,20245,0.2,8187,0.3
8370,r018,All individuals -> Science -> Computer and information sciences,All individuals,Science,Computer and information sciences,,3,121730,0.7,102199,0.7,19531,0.6,880,0.3,457,0.2
8370,r019,"All individuals -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All individuals,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,12290,0.6,5520,1.0,6770,0.3,1797,0.2,2308,1.8
8370,r020,All individuals -> Science -> Mathematics and statistics,All individuals,Science,Mathematics and statistics,,3,34258,0.4,20639,0.4,13619,0.5,1112,0.2,235,0.9
8370,r021,All individuals -> Science -> Multidisciplinary and interdisciplinary studies,All individuals,Science,Multidisciplinary and interdisciplinary studies,,3,15768,0.3,11994,0.1,3774,0.8,878,0.8,816,0.0
8370,r022,All individuals -> Science -> Natural resources and conservation,All individuals,Science,Natural resources and conservation,,3,13922,1.5,10012,1.0,3910,2.6,889,0.4,620,1.5
8370,r023,All individuals -> Science -> Physical sciences,All individuals,Science,Physical sciences,,3,44141,0.8,6409,2.2,37732,0.6,6823,0.6,2895,0.5
8370,r024,All individuals -> Science -> Psychology,All individuals,Science,Psychology,,3,73325,1.1,51878,1.1,21447,1.0,1325,0.0,803,0.0
8370,r025,All individuals -> Science -> Social sciences,All individuals,Science,Social sciences,,3,82223,1.0,47616,1.2,34607,0.7,1645,0.1,1505,0.5
8370,r026,All individuals -> Engineering,All individuals,Engineering,,,2,168050,0.6,95126,0.5,72924,0.6,8340,0.2,3992,0.3
8370,r027,"All individuals -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All individuals,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,7838,0.0,5065,0.0,2773,0.0,277,0.0,144,0.0
8370,r028,"All individuals -> Engineering -> Biological, biomedical, and biosystems engineering",All individuals,Engineering,"Biological, biomedical, and biosystems engineering",,3,14059,0.2,5192,0.4,8867,0.05,1616,0.0,589,0.0
8370,r029,"All individuals -> Engineering -> Chemical, petroleum, and chemical-related engineering",All individuals,Engineering,"Chemical, petroleum, and chemical-related engineering",,3,10696,0.2,2983,0.8,7713,0.05,1167,0.3,307,0.0
8370,r030,"All individuals -> Engineering -> Civil, environmental, transportation and related engineering fields",All individuals,Engineering,"Civil, environmental, transportation and related engineering fields",,3,19608,0.2,11730,0.2,7878,0.2,968,0.6,479,0.4
8370,r031,"All individuals -> Engineering -> Electrical, electronics, communications and computer engineering",All individuals,Engineering,"Electrical, electronics, communications and computer engineering",,3,45265,0.5,27695,0.4,17570,0.8,1275,0.4,755,0.1
8370,r032,"All individuals -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All individuals,Engineering,"Industrial, manufacturing, systems engineering and operations research",,3,15870,0.4,11949,0.2,3921,1.0,127,0.8,107,0.0
8370,r033,All individuals -> Engineering -> Mechanical engineering,All individuals,Engineering,Mechanical engineering,,3,27258,0.3,15718,0.3,11540,0.3,1200,0.1,529,0.0
8370,r034,"All individuals -> Engineering -> Metallurgical, mining, materials and related engineering fields",All individuals,Engineering,"Metallurgical, mining, materials and related engineering fields",,3,7422,0.2,2518,0.2,4904,0.1,562,0.0,259,0.0
8370,r035,All individuals -> Engineering -> Other engineering,All individuals,Engineering,Other engineering,,3,20034,2.3,12276,2.0,7758,2.8,1148,0.3,823,1.2
8370,r036,All individuals -> Health,All individuals,Health,,,2,82322,1.4,65691,1.4,16631,1.5,17799,0.3,7828,0.4
8370,r037,All individuals -> Health -> Clinical medicine<sup>b</sup>,All individuals,Health,Clinical medicine<sup>b</sup>,,3,39633,1.3,34021,1.1,5612,2.7,15561,0.0,6751,0.2
8370,r038,All individuals -> Health -> Other health,All individuals,Health,Other health,,3,42689,1.5,31670,1.7,11019,0.9,2238,2.4,1077,1.8
8370,r039,All individuals -> Black or African American individuals,All individuals,Black or African American individuals,,,2,,,,,,,,,,
8370,r040,All individuals -> Black or African American individuals -> Male,All individuals,Black or African American individuals,Male,,3,16615,8.1,11878,7.9,4737,8.6,433,4.8,na,na
8370,r041,All individuals -> Black or African American individuals -> Female,All individuals,Black or African American individuals,Female,,3,28687,9.3,21251,9.3,7436,9.2,705,4.7,na,na
8370,r042,All individuals -> Black or African American individuals -> Science,All individuals,Black or African American individuals,Science,,3,31021,9.3,22257,9.4,8764,9.1,564,3.0,na,na
8370,r043,All individuals -> Black or African American individuals -> Science -> Agricultural and veterinary sciences,All individuals,Black or African American individuals,Science,Agricultural and veterinary sciences,4,407,33.9,306,39.2,101,17.8,27,18.5,na,na
8370,r044,All individuals -> Black or African American individuals -> Science -> Biological and biomedical sciences,All individuals,Black or African American individuals,Science,Biological and biomedical sciences,4,6587,10.2,4067,12.2,2520,6.9,287,3.5,na,na
8370,r045,All individuals -> Black or African American individuals -> Science -> Computer and information sciences,All individuals,Black or African American individuals,Science,Computer and information sciences,4,5922,7.3,5390,7.2,532,8.8,9,0.0,na,na
8370,r046,"All individuals -> Black or African American individuals -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All individuals,Black or African American individuals,Science,"Geosciences, atmospheric sciences, and ocean sciences",4,303,10.2,159,15.7,144,4.2,17,0.0,na,na
8370,r047,All individuals -> Black or African American individuals -> Science -> Mathematics and statistics,All individuals,Black or African American individuals,Science,Mathematics and statistics,4,742,9.0,535,9.3,207,8.2,12,0.0,na,na
8370,r048,All individuals -> Black or African American individuals -> Science -> Multidisciplinary and interdisciplinary studies,All individuals,Black or African American individuals,Science,Multidisciplinary and interdisciplinary studies,4,981,1.3,754,0.7,227,3.5,24,0.0,na,na
8370,r049,All individuals -> Black or African American individuals -> Science -> Natural resources and conservation,All individuals,Black or African American individuals,Science,Natural resources and conservation,4,519,22.9,335,12.8,184,41.3,16,6.3,na,na
8370,r050,All individuals -> Black or African American individuals -> Science -> Physical sciences,All individuals,Black or African American individuals,Science,Physical sciences,4,1145,17.0,334,24.6,811,13.9,43,2.3,na,na
8370,r051,All individuals -> Black or African American individuals -> Science -> Psychology,All individuals,Black or African American individuals,Science,Psychology,4,7639,7.9,5808,7.9,1831,8.0,50,0.0,na,na
8370,r052,All individuals -> Black or African American individuals -> Science -> Social sciences,All individuals,Black or African American individuals,Science,Social sciences,4,6776,9.0,4569,9.1,2207,8.8,79,0.0,na,na
8370,r053,All individuals -> Black or African American individuals -> Engineering,All individuals,Black or African American individuals,Engineering,,3,4847,8.3,3141,8.8,1706,7.4,73,2.7,na,na
8370,r054,"All individuals -> Black or African American individuals -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All individuals,Black or African American individuals,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,170,0.0,114,0.0,56,0.0,3,0.0,na,na
8370,r055,"All individuals -> Black or African American individuals -> Engineering -> Biological, biomedical, and biosystems engineering",All individuals,Black or African American individuals,Engineering,"Biological, biomedical, and biosystems engineering",4,544,3.3,230,6.5,314,1.0,24,0.0,na,na
8370,r056,"All individuals -> Black or African American individuals -> Engineering -> Chemical, petroleum, and chemical-related engineering",All individuals,Black or African American individuals,Engineering,"Chemical, petroleum, and chemical-related engineering",4,247,4.0,109,9.2,138,0.0,10,0.0,na,na
8370,r057,"All individuals -> Black or African American individuals -> Engineering -> Civil, environmental, transportation and related engineering fields",All individuals,Black or African American individuals,Engineering,"Civil, environmental, transportation and related engineering fields",4,577,2.3,409,2.7,168,1.2,8,12.5,na,na
8370,r058,"All individuals -> Black or African American individuals -> Engineering -> Electrical, electronics, communications and computer engineering",All individuals,Black or African American individuals,Engineering,"Electrical, electronics, communications and computer engineering",4,990,7.8,691,5.9,299,12.0,10,0.0,na,na
8370,r059,"All individuals -> Black or African American individuals -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All individuals,Black or African American individuals,Engineering,"Industrial, manufacturing, systems engineering and operations research",4,642,5.6,506,3.4,136,14.0,1,100.0,na,na
8370,r060,All individuals -> Black or African American individuals -> Engineering -> Mechanical engineering,All individuals,Black or African American individuals,Engineering,Mechanical engineering,4,603,6.5,373,6.7,230,6.1,5,0.0,na,na
8370,r061,"All individuals -> Black or African American individuals -> Engineering -> Metallurgical, mining, materials and related engineering fields",All individuals,Black or African American individuals,Engineering,"Metallurgical, mining, materials and related engineering fields",4,172,1.2,75,1.3,97,1.0,3,0.0,na,na
8370,r062,All individuals -> Black or African American individuals -> Engineering -> Other engineering,All individuals,Black or African American individuals,Engineering,Other engineering,4,902,22.9,634,24.4,268,19.4,9,0.0,na,na
8370,r063,All individuals -> Black or African American individuals -> Health,All individuals,Black or African American individuals,Health,,3,9434,7.7,7731,7.3,1703,9.5,501,7.0,na,na
8370,r064,All individuals -> Black or African American individuals -> Health -> Clinical medicine<sup>b</sup>,All individuals,Black or African American individuals,Health,Clinical medicine<sup>b</sup>,4,6017,6.8,5275,5.7,742,14.4,406,0.0,na,na
8370,r065,All individuals -> Black or African American individuals -> Health -> Other health,All individuals,Black or African American individuals,Health,Other health,4,3417,9.2,2456,10.6,961,5.7,95,36.8,na,na
