table_id,row_id,employer_location_full_path,employer_location_level_1,employer_location_level_2,employer_location_level_3,employer_location_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_science_occupations_total_median_salary,field_science_occupations_total_se,field_science_occupations_biological_agricultural_and_other_life_scientist_median_salary,field_science_occupations_biological_agricultural_and_other_life_scientist_se,field_science_occupations_computer_and_information_scientist_median_salary,field_science_occupations_computer_and_information_scientist_se,field_science_occupations_mathematical_scientist_median_salary,field_science_occupations_mathematical_scientist_se,field_science_occupations_physical_scientist_median_salary,field_science_occupations_physical_scientist_se,field_science_occupations_psychologist_median_salary,field_science_occupations_psychologist_se,field_science_occupations_social_scientist_median_salary,field_science_occupations_social_scientist_se,field_engineering_occupations_median_salary,field_engineering_occupations_se,field_s_e_related_occupations_median_salary,field_s_e_related_occupations_se,field_non_s_e_occupations_median_salary,field_non_s_e_occupations_se
3748,r015,All locations -> East North Central -> Indiana,All locations,East North Central,Indiana,3,99000,3000,91000,2500,96000,8000,100000,6000,92000,3000,88000,11500,80000,6000,83000,4500,105000,10000,110000,8000,123000,12500
3748,r016,All locations -> East North Central -> Michigan,All locations,East North Central,Michigan,3,109000,2500,100000,1500,90000,6500,124000,4500,100000,16500,100000,6500,100000,5000,90000,4500,119000,1500,113000,5000,122000,9500
3748,r017,All locations -> East North Central -> Ohio,All locations,East North Central,Ohio,3,105000,3000,98000,3500,95000,5500,123000,19000,98000,9000,95000,4500,98000,3000,86000,9500,119000,5000,129000,7000,105000,6000
3748,r018,All locations -> East North Central -> Wisconsin,All locations,East North Central,Wisconsin,3,97000,3500,90000,4000,89000,5500,114000,12500,71000,20500,88000,7000,97000,13500,74000,4000,109000,5000,99000,8500,120000,12500
3748,r019,All locations -> West North Central,All locations,West North Central,,2,100000,1000,92000,2000,90000,3500,110000,5000,93000,4500,83000,3500,93000,3500,85000,4500,118000,7000,120000,6000,109000,9500
3748,r020,All locations -> West North Central -> Iowa,All locations,West North Central,Iowa,3,92000,4000,86000,5000,90000,5000,111000,6500,92000,9000,68000,13500,89000,4500,81000,3000,127000,18000,115000,10000,94000,10500
3748,r021,All locations -> West North Central -> Kansas,All locations,West North Central,Kansas,3,97000,2500,88000,7500,94000,8000,99000,17000,82000,26500,79000,1500,85000,9000,82000,8500,98000,2000,118000,18000,105000,17000
3748,r022,All locations -> West North Central -> Minnesota,All locations,West North Central,Minnesota,3,110000,3000,100000,2500,95000,5500,129000,13500,97000,6500,106000,10500,101000,5000,90000,3000,120000,5500,123000,15500,125000,14000
3748,r023,All locations -> West North Central -> Missouri,All locations,West North Central,Missouri,3,98000,3500,91000,4000,93000,8000,104000,4000,93000,15500,82000,8000,85000,6500,81000,7000,111000,19500,106000,17500,110000,15000
3748,r024,All locations -> West North Central -> Nebraska,All locations,West North Central,Nebraska,3,96000,3500,85000,4500,82000,7500,,,69000,7500,85000,4000,90000,4500,79000,14000,98000,2000,140000,20500,95000,7000
3748,r025,All locations -> West North Central -> North Dakota,All locations,West North Central,North Dakota,3,83000,7000,77000,3500,75000,6500,,,,,69000,12000,,,87000,13000,89000,33500,91000,17000,128000,13500
3748,r026,All locations -> West North Central -> South Dakota,All locations,West North Central,South Dakota,3,85000,6000,84000,6000,86000,9500,,,,,59000,12500,,,,,84000,1000,102000,49000,95000,26000
3748,r027,All locations -> South Atlantic,All locations,South Atlantic,,2,115000,2000,106000,2000,103000,2000,124000,4000,114000,4500,102000,3000,95000,1500,109000,2500,120000,1000,120000,3000,135000,4500
3748,r028,All locations -> South Atlantic -> Delaware,All locations,South Atlantic,Delaware,3,131000,4000,123000,6500,120000,7000,,,159000,12500,136000,5500,93000,1500,94000,11000,135000,4000,109000,29500,153000,9500
3748,r029,All locations -> South Atlantic -> District of Columbia,All locations,South Atlantic,District of Columbia,3,139000,2500,134000,3500,119000,3500,134000,12000,130000,13500,121000,10000,100000,6500,145000,6000,125000,5000,120000,14500,159000,3500
3748,r030,All locations -> South Atlantic -> Florida,All locations,South Atlantic,Florida,3,100000,1500,90000,2500,82000,3000,108000,15500,93000,8000,85000,5500,97000,5000,100000,8000,109000,2000,105000,5000,110000,11000
3748,r031,All locations -> South Atlantic -> Georgia,All locations,South Atlantic,Georgia,3,101000,2000,94000,2500,94000,6500,118000,8500,93000,6500,89000,7500,95000,6500,81000,6500,112000,9000,113000,5500,121000,10500
3748,r032,All locations -> South Atlantic -> Maryland,All locations,South Atlantic,Maryland,3,125000,1000,120000,500,120000,3000,129000,7000,130000,3500,125000,4500,108000,8500,112000,9500,134000,4000,132000,6000,139000,8500
3748,r033,All locations -> South Atlantic -> North Carolina,All locations,South Atlantic,North Carolina,3,109000,2500,100000,1500,104000,7000,128000,6500,110000,6000,80000,5500,93000,5500,94000,6500,119000,2000,138000,13500,126000,3500
3748,r034,All locations -> South Atlantic -> South Carolina,All locations,South Atlantic,South Carolina,3,94000,3500,86000,5500,83000,7000,101000,3500,95000,10000,93000,6500,72000,3500,80000,5000,100000,7500,108000,16500,121000,21500
3748,r035,All locations -> South Atlantic -> Virginia,All locations,South Atlantic,Virginia,3,120000,2500,110000,4500,99000,10500,129000,7000,134000,8500,100000,3500,94000,5000,104000,4500,120000,8500,110000,11500,139000,7000
3748,r036,All locations -> South Atlantic -> West Virginia,All locations,South Atlantic,West Virginia,3,87000,10500,80000,5500,81000,14500,,,,,S,S,,,81000,12000,91000,11500,123000,30000,S,S
3748,r037,All locations -> East South Central,All locations,East South Central,,2,98000,2500,88000,3000,89000,4000,99000,7500,79000,6500,96000,6500,88000,7500,71000,3000,116000,5000,110000,9500,119000,4000
3748,r038,All locations -> East South Central -> Alabama,All locations,East South Central,Alabama,3,101000,5000,90000,3500,88000,5500,109000,17000,69000,5000,107000,12000,79000,13000,70000,5500,109000,14000,109000,13000,137000,11500
3748,r039,All locations -> East South Central -> Kentucky,All locations,East South Central,Kentucky,3,94000,5000,80000,5500,91000,15000,105000,26500,76000,10000,68000,16000,87000,9500,69000,5000,102000,5000,113000,16500,110000,7000
3748,r040,All locations -> East South Central -> Mississippi,All locations,East South Central,Mississippi,3,91000,4500,83000,7000,90000,14000,68000,33500,,,93000,9000,64000,7500,75000,12500,125000,21500,89000,10500,92000,7000
3748,r041,All locations -> East South Central -> Tennessee,All locations,East South Central,Tennessee,3,100000,1000,90000,3000,87000,5500,89000,10000,80000,9500,99000,5500,98000,2500,76000,8500,128000,10000,120000,14000,117000,13000
3748,r042,All locations -> West South Central,All locations,West South Central,,2,109000,2500,95000,1000,84000,2500,128000,6500,96000,2500,101000,6000,97000,4000,82000,4500,130000,4500,118000,6000,123000,5000
3748,r043,All locations -> West South Central -> Arkansas,All locations,West South Central,Arkansas,3,88000,5000,79000,4500,79000,4500,,,,,68000,11000,88000,32500,68000,9000,104000,23000,125000,33000,108000,37000
3748,r044,All locations -> West South Central -> Louisiana,All locations,West South Central,Louisiana,3,85000,3500,83000,4000,88000,8000,109000,6000,83000,17000,80000,4000,86000,14500,75000,4500,89000,15000,81000,25500,95000,17000
3748,r045,All locations -> West South Central -> Oklahoma,All locations,West South Central,Oklahoma,3,100000,3500,87000,5500,84000,5500,S,S,63000,22000,92000,14500,96000,13000,74000,4000,115000,7500,101000,9500,108000,29500
3748,r046,All locations -> West South Central -> Texas,All locations,West South Central,Texas,3,115000,2000,100000,1000,84000,5000,129000,6000,97000,2500,117000,7500,99000,2500,89000,4500,139000,4500,122000,7000,125000,5500
3748,r047,All locations -> Mountain,All locations,Mountain,,2,107000,2000,98000,3000,88000,2500,127000,6500,91000,4000,105000,4000,95000,6500,91000,4000,130000,2500,130000,7000,110000,9000
3748,r048,All locations -> Mountain -> Arizona,All locations,Mountain,Arizona,3,113000,5500,100000,5000,103000,12500,117000,14000,106000,17000,85000,6500,97000,10000,97000,8000,130000,3500,133000,7000,111000,13000
3748,r049,All locations -> Mountain -> Colorado,All locations,Mountain,Colorado,3,110000,4000,100000,3000,90000,6500,150000,10500,92000,6500,106000,5500,91000,4000,86000,8000,134000,4500,138000,14000,124000,15000
3748,r050,All locations -> Mountain -> Idaho,All locations,Mountain,Idaho,3,99000,5000,89000,8000,88000,11000,78000,13500,73000,11500,92000,7000,103000,34000,73000,10500,104000,9500,95000,14500,119000,18500
3748,r051,All locations -> Mountain -> Montana,All locations,Mountain,Montana,3,85000,5000,81000,8000,83000,9500,,,,,69000,3000,S,S,75000,6500,87000,9000,87000,14000,75000,10500
3748,r052,All locations -> Mountain -> Nevada,All locations,Mountain,Nevada,3,101000,5500,99000,4000,99000,12000,S,S,,,100000,21000,108000,24500,85000,9000,92000,15500,123000,22000,141000,20500
3748,r053,All locations -> Mountain -> New Mexico,All locations,Mountain,New Mexico,3,121000,4000,119000,11500,79000,7000,129000,10000,83000,24000,133000,5500,96000,17500,97000,6500,139000,7500,159000,22000,91000,17500
3748,r054,All locations -> Mountain -> Utah,All locations,Mountain,Utah,3,104000,4000,99000,4500,84000,6500,121000,15000,83000,13500,102000,7000,105000,20000,99000,7500,121000,15000,122000,11500,103000,4500
3748,r055,All locations -> Mountain -> Wyoming,All locations,Mountain,Wyoming,3,78000,5000,79000,6500,76000,6000,,,,,79000,6000,,,,,0.05,0.05,,,,
3748,r056,All locations -> Pacific,All locations,Pacific,,2,140000,1000,125000,1500,110000,1500,170000,4500,144000,7500,119000,2500,105000,2500,103000,2500,149000,5000,150000,1500,159000,8500
3748,r057,All locations -> Pacific -> Alaska,All locations,Pacific,Alaska,3,100000,5000,95000,7000,103000,5500,,,,,90000,21000,S,S,81000,2000,108000,26000,111000,43000,161000,57000
3748,r058,All locations -> Pacific -> California,All locations,Pacific,California,3,148000,3500,134000,3000,115000,2500,178000,4000,148000,4000,126000,3000,107000,4500,109000,3000,157000,5000,154000,8000,165000,6500
3748,r059,All locations -> Pacific -> Hawaii,All locations,Pacific,Hawaii,3,97000,6000,94000,7500,105000,21000,,,90000,35500,95000,11000,112000,15000,89000,6000,95000,4500,82000,22500,100000,17000
3748,r060,All locations -> Pacific -> Oregon,All locations,Pacific,Oregon,3,119000,1000,101000,2000,90000,5500,149000,5000,100000,10000,89000,5000,99000,4500,96000,7500,127000,3500,128000,13500,125000,8500
3748,r061,All locations -> Pacific -> Washington,All locations,Pacific,Washington,3,125000,3500,118000,3500,96000,4500,160000,2500,126000,14000,85000,7000,105000,4500,91000,5500,139000,6000,148000,15000,140000,15000
3748,r062,All locations -> Puerto Rico,All locations,Puerto Rico,,2,77000,5000,72000,7000,70000,9000,S,S,81000,5000,70000,4000,62000,11500,S,S,85000,12500,81000,13000,78000,17500
3748,r063,All locations -> U.S. territories and other areas,All locations,U.S. territories and other areas,,2,98000,9000,96000,11000,76000,9500,122000,29000,,,88000,22500,,,96000,21000,95000,47500,147000,70500,77000,23500
