table_id,row_id,field_of_highest_degree_and_place_of_birth_full_path,field_of_highest_degree_and_place_of_birth_level_1,field_of_highest_degree_and_place_of_birth_level_2,field_of_highest_degree_and_place_of_birth_level_3,field_of_highest_degree_and_place_of_birth_hierarchy_depth,field_total,field_s_e_occupations,field_s_e_related_occupations,field_non_s_e_occupations
5592,r016,"All foreign-born college graduates, all degree fields -> Cuba","All foreign-born college graduates, all degree fields",Cuba,,2,127000,12000,37000,78000
5592,r017,"All foreign-born college graduates, all degree fields -> Venezuela","All foreign-born college graduates, all degree fields",Venezuela,,2,126000,9000,17000,99000
5592,r018,"All foreign-born college graduates, all degree fields -> Nigeria","All foreign-born college graduates, all degree fields",Nigeria,,2,125000,21000,44000,60000
5592,r019,"All foreign-born college graduates, all degree fields -> Pakistan","All foreign-born college graduates, all degree fields",Pakistan,,2,118000,21000,25000,71000
5592,r020,"All foreign-born college graduates, all degree fields -> Dominican Republic","All foreign-born college graduates, all degree fields",Dominican Republic,,2,110000,6000,S,73000
5592,r021,"All foreign-born college graduates, all degree fields -> France","All foreign-born college graduates, all degree fields",France,,2,105000,27000,11000,67000
5592,r022,"All foreign-born college graduates, all degree fields -> Brazil","All foreign-born college graduates, all degree fields",Brazil,,2,101000,24000,20000,57000
5592,r023,"All foreign-born college graduates, all degree fields -> Peru","All foreign-born college graduates, all degree fields",Peru,,2,95000,11000,9000,74000
5592,r024,"All foreign-born college graduates, all degree fields -> Thailand","All foreign-born college graduates, all degree fields",Thailand,,2,87000,6000,S,60000
5592,r025,"All foreign-born college graduates, all degree fields -> Russia","All foreign-born college graduates, all degree fields",Russia,,2,86000,33000,15000,38000
5592,r026,"All foreign-born college graduates, all degree fields -> Hong Kong","All foreign-born college graduates, all degree fields",Hong Kong,,2,85000,30000,16000,40000
5592,r027,"All foreign-born college graduates, all degree fields -> All other countries","All foreign-born college graduates, all degree fields",All other countries,,2,2302000,520000,466000,1317000
5592,r028,"All foreign-born college graduates, all degree fields -> S&E fields","All foreign-born college graduates, all degree fields",S&E fields,,2,3756000,1828000,560000,1367000
5592,r029,"All foreign-born college graduates, all degree fields -> S&E fields -> India","All foreign-born college graduates, all degree fields",S&E fields,India,3,841000,551000,109000,181000
5592,r030,"All foreign-born college graduates, all degree fields -> S&E fields -> China","All foreign-born college graduates, all degree fields",S&E fields,China,3,398000,262000,65000,71000
5592,r031,"All foreign-born college graduates, all degree fields -> S&E fields -> Mexico","All foreign-born college graduates, all degree fields",S&E fields,Mexico,3,152000,48000,25000,79000
5592,r032,"All foreign-born college graduates, all degree fields -> S&E fields -> Philippines","All foreign-born college graduates, all degree fields",S&E fields,Philippines,3,149000,40000,20000,88000
5592,r033,"All foreign-born college graduates, all degree fields -> S&E fields -> Canada","All foreign-born college graduates, all degree fields",S&E fields,Canada,3,127000,58000,7000,62000
5592,r034,"All foreign-born college graduates, all degree fields -> S&E fields -> South Korea","All foreign-born college graduates, all degree fields",S&E fields,South Korea,3,111000,42000,23000,47000
5592,r035,"All foreign-born college graduates, all degree fields -> S&E fields -> Vietnam","All foreign-born college graduates, all degree fields",S&E fields,Vietnam,3,110000,57000,20000,34000
5592,r036,"All foreign-born college graduates, all degree fields -> S&E fields -> Germany, not specified","All foreign-born college graduates, all degree fields",S&E fields,"Germany, not specified",3,105000,36000,17000,52000
5592,r037,"All foreign-born college graduates, all degree fields -> S&E fields -> Iran","All foreign-born college graduates, all degree fields",S&E fields,Iran,3,91000,44000,15000,33000
5592,r038,"All foreign-born college graduates, all degree fields -> S&E fields -> Taiwan","All foreign-born college graduates, all degree fields",S&E fields,Taiwan,3,86000,45000,13000,28000
5592,r039,"All foreign-born college graduates, all degree fields -> S&E fields -> United Kingdom, not specified","All foreign-born college graduates, all degree fields",S&E fields,"United Kingdom, not specified",3,74000,31000,7000,36000
5592,r040,"All foreign-born college graduates, all degree fields -> S&E fields -> Japan","All foreign-born college graduates, all degree fields",S&E fields,Japan,3,57000,21000,5000,31000
5592,r041,"All foreign-born college graduates, all degree fields -> S&E fields -> Pakistan","All foreign-born college graduates, all degree fields",S&E fields,Pakistan,3,54000,18000,6000,30000
5592,r042,"All foreign-born college graduates, all degree fields -> S&E fields -> Russia","All foreign-born college graduates, all degree fields",S&E fields,Russia,3,53000,27000,10000,16000
5592,r043,"All foreign-born college graduates, all degree fields -> S&E fields -> Colombia","All foreign-born college graduates, all degree fields",S&E fields,Colombia,3,50000,19000,4000,27000
5592,r044,"All foreign-born college graduates, all degree fields -> S&E fields -> Nigeria","All foreign-born college graduates, all degree fields",S&E fields,Nigeria,3,45000,14000,11000,20000
5592,r045,"All foreign-born college graduates, all degree fields -> S&E fields -> France","All foreign-born college graduates, all degree fields",S&E fields,France,3,45000,22000,3000,20000
5592,r046,"All foreign-born college graduates, all degree fields -> S&E fields -> Brazil","All foreign-born college graduates, all degree fields",S&E fields,Brazil,3,42000,19000,S,13000
5592,r047,"All foreign-born college graduates, all degree fields -> S&E fields -> Hong Kong","All foreign-born college graduates, all degree fields",S&E fields,Hong Kong,3,42000,24000,4000,14000
5592,r048,"All foreign-born college graduates, all degree fields -> S&E fields -> Ukraine","All foreign-born college graduates, all degree fields",S&E fields,Ukraine,3,41000,14000,6000,21000
5592,r049,"All foreign-born college graduates, all degree fields -> S&E fields -> Cuba","All foreign-born college graduates, all degree fields",S&E fields,Cuba,3,41000,7000,10000,23000
5592,r050,"All foreign-born college graduates, all degree fields -> S&E fields -> Italy","All foreign-born college graduates, all degree fields",S&E fields,Italy,3,33000,16000,4000,13000
5592,r051,"All foreign-born college graduates, all degree fields -> S&E fields -> Poland","All foreign-born college graduates, all degree fields",S&E fields,Poland,3,32000,14000,6000,13000
5592,r052,"All foreign-born college graduates, all degree fields -> S&E fields -> Bangladesh","All foreign-born college graduates, all degree fields",S&E fields,Bangladesh,3,31000,20000,3000,8000
5592,r053,"All foreign-born college graduates, all degree fields -> S&E fields -> Peru","All foreign-born college graduates, all degree fields",S&E fields,Peru,3,29000,7000,3000,18000
5592,r054,"All foreign-born college graduates, all degree fields -> S&E fields -> All other countries","All foreign-born college graduates, all degree fields",S&E fields,All other countries,3,917000,373000,155000,389000
5592,r055,"All foreign-born college graduates, all degree fields -> S&E-related fields","All foreign-born college graduates, all degree fields",S&E-related fields,,2,1504000,134000,1067000,304000
5592,r056,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Philippines","All foreign-born college graduates, all degree fields",S&E-related fields,Philippines,3,280000,4000,245000,30000
5592,r057,"All foreign-born college graduates, all degree fields -> S&E-related fields -> India","All foreign-born college graduates, all degree fields",S&E-related fields,India,3,172000,41000,104000,27000
5592,r058,"All foreign-born college graduates, all degree fields -> S&E-related fields -> China","All foreign-born college graduates, all degree fields",S&E-related fields,China,3,93000,24000,59000,11000
5592,r059,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Canada","All foreign-born college graduates, all degree fields",S&E-related fields,Canada,3,50000,S,42000,6000
5592,r060,"All foreign-born college graduates, all degree fields -> S&E-related fields -> South Korea","All foreign-born college graduates, all degree fields",S&E-related fields,South Korea,3,49000,S,42000,5000
5592,r061,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Mexico","All foreign-born college graduates, all degree fields",S&E-related fields,Mexico,3,48000,1000,30000,17000
5592,r062,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Haiti","All foreign-born college graduates, all degree fields",S&E-related fields,Haiti,3,S,,S,S
5592,r063,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Cuba","All foreign-born college graduates, all degree fields",S&E-related fields,Cuba,3,34000,,26000,S
5592,r064,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Nigeria","All foreign-born college graduates, all degree fields",S&E-related fields,Nigeria,3,31000,S,24000,S
5592,r065,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Vietnam","All foreign-born college graduates, all degree fields",S&E-related fields,Vietnam,3,29000,S,21000,5000
5592,r066,"All foreign-born college graduates, all degree fields -> S&E-related fields -> United Kingdom, not specified","All foreign-born college graduates, all degree fields",S&E-related fields,"United Kingdom, not specified",3,27000,S,14000,11000
5592,r067,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Jamaica","All foreign-born college graduates, all degree fields",S&E-related fields,Jamaica,3,27000,S,25000,2000
5592,r068,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Germany, not specified","All foreign-born college graduates, all degree fields",S&E-related fields,"Germany, not specified",3,26000,2000,18000,7000
5592,r069,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Peru","All foreign-born college graduates, all degree fields",S&E-related fields,Peru,3,24000,,5000,19000
5592,r070,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Pakistan","All foreign-born college graduates, all degree fields",S&E-related fields,Pakistan,3,23000,S,20000,2000
5592,r071,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Iran","All foreign-born college graduates, all degree fields",S&E-related fields,Iran,3,23000,S,17000,3000
5592,r072,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Japan","All foreign-born college graduates, all degree fields",S&E-related fields,Japan,3,23000,S,15000,5000
5592,r073,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Ukraine","All foreign-born college graduates, all degree fields",S&E-related fields,Ukraine,3,21000,,11000,11000
5592,r074,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Taiwan","All foreign-born college graduates, all degree fields",S&E-related fields,Taiwan,3,20000,0.05,13000,6000
5592,r075,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Dominican Republic","All foreign-born college graduates, all degree fields",S&E-related fields,Dominican Republic,3,19000,,11000,
5592,r076,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Thailand","All foreign-born college graduates, all degree fields",S&E-related fields,Thailand,3,S,,S,S
5592,r077,"All foreign-born college graduates, all degree fields -> S&E-related fields -> El Salvador","All foreign-born college graduates, all degree fields",S&E-related fields,El Salvador,3,18000,,S,S
5592,r078,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Iraq","All foreign-born college graduates, all degree fields",S&E-related fields,Iraq,3,16000,,15000,
5592,r079,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Colombia","All foreign-born college graduates, all degree fields",S&E-related fields,Colombia,3,15000,S,11000,2000
5592,r080,"All foreign-born college graduates, all degree fields -> S&E-related fields -> Venezuela","All foreign-born college graduates, all degree fields",S&E-related fields,Venezuela,3,14000,S,12000,
5592,r081,"All foreign-born college graduates, all degree fields -> S&E-related fields -> All other countries","All foreign-born college graduates, all degree fields",S&E-related fields,All other countries,3,369000,35000,242000,91000
5592,r082,"All foreign-born college graduates, all degree fields -> Non-S&E fields","All foreign-born college graduates, all degree fields",Non-S&E fields,,2,3342000,230000,174000,2938000
5592,r083,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> India","All foreign-born college graduates, all degree fields",Non-S&E fields,India,3,321000,40000,27000,255000
5592,r084,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Mexico","All foreign-born college graduates, all degree fields",Non-S&E fields,Mexico,3,269000,10000,16000,243000
5592,r085,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Philippines","All foreign-born college graduates, all degree fields",Non-S&E fields,Philippines,3,205000,9000,11000,184000
5592,r086,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Canada","All foreign-born college graduates, all degree fields",Non-S&E fields,Canada,3,187000,S,S,175000
5592,r087,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> China","All foreign-born college graduates, all degree fields",Non-S&E fields,China,3,175000,13000,5000,157000
5592,r088,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Germany, not specified","All foreign-born college graduates, all degree fields",Non-S&E fields,"Germany, not specified",3,156000,7000,9000,139000
5592,r089,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> South Korea","All foreign-born college graduates, all degree fields",Non-S&E fields,South Korea,3,120000,15000,3000,102000
5592,r090,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Venezuela","All foreign-born college graduates, all degree fields",Non-S&E fields,Venezuela,3,87000,,,85000
5592,r091,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Jamaica","All foreign-born college graduates, all degree fields",Non-S&E fields,Jamaica,3,77000,S,S,71000
5592,r092,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Vietnam","All foreign-born college graduates, all degree fields",Non-S&E fields,Vietnam,3,75000,6000,2000,68000
5592,r093,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Colombia","All foreign-born college graduates, all degree fields",Non-S&E fields,Colombia,3,75000,1000,7000,66000
5592,r094,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Taiwan","All foreign-born college graduates, all degree fields",Non-S&E fields,Taiwan,3,71000,7000,,63000
5592,r095,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Dominican Republic","All foreign-born college graduates, all degree fields",Non-S&E fields,Dominican Republic,3,67000,,S,49000
5592,r096,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Japan","All foreign-born college graduates, all degree fields",Non-S&E fields,Japan,3,63000,S,S,57000
5592,r097,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> United Kingdom, not specified","All foreign-born college graduates, all degree fields",Non-S&E fields,"United Kingdom, not specified",3,60000,2000,5000,53000
5592,r098,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Cuba","All foreign-born college graduates, all degree fields",Non-S&E fields,Cuba,3,52000,,,48000
5592,r099,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> France","All foreign-born college graduates, all degree fields",Non-S&E fields,France,3,51000,3000,S,46000
5592,r100,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Nigeria","All foreign-born college graduates, all degree fields",Non-S&E fields,Nigeria,3,49000,4000,9000,35000
5592,r101,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Thailand","All foreign-born college graduates, all degree fields",Non-S&E fields,Thailand,3,45000,,0.05,44000
5592,r102,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Brazil","All foreign-born college graduates, all degree fields",Non-S&E fields,Brazil,3,45000,3000,2000,40000
5592,r103,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> England","All foreign-born college graduates, all degree fields",Non-S&E fields,England,3,44000,,,42000
5592,r104,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Peru","All foreign-born college graduates, all degree fields",Non-S&E fields,Peru,3,42000,4000,1000,37000
5592,r105,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Pakistan","All foreign-born college graduates, all degree fields",Non-S&E fields,Pakistan,3,41000,S,,39000
5592,r106,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Nicaragua","All foreign-born college graduates, all degree fields",Non-S&E fields,Nicaragua,3,36000,,,36000
5592,r107,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> Hong Kong","All foreign-born college graduates, all degree fields",Non-S&E fields,Hong Kong,3,30000,S,S,23000
5592,r108,"All foreign-born college graduates, all degree fields -> Non-S&E fields -> All other countries","All foreign-born college graduates, all degree fields",Non-S&E fields,All other countries,3,899000,81000,40000,779000
