table_id,row_id,_b_core_based_statistical_area_b_full_path,_b_core_based_statistical_area_b_level_1,_b_core_based_statistical_area_b_level_2,_b_core_based_statistical_area_b_hierarchy_depth,field_cbsa_code,field_total_business_r_d_performance,field_gdp,field_r_d_gdp
4157,r013,"Domestic U.S. total -> Austin-Round Rock-Georgetown, TX",Domestic U.S. total,"Austin-Round Rock-Georgetown, TX",2,12420,"['7,812', 'i']","['    146,785 ', '&#160;']","['0.053', '&#160;']"
4157,r014,"Domestic U.S. total -> Dallas-Fort Worth-Arlington, TX",Domestic U.S. total,"Dallas-Fort Worth-Arlington, TX",2,19100,"['7,180', '&#160;']","['    512,510 ', '&#160;']","['0.014', '&#160;']"
4157,r015,"Domestic U.S. total -> Washington-Arlington-Alexandria, DC-VA-MD-WV",Domestic U.S. total,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2,47900,"['7,092', '&#160;']","['    540,684 ', '&#160;']","['0.013', '&#160;']"
4157,r016,"Domestic U.S. total -> Minneapolis-St. Paul-Bloomington, MN-WI",Domestic U.S. total,"Minneapolis-St. Paul-Bloomington, MN-WI",2,33460,"['6,757', '&#160;']","['    263,691 ', '&#160;']","['0.026', '&#160;']"
4157,r017,"Domestic U.S. total -> St. Louis, MO-IL",Domestic U.S. total,"St. Louis, MO-IL",2,41180,"['5,918', '&#160;']","['    169,839 ', '&#160;']","['0.035', '&#160;']"
4157,r018,"Domestic U.S. total -> Indianapolis-Carmel-Anderson, IN",Domestic U.S. total,"Indianapolis-Carmel-Anderson, IN",2,26900,"['4,750', '&#160;']","['    140,762 ', '&#160;']","['0.034', '&#160;']"
4157,r019,"Domestic U.S. total -> Houston-The Woodlands-Sugar Land, TX",Domestic U.S. total,"Houston-The Woodlands-Sugar Land, TX",2,26420,"['4,540', '&#160;']","['    478,779 ', '&#160;']","['0.009', '&#160;']"
4157,r020,"Domestic U.S. total -> Phoenix-Mesa-Chandler, AZ",Domestic U.S. total,"Phoenix-Mesa-Chandler, AZ",2,38060,"['4,437', 'i']","['    255,212 ', '&#160;']","['0.017', '&#160;']"
4157,r021,"Domestic U.S. total -> Durham-Chapel Hill, NC",Domestic U.S. total,"Durham-Chapel Hill, NC",2,20500,"['4,430', '&#160;']","['    54,687 ', '&#160;']","['0.081', '&#160;']"
4157,r022,"Domestic U.S. total -> Atlanta-Sandy Springs-Alpharetta, GA",Domestic U.S. total,"Atlanta-Sandy Springs-Alpharetta, GA",2,12060,"['4,172', '&#160;']","['    397,261 ', '&#160;']","['0.011', '&#160;']"
4157,r023,"Domestic U.S. total -> Norwich-New London, CT",Domestic U.S. total,"Norwich-New London, CT",2,35980,"['3,914', '&#160;']","['    19,295 ', '&#160;']","['0.203', '&#160;']"
4157,r024,"Domestic U.S. total -> Cincinnati, OH-KY-IN",Domestic U.S. total,"Cincinnati, OH-KY-IN",2,17140,"['3,643', '&#160;']","['    141,053 ', '&#160;']","['0.026', '&#160;']"
4157,r025,"Domestic U.S. total -> Raleigh-Cary, NC",Domestic U.S. total,"Raleigh-Cary, NC",2,39580,"['3,465', '&#160;']","['    83,666 ', '&#160;']","['0.041', '&#160;']"
4157,r026,"Domestic U.S. total -> Baltimore-Columbia-Towson, MD",Domestic U.S. total,"Baltimore-Columbia-Towson, MD",2,12580,"['2,674', '&#160;']","['    205,314 ', '&#160;']","['0.013', '&#160;']"
4157,r027,Domestic U.S. total -> All other CBSAs,Domestic U.S. total,All other CBSAs,2,-,"['95,252', '&#160;']","['8,641,229', '&#160;']","['0.011', '&#160;']"
4157,r028,Domestic U.S. total -> Locations outside a CBSA,Domestic U.S. total,Locations outside a CBSA,2,-,"['2,235', '&#160;']","['    2,046,565 ', '&#160;']","['0.001', '&#160;']"
4157,r029,Domestic U.S. total -> Undistributed<sup>a</sup>,Domestic U.S. total,Undistributed<sup>a</sup>,2,-,"['2,584', '&#160;']","['0', '&#160;']","['na', '&#160;']"
