table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_total,field_paid_for_by_the_company,field_foreign_owner,field_another_u_s_company,field_other_businesses_outside_the_united_states,field_u_s_university_or_college,field_u_s_nonprofit_organization,field_u_s_federal_government,field_u_s_state_or_local_government,field_all_other_organizations_outside_the_united_states
9863,r031,All states -> New Hampshire,All states,New Hampshire,2,"['43,419', '&nbsp;']","['37,033', '&nbsp;']","['0', '&nbsp;']","['280', '&nbsp;']","['2,538', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['3,569', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9863,r032,All states -> New Jersey,All states,New Jersey,2,"['134,415', '&nbsp;']","['104,651', '&nbsp;']","['2,668', 'r']","['4,528', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['200', 'r']","['20,649', '&nbsp;']","['1,720', '&nbsp;']","['0', '&nbsp;']"
9863,r033,All states -> New Mexico,All states,New Mexico,2,"['25,502', '&nbsp;']","['13,201', '&nbsp;']","['0', '&nbsp;']","['3,841', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['8,259', '&nbsp;']","['201', '&nbsp;']","['0', '&nbsp;']"
9863,r034,All states -> New York,All states,New York,2,"['226,485', '&nbsp;']","['186,246', '&nbsp;']","['1,066', '&nbsp;']","['4,880', 'r']","['891', '&nbsp;']","['212', 'r']","['0', '&nbsp;']","['32,905', '&nbsp;']","['284', 'r']","['0', '&nbsp;']"
9863,r035,All states -> North Carolina,All states,North Carolina,2,"['144,595', '&nbsp;']","['107,158', '&nbsp;']","['12,156', '&nbsp;']","['2,705', '&nbsp;']","['0', '&nbsp;']","['1,225', 'r']","['699', 'r']","['19,972', '&nbsp;']","['679', '&nbsp;']","['0', '&nbsp;']"
9863,r036,All states -> North Dakota,All states,North Dakota,2,"['3,068', '&nbsp;']","['2,763', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['305', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9863,r037,All states -> Ohio,All states,Ohio,2,"['144,642', '&nbsp;']","['129,856', '&nbsp;']","['0', '&nbsp;']","['3,918', '&nbsp;']","['0', '&nbsp;']","['74', '&nbsp;']","['1,725', 'r']","['8,428', '&nbsp;']","['641', '&nbsp;']","['0', '&nbsp;']"
9863,r038,All states -> Oklahoma,All states,Oklahoma,2,"['30,764', '&nbsp;']","['22,999', '&nbsp;']","['0', '&nbsp;']","['5,588', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['2,177', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9863,r039,All states -> Oregon,All states,Oregon,2,"['80,522', '&nbsp;']","['49,026', '&nbsp;']","['5,897', 'r']","['15,872', '&nbsp;']","['0', '&nbsp;']","['1,194', 'r']","['0', '&nbsp;']","['8,355', '&nbsp;']","['179', '&nbsp;']","['0', '&nbsp;']"
9863,r040,All states -> Pennsylvania,All states,Pennsylvania,2,"['183,302', '&nbsp;']","['136,052', '&nbsp;']","['10,157', 'r']","['900', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['31,426', '&nbsp;']","['4,767', 'r']","['0', '&nbsp;']"
9863,r041,All states -> Rhode Island,All states,Rhode Island,2,"['6,696', '&nbsp;']","['3,561', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['3,135', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9863,r042,All states -> South Carolina,All states,South Carolina,2,"['95,782', 'r']","['83,633', 'r']","['0', '&nbsp;']","['811', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['10,438', '&nbsp;']","['900', '&nbsp;']","['0', '&nbsp;']"
9863,r043,All states -> South Dakota,All states,South Dakota,2,"['3,156', '&nbsp;']","['3,156', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9863,r044,All states -> Tennessee,All states,Tennessee,2,"['47,601', '&nbsp;']","['31,384', '&nbsp;']","['0', '&nbsp;']","['2,901', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['9,789', '&nbsp;']","['3,528', '&nbsp;']","['0', '&nbsp;']"
9863,r045,All states -> Texas,All states,Texas,2,"['301,057', '&nbsp;']","['267,854', '&nbsp;']","['1,766', '&nbsp;']","['4,027', '&nbsp;']","['751', '&nbsp;']","['773', '&nbsp;']","['0', '&nbsp;']","['25,683', '&nbsp;']","['138', 'r']","['64', 'r']"
9863,r046,All states -> Utah,All states,Utah,2,"['66,559', '&nbsp;']","['55,690', '&nbsp;']","['0', '&nbsp;']","['1,406', '&nbsp;']","['0', '&nbsp;']","['14', '&nbsp;']","['0', '&nbsp;']","['9,449', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9863,r047,All states -> Vermont,All states,Vermont,2,"['17,876', 'r']","['1,326', '&nbsp;']","['0', '&nbsp;']","['431', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['14,929', 'r']","['1,190', 'r']","['0', '&nbsp;']"
9863,r048,All states -> Virginia,All states,Virginia,2,"['137,037', '&nbsp;']","['95,486', '&nbsp;']","['310', 'r']","['6,129', 'r']","['514', 'r']","['0', '&nbsp;']","['129', '&nbsp;']","['32,940', '&nbsp;']","['0', '&nbsp;']","['1,529', '&nbsp;']"
9863,r049,All states -> Washington,All states,Washington,2,"['243,051', '&nbsp;']","['177,903', '&nbsp;']","['3,237', '&nbsp;']","['32,777', 'r']","['533', 'r']","['0', '&nbsp;']","['210', 'r']","['27,534', '&nbsp;']","['784', '&nbsp;']","['73', '&nbsp;']"
9863,r050,All states -> West Virginia,All states,West Virginia,2,"['3,795', '&nbsp;']","['1,489', 'r']","['0', '&nbsp;']","['1,369', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['924', '&nbsp;']","['13', 'r']","['0', '&nbsp;']"
9863,r051,All states -> Wisconsin,All states,Wisconsin,2,"['147,494', '&nbsp;']","['135,818', 'r']","['0', '&nbsp;']","['2,387', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['8,298', '&nbsp;']","['990', 'r']","['0', '&nbsp;']"
9863,r052,All states -> Wyoming,All states,Wyoming,2,"['30,242', 'r']","['10,755', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['6', '&nbsp;']","['0', '&nbsp;']","['19,237', 'r']","['243', '&nbsp;']","['0', '&nbsp;']"
9863,r053,All states -> Undistributed,All states,Undistributed,2,"['8,117', '&nbsp;']","['7,162', 'r']","['0', '&nbsp;']","['65', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['775', '&nbsp;']","['116', '&nbsp;']","['0', '&nbsp;']"
