table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_2008c,field_2009d,field_2010d,field_2011,field_2012,field_2013,field_2014,field_2015
802,r031,All business activities -> Construction machinery manufacturing,All business activities,Construction machinery manufacturing,2,33312,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['655', '&nbsp;']","['675', '&nbsp;']","['1,340', '&nbsp;']","['1,309', '&nbsp;']","['1,213', '&nbsp;']"
802,r032,"All business activities -> Mining, oil, and gas field machinery and equipment manufacturing",All business activities,"Mining, oil, and gas field machinery and equipment manufacturing",2,33319,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['1,735', '&nbsp;']","['1,999', '&nbsp;']","['1,436', 'i']","['1,142', '&nbsp;']","['1,441', '&nbsp;']"
802,r033,All business activities -> Semiconductor machinery manufacturing,All business activities,Semiconductor machinery manufacturing,2,33321,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['2,207', '&nbsp;']","['1,308', 'i']","['3,146', '&nbsp;']","['2,979', '&nbsp;']","['3,218', '&nbsp;']"
802,r034,All business activities -> Industrial machinery manufacturing (except semiconductor machinery),All business activities,Industrial machinery manufacturing (except semiconductor machinery),2,33322,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['945', '&nbsp;']","['850', '&nbsp;']","['878', '&nbsp;']","['1,158', '&nbsp;']","['1,149', '&nbsp;']"
802,r035,All business activities -> Photographic and photocopying equipment manufacturing,All business activities,Photographic and photocopying equipment manufacturing,2,33331,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['656', '&nbsp;']","['23', 'i']","['458', '&nbsp;']","['79', '&nbsp;']","['135', '&nbsp;']"
802,r036,"All business activities -> Commercial, service industry, temperature control, and air-flow control machinery manufacturing",All business activities,"Commercial, service industry, temperature control, and air-flow control machinery manufacturing",2,33332,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['1,182', '&nbsp;']","['1,367', '&nbsp;']","['1,446', '&nbsp;']","['1,285', '&nbsp;']"
802,r037,All business activities -> Digital cameras manufacturing,All business activities,Digital cameras manufacturing,2,33333,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['25', '&nbsp;']","['427', '&nbsp;']"
802,r038,"All business activities -> Engine, turbine, and power transmission equipment manufacturing",All business activities,"Engine, turbine, and power transmission equipment manufacturing",2,33360,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['3,257', '&nbsp;']","['3,603', '&nbsp;']","['2,373', '&nbsp;']","['1,847', '&nbsp;']","['2,306', '&nbsp;']"
802,r039,All business activities -> Metalworking and other general purpose machinery manufacturing,All business activities,Metalworking and other general purpose machinery manufacturing,2,33390,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['1,832', '&nbsp;']","['1,607', '&nbsp;']","['1,780', '&nbsp;']","['2,089', '&nbsp;']","['2,290', '&nbsp;']"
802,r040,All business activities -> Computers and peripheral equipment manufacturing and magnetic and optical media<sup>f</sup>,All business activities,Computers and peripheral equipment manufacturing and magnetic and optical media<sup>f</sup>,2,33412,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['10,311', '&nbsp;']","['10,893', '&nbsp;']","['11,162', '&nbsp;']","['9,651', '&nbsp;']","['10,997', '&nbsp;']"
802,r041,"All business activities -> Telephone apparatus manufacturing, including routers, modems, and gateways",All business activities,"Telephone apparatus manufacturing, including routers, modems, and gateways",2,33421,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['7,006', '&nbsp;']","['5,101', '&nbsp;']","['5,534', '&nbsp;']","['7,734', '&nbsp;']","['9,529', '&nbsp;']"
802,r042,"All business activities -> Radio, television, and wireless communication equipment manufacturing",All business activities,"Radio, television, and wireless communication equipment manufacturing",2,33422,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['4,182', '&nbsp;']","['5,851', '&nbsp;']","['7,664', '&nbsp;']","['6,325', 'i']","['3,387', 'i']"
802,r043,"All business activities -> Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",All business activities,"Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",2,33429,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['871', '&nbsp;']","['1,937', '&nbsp;']","['1,729', '&nbsp;']","['1,687', '&nbsp;']","['1,695', 'i']"
802,r044,All business activities -> Audio and video equipment manufacturing,All business activities,Audio and video equipment manufacturing,2,33430,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['798', '&nbsp;']","['865', '&nbsp;']","['876', '&nbsp;']","['1,018', '&nbsp;']","['1,072', 'i']"
802,r045,All business activities -> Semiconductor and other electronic components manufacturing,All business activities,Semiconductor and other electronic components manufacturing,2,33440,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['24,580', '&nbsp;']","['28,983', '&nbsp;']","['30,792', '&nbsp;']","['31,986', '&nbsp;']","['30,805', '&nbsp;']"
802,r046,"All business activities -> Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",All business activities,"Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",2,33451,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['2,787', '&nbsp;']","['2,868', 'i']","['3,178', 'i']","['3,670', '&nbsp;']","['3,477', '&nbsp;']"
802,r047,"All business activities -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments manufacturing",All business activities,"Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments manufacturing",2,33452,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['5,666', '&nbsp;']","['6,403', '&nbsp;']","['6,550', '&nbsp;']","['6,234', '&nbsp;']","['6,507', '&nbsp;']"
802,r048,All business activities -> Measuring and control instruments manufacturing (not listed elsewhere),All business activities,Measuring and control instruments manufacturing (not listed elsewhere),2,33459,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['3,191', '&nbsp;']","['3,465', '&nbsp;']","['3,901', '&nbsp;']","['4,045', '&nbsp;']","['4,034', '&nbsp;']"
802,r049,"All business activities -> Electrical equipment, appliances, and components manufacturing",All business activities,"Electrical equipment, appliances, and components manufacturing",2,33500,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['3,007', '&nbsp;']","['3,391', '&nbsp;']","['4,208', '&nbsp;']","['4,461', '&nbsp;']","['4,353', '&nbsp;']"
802,r050,All business activities -> Motor vehicles manufacturing,All business activities,Motor vehicles manufacturing,2,33610,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['9,320', '&nbsp;']","['11,314', '&nbsp;']","['11,696', '&nbsp;']","['12,134', '&nbsp;']","['12,504', '&nbsp;']"
802,r051,All business activities -> Motor vehicle body and trailer manufacturing,All business activities,Motor vehicle body and trailer manufacturing,2,33620,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['69', '&nbsp;']","['91', 'i']","['98', 'i']","['96', '&nbsp;']","['156', 'i']"
802,r052,All business activities -> Motor vehicle parts manufacturing,All business activities,Motor vehicle parts manufacturing,2,33630,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['3,010', '&nbsp;']","['D', '&nbsp;']","['4,554', '&nbsp;']","['6,022', '&nbsp;']","['6,140', '&nbsp;']"
802,r053,All business activities -> Aircraft manufacturing,All business activities,Aircraft manufacturing,2,33641,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['5,853', '&nbsp;']","['15,380', 'i']","['16,607', 'i']","['15,632', 'i']","['14,779', 'i']"
802,r054,All business activities -> Aircraft engine and engine parts manufacturing,All business activities,Aircraft engine and engine parts manufacturing,2,33642,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['1,636', '&nbsp;']","['1,296', '&nbsp;']","['1,758', '&nbsp;']","['2,294', 'i']","['1,574', '&nbsp;']"
802,r055,All business activities -> Other aircraft parts and auxiliary equipment manufacturing,All business activities,Other aircraft parts and auxiliary equipment manufacturing,2,33643,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['1,896', '&nbsp;']","['2,655', '&nbsp;']","['3,446', '&nbsp;']","['4,443', '&nbsp;']","['4,926', '&nbsp;']"
