table_id,row_id,sex_and_financial_resource_full_path,sex_and_financial_resource_level_1,sex_and_financial_resource_level_2,sex_and_financial_resource_level_3,sex_and_financial_resource_level_4,sex_and_financial_resource_hierarchy_depth,field_all_fields_number_,field_all_fields,field_life_sciencesa,field_physical_sciences_and_earth_sciences,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
1765,r012,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Personal sources,Male doctorate recipients,Unduplicated total<sup>c</sup>,Personal sources,,3,,,,,,,,,,
1765,r013,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Personal sources -> Savings,Male doctorate recipients,Unduplicated total<sup>c</sup>,Personal sources,Savings,4,12920,100.0,18.4,10.5,9.4,15.2,22.6,6.7,10.9,6.2
1765,r014,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Personal sources -> Other earnings during graduate school,Male doctorate recipients,Unduplicated total<sup>c</sup>,Personal sources,Other earnings during graduate school,4,7201,100.0,16.1,7.9,8.3,18.2,15.0,11.0,17.3,6.2
1765,r015,"Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Spouse's, partner's, or family's earnings or savings",Male doctorate recipients,Unduplicated total<sup>c</sup>,"Spouse's, partner's, or family's earnings or savings",,3,9439,100.0,18.3,10.7,8.3,15.7,23.1,5.7,12.5,5.8
1765,r016,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Employer reimbursement or assistance,Male doctorate recipients,Unduplicated total<sup>c</sup>,Employer reimbursement or assistance,,3,2918,100.0,18.0,9.1,10.7,11.4,22.0,14.8,7.9,6.1
1765,r017,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Foreign (non-U.S.) support,Male doctorate recipients,Unduplicated total<sup>c</sup>,Foreign (non-U.S.) support,,3,2139,100.0,17.3,10.6,10.5,11.6,33.7,3.6,7.6,5.0
1765,r018,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Other ,Male doctorate recipients,Unduplicated total<sup>c</sup>,Other ,,3,288,100.0,17.7,6.3,4.5,20.1,16.0,12.8,14.2,8.3
1765,r019,Female doctorate recipients,Female doctorate recipients,,,,1,,,,,,,,,,
1765,r020,Female doctorate recipients -> Unduplicated total<sup>c</sup>,Female doctorate recipients,Unduplicated total<sup>c</sup>,,,2,22582,100.0,28.7,8.6,3.9,20.3,9.7,13.1,10.2,5.6
1765,r021,Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Fellowship or scholarship,Female doctorate recipients,Unduplicated total<sup>c</sup>,Fellowship or scholarship,,3,15491,100.0,29.8,9.0,3.5,20.8,9.4,9.5,12.6,5.4
1765,r022,Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Dissertation grant,Female doctorate recipients,Unduplicated total<sup>c</sup>,Dissertation grant,,3,5137,100.0,23.2,4.3,1.8,29.4,4.3,9.1,21.4,6.5
1765,r023,Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Assistantship,Female doctorate recipients,Unduplicated total<sup>c</sup>,Assistantship,,3,,,,,,,,,,
1765,r024,Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Assistantship -> Teaching,Female doctorate recipients,Unduplicated total<sup>c</sup>,Assistantship,Teaching,4,14871,100.0,22.7,11.5,5.1,23.9,9.2,7.9,14.0,5.8
1765,r025,Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Assistantship -> Research,Female doctorate recipients,Unduplicated total<sup>c</sup>,Assistantship,Research,4,13885,100.0,29.3,12.6,4.5,20.0,13.2,8.3,6.4,5.7
1765,r026,Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Assistantship -> Other,Female doctorate recipients,Unduplicated total<sup>c</sup>,Assistantship,Other,4,2359,100.0,14.8,4.1,1.8,32.0,4.8,20.6,15.9,6.0
1765,r027,Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Traineeship,Female doctorate recipients,Unduplicated total<sup>c</sup>,Traineeship,,3,1251,100.0,63.5,4.6,1.2,17.1,7.4,3.1,1.8,1.3
1765,r028,Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Internship or clinical residency,Female doctorate recipients,Unduplicated total<sup>c</sup>,Internship or clinical residency,,3,2230,100.0,11.4,4.6,9.5,47.6,12.6,7.9,4.1,2.4
1765,r029,Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Loan (any source),Female doctorate recipients,Unduplicated total<sup>c</sup>,Loan (any source),,3,7069,100.0,21.8,3.5,1.5,29.0,2.9,21.5,13.0,6.7
1765,r030,Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Personal sources,Female doctorate recipients,Unduplicated total<sup>c</sup>,Personal sources,,3,,,,,,,,,,
1765,r031,Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Personal sources -> Savings,Female doctorate recipients,Unduplicated total<sup>c</sup>,Personal sources,Savings,4,12463,100.0,26.5,6.7,2.8,23.2,7.0,16.0,11.5,6.4
1765,r032,Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Personal sources -> Other earnings during graduate school,Female doctorate recipients,Unduplicated total<sup>c</sup>,Personal sources,Other earnings during graduate school,4,8324,100.0,21.9,4.0,1.9,25.5,3.8,21.3,15.4,6.2
1765,r033,"Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Spouse's, partner's, or family's earnings or savings",Female doctorate recipients,Unduplicated total<sup>c</sup>,"Spouse's, partner's, or family's earnings or savings",,3,10595,100.0,26.1,6.2,3.0,24.3,7.5,14.6,12.0,6.2
1765,r034,Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Employer reimbursement or assistance,Female doctorate recipients,Unduplicated total<sup>c</sup>,Employer reimbursement or assistance,,3,2661,100.0,28.5,4.8,2.6,14.4,5.7,30.8,6.6,6.5
1765,r035,Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Foreign (non-U.S.) support,Female doctorate recipients,Unduplicated total<sup>c</sup>,Foreign (non-U.S.) support,,3,1252,100.0,28.1,6.2,6.3,17.7,14.1,8.6,12.0,6.9
1765,r036,Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Other ,Female doctorate recipients,Unduplicated total<sup>c</sup>,Other ,,3,278,100.0,23.0,5.8,2.5,26.3,6.5,20.5,11.2,4.3
