table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2017_actual,field_2018_preliminarya,field_2019_proposedb,field_2017_18_change_,field_2018_19_change_
1320,r011,R&D and R&D plant -> Department of Energy (271) -> Bonneville Power Administration Fund,R&D and R&D plant,Department of Energy (271),Bonneville Power Administration Fund,,,3,15,15,15,0.0,0.0
1320,r012,R&D and R&D plant -> Nuclear Regulatory Commission (276),R&D and R&D plant,Nuclear Regulatory Commission (276),,,,2,56,55,74,-1.8,34.5
1320,r013,R&D and R&D plant -> Tennessee Valley Authority (271),R&D and R&D plant,Tennessee Valley Authority (271),,,,2,13,13,13,0.0,0.0
1320,r014,R&D and R&D plant -> Department of Agriculture (271),R&D and R&D plant,Department of Agriculture (271),,,,2,,,,,
1320,r015,R&D and R&D plant -> Department of Agriculture (271) -> National Institute of Food and Agriculture: Biomass R&D<sup>h</sup>,R&D and R&D plant,Department of Agriculture (271),National Institute of Food and Agriculture: Biomass R&D<sup>h</sup>,,,3,3,0,0,-100.0,--
1320,r016,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,3519,3483,2008,-1.0,-42.3
1320,r017,R&D and R&D plant -> R&D -> Department of Energy (271),R&D and R&D plant,R&D,Department of Energy (271),,,3,3447,3415,1921,-0.9,-43.7
1320,r018,R&D and R&D plant -> R&D -> Department of Energy (271) -> Energy programs,R&D and R&D plant,R&D,Department of Energy (271),Energy programs,,4,3126,3105,1906,-0.7,-38.6
1320,r019,"R&D and R&D plant -> R&D -> Department of Energy (271) -> Energy programs -> Energy efficiency and renewable energy<sup>c,d</sup>",R&D and R&D plant,R&D,Department of Energy (271),Energy programs,"Energy efficiency and renewable energy<sup>c,d</sup>",5,1483,1488,646,0.3,-56.6
1320,r020,"R&D and R&D plant -> R&D -> Department of Energy (271) -> Energy programs -> Electricity delivery and energy reliability<sup>c,e</sup>",R&D and R&D plant,R&D,Department of Energy (271),Energy programs,"Electricity delivery and energy reliability<sup>c,e</sup>",5,150,144,na,-4.1,
1320,r021,"R&D and R&D plant -> R&D -> Department of Energy (271) -> Energy programs -> Fossil energy<sup>c,f</sup>",R&D and R&D plant,R&D,Department of Energy (271),Energy programs,"Fossil energy<sup>c,f</sup>",5,602,598,421,-0.7,-29.6
1320,r022,R&D and R&D plant -> R&D -> Department of Energy (271) -> Energy programs -> Nuclear energy<sup>c</sup>,R&D and R&D plant,R&D,Department of Energy (271),Energy programs,Nuclear energy<sup>c</sup>,5,891,875,754,-1.8,-13.8
1320,r023,R&D and R&D plant -> R&D -> Department of Energy (271) -> Energy programs -> Electricity delivery<sup>e</sup>,R&D and R&D plant,R&D,Department of Energy (271),Energy programs,Electricity delivery<sup>e</sup>,5,na,na,53,na,na
1320,r024,"R&D and R&D plant -> R&D -> Department of Energy (271) -> Energy programs -> Cybersecurity, Energy Security, and Emergency Response<sup>e</sup>",R&D and R&D plant,R&D,Department of Energy (271),Energy programs,"Cybersecurity, Energy Security, and Emergency Response<sup>e</sup>",5,na,na,33,na,na
1320,r025,R&D and R&D plant -> R&D -> Department of Energy (271) -> Advanced Research Projects Agency-Energy (ARPA-E)<sup>g</sup>,R&D and R&D plant,R&D,Department of Energy (271),Advanced Research Projects Agency-Energy (ARPA-E)<sup>g</sup>,,4,306,295,0,-3.6,-100.0
1320,r026,R&D and R&D plant -> R&D -> Department of Energy (271) -> Bonneville Power Administration Fund,R&D and R&D plant,R&D,Department of Energy (271),Bonneville Power Administration Fund,,4,15,15,15,0.0,0.0
1320,r027,R&D and R&D plant -> R&D -> Nuclear Regulatory Commission (276),R&D and R&D plant,R&D,Nuclear Regulatory Commission (276),,,3,56,55,74,-1.8,34.5
1320,r028,R&D and R&D plant -> R&D -> Tennessee Valley Authority (271),R&D and R&D plant,R&D,Tennessee Valley Authority (271),,,3,13,13,13,0.0,0.0
1320,r029,R&D and R&D plant -> R&D -> Department of Agriculture (271),R&D and R&D plant,R&D,Department of Agriculture (271),,,3,,,,,
1320,r030,R&D and R&D plant -> R&D -> Department of Agriculture (271) -> National Institute of Food and Agriculture: Biomass R&D<sup>h</sup>,R&D and R&D plant,R&D,Department of Agriculture (271),National Institute of Food and Agriculture: Biomass R&D<sup>h</sup>,,4,3,0,0,-100.0,--
