table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_worldwide_total,field_worldwide_,field_worldwide_male,field_worldwide_,field_worldwide_female,field_worldwide_,field_domestic_total,field_domestic_,field_domestic_male,field_domestic_,field_domestic_female,field_domestic_,field_foreign_total,field_foreign_,field_foreign_male,field_foreign_,field_foreign_female,field_foreign_
1425,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,156,,127,i ,29,i ,96,,79,i ,17,i ,61,,49,i ,12,i 
1425,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,100,,78,,22,i ,69,,55,,14,,30,,23,i ,7,i 
1425,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatuses",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatuses",5,"334510, 334517",19,,13,i ,6,i ,12,,8,i ,4,i ,7,,5,i ,2,i 
1425,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",5,334511,33,,27,,6,,29,,24,,5,,4,,3,,1,
1425,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,47,,38,,10,,28,,23,,5,,20,,15,i ,5,i 
1425,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,90,,74,,16,,50,,42,,8,,40,,32,i ,8,i 
1425,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,51,,42,,9,i ,28,,23,,4,,23,,18,,5,i 
1425,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,236,,196,,41,,168,,138,,30,,68,,58,,11,
1425,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,135,,114,,21,,92,,78,,14,,43,,36,,7,
1425,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,85,,69,,16,,61,,49,,12,,24,,20,,4,
1425,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engines, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engines, and aircraft parts",5,336411–13,73,,59,,14,,50,,39,,10,,24,,20,,4,
1425,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missiles, space vehicles, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missiles, space vehicles, and related parts",5,"336414–15, 336419",11,,10,,1,,11,,10,,1,,0.05,,0.05,,0.05,
1425,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicles, tanks, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicles, tanks, and tank components",,4,336992,0.05,,0.05,,0.05,,0.05,,0.05,,0.05,,0,,0,,0,
1425,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,17,,12,i ,4,i ,15,,11,i ,4,i ,2,,2,i ,0.05,i 
1425,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,5,,4,i ,1,i ,5,,3,i ,1,i ,0.05,,0.05,,0.05,
1425,r043,All industries -> Manufacturing industries -> Miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,,,3,339,92,,65,,27,,70,,50,,20,,22,,15,,7,
1425,r044,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous manufacturing,Medical equipment and supplies,,4,3391,65,,45,,20,,47,,33,,14,,17,,12,,6,
1425,r045,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,Other miscellaneous manufacturing,,4,3399,27,i ,20,i ,7,i ,23,i ,17,i ,6,i ,5,i ,3,i ,1,i 
1425,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81",878,,610,,268,,610,,433,,177,,268,,177,,91,
1425,r047,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,14,,11,,3,,12,,9,,3,,2,,2,,0.05,
1425,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,3,,2,,1,,3,,2,,1,,0.05,,0.05,,0.05,
1425,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,12,,9,i ,2,i ,11,,9,i ,2,i ,0.05,,0.05,i ,0.05,i 
1425,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,6,i ,4,i ,2,i ,5,i ,3,i ,2,i ,1,i ,1,i ,1,i 
1425,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,3,i ,1,,2,i ,3,i ,1,,2,i ,0.05,,0.05,,0.05,
1425,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,414,,313,,102,,277,,211,,67,,137,,102,,35,
1425,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,241,,178,,64,,143,,106,,36,,98,,71,,27,
1425,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,1,,1,i ,0.05,i ,1,,1,i ,0.05,i ,0.05,,0.05,,0.05,
1425,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,240,,177,,63,,142,,106,,36,,98,,71,,27,
1425,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,25,,19,i ,6,,24,,18,i ,5,,1,i ,1,i ,0.05,i 
1425,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,87,,67,,20,,62,,47,,14,,25,,19,,6,
1425,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,61,,49,,12,,49,,39,,10,,13,,11,,2,
1425,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,47,,28,,20,,37,,22,,16,,10,,6,,4,
1425,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,3,,2,,0.05,,2,,2,,0.05,,0.05,,0.05,,0.05,
1425,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,0.05,,0.05,,0.05,,0.05,,0.05,,0.05,,0.05,,0.05,,0.05,
1425,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,2,,2,,0.05,,2,,2,,0.05,,0.05,,0.05,,0.05,
1425,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,355,,224,,130,,240,,160,,80,,114,,64,,50,
1425,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,52,,40,i ,12,i ,46,,36,i ,10,i ,6,,5,,1,
1425,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,140,,108,,31,,92,,71,i ,20,,48,,37,,11,
1425,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,133,,57,,76,,79,,38,,40,,55,,19,,36,
1425,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,35,,13,,23,,21,,8,,13,,14,,4,,10,
1425,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Physical, engineering, and life sciences (except biotechnology) research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Physical, engineering, and life sciences (except biotechnology) research and development",5,541712,92,,42,,51,,52,,28,,24,,40,,14,,26,
1425,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Social sciences and humanities research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Social sciences and humanities research and development,5,541720,6,,3,i ,3,i ,6,,3,i ,3,i ,0.05,,0.05,i ,0.05,i 
1425,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,30,,19,i ,11,i ,24,,15,i ,10,i ,6,,4,i ,1,i 
1425,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,4,,2,,2,i ,4,,2,,2,i ,0.05,,0.05,i ,0.05,
1425,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81",18,,14,i ,4,i ,16,,12,i ,3,i ,2,,1,,1,
1425,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,2195,,1601,,594,,1522,,1122,,399,,674,,479,,194,
1425,r074,All companies (number of domestic employees) -> Micro companies<sup>a</sup>,All companies (number of domestic employees),Micro companies<sup>a</sup>,,,,2,,,,,,,,,,,,,,,,,,,
1425,r075,All companies (number of domestic employees) -> Micro companies<sup>a</sup> -> 5&#8211;9,All companies (number of domestic employees),Micro companies<sup>a</sup>,5&#8211;9,,,3,–,17,,12,i ,5,i ,15,,11,i ,4,i ,2,,2,,1,i 
1425,r076,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,,,,,,,,,,,,,,,,,,
1425,r077,All companies (number of domestic employees) -> Small companies -> 10&#8211;19,All companies (number of domestic employees),Small companies,10&#8211;19,,,3,–,40,,30,i ,10,i ,37,,28,i ,9,i ,3,,2,i ,1,i 
1425,r078,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,82,,64,i ,18,i ,75,,59,i ,16,i ,7,,5,,2,
1425,r079,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,,,,,,,,,,,,,,,,,,
1425,r080,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,76,,58,i ,18,i ,69,,53,i ,16,i ,7,,5,,2,
1425,r081,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,116,,91,,26,,101,,79,,22,i ,15,,12,,3,
1425,r082,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,,,,,,,,,,,,,,,,,,
1425,r083,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,94,,73,,21,,75,,58,,17,,18,,14,,4,
1425,r084,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,98,,77,,22,,74,,57,,17,,24,,19,,5,
1425,r085,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,440,,321,,119,,278,,204,,73,,163,,117,,46,
1425,r086,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,237,,170,,67,,159,,116,,44,,78,,55,,23,
1425,r087,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,373,,250,,124,,243,,169,,74,,130,,81,,50,
1425,r088,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,621,,457,,164,,395,,289,,106,,226,,168,,58,
