table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_total,field_selling_goods,field_selling_services,field_licensing,field_grants,field_other_sources
11286,r032,All industries -> Manufacturing industries -> Miscellaneous  -> Medical equipment and supplies ,All industries,Manufacturing industries,Miscellaneous ,Medical equipment and supplies ,,4,3391,"['72,628,927', '&nbsp;']","['68,088,166', 'i']","['4,236,451', 'i']","['39,493', 'i']","['135,316', 'i']","['129,501', 'i']"
11286,r033,All industries -> Manufacturing industries -> Miscellaneous  -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous ,Other miscellaneous manufacturing,,4,3399,"['59,372,267', '&nbsp;']","['48,373,019', '&nbsp;']","['9,898,915', '&nbsp;']","['116,815', '&nbsp;']","['35,194', '&nbsp;']","['948,323', 'r']"
11286,r034,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"11, 21–23, 42–81","['30,018,273,789', '&nbsp;']","['12,876,050,008', '&nbsp;']","['15,118,615,391', '&nbsp;']","['237,147,220', '&nbsp;']","['107,166,810', '&nbsp;']","['1,679,294,360', '&nbsp;']"
11286,r035,"All industries -> Nonmanufacturing industries -> Agriculture, forestry, fishing, and hunting",All industries,Nonmanufacturing industries,"Agriculture, forestry, fishing, and hunting",,,3,11,"['221,884,480', '&nbsp;']","['29,520,311', '&nbsp;']","['187,570,212', '&nbsp;']","['1,546,609', 'r']","['69,298', '&nbsp;']","['3,178,049', '&nbsp;']"
11286,r036,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['341,780,064', '&nbsp;']","['273,483,265', '&nbsp;']","['49,099,437', '&nbsp;']","['543,527', '&nbsp;']","['86,188', '&nbsp;']","['18,567,646', '&nbsp;']"
11286,r037,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['451,945,818', '&nbsp;']","['214,218,936', '&nbsp;']","['225,800,849', '&nbsp;']","['40,045', 'r']","['13,101', '&nbsp;']","['11,872,887', '&nbsp;']"
11286,r038,All industries -> Nonmanufacturing industries -> Construction,All industries,Nonmanufacturing industries,Construction,,,3,23,"['2,284,082,221', '&nbsp;']","['569,271,751', '&nbsp;']","['1,549,618,781', '&nbsp;']","['2,455,329', '&nbsp;']","['2,238,549', '&nbsp;']","['160,497,812', '&nbsp;']"
11286,r039,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['4,541,609,393', '&nbsp;']","['4,141,984,335', '&nbsp;']","['339,155,518', '&nbsp;']","['23,864,330', '&nbsp;']","['1,261,099', '&nbsp;']","['35,344,112', '&nbsp;']"
11286,r040,All industries -> Nonmanufacturing industries -> Retail trade,All industries,Nonmanufacturing industries,Retail trade,,,3,44–45,"['4,975,610,178', '&nbsp;']","['4,665,779,771', '&nbsp;']","['275,631,017', '&nbsp;']","['3,705,803', '&nbsp;']","['1,683,019', '&nbsp;']","['28,810,569', '&nbsp;']"
11286,r041,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['1,363,328,918', '&nbsp;']","['198,742,102', '&nbsp;']","['1,103,996,092', '&nbsp;']","['811,664', '&nbsp;']","['5,774,887', '&nbsp;']","['54,004,172', '&nbsp;']"
11286,r042,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['2,134,724,628', '&nbsp;']","['500,830,422', 'i']","['1,475,311,113', 'i']","['105,287,719', 'i']","['1,470,964', '&nbsp;']","['51,824,410', 'i']"
11286,r043,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['495,882,218', '&nbsp;']","['88,206,763', '&nbsp;']","['323,524,184', 'i']","['68,027,493', '&nbsp;']","['168,127', '&nbsp;']","['15,955,651', '&nbsp;']"
11286,r044,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['61,665,671', '&nbsp;']","['27,440,249', '&nbsp;']","['31,754,948', '&nbsp;']","['1,289,632', '&nbsp;']","['96,012', '&nbsp;']","['1,084,829', '&nbsp;']"
11286,r045,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['434,216,253', '&nbsp;']","['59,892,930', 'i']","['292,218,531', 'i']","['67,118,139', 'i']","['68,131', '&nbsp;']","['14,918,521', 'i']"
11286,r046,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['943,313,401', '&nbsp;']","['165,439,288', '&nbsp;']","['772,600,063', '&nbsp;']","['202,728', '&nbsp;']","['218,371', '&nbsp;']","['4,852,952', '&nbsp;']"
11286,r047,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['87,584,367', '&nbsp;']","['6,138,539', '&nbsp;']","['78,702,166', '&nbsp;']","['1,673,002', '&nbsp;']","['96,104', 'r']","['974,557', '&nbsp;']"
11286,r048,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['607,944,641', '&nbsp;']","['288,720,863', 'i']","['236,591,939', 'i']","['42,947,124', 'i']","['1,268,314', 'i']","['38,416,401', 'i']"
11286,r049,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['4,730,236,436', '&nbsp;']","['591,527,561', '&nbsp;']","['3,445,359,783', '&nbsp;']","['2,677,017', '&nbsp;']","['5,087,204', 'r']","['685,584,871', '&nbsp;']"
11286,r050,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['555,073,316', '&nbsp;']","['106,198,765', '&nbsp;']","['344,798,079', '&nbsp;']","['5,628,782', '&nbsp;']","['330,451', '&nbsp;']","['98,117,240', '&nbsp;']"
11286,r051,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['7,733,984', '&nbsp;']","['3,207,162', '&nbsp;']","['525,412', 'r']","['3,833,547', '&nbsp;']","['485', 'r']","['167,378', '&nbsp;']"
11286,r052,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['547,339,333', '&nbsp;']","['102,913,635', '&nbsp;']","['344,465,787', '&nbsp;']","['1,625,750', '&nbsp;']","['330,151', '&nbsp;']","['98,004,010', '&nbsp;']"
11286,r053,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['2,513,703,001', '&nbsp;']","['441,506,493', '&nbsp;']","['1,749,194,414', '&nbsp;']","['73,017,771', 'r']","['60,696,482', 'r']","['189,287,842', '&nbsp;']"
11286,r054,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Legal services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Legal services,,4,5411,"['385,067,730', '&nbsp;']","['4,111,808', '&nbsp;']","['361,303,340', '&nbsp;']","['66,904', '&nbsp;']","['173,561', '&nbsp;']","['19,412,117', '&nbsp;']"
11286,r055,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Accounting, tax preparation, bookkeeping, and payroll services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Accounting, tax preparation, bookkeeping, and payroll services",,4,5412,"['325,697,429', '&nbsp;']","['4,174,899', '&nbsp;']","['318,608,386', '&nbsp;']","['376,030', '&nbsp;']","['1,011,660', 'r']","['1,526,454', '&nbsp;']"
11286,r056,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['299,496,822', '&nbsp;']","['37,089,239', '&nbsp;']","['257,050,727', '&nbsp;']","['813,341', '&nbsp;']","['497,806', '&nbsp;']","['4,045,710', '&nbsp;']"
11286,r057,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Specialized design services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Specialized design services,,4,5414,"['21,432,469', '&nbsp;']","['11,705,209', '&nbsp;']","['9,306,896', '&nbsp;']","['212,122', '&nbsp;']","['40,660', '&nbsp;']","['167,584', '&nbsp;']"
11286,r058,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['530,190,313', '&nbsp;']","['136,088,203', '&nbsp;']","['304,335,577', '&nbsp;']","['10,996,354', '&nbsp;']","['1,203,019', '&nbsp;']","['77,567,160', '&nbsp;']"
11286,r059,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Management, scientific, and technical consulting services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Management, scientific, and technical consulting services",,4,5416,"['258,487,683', '&nbsp;']","['60,026,005', '&nbsp;']","['184,252,329', '&nbsp;']","['1,411,927', '&nbsp;']","['439,758', '&nbsp;']","['12,357,663', '&nbsp;']"
11286,r060,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['200,954,690', '&nbsp;']","['123,280,542', '&nbsp;']","['35,091,869', '&nbsp;']","['9,186,628', '&nbsp;']","['8,077,659', '&nbsp;']","['25,317,992', '&nbsp;']"
11286,r061,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Advertising, public relations, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Advertising, public relations, and related services",,4,5418,"['139,497,729', '&nbsp;']","['13,788,811', '&nbsp;']","['122,543,246', '&nbsp;']","['1,002,719', 'r']","['52,942', '&nbsp;']","['2,110,011', '&nbsp;']"
11286,r062,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,5419,"['352,878,138', 'r']","['70,693,049', 'r']","['135,564,509', '&nbsp;']","['48,609,297', 'r']","['48,649,200', 'r']","['49,362,083', 'r']"
11286,r063,All industries -> Nonmanufacturing industries -> Management of companies and enterprises,All industries,Nonmanufacturing industries,Management of companies and enterprises,,,3,55,"['19,423,456', 'i']","['13,961,356', 'i']","['1,614,178', '&nbsp;']","['17,716', 'r']","['0', '&nbsp;']","['3,830,206', 'r']"
11286,r064,All industries -> Nonmanufacturing industries -> Administrative and support and waste management and remediation services,All industries,Nonmanufacturing industries,Administrative and support and waste management and remediation services,,,3,56,"['2,381,251,242', '&nbsp;']","['134,964,463', '&nbsp;']","['2,208,620,010', '&nbsp;']","['2,901,772', '&nbsp;']","['2,924,775', '&nbsp;']","['31,840,222', '&nbsp;']"
11286,r065,All industries -> Nonmanufacturing industries -> Educational services,All industries,Nonmanufacturing industries,Educational services,,,3,61,"['92,538,750', '&nbsp;']","['12,741,322', '&nbsp;']","['73,672,699', '&nbsp;']","['511,823', '&nbsp;']","['1,458,998', '&nbsp;']","['4,153,909', '&nbsp;']"
11286,r066,All industries -> Nonmanufacturing industries -> Health care and social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,,,3,62,"['1,832,342,348', '&nbsp;']","['72,912,948', '&nbsp;']","['1,531,813,524', '&nbsp;']","['2,335,848', '&nbsp;']","['10,799,662', '&nbsp;']","['214,480,366', '&nbsp;']"
11286,r067,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Health care services,All industries,Nonmanufacturing industries,Health care and social assistance,Health care services,,4,621–23,"['1,521,878,029', '&nbsp;']","['72,441,886', '&nbsp;']","['1,228,247,197', '&nbsp;']","['2,059,278', '&nbsp;']","['8,553,471', '&nbsp;']","['210,576,198', '&nbsp;']"
11286,r068,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,Social assistance,,4,624,"['310,464,320', '&nbsp;']","['1,958,047', '&nbsp;']","['298,057,570', '&nbsp;']","['291,487', '&nbsp;']","['2,194,092', '&nbsp;']","['7,963,124', 'r']"
11286,r069,"All industries -> Nonmanufacturing industries -> Arts, entertainment, and recreation",All industries,Nonmanufacturing industries,"Arts, entertainment, and recreation",,,3,71,"['151,756,355', '&nbsp;']","['29,859,900', '&nbsp;']","['90,578,211', '&nbsp;']","['9,622,730', '&nbsp;']","['1,911,541', '&nbsp;']","['19,783,973', '&nbsp;']"
11286,r070,All industries -> Nonmanufacturing industries -> Accommodation and food services,All industries,Nonmanufacturing industries,Accommodation and food services,,,3,72,"['1,125,816,002', '&nbsp;']","['815,888,579', '&nbsp;']","['237,731,142', '&nbsp;']","['9,505,910', '&nbsp;']","['11,154,657', '&nbsp;']","['51,535,714', '&nbsp;']"
11286,r071,All industries -> Nonmanufacturing industries -> Other services,All industries,Nonmanufacturing industries,Other services,,,3,81,"['301,167,182', '&nbsp;']","['79,950,539', '&nbsp;']","['209,097,071', '&nbsp;']","['571,853', '&nbsp;']","['731,857', '&nbsp;']","['10,815,862', 'r']"
