table_id,row_id,academic_institution_full_path,academic_institution_level_1,academic_institution_level_2,academic_institution_level_3,academic_institution_hierarchy_depth,field_doctorate_recipients,field_historically_black_college_or_university
3276,r019,"Male, all institutions -> Top 21 U.S. institutions -> U. Maryland, Baltimore County","Male, all institutions",Top 21 U.S. institutions,"U. Maryland, Baltimore County",3,23,No
3276,r020,"Male, all institutions -> Top 21 U.S. institutions -> U. Maryland, College Park","Male, all institutions",Top 21 U.S. institutions,"U. Maryland, College Park",3,18,No
3276,r021,"Male, all institutions -> Top 21 U.S. institutions -> Morgan State U.","Male, all institutions",Top 21 U.S. institutions,Morgan State U.,3,13,Yes
3276,r022,"Male, all institutions -> Top 21 U.S. institutions -> North Carolina Agricultural and Technical State U.","Male, all institutions",Top 21 U.S. institutions,North Carolina Agricultural and Technical State U.,3,13,Yes
3276,r023,"Male, all institutions -> Top 21 U.S. institutions -> Howard U.","Male, all institutions",Top 21 U.S. institutions,Howard U.,3,12,Yes
3276,r024,"Male, all institutions -> Top 21 U.S. institutions -> Massachusetts Institute of Technology","Male, all institutions",Top 21 U.S. institutions,Massachusetts Institute of Technology,3,11,No
3276,r025,"Male, all institutions -> Top 21 U.S. institutions -> CUNY, City C.","Male, all institutions",Top 21 U.S. institutions,"CUNY, City C.",3,10,No
3276,r026,"Male, all institutions -> Top 21 U.S. institutions -> Morehouse C.","Male, all institutions",Top 21 U.S. institutions,Morehouse C.,3,10,Yes
3276,r027,"Male, all institutions -> Top 21 U.S. institutions -> Georgia Institute of Technology","Male, all institutions",Top 21 U.S. institutions,Georgia Institute of Technology,3,9,No
3276,r028,"Male, all institutions -> Top 21 U.S. institutions -> Florida A&M U.","Male, all institutions",Top 21 U.S. institutions,Florida A&M U.,3,8,Yes
3276,r029,"Male, all institutions -> Top 21 U.S. institutions -> U. Florida","Male, all institutions",Top 21 U.S. institutions,U. Florida,3,8,No
3276,r030,"Male, all institutions -> Top 21 U.S. institutions -> Old Dominion U.","Male, all institutions",Top 21 U.S. institutions,Old Dominion U.,3,7,No
3276,r031,"Male, all institutions -> Top 21 U.S. institutions -> Rensselaer Polytechnic Institute, Troy","Male, all institutions",Top 21 U.S. institutions,"Rensselaer Polytechnic Institute, Troy",3,7,No
3276,r032,"Male, all institutions -> Top 21 U.S. institutions -> Clemson U.","Male, all institutions",Top 21 U.S. institutions,Clemson U.,3,6,No
3276,r033,"Male, all institutions -> Top 21 U.S. institutions -> Florida International U.","Male, all institutions",Top 21 U.S. institutions,Florida International U.,3,6,No
3276,r034,"Male, all institutions -> Top 21 U.S. institutions -> Texas A&M U., College Station and Health Science Center","Male, all institutions",Top 21 U.S. institutions,"Texas A&M U., College Station and Health Science Center",3,6,No
3276,r035,"Male, all institutions -> Top 21 U.S. institutions -> Vanderbilt U.","Male, all institutions",Top 21 U.S. institutions,Vanderbilt U.,3,6,No
3276,r036,"Male, all institutions -> Top 21 U.S. institutions -> Tuskegee U.","Male, all institutions",Top 21 U.S. institutions,Tuskegee U.,3,5,Yes
3276,r037,"Male, all institutions -> Top 21 U.S. institutions -> U. Arkansas, Fayetteville","Male, all institutions",Top 21 U.S. institutions,"U. Arkansas, Fayetteville",3,5,No
3276,r038,"Male, all institutions -> Top 21 U.S. institutions -> U. Michigan, Ann Arbor","Male, all institutions",Top 21 U.S. institutions,"U. Michigan, Ann Arbor",3,5,No
3276,r039,"Male, all institutions -> Top 21 U.S. institutions -> Virginia Polytechnic Institute and State U.","Male, all institutions",Top 21 U.S. institutions,Virginia Polytechnic Institute and State U.,3,5,No
3276,r040,"Male, all institutions -> Other U.S. institutions","Male, all institutions",Other U.S. institutions,,2,307,-
