table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_companies_number_,field_product_or_business_process_innovation_percent_yes,field_product_or_business_process_innovation_percent_no,field_product_innovation_percent_yes,field_product_innovation_percent_no,field_business_process_innovation_percent_yes,field_business_process_innovation_percent_no
8032,r016,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['    7,811 ', '&nbsp;']","['36.3', '&nbsp;']","['63.7', '&nbsp;']","['16.8', '&nbsp;']","['83.2', '&nbsp;']","['32.1', '&nbsp;']","['67.9', '&nbsp;']"
8032,r017,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['    7,758 ', '&nbsp;']","['30.3', '&nbsp;']","['69.7', '&nbsp;']","['12.3', '&nbsp;']","['87.7', '&nbsp;']","['26.9', '&nbsp;']","['73.1', '&nbsp;']"
8032,r018,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['    2,437 ', '&nbsp;']","['33.3', '&nbsp;']","['66.7', '&nbsp;']","['14.0', '&nbsp;']","['86.0', '&nbsp;']","['29.7', '&nbsp;']","['70.3', '&nbsp;']"
8032,r019,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['    48,470 ', '&nbsp;']","['30.7', '&nbsp;']","['69.3', '&nbsp;']","['12.6', '&nbsp;']","['87.4', '&nbsp;']","['27.5', '&nbsp;']","['72.5', '&nbsp;']"
8032,r020,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['    18,350 ', '&nbsp;']","['41.1', '&nbsp;']","['58.9', '&nbsp;']","['22.8', '&nbsp;']","['77.2', '&nbsp;']","['35.5', '&nbsp;']","['64.5', '&nbsp;']"
8032,r021,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['    8,851 ', '&nbsp;']","['51.1', '&nbsp;']","['48.9', '&nbsp;']","['33.1', '&nbsp;']","['66.9', '&nbsp;']","['41.7', '&nbsp;']","['58.3', '&nbsp;']"
8032,r022,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['    938 ', '&nbsp;']","['56.4', '&nbsp;']","['43.6', '&nbsp;']","['42.0', '&nbsp;']","['58.0', '&nbsp;']","['45.7', '&nbsp;']","['54.3', '&nbsp;']"
8032,r023,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['    2,914 ', '&nbsp;']","['45.1', '&nbsp;']","['54.9', '&nbsp;']","['24.8', '&nbsp;']","['75.2', '&nbsp;']","['40.5', '&nbsp;']","['59.5', '&nbsp;']"
8032,r024,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['    3,649 ', '&nbsp;']","['54.6', '&nbsp;']","['45.4', '&nbsp;']","['37.5', '&nbsp;']","['62.5', '&nbsp;']","['40.9', '&nbsp;']","['59.1', '&nbsp;']"
8032,r025,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['    1,349 ', '&nbsp;']","['50.6', '&nbsp;']","['49.4', '&nbsp;']","['32.5', '&nbsp;']","['67.5', '&nbsp;']","['43.7', '&nbsp;']","['56.3', '&nbsp;']"
8032,r026,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['    3,874 ', '&nbsp;']","['44.5', '&nbsp;']","['55.5', '&nbsp;']","['26.9', '&nbsp;']","['73.1', '&nbsp;']","['35.5', '&nbsp;']","['64.5', '&nbsp;']"
8032,r027,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['    7,638 ', '&nbsp;']","['34.9', '&nbsp;']","['65.1', '&nbsp;']","['19.8', '&nbsp;']","['80.2', '&nbsp;']","['29.1', '&nbsp;']","['70.9', '&nbsp;']"
8032,r028,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['    4,728 ', '&nbsp;']","['32.6', '&nbsp;']","['67.4', '&nbsp;']","['18.5', '&nbsp;']","['81.5', '&nbsp;']","['27.2', '&nbsp;']","['72.8', '&nbsp;']"
8032,r029,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['    1,099 ', '&nbsp;']","['43.9', '&nbsp;']","['56.1', '&nbsp;']","['19.5', '&nbsp;']","['80.5', '&nbsp;']","['37.4', '&nbsp;']","['62.6', '&nbsp;']"
8032,r030,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['    1,810 ', '&nbsp;']","['35.5', '&nbsp;']","['64.5', '&nbsp;']","['23.1', '&nbsp;']","['76.9', '&nbsp;']","['29.1', '&nbsp;']","['70.9', '&nbsp;']"
8032,r031,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['    12,927 ', '&nbsp;']","['26.6', '&nbsp;']","['73.4', '&nbsp;']","['12.0', '&nbsp;']","['88.0', '&nbsp;']","['23.2', '&nbsp;']","['76.8', '&nbsp;']"
8032,r032,All industries -> Manufacturing industries -> Miscellaneous ,All industries,Manufacturing industries,Miscellaneous ,,,3,339,"['    20,251 ', '&nbsp;']","['32.9', '&nbsp;']","['67.1', '&nbsp;']","['17.5', '&nbsp;']","['82.5', '&nbsp;']","['27.5', '&nbsp;']","['72.5', '&nbsp;']"
8032,r033,All industries -> Manufacturing industries -> Miscellaneous  -> Medical equipment and supplies ,All industries,Manufacturing industries,Miscellaneous ,Medical equipment and supplies ,,4,3391,"['    8,014 ', '&nbsp;']","['34.6', '&nbsp;']","['65.4', '&nbsp;']","['19.2', '&nbsp;']","['80.8', '&nbsp;']","['27.3', '&nbsp;']","['72.7', '&nbsp;']"
8032,r034,All industries -> Manufacturing industries -> Miscellaneous  -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous ,Other miscellaneous manufacturing,,4,3399,"['    12,237 ', '&nbsp;']","['31.9', '&nbsp;']","['68.1', '&nbsp;']","['16.3', '&nbsp;']","['83.7', '&nbsp;']","['27.6', '&nbsp;']","['72.4', '&nbsp;']"
8032,r035,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"11, 21–23, 42–81","['    4,640,414 ', '&nbsp;']","['24.9', '&nbsp;']","['75.1', '&nbsp;']","['10.7', '&nbsp;']","['89.3', '&nbsp;']","['21.3', '&nbsp;']","['78.7', '&nbsp;']"
8032,r036,"All industries -> Nonmanufacturing industries -> Agriculture, forestry, fishing, and hunting",All industries,Nonmanufacturing industries,"Agriculture, forestry, fishing, and hunting",,,3,11,"['    22,732 ', '&nbsp;']","['17.4', '&nbsp;']","['82.6', '&nbsp;']","['5.8', '&nbsp;']","['94.2', '&nbsp;']","['14.9', '&nbsp;']","['85.1', '&nbsp;']"
8032,r037,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['    15,475 ', '&nbsp;']","['12.3', '&nbsp;']","['87.7', '&nbsp;']","['3.4', '&nbsp;']","['96.6', '&nbsp;']","['11.7', '&nbsp;']","['88.3', '&nbsp;']"
8032,r038,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['    2,615 ', '&nbsp;']","['20.8', '&nbsp;']","['79.2', '&nbsp;']","['7.1', '&nbsp;']","['92.9', '&nbsp;']","['18.8', '&nbsp;']","['81.2', '&nbsp;']"
8032,r039,All industries -> Nonmanufacturing industries -> Construction,All industries,Nonmanufacturing industries,Construction,,,3,23,"['    627,340 ', '&nbsp;']","['18.0', '&nbsp;']","['82.0', '&nbsp;']","['6.4', '&nbsp;']","['93.6', '&nbsp;']","['15.4', '&nbsp;']","['84.6', '&nbsp;']"
8032,r040,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['    253,680 ', '&nbsp;']","['34.4', '&nbsp;']","['65.6', '&nbsp;']","['16.1', '&nbsp;']","['83.9', '&nbsp;']","['28.7', '&nbsp;']","['71.3', '&nbsp;']"
8032,r041,All industries -> Nonmanufacturing industries -> Retail trade,All industries,Nonmanufacturing industries,Retail trade,,,3,44–45,"['    554,596 ', '&nbsp;']","['27.0', '&nbsp;']","['73.0', '&nbsp;']","['11.7', '&nbsp;']","['88.3', '&nbsp;']","['22.7', '&nbsp;']","['77.3', '&nbsp;']"
8032,r042,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['    157,728 ', '&nbsp;']","['26.6', '&nbsp;']","['73.4', '&nbsp;']","['7.5', '&nbsp;']","['92.5', '&nbsp;']","['24.7', '&nbsp;']","['75.3', '&nbsp;']"
8032,r043,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['    62,834 ', '&nbsp;']","['38.5', '&nbsp;']","['61.5', '&nbsp;']","['24.8', '&nbsp;']","['75.2', '&nbsp;']","['31.8', '&nbsp;']","['68.2', '&nbsp;']"
8032,r044,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['    18,521 ', '&nbsp;']","['46.6', '&nbsp;']","['53.4', '&nbsp;']","['31.0', '&nbsp;']","['69.0', '&nbsp;']","['39.1', '&nbsp;']","['60.9', '&nbsp;']"
8032,r045,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['    9,824 ', '&nbsp;']","['35.8', '&nbsp;']","['64.2', '&nbsp;']","['19.9', '&nbsp;']","['80.1', '&nbsp;']","['30.3', '&nbsp;']","['69.7', '&nbsp;']"
8032,r046,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['    8,698 ', '&nbsp;']","['58.8', '&nbsp;']","['41.2', '&nbsp;']","['43.6', '&nbsp;']","['56.4', '&nbsp;']","['49.1', '&nbsp;']","['50.9', '&nbsp;']"
8032,r047,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['    6,907 ', '&nbsp;']","['33.9', '&nbsp;']","['66.1', '&nbsp;']","['22.0', '&nbsp;']","['78.0', '&nbsp;']","['27.2', '&nbsp;']","['72.8', '&nbsp;']"
8032,r048,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['    8,155 ', '&nbsp;']","['49.1', '&nbsp;']","['50.9', '&nbsp;']","['31.2', '&nbsp;']","['68.8', '&nbsp;']","['42.9', '&nbsp;']","['57.1', '&nbsp;']"
8032,r049,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['    29,253 ', '&nbsp;']","['31.6', '&nbsp;']","['68.4', '&nbsp;']","['19.8', '&nbsp;']","['80.2', '&nbsp;']","['25.1', '&nbsp;']","['74.9', '&nbsp;']"
8032,r050,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['    203,913 ', '&nbsp;']","['26.1', '&nbsp;']","['73.9', '&nbsp;']","['10.5', '&nbsp;']","['89.5', '&nbsp;']","['22.2', '&nbsp;']","['77.8', '&nbsp;']"
8032,r051,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['    266,098 ', '&nbsp;']","['20.1', '&nbsp;']","['79.9', '&nbsp;']","['7.0', '&nbsp;']","['93.0', '&nbsp;']","['17.9', '&nbsp;']","['82.1', '&nbsp;']"
8032,r052,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['    2,106 ', '&nbsp;']","['27.4', '&nbsp;']","['72.6', '&nbsp;']","['15.3', '&nbsp;']","['84.7', '&nbsp;']","['25.3', '&nbsp;']","['74.7', '&nbsp;']"
8032,r053,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['    263,991 ', '&nbsp;']","['20.1', '&nbsp;']","['79.9', '&nbsp;']","['7.0', '&nbsp;']","['93.0', '&nbsp;']","['17.9', '&nbsp;']","['82.1', '&nbsp;']"
8032,r054,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['    704,191 ', '&nbsp;']","['29.0', '&nbsp;']","['71.0', '&nbsp;']","['13.3', '&nbsp;']","['86.7', '&nbsp;']","['25.6', '&nbsp;']","['74.4', '&nbsp;']"
8032,r055,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Legal services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Legal services,,4,5411,"['    151,977 ', '&nbsp;']","['17.3', '&nbsp;']","['82.7', '&nbsp;']","['4.6', '&nbsp;']","['95.4', '&nbsp;']","['15.6', '&nbsp;']","['84.4', '&nbsp;']"
8032,r056,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Accounting, tax preparation, bookkeeping, and payroll services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Accounting, tax preparation, bookkeeping, and payroll services",,4,5412,"['    106,233 ', '&nbsp;']","['20.7', '&nbsp;']","['79.3', '&nbsp;']","['6.4', '&nbsp;']","['93.6', '&nbsp;']","['18.9', '&nbsp;']","['81.1', '&nbsp;']"
8032,r057,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['    87,739 ', '&nbsp;']","['29.9', '&nbsp;']","['70.1', '&nbsp;']","['13.2', '&nbsp;']","['86.8', '&nbsp;']","['26.6', '&nbsp;']","['73.4', '&nbsp;']"
8032,r058,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Specialized design services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Specialized design services,,4,5414,"['    27,355 ', '&nbsp;']","['32.0', '&nbsp;']","['68.0', '&nbsp;']","['15.3', '&nbsp;']","['84.7', '&nbsp;']","['27.9', '&nbsp;']","['72.1', '&nbsp;']"
8032,r059,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['    97,862 ', '&nbsp;']","['43.8', '&nbsp;']","['56.2', '&nbsp;']","['24.7', '&nbsp;']","['75.3', '&nbsp;']","['39.4', '&nbsp;']","['60.6', '&nbsp;']"
8032,r060,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Management, scientific, and technical consulting services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Management, scientific, and technical consulting services",,4,5416,"['    137,973 ', '&nbsp;']","['34.0', '&nbsp;']","['66.0', '&nbsp;']","['16.5', '&nbsp;']","['83.5', '&nbsp;']","['30.2', '&nbsp;']","['69.8', '&nbsp;']"
8032,r061,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['    10,517 ', '&nbsp;']","['42.8', '&nbsp;']","['57.2', '&nbsp;']","['24.9', '&nbsp;']","['75.1', '&nbsp;']","['36.8', '&nbsp;']","['63.2', '&nbsp;']"
8032,r062,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Advertising, public relations, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Advertising, public relations, and related services",,4,5418,"['    27,194 ', '&nbsp;']","['31.8', '&nbsp;']","['68.2', '&nbsp;']","['15.5', '&nbsp;']","['84.5', '&nbsp;']","['28.1', '&nbsp;']","['71.9', '&nbsp;']"
8032,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,5419,"['    57,339 ', '&nbsp;']","['31.1', '&nbsp;']","['68.9', '&nbsp;']","['17.7', '&nbsp;']","['82.3', '&nbsp;']","['24.2', '&nbsp;']","['75.8', '&nbsp;']"
8032,r064,All industries -> Nonmanufacturing industries -> Management of companies and enterprises,All industries,Nonmanufacturing industries,Management of companies and enterprises,,,3,55,"['    2,391 ', '&nbsp;']","['21.0', '&nbsp;']","['79.0', '&nbsp;']","['7.1', '&nbsp;']","['92.9', '&nbsp;']","['17.6', '&nbsp;']","['82.4', '&nbsp;']"
8032,r065,All industries -> Nonmanufacturing industries -> Administrative and support and waste management and remediation services,All industries,Nonmanufacturing industries,Administrative and support and waste management and remediation services,,,3,56,"['    285,195 ', '&nbsp;']","['22.4', '&nbsp;']","['77.6', '&nbsp;']","['9.3', '&nbsp;']","['90.7', '&nbsp;']","['18.9', '&nbsp;']","['81.1', '&nbsp;']"
8032,r066,All industries -> Nonmanufacturing industries -> Educational services,All industries,Nonmanufacturing industries,Educational services,,,3,61,"['    55,306 ', '&nbsp;']","['33.1', '&nbsp;']","['66.9', '&nbsp;']","['18.3', '&nbsp;']","['81.7', '&nbsp;']","['26.9', '&nbsp;']","['73.1', '&nbsp;']"
8032,r067,All industries -> Nonmanufacturing industries -> Health care and social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,,,3,62,"['    526,683 ', '&nbsp;']","['24.6', '&nbsp;']","['75.4', '&nbsp;']","['11.4', '&nbsp;']","['88.6', '&nbsp;']","['20.7', '&nbsp;']","['79.3', '&nbsp;']"
8032,r068,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Health care services,All industries,Nonmanufacturing industries,Health care and social assistance,Health care services,,4,621–23,"['    462,026 ', '&nbsp;']","['24.5', '&nbsp;']","['75.5', '&nbsp;']","['11.1', '&nbsp;']","['88.9', '&nbsp;']","['20.6', '&nbsp;']","['79.4', '&nbsp;']"
8032,r069,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,Social assistance,,4,624,"['    64,657 ', '&nbsp;']","['25.9', '&nbsp;']","['74.1', '&nbsp;']","['13.2', '&nbsp;']","['86.8', '&nbsp;']","['21.1', '&nbsp;']","['78.9', '&nbsp;']"
8032,r070,"All industries -> Nonmanufacturing industries -> Arts, entertainment, and recreation",All industries,Nonmanufacturing industries,"Arts, entertainment, and recreation",,,3,71,"['    90,036 ', '&nbsp;']","['22.9', '&nbsp;']","['77.1', '&nbsp;']","['11.1', '&nbsp;']","['88.9', '&nbsp;']","['18.3', '&nbsp;']","['81.7', '&nbsp;']"
8032,r071,All industries -> Nonmanufacturing industries -> Accommodation and food services,All industries,Nonmanufacturing industries,Accommodation and food services,,,3,72,"['    464,061 ', '&nbsp;']","['24.3', '&nbsp;']","['75.7', '&nbsp;']","['8.9', '&nbsp;']","['91.1', '&nbsp;']","['21.4', '&nbsp;']","['78.6', '&nbsp;']"
8032,r072,All industries -> Nonmanufacturing industries -> Other services,All industries,Nonmanufacturing industries,Other services,,,3,81,"['    345,543 ', '&nbsp;']","['22.4', '&nbsp;']","['77.6', '&nbsp;']","['11.0', '&nbsp;']","['89.0', '&nbsp;']","['18.0', '&nbsp;']","['82.0', '&nbsp;']"
8032,r073,Employment size,Employment size,,,,,1,,"[' ', ' ']","[' ', ' ']","[' ', ' ']","[' ', ' ']","[' ', ' ']","[' ', ' ']","[' ', ' ']"
8032,r074,All companies,All companies,,,,,1,na,"['    4,857,473 ', '&nbsp;']","['25.3', '&nbsp;']","['74.7', '&nbsp;']","['10.9', '&nbsp;']","['89.1', '&nbsp;']","['21.7', '&nbsp;']","['78.3', '&nbsp;']"
8032,r075,All companies -> Microbusinesses,All companies,Microbusinesses,,,,2,,"[' ', ' ']","[' ', ' ']","[' ', ' ']","[' ', ' ']","[' ', ' ']","[' ', ' ']","[' ', ' ']"
8032,r076,All companies -> Microbusinesses -> 1&#8211;4,All companies,Microbusinesses,1&#8211;4,,,3,na,"['    2,701,088 ', '&nbsp;']","['22.1', '&nbsp;']","['77.9', '&nbsp;']","['10.0', '&nbsp;']","['90.0', '&nbsp;']","['18.6', '&nbsp;']","['81.4', '&nbsp;']"
8032,r077,All companies -> Microbusinesses -> 5&#8211;9,All companies,Microbusinesses,5&#8211;9,,,3,na,"['    946,725 ', '&nbsp;']","['27.4', '&nbsp;']","['72.6', '&nbsp;']","['11.9', '&nbsp;']","['88.1', '&nbsp;']","['23.5', '&nbsp;']","['76.5', '&nbsp;']"
8032,r078,All companies -> Small businesses,All companies,Small businesses,,,,2,,"[' ', ' ']","[' ', ' ']","[' ', ' ']","[' ', ' ']","[' ', ' ']","[' ', ' ']","[' ', ' ']"
8032,r079,All companies -> Small businesses -> 10&#8211;19,All companies,Small businesses,10&#8211;19,,,3,na,"['    590,193 ', '&nbsp;']","['30.1', '&nbsp;']","['69.9', '&nbsp;']","['12.8', '&nbsp;']","['87.2', '&nbsp;']","['26.2', '&nbsp;']","['73.8', '&nbsp;']"
