table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_hierarchy_depth,field_2021_actual,field_2022_preliminarya,field_2023_proposed,field_2021_22_change_,field_2022_23_change_
8448,r023,R&D and R&D plant -> R&D -> National Science Foundation -> STEM Education<sup>b</sup>,R&D and R&D plant,R&D,National Science Foundation,STEM Education<sup>b</sup>,4,481,578,698,20.2,20.8
8448,r024,R&D and R&D plant -> R&D -> National Science Foundation -> Engineering,R&D and R&D plant,R&D,National Science Foundation,Engineering,4,726,699,804,-3.7,15.1
8448,r025,R&D and R&D plant -> R&D -> National Science Foundation -> Geosciences,R&D and R&D plant,R&D,National Science Foundation,Geosciences,4,997,932,1059,-6.6,13.7
8448,r026,R&D and R&D plant -> R&D -> National Science Foundation -> Integrative Activities,R&D and R&D plant,R&D,National Science Foundation,Integrative Activities,4,259,361,467,38.9,29.5
8448,r027,R&D and R&D plant -> R&D -> National Science Foundation -> International Science and Engineering,R&D and R&D plant,R&D,National Science Foundation,International Science and Engineering,4,34,55,63,61.7,14.5
8448,r028,R&D and R&D plant -> R&D -> National Science Foundation -> Major Research Equipment and Facilities and Construction,R&D and R&D plant,R&D,National Science Foundation,Major Research Equipment and Facilities and Construction,4,0,0,0,-,-
8448,r029,R&D and R&D plant -> R&D -> National Science Foundation -> Mathematical and Physical Sciences,R&D and R&D plant,R&D,National Science Foundation,Mathematical and Physical Sciences,4,1519,1454,1493,-4.3,2.7
8448,r030,R&D and R&D plant -> R&D -> National Science Foundation -> Polar Programs,R&D and R&D plant,R&D,National Science Foundation,Polar Programs,4,334,482,469,44.1,-2.6
8448,r031,"R&D and R&D plant -> R&D -> National Science Foundation -> Social, Behavioral and Economic Sciences",R&D and R&D plant,R&D,National Science Foundation,"Social, Behavioral and Economic Sciences",4,243,258,282,5.9,9.5
8448,r032,"R&D and R&D plant -> R&D -> National Science Foundation -> Technology, Innovation, and Partnerships",R&D and R&D plant,R&D,National Science Foundation,"Technology, Innovation, and Partnerships",4,343,406,752,18.1,85.4
