table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total_intramural_r_d_2019_,field_personnel_costs_2019_amount,field_personnel_costs_2019_of_total,field_total_intramural_r_d_2020_,field_personnel_costs_2020_amount,field_personnel_costs_2020_of_total
3957,r033,All agencies -> Departments -> Department of Health and Human Services -> Administration for Children and Families,All agencies,Departments,Department of Health and Human Services,Administration for Children and Families,,4,205.0,3.1,1.5,575.0,3.1,0.5
3957,r034,All agencies -> Departments -> Department of Health and Human Services -> Agency for Healthcare Research and Quality,All agencies,Departments,Department of Health and Human Services,Agency for Healthcare Research and Quality,,4,76783.1,40440.9,52.7,48270.0,100.0,0.2
3957,r035,All agencies -> Departments -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies,Departments,Department of Health and Human Services,Centers for Disease Control and Prevention,,4,140325.8,85871.1,61.2,132454.2,72778.6,54.9
3957,r036,All agencies -> Departments -> Department of Health and Human Services -> Food and Drug Administration,All agencies,Departments,Department of Health and Human Services,Food and Drug Administration,,4,360481.0,1100.0,0.3,361904.8,2000.0,0.6
3957,r037,All agencies -> Departments -> Department of Health and Human Services -> Health Resources and Services Administration,All agencies,Departments,Department of Health and Human Services,Health Resources and Services Administration,,4,4224.1,3977.1,94.2,3655.1,3408.1,93.2
3957,r038,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,,4,7168394.8,2351000.0,32.8,7633119.4,2559000.0,33.5
3957,r039,All agencies -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services,All agencies,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,,4,2752.2,12.0,0.4,2752.2,12.0,0.4
3957,r040,All agencies -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services -> Office of the Assistant Secretary for Planning and Evaluation,All agencies,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,Office of the Assistant Secretary for Planning and Evaluation,5,2752.2,12.0,0.4,2752.2,12.0,0.4
3957,r041,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,,3,179906.5,47443.1,26.4,143935.3,33864.9,23.5
3957,r042,All agencies -> Departments -> Department of Homeland Security -> Countering Weapons of Mass Destruction Office,All agencies,Departments,Department of Homeland Security,Countering Weapons of Mass Destruction Office,,4,3256.1,1200.0,36.9,3989.8,2954.0,74.0
3957,r043,All agencies -> Departments -> Department of Homeland Security -> Cybersecurity and Infrastructure Security Agency,All agencies,Departments,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,,4,1683.6,1683.6,100.0,4510.9,4510.9,100.0
3957,r044,All agencies -> Departments -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Departments,Department of Homeland Security,Science and Technology Directorate,,4,162373.3,32474.7,20.0,132000.0,26400.0,20.0
3957,r045,All agencies -> Departments -> Department of Homeland Security -> U.S. Coast Guard,All agencies,Departments,Department of Homeland Security,U.S. Coast Guard,,4,12593.5,12084.8,96.0,3434.6,0.05,**
3957,r046,All agencies -> Departments -> Department of Housing and Urban Development,All agencies,Departments,Department of Housing and Urban Development,,,3,42893.8,20800.0,48.5,40836.9,21900.0,53.6
3957,r047,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,,,3,695026.1,462604.2,66.6,750872.9,483993.7,64.5
3957,r048,All agencies -> Departments -> Department of the Interior -> Bureau of Ocean Energy Management,All agencies,Departments,Department of the Interior,Bureau of Ocean Energy Management,,4,62503.7,33360.8,53.4,78818.9,35077.0,44.5
3957,r049,All agencies -> Departments -> Department of the Interior -> Bureau of Reclamation,All agencies,Departments,Department of the Interior,Bureau of Reclamation,,4,14884.0,10250.0,68.9,29000.0,12250.0,42.2
3957,r050,All agencies -> Departments -> Department of the Interior -> Bureau of Safety and Environmental Enforcement,All agencies,Departments,Department of the Interior,Bureau of Safety and Environmental Enforcement,,4,2716.7,848.8,31.2,4870.8,2517.2,51.7
3957,r051,All agencies -> Departments -> Department of the Interior -> Office of Surface Mining Reclamation and Enforcement,All agencies,Departments,Department of the Interior,Office of Surface Mining Reclamation and Enforcement,,4,327.5,305.7,93.4,330.0,308.1,93.4
3957,r052,All agencies -> Departments -> Department of the Interior -> U.S. Fish and Wildlife Service,All agencies,Departments,Department of the Interior,U.S. Fish and Wildlife Service,,4,32650.0,13788.1,42.2,32650.0,13788.1,42.2
3957,r053,All agencies -> Departments -> Department of the Interior -> U.S. Geological Survey,All agencies,Departments,Department of the Interior,U.S. Geological Survey,,4,581944.3,404050.7,69.4,605203.2,420053.2,69.4
3957,r054,All agencies -> Departments -> Department of Justice,All agencies,Departments,Department of Justice,,,3,6004.0,2085.2,34.7,6196.6,2244.3,36.2
3957,r055,All agencies -> Departments -> Department of Justice -> Bureau of Prisons,All agencies,Departments,Department of Justice,Bureau of Prisons,,4,2204.0,2071.8,94.0,2248.0,2158.1,96.0
3957,r056,All agencies -> Departments -> Department of Justice -> Office of Justice Programs,All agencies,Departments,Department of Justice,Office of Justice Programs,,4,3800.0,13.4,0.4,3948.6,86.2,2.2
3957,r057,All agencies -> Departments -> Department of Labor,All agencies,Departments,Department of Labor,,,3,3309.5,3299.5,99.7,3572.0,3562.0,99.7
3957,r058,All agencies -> Departments -> Department of Labor -> Employee Benefits Security Administration,All agencies,Departments,Department of Labor,Employee Benefits Security Administration,,4,1585.5,1575.5,99.4,1815.3,1805.3,99.4
3957,r059,All agencies -> Departments -> Department of Labor -> Occupational Safety and Health Administration,All agencies,Departments,Department of Labor,Occupational Safety and Health Administration,,4,1724.0,1724.0,100.0,1756.8,1756.8,100.0
3957,r060,All agencies -> Departments -> Department of State,All agencies,Departments,Department of State,,,3,62200.0,62200.0,100.0,62300.0,62300.0,100.0
3957,r061,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,,,3,189560.6,97327.7,51.3,259321.4,123070.8,47.5
3957,r062,All agencies -> Departments -> Department of Transportation -> Federal Aviation Administration,All agencies,Departments,Department of Transportation,Federal Aviation Administration,,4,88239.2,51996.8,58.9,138581.3,76758.2,55.4
3957,r063,All agencies -> Departments -> Department of Transportation -> Federal Highway Administration,All agencies,Departments,Department of Transportation,Federal Highway Administration,,4,57201.0,21647.0,37.8,69530.7,21515.0,30.9
3957,r064,All agencies -> Departments -> Department of Transportation -> Federal Motor Carrier Safety Administration,All agencies,Departments,Department of Transportation,Federal Motor Carrier Safety Administration,,4,5600.7,2141.9,38.2,8164.1,2324.1,28.5
3957,r065,All agencies -> Departments -> Department of Transportation -> Federal Railroad Administration,All agencies,Departments,Department of Transportation,Federal Railroad Administration,,4,5054.8,1789.3,35.4,8035.4,2571.3,32.0
3957,r066,All agencies -> Departments -> Department of Transportation -> National Highway Traffic Safety Administration,All agencies,Departments,Department of Transportation,National Highway Traffic Safety Administration,,4,9258.2,9258.2,100.0,9443.4,9443.4,100.0
3957,r067,All agencies -> Departments -> Department of Transportation -> Office of the Secretary of Transportation,All agencies,Departments,Department of Transportation,Office of the Secretary of Transportation,,4,13686.0,8585.5,62.7,21957.4,8549.9,38.9
3957,r068,All agencies -> Departments -> Department of Transportation -> Pipeline and Hazardous Materials Safety Administration,All agencies,Departments,Department of Transportation,Pipeline and Hazardous Materials Safety Administration,,4,10520.7,1909.0,18.1,3609.0,1909.0,52.9
3957,r069,All agencies -> Departments -> Department of the Treasury,All agencies,Departments,Department of the Treasury,,,3,177.7,177.7,100.0,2575.6,1955.9,75.9
3957,r070,All agencies -> Departments -> Department of the Treasury -> Bureau of Engraving and Printing,All agencies,Departments,Department of the Treasury,Bureau of Engraving and Printing,,4,0.0,0.0,-,2400.0,1900.0,79.2
3957,r071,All agencies -> Departments -> Department of the Treasury -> U.S. Mint,All agencies,Departments,Department of the Treasury,U.S. Mint,,4,177.7,177.7,100.0,175.6,55.9,31.8
3957,r072,All agencies -> Departments -> Department of Veterans Affairs,All agencies,Departments,Department of Veterans Affairs,,,3,1436818.2,668225.0,46.5,1527587.0,702090.6,46.0
3957,r073,All agencies -> Other agencies,All agencies,Other agencies,,,,2,,,,,,
3957,r074,All agencies -> Other agencies -> Agency for International Development,All agencies,Other agencies,Agency for International Development,,,3,21014.3,16371.3,77.9,21014.3,1050.7,5.0
3957,r075,All agencies -> Other agencies -> Consumer Product Safety Commission,All agencies,Other agencies,Consumer Product Safety Commission,,,3,856.3,153.0,17.9,200.0,159.0,79.5
3957,r076,All agencies -> Other agencies -> Environmental Protection Agency,All agencies,Other agencies,Environmental Protection Agency,,,3,249377.0,244683.0,98.1,244632.0,239938.0,98.1
3957,r077,All agencies -> Other agencies -> Federal Communications Commission,All agencies,Other agencies,Federal Communications Commission,,,3,2005.3,2005.3,100.0,1800.0,1800.0,100.0
3957,r078,All agencies -> Other agencies -> Federal Trade Commission,All agencies,Other agencies,Federal Trade Commission,,,3,6003.2,3736.2,62.2,7324.8,4558.6,62.2
3957,r079,All agencies -> Other agencies -> Library of Congress,All agencies,Other agencies,Library of Congress,,,3,1892.5,995.1,52.6,2731.2,1070.6,39.2
3957,r080,All agencies -> Other agencies -> National Aeronautics and Space Administration,All agencies,Other agencies,National Aeronautics and Space Administration,,,3,4144645.6,3123917.0,75.4,4630943.7,2675055.5,57.8
3957,r081,All agencies -> Other agencies -> National Archives and Records Administration,All agencies,Other agencies,National Archives and Records Administration,,,3,391.2,369.4,94.4,0.0,0.0,-
3957,r082,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,,,3,36661.5,0.05,**,37593.9,0.05,**
3957,r083,All agencies -> Other agencies -> Nuclear Regulatory Commission,All agencies,Other agencies,Nuclear Regulatory Commission,,,3,30267.8,20296.4,67.1,31281.9,20087.9,64.2
3957,r084,All agencies -> Other agencies -> Smithsonian Institution,All agencies,Other agencies,Smithsonian Institution,,,3,236440.0,141838.2,60.0,241440.0,143965.6,59.6
3957,r085,All agencies -> Other agencies -> Social Security Administration,All agencies,Other agencies,Social Security Administration,,,3,90908.0,90908.0,100.0,62988.0,62988.0,100.0
