table_id,row_id,funding_category_and_agency_full_path,funding_category_and_agency_level_1,funding_category_and_agency_level_2,funding_category_and_agency_level_3,funding_category_and_agency_level_4,funding_category_and_agency_hierarchy_depth,field_budget_activity,field_2020_actual,field_2021_preliminary,field_2022_proposed,field_2020_21_change_,field_2021_22_change_
5536,r013,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Applied research -> Space Force,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Applied research,Space Force,4,,na,217,176,-,-18.9
5536,r014,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Applied research -> Department of the Army,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Applied research,Department of the Army,4,,1228,1519,914,23.7,-39.8
5536,r015,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Applied research -> Department of the Navy,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Applied research,Department of the Navy,4,,1130,1179,976,4.3,-17.2
5536,r016,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Advanced technology development,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Advanced technology development,,3,3,7332,7754,6893,5.8,-11.1
5536,r017,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Advanced technology development -> Defense agencies,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Advanced technology development,Defense agencies,4,,4044,3978,4008,-1.6,0.7
5536,r018,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Advanced technology development -> Department of the Air Force,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Advanced technology development,Department of the Air Force,4,,956,1000,734,4.6,-26.6
5536,r019,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Advanced technology development -> Space Force,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Advanced technology development,Space Force,4,,na,0,77,-,-
5536,r020,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Advanced technology development -> Department of the Army,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Advanced technology development,Department of the Army,4,,1520,1940,1297,27.6,-33.1
5536,r021,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Advanced technology development -> Department of the Navy,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Advanced technology development,Department of the Navy,4,,811,836,778,3.0,-6.9
5536,r022,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Advanced component development and prototypes,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Advanced component development and prototypes,,3,4,26670,27997,31255,5.0,11.6
5536,r023,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Advanced component development and prototypes -> Defense agencies,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Advanced component development and prototypes,Defense agencies,4,,10437,10096,9854,-3.3,-2.4
5536,r024,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Advanced component development and prototypes -> Department of the Air Force,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Advanced component development and prototypes,Department of the Air Force,4,,8138,7428,8937,-8.7,20.3
5536,r025,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Advanced component development and prototypes -> Space Force,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Advanced component development and prototypes,Space Force,4,,na,1366,1579,-,15.6
5536,r026,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Advanced component development and prototypes -> Department of the Army,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Advanced component development and prototypes,Department of the Army,4,,2896,3577,3806,23.5,6.4
5536,r027,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Advanced component development and prototypes -> Department of the Navy,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Advanced component development and prototypes,Department of the Navy,4,,5199,5530,7078,6.4,28.0
5536,r028,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> System development and demonstration,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,System development and demonstration,,3,5,16558,15748,15761,-4.9,0.1
5536,r029,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> System development and demonstration -> Defense agencies,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,System development and demonstration,Defense agencies,4,,922,726,549,-21.2,-24.5
5536,r030,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> System development and demonstration -> Department of the Air Force,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,System development and demonstration,Department of the Air Force,4,,6521,2449,2570,-62.4,4.9
5536,r031,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> System development and demonstration -> Space Force,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,System development and demonstration,Space Force,4,,na,3749,3339,-,-10.9
5536,r032,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> System development and demonstration -> Department of the Army,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,System development and demonstration,Department of the Army,4,,3073,2948,3392,-4.0,15.1
5536,r033,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> System development and demonstration -> Department of the Navy,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,System development and demonstration,Department of the Navy,4,,6042,5876,5910,-2.8,0.6
5536,r034,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> RDT&E management support,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,RDT&E management support,,3,6,9539,7627,7387,-20.0,-3.1
5536,r035,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> RDT&E management support -> Defense agencies,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,RDT&E management support,Defense agencies,4,,1992,1401,1384,-29.7,-1.2
5536,r036,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> RDT&E management support -> Department of the Air Force,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,RDT&E management support,Department of the Air Force,4,,3912,2880,3016,-26.4,4.7
5536,r037,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> RDT&E management support -> Space Force,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,RDT&E management support,Space Force,4,,na,274,356,-,30.0
5536,r038,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> RDT&E management support -> Department of the Army,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,RDT&E management support,Department of the Army,4,,1760,1834,1417,4.2,-22.8
5536,r039,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> RDT&E management support -> Department of the Navy,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,RDT&E management support,Department of the Navy,4,,1648,981,999,-40.5,1.8
5536,r040,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> RDT&E management support -> Operational test and evaluation,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,RDT&E management support,Operational test and evaluation,4,,228,257,217,12.9,-15.8
5536,r041,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Operational system development,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Operational system development,,3,7,37459,38603,40592,3.1,5.2
5536,r042,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Operational system development -> Defense agencies,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Operational system development,Defense agencies,4,,6458,6533,6607,1.1,1.1
5536,r043,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Operational system development -> Department of the Air Force,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Operational system development,Department of the Air Force,4,,24070,20506,21706,-14.8,5.8
5536,r044,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Operational system development -> Space Force,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Operational system development,Space Force,4,,na,4785,5585,-,16.7
5536,r045,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Operational system development -> Department of the Army,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Operational system development,Department of the Army,4,,1810,1717,1380,-5.1,-19.6
5536,r046,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Operational system development -> Department of the Navy,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Operational system development,Department of the Navy,4,,5121,5062,5313,-1.1,5.0
5536,r047,Adjustment for RDT&E budget authority<sup>c</sup>,Adjustment for RDT&E budget authority<sup>c</sup>,,,,1,-,-1174,-345,2284,na,na
