table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_total,field_paid_for_by_the_company,field_paid_for_by_others_total,field_paid_for_by_others_federal,field_paid_for_by_others_nonfederal
2042,r014,All states -> Idaho,All states,Idaho,2,"['1,747', '  ']","['1,527', '  ']","['220', '  ']","['5', '  ']","['215', '  ']"
2042,r015,All states -> Illinois,All states,Illinois,2,"['14,399', '  ']","['12,743', '  ']","['1,655', 'i ']","['768', 'i ']","['887', '  ']"
2042,r016,All states -> Indiana,All states,Indiana,2,"['6,283', '  ']","['5,394', '  ']","['889', '  ']","['115', '  ']","['774', '  ']"
2042,r017,All states -> Iowa,All states,Iowa,2,"['2,938', '  ']","['2,195', '  ']","['743', '  ']","['0 - 744', '  ']","['0 - 744', '  ']"
2042,r018,All states -> Kansas,All states,Kansas,2,"['2,212', '  ']","['1,486', '  ']","['726', 'i ']","['7', 'e ']","['719', 'i ']"
2042,r019,All states -> Kentucky,All states,Kentucky,2,"['983', '  ']","['758', '  ']","['225', '  ']","['156', '  ']","['69', '  ']"
2042,r020,All states -> Louisiana,All states,Louisiana,2,"['297', '  ']","['243', '  ']","['53', '  ']","['22', 'i ']","['31', '  ']"
2042,r021,All states -> Maine,All states,Maine,2,"['292', '  ']","['257', '  ']","['35', '  ']","['22', '  ']","['12', '  ']"
2042,r022,All states -> Maryland,All states,Maryland,2,"['5,595', '  ']","['3,106', '  ']","['2,488', 'i ']","['2,030', 'i ']","['458', 'i ']"
2042,r023,All states -> Massachusetts,All states,Massachusetts,2,"['23,655', '  ']","['18,912', '  ']","['4,743', '  ']","['641', '  ']","['4,102', '  ']"
2042,r024,All states -> Michigan,All states,Michigan,2,"['21,042', '  ']","['19,101', '  ']","['1,941', '  ']","['229', '  ']","['1,712', '  ']"
2042,r025,All states -> Minnesota,All states,Minnesota,2,"['7,146', '  ']","['6,633', '  ']","['513', '  ']","['239', '  ']","['274', '  ']"
2042,r026,All states -> Mississippi,All states,Mississippi,2,"['266', '  ']","['221', '  ']","['45', '  ']","['28', '  ']","['17', '  ']"
2042,r027,All states -> Missouri,All states,Missouri,2,"['5,299', 'i ']","['3,433', '  ']","['1,866', 'i ']","['989 - 1,867', 'i ']","['0 - 877', 'i ']"
2042,r028,All states -> Montana,All states,Montana,2,"['133', '  ']","['114', '  ']","['18', '  ']","['6', '  ']","['12', '  ']"
2042,r029,All states -> Nebraska,All states,Nebraska,2,"['592', '  ']","['470', '  ']","['122', 'i ']","['68', 'i ']","['53', '  ']"
2042,r030,All states -> Nevada,All states,Nevada,2,"['624', '  ']","['439', '  ']","['186', '  ']","['21', '  ']","['165', '  ']"
2042,r031,All states -> New Hampshire,All states,New Hampshire,2,"['1,361', '  ']","['754', '  ']","['607', 'i ']","['386', 'i ']","['221', '  ']"
2042,r032,All states -> New Jersey,All states,New Jersey,2,"['16,405', '  ']","['13,228', '  ']","['3,177', '  ']","['408', '  ']","['2,768', '  ']"
2042,r033,All states -> New Mexico,All states,New Mexico,2,"['802', '  ']","['298', '  ']","['503', 'i ']","['298', '  ']","['205', 'i ']"
2042,r034,All states -> New York,All states,New York,2,"['15,671', '  ']","['13,430', '  ']","['2,241', '  ']","['1,024', 'i ']","['1,216', '  ']"
2042,r035,All states -> North Carolina,All states,North Carolina,2,"['10,246', '  ']","['7,502', '  ']","['2,744', 'i ']","['175', '  ']","['2,569', 'i ']"
2042,r036,All states -> North Dakota,All states,North Dakota,2,"['304', '  ']","['276', '  ']","['28', '  ']","['4', '  ']","['25', '  ']"
2042,r037,All states -> Ohio,All states,Ohio,2,"['9,769', '  ']","['6,697', '  ']","['3,071', '  ']","['576', 'i ']","['2,495', '  ']"
2042,r038,All states -> Oklahoma,All states,Oklahoma,2,"['833', '  ']","['775', '  ']","['58', '  ']","['24', '  ']","['34', '  ']"
2042,r039,All states -> Oregon,All states,Oregon,2,"['7,691', '  ']","['7,426', '  ']","['265', '  ']","['58', '  ']","['207', '  ']"
2042,r040,All states -> Pennsylvania,All states,Pennsylvania,2,"['10,986', '  ']","['9,576', '  ']","['1,410', '  ']","['173', '  ']","['1,237', '  ']"
2042,r041,All states -> Rhode Island,All states,Rhode Island,2,"['730', '  ']","['657', '  ']","['73', '  ']","['44', '  ']","['30', '  ']"
2042,r042,All states -> South Carolina,All states,South Carolina,2,"['1,370', '  ']","['1,212', '  ']","['158', '  ']","['60', '  ']","['98', '  ']"
2042,r043,All states -> South Dakota,All states,South Dakota,2,"['199', '  ']","['189', '  ']","['10', '  ']","['1', '  ']","['9', '  ']"
2042,r044,All states -> Tennessee,All states,Tennessee,2,"['1,407', '  ']","['1,172', '  ']","['235', '  ']","['39', '  ']","['195', '  ']"
2042,r045,All states -> Texas,All states,Texas,2,"['21,002', '  ']","['17,752', '  ']","['3,250', '  ']","['729', '  ']","['2,521', '  ']"
2042,r046,All states -> Utah,All states,Utah,2,"['2,846', '  ']","['2,171', '  ']","['675', '  ']","['539', '  ']","['136', '  ']"
2042,r047,All states -> Vermont,All states,Vermont,2,"['253', '  ']","['241', '  ']","['11', '  ']","['4', '  ']","['7', '  ']"
2042,r048,All states -> Virginia,All states,Virginia,2,"['4,332', '  ']","['2,659', '  ']","['1,674', 'i ']","['1,338', 'i ']","['336', '  ']"
2042,r049,All states -> Washington,All states,Washington,2,"['21,462', '  ']","['20,820', '  ']","['642', '  ']","['169', '  ']","['472', '  ']"
2042,r050,All states -> West Virginia,All states,West Virginia,2,"['212', '  ']","['182', '  ']","['30', '  ']","['23', '  ']","['7', '  ']"
2042,r051,All states -> Wisconsin,All states,Wisconsin,2,"['5,436', '  ']","['4,777', '  ']","['659', '  ']","['105', '  ']","['554', '  ']"
2042,r052,All states -> Wyoming,All states,Wyoming,2,"['87', 'i ']","['82', 'i ']","['5', '  ']","['2', '  ']","['3', '  ']"
2042,r053,All states -> Undistributed<sup>a</sup>,All states,Undistributed<sup>a</sup>,2,"['2,181', '  ']","['1,561', '  ']","['620', '  ']","['0 - 621', '  ']","['0 - 621', '  ']"
