table_id,row_id,sex_level_of_highest_degree_and_occupation_full_path,sex_level_of_highest_degree_and_occupation_level_1,sex_level_of_highest_degree_and_occupation_level_2,sex_level_of_highest_degree_and_occupation_level_3,sex_level_of_highest_degree_and_occupation_level_4,sex_level_of_highest_degree_and_occupation_level_5,sex_level_of_highest_degree_and_occupation_hierarchy_depth,field_2003,field_2010,field_2013,field_2015,field_2017,field_2019
5291,r027,Both sexes -> Master's -> Non-S&E occupations,Both sexes,Master's,Non-S&E occupations,,,3,6063000,7709000,8093000,8749000,8929000,9540000
5291,r028,Both sexes -> Doctorate,Both sexes,Doctorate,,,,2,1271000,1500000,1551000,1641000,1796000,2090000
5291,r029,Both sexes -> Doctorate -> S&E occupations,Both sexes,Doctorate,S&E occupations,,,3,605000,692000,724000,751000,786000,938000
5291,r030,"Both sexes -> Doctorate -> S&E occupations -> Biological, agricultural, and other life scientists",Both sexes,Doctorate,S&E occupations,"Biological, agricultural, and other life scientists",,4,164000,199000,202000,207000,217000,254000
5291,r031,Both sexes -> Doctorate -> S&E occupations -> Computer and mathematical scientists,Both sexes,Doctorate,S&E occupations,Computer and mathematical scientists,,4,95000,108000,112000,117000,150000,189000
5291,r032,Both sexes -> Doctorate -> S&E occupations -> Physical and related scientists,Both sexes,Doctorate,S&E occupations,Physical and related scientists,,4,94000,114000,112000,119000,101000,121000
5291,r033,Both sexes -> Doctorate -> S&E occupations -> Social and related scientists,Both sexes,Doctorate,S&E occupations,Social and related scientists,,4,154000,173000,190000,201000,201000,235000
5291,r034,Both sexes -> Doctorate -> S&E occupations -> Engineers,Both sexes,Doctorate,S&E occupations,Engineers,,4,97000,97000,108000,107000,116000,139000
5291,r035,Both sexes -> Doctorate -> S&E-related occupations,Both sexes,Doctorate,S&E-related occupations,,,3,123000,224000,236000,229000,267000,387000
5291,r036,Both sexes -> Doctorate -> Non-S&E occupations,Both sexes,Doctorate,Non-S&E occupations,,,3,543000,584000,590000,662000,743000,765000
5291,r037,Both sexes -> Professional,Both sexes,Professional,,,,2,2261000,2651000,2758000,2903000,3036000,2903000
5291,r038,Both sexes -> Professional -> S&E occupations,Both sexes,Professional,S&E occupations,,,3,49000,58000,64000,63000,67000,67000
5291,r039,"Both sexes -> Professional -> S&E occupations -> Biological, agricultural, and other life scientists",Both sexes,Professional,S&E occupations,"Biological, agricultural, and other life scientists",,4,17000,17000,14000,14000,15000,14000
5291,r040,Both sexes -> Professional -> S&E occupations -> Computer and mathematical scientists,Both sexes,Professional,S&E occupations,Computer and mathematical scientists,,4,11000,7000,11000,13000,11000,14000
5291,r041,Both sexes -> Professional -> S&E occupations -> Physical and related scientists,Both sexes,Professional,S&E occupations,Physical and related scientists,,4,2000,0.05,1000,0.05,2000,2000
5291,r042,Both sexes -> Professional -> S&E occupations -> Social and related scientists,Both sexes,Professional,S&E occupations,Social and related scientists,,4,17000,31000,35000,30000,37000,32000
5291,r043,Both sexes -> Professional -> S&E occupations -> Engineers,Both sexes,Professional,S&E occupations,Engineers,,4,2000,1000,2000,5000,2000,5000
5291,r044,Both sexes -> Professional -> S&E-related occupations,Both sexes,Professional,S&E-related occupations,,,3,1045000,1193000,1262000,1353000,1404000,1380000
5291,r045,Both sexes -> Professional -> Non-S&E occupations,Both sexes,Professional,Non-S&E occupations,,,3,1167000,1399000,1433000,1487000,1565000,1456000
5291,r046,Both sexes -> Female,Both sexes,Female,,,,2,15111000,19978000,22052000,23218000,24900000,26341000
5291,r047,Both sexes -> Female -> S&E occupations,Both sexes,Female,S&E occupations,,,3,1203000,1486000,1681000,1818000,1966000,2193000
5291,r048,"Both sexes -> Female -> S&E occupations -> Biological, agricultural, and other life scientists",Both sexes,Female,S&E occupations,"Biological, agricultural, and other life scientists",,4,164000,292000,311000,302000,292000,337000
5291,r049,Both sexes -> Female -> S&E occupations -> Computer and mathematical scientists,Both sexes,Female,S&E occupations,Computer and mathematical scientists,,4,552000,602000,673000,833000,919000,975000
5291,r050,Both sexes -> Female -> S&E occupations -> Physical and related scientists,Both sexes,Female,S&E occupations,Physical and related scientists,,4,83000,98000,100000,92000,107000,142000
5291,r051,Both sexes -> Female -> S&E occupations -> Social and related scientists,Both sexes,Female,S&E occupations,Social and related scientists,,4,251000,295000,363000,341000,379000,428000
5291,r052,Both sexes -> Female -> S&E occupations -> Engineers,Both sexes,Female,S&E occupations,Engineers,,4,154000,200000,235000,250000,269000,310000
5291,r053,Both sexes -> Female -> S&E-related occupations,Both sexes,Female,S&E-related occupations,,,3,2814000,3877000,4223000,4558000,4764000,5109000
5291,r054,Both sexes -> Female -> Non-S&E occupations,Both sexes,Female,Non-S&E occupations,,,3,11094000,14615000,16147000,16842000,18170000,19040000
5291,r055,Both sexes -> Female -> Bachelor's,Both sexes,Female,Bachelor's,,,3,9522000,12592000,13904000,14206000,15524000,16021000
5291,r056,Both sexes -> Female -> Bachelor's -> S&E occupations,Both sexes,Female,Bachelor's,S&E occupations,,4,605000,720000,832000,818000,979000,1034000
5291,r057,"Both sexes -> Female -> Bachelor's -> S&E occupations -> Biological, agricultural, and other life scientists",Both sexes,Female,Bachelor's,S&E occupations,"Biological, agricultural, and other life scientists",5,62000,136000,139000,127000,119000,129000
5291,r058,Both sexes -> Female -> Bachelor's -> S&E occupations -> Computer and mathematical scientists,Both sexes,Female,Bachelor's,S&E occupations,Computer and mathematical scientists,5,363000,383000,435000,456000,570000,568000
5291,r059,Both sexes -> Female -> Bachelor's -> S&E occupations -> Physical and related scientists,Both sexes,Female,Bachelor's,S&E occupations,Physical and related scientists,5,40000,43000,49000,39000,49000,78000
5291,r060,Both sexes -> Female -> Bachelor's -> S&E occupations -> Social and related scientists,Both sexes,Female,Bachelor's,S&E occupations,Social and related scientists,5,50000,51000,74000,53000,92000,95000
5291,r061,Both sexes -> Female -> Bachelor's -> S&E occupations -> Engineers,Both sexes,Female,Bachelor's,S&E occupations,Engineers,5,89000,106000,134000,143000,149000,163000
5291,r062,Both sexes -> Female -> Bachelor's -> S&E-related occupations,Both sexes,Female,Bachelor's,S&E-related occupations,,4,1719000,2335000,2494000,2567000,2654000,2845000
5291,r063,Both sexes -> Female -> Bachelor's -> Non-S&E occupations,Both sexes,Female,Bachelor's,Non-S&E occupations,,4,7198000,9538000,10579000,10821000,11891000,12142000
5291,r064,Both sexes -> Female -> Master's,Both sexes,Female,Master's,,,3,4431000,5838000,6479000,7196000,7359000,8141000
5291,r065,Both sexes -> Female -> Master's -> S&E occupations,Both sexes,Female,Master's,S&E occupations,,4,407000,516000,575000,708000,670000,757000
5291,r066,"Both sexes -> Female -> Master's -> S&E occupations -> Biological, agricultural, and other life scientists",Both sexes,Female,Master's,S&E occupations,"Biological, agricultural, and other life scientists",5,41000,74000,84000,80000,75000,83000
5291,r067,Both sexes -> Female -> Master's -> S&E occupations -> Computer and mathematical scientists,Both sexes,Female,Master's,S&E occupations,Computer and mathematical scientists,5,166000,192000,211000,340000,298000,340000
5291,r068,Both sexes -> Female -> Master's -> S&E occupations -> Physical and related scientists,Both sexes,Female,Master's,S&E occupations,Physical and related scientists,5,27000,33000,28000,33000,39000,37000
5291,r069,Both sexes -> Female -> Master's -> S&E occupations -> Social and related scientists,Both sexes,Female,Master's,S&E occupations,Social and related scientists,5,119000,141000,170000,164000,155000,171000
5291,r070,Both sexes -> Female -> Master's -> S&E occupations -> Engineers,Both sexes,Female,Master's,S&E occupations,Engineers,5,54000,77000,82000,91000,104000,126000
5291,r071,Both sexes -> Female -> Master's -> S&E-related occupations,Both sexes,Female,Master's,S&E-related occupations,,4,729000,1043000,1156000,1338000,1405000,1469000
5291,r072,Both sexes -> Female -> Master's -> Non-S&E occupations,Both sexes,Female,Master's,Non-S&E occupations,,4,3295000,4279000,4748000,5150000,5284000,5915000
5291,r073,Both sexes -> Female -> Doctorate,Both sexes,Female,Doctorate,,,3,422000,521000,597000,646000,734000,900000
5291,r074,Both sexes -> Female -> Doctorate -> S&E occupations,Both sexes,Female,Doctorate,S&E occupations,,4,170000,215000,239000,261000,279000,365000
5291,r075,"Both sexes -> Female -> Doctorate -> S&E occupations -> Biological, agricultural, and other life scientists",Both sexes,Female,Doctorate,S&E occupations,"Biological, agricultural, and other life scientists",5,55000,74000,80000,88000,90000,118000
5291,r076,Both sexes -> Female -> Doctorate -> S&E occupations -> Computer and mathematical scientists,Both sexes,Female,Doctorate,S&E occupations,Computer and mathematical scientists,5,20000,24000,25000,30000,46000,61000
5291,r077,Both sexes -> Female -> Doctorate -> S&E occupations -> Physical and related scientists,Both sexes,Female,Doctorate,S&E occupations,Physical and related scientists,5,15000,22000,22000,20000,19000,28000
5291,r078,Both sexes -> Female -> Doctorate -> S&E occupations -> Social and related scientists,Both sexes,Female,Doctorate,S&E occupations,Social and related scientists,5,70000,79000,94000,107000,108000,139000
5291,r079,Both sexes -> Female -> Doctorate -> S&E occupations -> Engineers,Both sexes,Female,Doctorate,S&E occupations,Engineers,5,10000,17000,18000,15000,16000,20000
5291,r080,Both sexes -> Female -> Doctorate -> S&E-related occupations,Both sexes,Female,Doctorate,S&E-related occupations,,4,51000,86000,100000,107000,126000,188000
5291,r081,Both sexes -> Female -> Doctorate -> Non-S&E occupations,Both sexes,Female,Doctorate,Non-S&E occupations,,4,200000,220000,258000,278000,328000,346000
5291,r082,Both sexes -> Female -> Professional,Both sexes,Female,Professional,,,3,736000,1027000,1072000,1170000,1283000,1280000
5291,r083,Both sexes -> Female -> Professional -> S&E occupations,Both sexes,Female,Professional,S&E occupations,,4,21000,35000,35000,31000,37000,36000
5291,r084,"Both sexes -> Female -> Professional -> S&E occupations -> Biological, agricultural, and other life scientists",Both sexes,Female,Professional,S&E occupations,"Biological, agricultural, and other life scientists",5,6000,8000,7000,6000,7000,7000
5291,r085,Both sexes -> Female -> Professional -> S&E occupations -> Computer and mathematical scientists,Both sexes,Female,Professional,S&E occupations,Computer and mathematical scientists,5,3000,S,S,S,S,6000
5291,r086,Both sexes -> Female -> Professional -> S&E occupations -> Physical and related scientists,Both sexes,Female,Professional,S&E occupations,Physical and related scientists,5,,,,,,
5291,r087,Both sexes -> Female -> Professional -> S&E occupations -> Social and related scientists,Both sexes,Female,Professional,S&E occupations,Social and related scientists,5,11000,23000,24000,17000,25000,22000
5291,r088,Both sexes -> Female -> Professional -> S&E occupations -> Engineers,Both sexes,Female,Professional,S&E occupations,Engineers,5,,,,,,
5291,r089,Both sexes -> Female -> Professional -> S&E-related occupations,Both sexes,Female,Professional,S&E-related occupations,,4,314000,413000,474000,546000,579000,607000
5291,r090,Both sexes -> Female -> Professional -> Non-S&E occupations,Both sexes,Female,Professional,Non-S&E occupations,,4,401000,578000,563000,594000,667000,637000
5291,r091,Both sexes -> Male,Both sexes,Male,,,,2,17463000,20644000,21787000,22723000,23323000,24183000
5291,r092,Both sexes -> Male -> S&E occupations,Both sexes,Male,S&E occupations,,,3,3385000,3888000,4084000,4590000,4803000,5274000
5291,r093,"Both sexes -> Male -> S&E occupations -> Biological, agricultural, and other life scientists",Both sexes,Male,S&E occupations,"Biological, agricultural, and other life scientists",,4,257000,310000,328000,329000,319000,361000
5291,r094,Both sexes -> Male -> S&E occupations -> Computer and mathematical scientists,Both sexes,Male,S&E occupations,Computer and mathematical scientists,,4,1378000,1795000,1980000,2323000,2500000,2799000
5291,r095,Both sexes -> Male -> S&E occupations -> Physical and related scientists,Both sexes,Male,S&E occupations,Physical and related scientists,,4,215000,229000,224000,239000,259000,267000
5291,r096,Both sexes -> Male -> S&E occupations -> Social and related scientists,Both sexes,Male,S&E occupations,Social and related scientists,,4,226000,223000,234000,229000,266000,235000
5291,r097,Both sexes -> Male -> S&E occupations -> Engineers,Both sexes,Male,S&E occupations,Engineers,,4,1309000,1331000,1319000,1469000,1459000,1612000
5291,r098,Both sexes -> Male -> S&E-related occupations,Both sexes,Male,S&E-related occupations,,,3,2341000,3089000,3285000,3309000,3507000,3785000
5291,r099,Both sexes -> Male -> Non-S&E occupations,Both sexes,Male,Non-S&E occupations,,,3,11736000,13667000,14418000,14824000,15013000,15125000
5291,r100,Both sexes -> Male -> Bachelor's,Both sexes,Male,Bachelor's,,,3,10843000,12761000,13898000,14303000,14606000,15353000
5291,r101,Both sexes -> Male -> Bachelor's -> S&E occupations,Both sexes,Male,Bachelor's,S&E occupations,,4,1925000,2260000,2457000,2700000,2867000,3142000
5291,r102,"Both sexes -> Male -> Bachelor's -> S&E occupations -> Biological, agricultural, and other life scientists",Both sexes,Male,Bachelor's,S&E occupations,"Biological, agricultural, and other life scientists",5,84000,98000,125000,114000,110000,148000
5291,r103,Both sexes -> Male -> Bachelor's -> S&E occupations -> Computer and mathematical scientists,Both sexes,Male,Bachelor's,S&E occupations,Computer and mathematical scientists,5,880000,1181000,1350000,1522000,1649000,1835000
5291,r104,Both sexes -> Male -> Bachelor's -> S&E occupations -> Physical and related scientists,Both sexes,Male,Bachelor's,S&E occupations,Physical and related scientists,5,79000,83000,79000,87000,115000,112000
5291,r105,Both sexes -> Male -> Bachelor's -> S&E occupations -> Social and related scientists,Both sexes,Male,Bachelor's,S&E occupations,Social and related scientists,5,51000,44000,49000,37000,80000,52000
5291,r106,Both sexes -> Male -> Bachelor's -> S&E occupations -> Engineers,Both sexes,Male,Bachelor's,S&E occupations,Engineers,5,831000,854000,853000,940000,912000,995000
5291,r107,Both sexes -> Male -> Bachelor's -> S&E-related occupations,Both sexes,Male,Bachelor's,S&E-related occupations,,4,1060000,1450000,1571000,1655000,1685000,1949000
5291,r108,Both sexes -> Male -> Bachelor's -> Non-S&E occupations,Both sexes,Male,Bachelor's,Non-S&E occupations,,4,7858000,9052000,9871000,9948000,10055000,10262000
5291,r109,Both sexes -> Male -> Master's,Both sexes,Male,Master's,,,3,4247000,5280000,5249000,5692000,5901000,6017000
5291,r110,Both sexes -> Male -> Master's -> S&E occupations,Both sexes,Male,Master's,S&E occupations,,4,999000,1129000,1114000,1367000,1399000,1529000
5291,r111,"Both sexes -> Male -> Master's -> S&E occupations -> Biological, agricultural, and other life scientists",Both sexes,Male,Master's,S&E occupations,"Biological, agricultural, and other life scientists",5,54000,78000,74000,88000,74000,69000
5291,r112,Both sexes -> Male -> Master's -> S&E occupations -> Computer and mathematical scientists,Both sexes,Male,Master's,S&E occupations,Computer and mathematical scientists,5,415000,525000,533000,708000,741000,828000
5291,r113,Both sexes -> Male -> Master's -> S&E occupations -> Physical and related scientists,Both sexes,Male,Master's,S&E occupations,Physical and related scientists,5,55000,54000,55000,53000,59000,60000
5291,r114,Both sexes -> Male -> Master's -> S&E occupations -> Social and related scientists,Both sexes,Male,Master's,S&E occupations,Social and related scientists,5,86000,77000,79000,85000,80000,78000
5291,r115,Both sexes -> Male -> Master's -> S&E occupations -> Engineers,Both sexes,Male,Master's,S&E occupations,Engineers,5,389000,395000,374000,434000,445000,493000
5291,r116,Both sexes -> Male -> Master's -> S&E-related occupations,Both sexes,Male,Master's,S&E-related occupations,,4,479000,721000,790000,726000,857000,864000
5291,r117,Both sexes -> Male -> Master's -> Non-S&E occupations,Both sexes,Male,Master's,Non-S&E occupations,,4,2769000,3430000,3346000,3599000,3645000,3625000
5291,r118,Both sexes -> Male -> Doctorate,Both sexes,Male,Doctorate,,,3,849000,979000,954000,996000,1062000,1190000
5291,r119,Both sexes -> Male -> Doctorate -> S&E occupations,Both sexes,Male,Doctorate,S&E occupations,,4,434000,477000,485000,490000,507000,573000
5291,r120,"Both sexes -> Male -> Doctorate -> S&E occupations -> Biological, agricultural, and other life scientists",Both sexes,Male,Doctorate,S&E occupations,"Biological, agricultural, and other life scientists",5,109000,125000,122000,119000,127000,137000
5291,r121,Both sexes -> Male -> Doctorate -> S&E occupations -> Computer and mathematical scientists,Both sexes,Male,Doctorate,S&E occupations,Computer and mathematical scientists,5,75000,85000,87000,87000,104000,128000
5291,r122,Both sexes -> Male -> Doctorate -> S&E occupations -> Physical and related scientists,Both sexes,Male,Doctorate,S&E occupations,Physical and related scientists,5,79000,92000,90000,99000,82000,94000
5291,r123,Both sexes -> Male -> Doctorate -> S&E occupations -> Social and related scientists,Both sexes,Male,Doctorate,S&E occupations,Social and related scientists,5,84000,94000,95000,94000,93000,95000
5291,r124,Both sexes -> Male -> Doctorate -> S&E occupations -> Engineers,Both sexes,Male,Doctorate,S&E occupations,Engineers,5,88000,81000,90000,92000,101000,119000
5291,r125,Both sexes -> Male -> Doctorate -> S&E-related occupations,Both sexes,Male,Doctorate,S&E-related occupations,,4,72000,138000,136000,122000,140000,199000
5291,r126,Both sexes -> Male -> Doctorate -> Non-S&E occupations,Both sexes,Male,Doctorate,Non-S&E occupations,,4,343000,364000,333000,384000,415000,419000
5291,r127,Both sexes -> Male -> Professional,Both sexes,Male,Professional,,,3,1524000,1624000,1686000,1732000,1754000,1623000
5291,r128,Both sexes -> Male -> Professional -> S&E occupations,Both sexes,Male,Professional,S&E occupations,,4,27000,23000,29000,32000,30000,30000
5291,r129,"Both sexes -> Male -> Professional -> S&E occupations -> Biological, agricultural, and other life scientists",Both sexes,Male,Professional,S&E occupations,"Biological, agricultural, and other life scientists",5,11000,9000,7000,8000,8000,7000
5291,r130,Both sexes -> Male -> Professional -> S&E occupations -> Computer and mathematical scientists,Both sexes,Male,Professional,S&E occupations,Computer and mathematical scientists,5,8000,4000,9000,7000,7000,8000
5291,r131,Both sexes -> Male -> Professional -> S&E occupations -> Physical and related scientists,Both sexes,Male,Professional,S&E occupations,Physical and related scientists,5,S,0.05,,,2000,1000
5291,r132,Both sexes -> Male -> Professional -> S&E occupations -> Social and related scientists,Both sexes,Male,Professional,S&E occupations,Social and related scientists,5,5000,8000,11000,13000,12000,10000
5291,r133,Both sexes -> Male -> Professional -> S&E occupations -> Engineers,Both sexes,Male,Professional,S&E occupations,Engineers,5,1000,S,2000,4000,1000,5000
5291,r134,Both sexes -> Male -> Professional -> S&E-related occupations,Both sexes,Male,Professional,S&E-related occupations,,4,730000,780000,788000,807000,825000,773000
5291,r135,Both sexes -> Male -> Professional -> Non-S&E occupations,Both sexes,Male,Professional,Non-S&E occupations,,4,767000,821000,870000,893000,898000,819000
