table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017
1242,r013,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Lawyer or judge",All occupations,"Management, professional, and related occupations",Professional and related occupations,Lawyer or judge,4,1058,1103,1104,1177,1134,1155,1171,1228,1183,1222
1242,r014,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Mathematical or computer scientist",All occupations,"Management, professional, and related occupations",Professional and related occupations,Mathematical or computer scientist,4,3681,3489,3549,3589,3760,3963,4253,4383,4510,4773
1242,r015,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Pharmacist",All occupations,"Management, professional, and related occupations",Professional and related occupations,Pharmacist,4,254,269,260,262,285,282,284,271,310,344
1242,r016,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Physician",All occupations,"Management, professional, and related occupations",Professional and related occupations,Physician,4,863,909,877,828,919,925,1013,1009,1067,1070
1242,r017,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Physicians' assistant",All occupations,"Management, professional, and related occupations",Professional and related occupations,Physicians' assistant,4,107,88,105,95,106,128,91,79,87,112
1242,r018,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Psychologist",All occupations,"Management, professional, and related occupations",Professional and related occupations,Psychologist,4,173,166,186,192,175,187,219,205,175,185
1242,r019,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Registered nurse",All occupations,"Management, professional, and related occupations",Professional and related occupations,Registered nurse,4,2745,2800,2835,2726,2823,2852,2883,2928,3090,3122
1242,r020,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Science technician",All occupations,"Management, professional, and related occupations",Professional and related occupations,Science technician,4,259,268,280,264,303,279,302,360,306,314
1242,r021,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Teacher, except postsecondary (college and university)",All occupations,"Management, professional, and related occupations",Professional and related occupations,"Teacher, except postsecondary (college and university)",4,6004,5840,5920,5870,5850,5961,6000,6257,6190,6307
1242,r022,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Teacher, postsecondary (college and university)",All occupations,"Management, professional, and related occupations",Professional and related occupations,"Teacher, postsecondary (college and university)",4,1224,1311,1309,1335,1332,1325,1255,1319,1424,1419
1242,r023,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Therapist",All occupations,"Management, professional, and related occupations",Professional and related occupations,Therapist,4,664,676,722,776,743,748,830,886,905,886
1242,r024,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Other health care professional",All occupations,"Management, professional, and related occupations",Professional and related occupations,Other health care professional,4,325,348,371,511,487,530,572,590,590,576
1242,r025,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Other natural scientist",All occupations,"Management, professional, and related occupations",Professional and related occupations,Other natural scientist,4,250,246,264,279,307,271,291,341,380,418
1242,r026,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Other social scientist or urban planner",All occupations,"Management, professional, and related occupations",Professional and related occupations,Other social scientist or urban planner,4,73,63,76,88,100,83,80,73,88,79
1242,r027,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Other professional or related occupation",All occupations,"Management, professional, and related occupations",Professional and related occupations,Other professional or related occupation,4,7174,7087,7125,7056,7132,7287,7465,7736,7691,7999
1242,r028,All occupations -> Other occupations,All occupations,Other occupations,,,2,92728,87831,87340,87652,88638,89192,90476,90832,92143,92618
