table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_r_d_personnel_headcount_total_,field_r_d_personnel_headcount_researchersa,field_r_d_personnel_headcount_technicians,field_r_d_personnel_headcount_support_staff,field_r_d_personnel_full_time_equivalents_total_,field_r_d_personnel_full_time_equivalents_researchersa,field_r_d_personnel_full_time_equivalents_technicians,field_r_d_personnel_full_time_equivalents_support_staff
7801,r025,United States<sup>b</sup> -> Minnesota,United States<sup>b</sup>,Minnesota,2,104,60,23,21,89.0,54.9,16.2,17.9
7801,r026,United States<sup>b</sup> -> Mississippi,United States<sup>b</sup>,Mississippi,2,141,39,90,12,43.0,15.4,22.3,5.3
7801,r027,United States<sup>b</sup> -> Missouri,United States<sup>b</sup>,Missouri,2,228,77,143,8,112.9,59.6,50.9,2.4
7801,r028,United States<sup>b</sup> -> Montana,United States<sup>b</sup>,Montana,2,55,24,28,3,11.8,5.2,5.4,1.2
7801,r029,United States<sup>b</sup> -> Nebraska,United States<sup>b</sup>,Nebraska,2,51,17,30,4,35.2,17.5,16.2,1.5
7801,r030,United States<sup>b</sup> -> Nevada,United States<sup>b</sup>,Nevada,2,3,1,2,0,1.5,0.5,0.0,1.0
7801,r031,United States<sup>b</sup> -> New Hampshire,United States<sup>b</sup>,New Hampshire,2,16,2,3,11,2.2,2.0,0.1,0.1
7801,r032,United States<sup>b</sup> -> New Jersey,United States<sup>b</sup>,New Jersey,2,48,45,0,3,18.9,16.1,0.0,2.8
7801,r033,United States<sup>b</sup> -> New Mexico,United States<sup>b</sup>,New Mexico,2,11,4,4,3,10.7,3.7,4.0,3.0
7801,r034,United States<sup>b</sup> -> New York,United States<sup>b</sup>,New York,2,2942,1347,1184,411,2335.9,1028.3,937.1,370.5
7801,r035,United States<sup>b</sup> -> North Carolina,United States<sup>b</sup>,North Carolina,2,240,108,100,32,205.9,89.9,90.0,26.0
7801,r036,United States<sup>b</sup> -> North Dakota,United States<sup>b</sup>,North Dakota,2,16,15,1,0,7.7,7.4,0.3,0.0
7801,r037,United States<sup>b</sup> -> Ohio,United States<sup>b</sup>,Ohio,2,51,20,23,8,33.9,19.9,10.7,3.3
7801,r038,United States<sup>b</sup> -> Oklahoma,United States<sup>b</sup>,Oklahoma,2,54,36,13,5,20.2,12.1,5.5,2.6
7801,r039,United States<sup>b</sup> -> Oregon,United States<sup>b</sup>,Oregon,2,252,85,142,25,146.5,68.6,67.3,10.6
7801,r040,United States<sup>b</sup> -> Pennsylvania,United States<sup>b</sup>,Pennsylvania,2,202,95,96,11,125.2,44.9,75.9,4.4
7801,r041,United States<sup>b</sup> -> Rhode Island,United States<sup>b</sup>,Rhode Island,2,79,59,10,10,57.5,45.0,4.5,8.0
7801,r042,United States<sup>b</sup> -> South Carolina,United States<sup>b</sup>,South Carolina,2,365,190,138,37,286.2,170.2,85.6,30.4
7801,r043,United States<sup>b</sup> -> South Dakota,United States<sup>b</sup>,South Dakota,2,14,7,0,7,8.5,7.0,0.0,1.5
7801,r044,United States<sup>b</sup> -> Tennessee,United States<sup>b</sup>,Tennessee,2,19,15,0,4,16.3,14.3,0.0,2.0
7801,r045,United States<sup>b</sup> -> Texas,United States<sup>b</sup>,Texas,2,59,40,5,14,36.3,23.7,6.0,6.6
7801,r046,United States<sup>b</sup> -> Utah,United States<sup>b</sup>,Utah,2,72,49,12,11,40.8,31.8,7.0,2.0
7801,r047,United States<sup>b</sup> -> Vermont,United States<sup>b</sup>,Vermont,2,9,3,5,1,3.2,2.4,0.7,0.1
7801,r048,United States<sup>b</sup> -> Virginia,United States<sup>b</sup>,Virginia,2,182,103,46,33,131.6,85.5,31.1,15.0
7801,r049,United States<sup>b</sup> -> Washington,United States<sup>b</sup>,Washington,2,629,372,147,110,233.5,143.0,58.0,32.5
7801,r050,United States<sup>b</sup> -> West Virginia,United States<sup>b</sup>,West Virginia,2,122,44,55,23,84.0,44.0,30.0,10.0
7801,r051,United States<sup>b</sup> -> Wisconsin,United States<sup>b</sup>,Wisconsin,2,92,26,62,4,24.1,18.5,1.6,4.0
7801,r052,United States<sup>b</sup> -> Wyoming,United States<sup>b</sup>,Wyoming,2,222,74,113,35,157.8,15.5,135.8,6.5
