table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_2008a,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1464,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicles, tanks, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicles, tanks, and tank components",,4,336992,"['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['52', '&nbsp;']","['D', '&nbsp;']","['9', 'i']","['D', '&nbsp;']","['16', '&nbsp;']","['D', ' ']"
1464,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['2,245', '&nbsp;']","['D', '&nbsp;']","['2,834', '&nbsp;']","['D', '&nbsp;']"
1464,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['NA', '&nbsp;']","['433', '&nbsp;']","['407', '&nbsp;']","['347', '&nbsp;']","['383', '&nbsp;']","['401', '&nbsp;']","['422', '&nbsp;']","['477', '&nbsp;']","['406', ' ']"
1464,r043,All industries -> Manufacturing industries -> Miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,,,3,339,"['NA', '&nbsp;']","['NA', '&nbsp;']","['9,528', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['18,900', '&nbsp;']","['14,951', '&nbsp;']","['15,869', '&nbsp;']","['D', ' ']"
1464,r044,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous manufacturing,Medical equipment and supplies,,4,3391,"['NA', '&nbsp;']","['NA', '&nbsp;']","['7,461', '&nbsp;']","['D', '&nbsp;']","['10,311', '&nbsp;']","['15,938', '&nbsp;']","['12,091', '&nbsp;']","['13,166', '&nbsp;']","['14,143', ' ']"
1464,r045,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,Other miscellaneous manufacturing,,4,3399,"['NA', '&nbsp;']","['NA', '&nbsp;']","['2,066', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['2,962', '&nbsp;']","['2,860', '&nbsp;']","['2,703', 'i']","['D', '&nbsp;']"
1464,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['NA', '&nbsp;']","['99,713', '&nbsp;']","['94,840', '&nbsp;']","['105,669', '&nbsp;']","['113,220', '&nbsp;']","['120,242', '&nbsp;']","['130,682', '&nbsp;']","['141,279', '&nbsp;']","['148,589', ' ']"
1464,r047,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['NA', '&nbsp;']","['NA', '&nbsp;']","['2,785', '&nbsp;']","['2,597', '&nbsp;']","['D', '&nbsp;']","['4,452', '&nbsp;']","['D', '&nbsp;']","['4,348', '&nbsp;']","['3,604', ' ']"
1464,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['NA', '&nbsp;']","['NA', '&nbsp;']","['442', '&nbsp;']","['396', '&nbsp;']","['368', '&nbsp;']","['317', '&nbsp;']","['314', '&nbsp;']","['483', '&nbsp;']","['353', ' ']"
1464,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['NA', '&nbsp;']","['NA', '&nbsp;']","['1,145', '&nbsp;']","['1,697', 'i']","['2,165', 'i']","['459', 'i']","['D', '&nbsp;']","['1,723', 'i']","['465', 'i']"
1464,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1,845', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
1464,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['NA', '&nbsp;']","['NA', '&nbsp;']","['124', '&nbsp;']","['159', '&nbsp;']","['186', '&nbsp;']","['D', '&nbsp;']","['692', '&nbsp;']","['416', '&nbsp;']","['495', ' ']"
1464,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['NA', '&nbsp;']","['43,197', '&nbsp;']","['45,099', '&nbsp;']","['52,341', '&nbsp;']","['56,815', '&nbsp;']","['68,375', '&nbsp;']","['78,013', '&nbsp;']","['77,965', '&nbsp;']","['84,133', ' ']"
1464,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['NA', '&nbsp;']","['33,171', '&nbsp;']","['33,883', '&nbsp;']","['36,310', '&nbsp;']","['36,947', '&nbsp;']","['43,821', '&nbsp;']","['46,806', '&nbsp;']","['42,190', '&nbsp;']","['42,272', ' ']"
1464,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['NA', '&nbsp;']","['NA', '&nbsp;']","['826', '&nbsp;']","['401', '&nbsp;']","['221', 'i']","['348', 'i']","['92', 'i']","['107', 'i']","['84', 'i']"
1464,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['NA', '&nbsp;']","['NA', '&nbsp;']","['33,058', '&nbsp;']","['35,910', '&nbsp;']","['36,726', '&nbsp;']","['43,473', '&nbsp;']","['46,714', '&nbsp;']","['42,083', '&nbsp;']","['42,188', ' ']"
1464,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['NA', '&nbsp;']","['1,609', '&nbsp;']","['2,043', '&nbsp;']","['2,267', '&nbsp;']","['2,787', 'i']","['3,112', '&nbsp;']","['3,830', '&nbsp;']","['3,648', '&nbsp;']","['D', ' ']"
1464,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['NA', '&nbsp;']","['3,008', '&nbsp;']","['2,895', '&nbsp;']","['5,450', '&nbsp;']","['5,574', '&nbsp;']","['7,787', '&nbsp;']","['10,356', '&nbsp;']","['10,600', '&nbsp;']","['13,666', ' ']"
1464,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['NA', '&nbsp;']","['5,410', '&nbsp;']","['6,278', '&nbsp;']","['8,313', '&nbsp;']","['11,506', '&nbsp;']","['13,654', '&nbsp;']","['17,022', '&nbsp;']","['21,526', '&nbsp;']","['D', ' ']"
1464,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['NA', '&nbsp;']","['NA', '&nbsp;']","['2,568', '&nbsp;']","['3,943', '&nbsp;']","['4,159', '&nbsp;']","['4,999', '&nbsp;']","['4,748', '&nbsp;']","['6,359', '&nbsp;']","['8,468', ' ']"
1464,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['NA', '&nbsp;']","['NA', '&nbsp;']","['367', '&nbsp;']","['D', '&nbsp;']","['400', '&nbsp;']","['202', '&nbsp;']","['268', '&nbsp;']","['313', '&nbsp;']","['477', ' ']"
1464,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['365', '&nbsp;']","['379', '&nbsp;']","['D', '&nbsp;']","['58', '&nbsp;']","['D', '&nbsp;']","['27', ' ']"
1464,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['21', 'i']","['D', '&nbsp;']","['210', '&nbsp;']","['D', '&nbsp;']","['450', ' ']"
1464,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['NA', '&nbsp;']","['47,709', '&nbsp;']","['37,108', '&nbsp;']","['39,731', '&nbsp;']","['40,843', '&nbsp;']","['37,345', '&nbsp;']","['37,995', 'i']","['46,255', '&nbsp;']","['46,771', ' ']"
1464,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['NA', '&nbsp;']","['3,384', '&nbsp;']","['4,156', '&nbsp;']","['D', '&nbsp;']","['2,541', 'i']","['3,173', '&nbsp;']","['3,374', '&nbsp;']","['4,158', 'i']","['3,475', ' ']"
1464,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['NA', '&nbsp;']","['15,310', '&nbsp;']","['12,458', '&nbsp;']","['13,181', '&nbsp;']","['13,404', 'i']","['10,535', 'i']","['12,579', 'i']","['17,227', '&nbsp;']","['19,168', ' ']"
1464,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['NA', '&nbsp;']","['19,307', '&nbsp;']","['16,408', '&nbsp;']","['19,295', '&nbsp;']","['20,225', '&nbsp;']","['18,478', '&nbsp;']","['17,870', '&nbsp;']","['20,630', '&nbsp;']","['20,254', ' ']"
1464,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,"['NA', '&nbsp;']","['8,492', '&nbsp;']","['6,266', '&nbsp;']","['7,985', '&nbsp;']","['8,364', '&nbsp;']","['5,889', '&nbsp;']","['4,898', '&nbsp;']","['7,114', 'i']","['6,079', ' ']"
1464,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Physical, engineering, and life sciences (except biotechnology) research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Physical, engineering, and life sciences (except biotechnology) research and development",5,541712,"['NA', '&nbsp;']","['10,129', '&nbsp;']","['9,591', '&nbsp;']","['10,697', '&nbsp;']","['11,261', '&nbsp;']","['11,794', '&nbsp;']","['12,291', '&nbsp;']","['12,807', '&nbsp;']","['13,452', ' ']"
1464,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Social sciences and humanities research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Social sciences and humanities research and development,5,541720,"['NA', '&nbsp;']","['686', '&nbsp;']","['551', '&nbsp;']","['613', '&nbsp;']","['600', '&nbsp;']","['795', '&nbsp;']","['682', '&nbsp;']","['709', '&nbsp;']","['723', ' ']"
