table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_salaries_wages_and_fringe_benefits,field_stock_based_compensation,field_temporary_staffing,field_expensed_equipment,field_materials_and_supplies,field_lease_and_rental_payments,field_depreciation,field_royalties_and_licensing_fees,field_other_purchased_services_except_r_d_,field_other
9649,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['21,133', '  ']","['11,761', '  ']","['593', '  ']","['898', '  ']","['198', '  ']","['1,819', '  ']","['197', '  ']","['647', '  ']","['32', '  ']","['1,082', '  ']","['3,906', '  ']"
9649,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['18,438', '  ']","['10,031', '  ']","['561', '  ']","['857', '  ']","['171', '  ']","['1,419', '  ']","['138', '  ']","['599', '  ']","['21', '  ']","['1,011', '  ']","['3,629', '  ']"
9649,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['2,695', '  ']","['1,729', '  ']","['32', 'i ']","['41', '  ']","['27', '  ']","['400', '  ']","['58', '  ']","['48', '  ']","['12', '  ']","['71', '  ']","['278', '  ']"
9649,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['276,439', '  ']","['158,068', '  ']","['42,523', '  ']","['13,064', '  ']","['5,399', '  ']","['8,560', '  ']","['4,089', '  ']","['7,494', 'i ']","['749', '  ']","['9,553', 'i ']","['26,939', '  ']"
9649,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['1,260 - 1,334', '  ']","['700', '  ']","['8', '  ']","['9', '  ']","['36', 'i ']","['93', 'i ']","['54', '  ']","['20', 'i ']","['8', 'i ']","['335', 'i ']","[' 1 - 76', 'i ']"
9649,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"[' 168 - 17,997', '  ']","[' 7 - 11,048', '  ']","['2', '  ']","['16', '  ']","['1', '  ']","[' 2 - 311', '  ']","['2', '  ']","['9', '  ']","['3', '  ']","[' 4 - 82', '  ']","[' 15 - 6,521', 'i ']"
9649,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['1,745 - 1,855', 'i ']","['1,295', 'i ']","['4', 'i ']","['52', 'i ']","['2', 'i ']","['192', 'i ']","['5', 'i ']","['33', '  ']","['10', '  ']","['13', 'i ']","[' 136 - 252', 'i ']"
9649,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['5,936 - 24,040', 'i ']","[' 2 - 11,043', 'i ']","['3,694 - 4,337', 'i ']","['147', 'i ']","[' 0 - 341', 'i ']","[' 0 - 311', 'i ']","['169', 'i ']","['1,224', 'i ']","['*', 'i ']","['26', 'i ']","[' 0 - 6,505', 'i ']"
9649,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['7,208', '  ']","['3,119', '  ']","['819', 'i ']","['152', '  ']","['290', 'i ']","['1,002', 'i ']","['204', '  ']","['223', '  ']","['45', '  ']","['437', '  ']","['918', '  ']"
9649,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['147,855', '  ']","['87,928', '  ']","['29,392', '  ']","['7,617', '  ']","['2,947', '  ']","['1,104', '  ']","['1,959', '  ']","['2,924', '  ']","['365', '  ']","['3,171', '  ']","['10,448', '  ']"
