table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_hierarchy_depth,field_1991_number,field_1991_percent,field_1996_number,field_1996_percent,field_2001_number,field_2001_percent,field_2006_number,field_2006_percent,field_2011_number,field_2011_percent,field_2016_number,field_2016_percent,field_2021_number,field_2021_percent
7529,r023,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,3,621,1.7,681,1.6,636,1.6,799,1.8,823,1.7,921,1.7,1024,2.0
7529,r024,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,3,509,1.4,600,1.4,501,1.2,655,1.4,634,1.3,564,1.0,621,1.2
7529,r025,"All fields -> Engineering -> Electrical, electronics, and communications engineering",All fields,Engineering,"Electrical, electronics, and communications engineering",3,1206,3.2,1501,3.5,1346,3.3,1786,3.9,1886,3.9,1823,3.3,2081,4.0
7529,r026,All fields -> Engineering -> Industrial and manufacturing engineering,All fields,Engineering,Industrial and manufacturing engineering,3,165,0.4,259,0.6,206,0.5,234,0.5,258,0.5,256,0.5,361,0.7
7529,r027,All fields -> Engineering -> Materials science engineering,All fields,Engineering,Materials science engineering,3,361,1.0,472,1.1,448,1.1,583,1.3,662,1.4,984,1.8,936,1.8
7529,r028,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,3,762,2.0,947,2.2,878,2.2,1045,2.3,1084,2.2,1297,2.4,1444,2.8
7529,r029,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,3,1234,3.3,1342,3.2,1061,2.6,1321,2.9,1525,3.1,2155,3.9,2336,4.5
7529,r030,All fields -> Education,All fields,Education,,2,6454,17.2,6785,16.0,6356,15.6,6122,13.4,4670,9.5,5146,9.4,4252,8.1
7529,r031,All fields -> Education -> Education administration,All fields,Education,Education administration,3,1913,5.1,2165,5.1,2077,5.1,2051,4.5,924,1.9,824,1.5,710,1.4
7529,r032,All fields -> Education -> Education research,All fields,Education,Education research,3,2354,6.3,2699,6.4,2637,6.5,2751,6.0,2378,4.9,2328,4.2,2167,4.1
7529,r033,All fields -> Education -> Teacher education,All fields,Education,Teacher education,3,408,1.1,371,0.9,296,0.7,250,0.5,204,0.4,180,0.3,111,0.2
7529,r034,All fields -> Education -> Teaching fields,All fields,Education,Teaching fields,3,973,2.6,864,2.0,723,1.8,707,1.5,805,1.6,1166,2.1,797,1.5
7529,r035,All fields -> Education -> Other education,All fields,Education,Other education,3,806,2.1,686,1.6,623,1.5,363,0.8,359,0.7,648,1.2,467,0.9
7529,r036,All fields -> Humanities and arts,All fields,Humanities and arts,,2,4053,10.8,4982,11.7,5430,13.3,5332,11.7,5225,10.7,5482,10.0,4137,7.9
7529,r037,All fields -> Humanities and arts -> Foreign languages and literature,All fields,Humanities and arts,Foreign languages and literature,3,498,1.3,605,1.4,620,1.5,614,1.3,644,1.3,599,1.1,377,0.7
7529,r038,All fields -> Humanities and arts -> History,All fields,Humanities and arts,History,3,663,1.8,857,2.0,1031,2.5,973,2.1,1065,2.2,1148,2.1,725,1.4
7529,r039,All fields -> Humanities and arts -> Letters,All fields,Humanities and arts,Letters,3,1204,3.2,1493,3.5,1493,3.7,1457,3.2,1513,3.1,1531,2.8,1192,2.3
7529,r040,All fields -> Humanities and arts -> Other humanities and arts,All fields,Humanities and arts,Other humanities and arts,3,1688,4.5,2027,4.8,2286,5.6,2288,5.0,2003,4.1,2204,4.0,1843,3.5
7529,r041,All fields -> Other,All fields,Other,,2,2129,5.7,2265,5.3,2062,5.1,2582,5.7,2683,5.5,2941,5.4,3002,5.7
7529,r042,All fields -> Other -> Business management and administration,All fields,Other,Business management and administration,3,1163,3.1,1279,3.0,1064,2.6,1311,2.9,1327,2.7,1509,2.8,1392,2.7
7529,r043,All fields -> Other -> Communication,All fields,Other,Communication,3,332,0.9,389,0.9,390,1.0,510,1.1,650,1.3,672,1.2,507,1.0
7529,r044,All fields -> Other -> Non-science and engineering fields nec,All fields,Other,Non-science and engineering fields nec,3,634,1.7,597,1.4,608,1.5,761,1.7,706,1.4,760,1.4,1103,2.1
