table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_companies_number_,field_designed_goods_that_were_manufactured_for_others_number_yes,field_designed_goods_that_were_manufactured_for_others_number_no,field_designed_goods_that_were_manufactured_for_others_percent_yes,field_designed_goods_that_were_manufactured_for_others_percent_no
11276,r037,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['4', 'r']","['2', 'r']","['2', 'r']","['50.0', 'r']","['50.0', 'r']"
11276,r038,All industries -> Nonmanufacturing industries -> Construction,All industries,Nonmanufacturing industries,Construction,,,3,23,"['1,733', '&nbsp;']","['1,003', '&nbsp;']","['730', '&nbsp;']","['57.9', '&nbsp;']","['42.1', '&nbsp;']"
11276,r039,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['7,989', '&nbsp;']","['4,998', '&nbsp;']","['2,991', '&nbsp;']","['62.6', '&nbsp;']","['37.4', '&nbsp;']"
11276,r040,All industries -> Nonmanufacturing industries -> Retail trade,All industries,Nonmanufacturing industries,Retail trade,,,3,44–45,"['4,740', '&nbsp;']","['2,848', '&nbsp;']","['1,892', '&nbsp;']","['60.1', '&nbsp;']","['39.9', '&nbsp;']"
11276,r041,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['593', '&nbsp;']","['214', '&nbsp;']","['379', '&nbsp;']","['36.1', '&nbsp;']","['63.9', '&nbsp;']"
11276,r042,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['285', '&nbsp;']","['126', '&nbsp;']","['159', '&nbsp;']","['44.3', '&nbsp;']","['55.7', '&nbsp;']"
11276,r043,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['90', '&nbsp;']","['44', '&nbsp;']","['46', '&nbsp;']","['48.9', '&nbsp;']","['51.1', '&nbsp;']"
11276,r044,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['68', '&nbsp;']","['29', '&nbsp;']","['39', '&nbsp;']","['42.6', '&nbsp;']","['57.4', '&nbsp;']"
11276,r045,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['23', '&nbsp;']","['16', '&nbsp;']","['7', 'r']","['69.6', 'r']","['30.4', 'r']"
11276,r046,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['10', '&nbsp;']","['0', '&nbsp;']","['10', '&nbsp;']","['0.0', '&nbsp;']","['100.0', '&nbsp;']"
11276,r047,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['23', '&nbsp;']","['7', 'r']","['16', '&nbsp;']","['30.0', 'r']","['70.0', 'r']"
11276,r048,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['163', 'r']","['75', 'r']","['88', 'r']","['46.0', '&nbsp;']","['54.0', '&nbsp;']"
11276,r049,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['85', 'r']","['85', 'r']","['0', '&nbsp;']","['100.0', '&nbsp;']","['0.0', '&nbsp;']"
11276,r050,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['326', 'r']","['145', 'r']","['181', 'r']","['44.5', '&nbsp;']","['55.5', '&nbsp;']"
11276,r051,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0.0', '&nbsp;']","['0.0', '&nbsp;']"
11276,r052,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['326', 'r']","['145', 'r']","['181', 'r']","['44.5', '&nbsp;']","['55.5', '&nbsp;']"
11276,r053,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['2,753', '&nbsp;']","['1,912', '&nbsp;']","['841', '&nbsp;']","['69.5', '&nbsp;']","['30.5', '&nbsp;']"
11276,r054,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Legal services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Legal services,,4,5411,"['37', 'r']","['37', 'r']","['0', '&nbsp;']","['100.0', 'r']","['0.0', '&nbsp;']"
11276,r055,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Accounting, tax preparation, bookkeeping, and payroll services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Accounting, tax preparation, bookkeeping, and payroll services",,4,5412,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0.0', '&nbsp;']","['0.0', '&nbsp;']"
11276,r056,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['817', '&nbsp;']","['664', '&nbsp;']","['153', 'r']","['81.3', '&nbsp;']","['18.7', 'r']"
11276,r057,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Specialized design services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Specialized design services,,4,5414,"['385', '&nbsp;']","['284', '&nbsp;']","['101', 'r']","['73.8', '&nbsp;']","['26.2', 'r']"
11276,r058,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['271', '&nbsp;']","['189', '&nbsp;']","['82', '&nbsp;']","['69.7', '&nbsp;']","['30.3', '&nbsp;']"
11276,r059,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Management, scientific, and technical consulting services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Management, scientific, and technical consulting services",,4,5416,"['625', '&nbsp;']","['344', '&nbsp;']","['281', '&nbsp;']","['55.0', '&nbsp;']","['45.0', '&nbsp;']"
11276,r060,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['363', '&nbsp;']","['235', '&nbsp;']","['128', '&nbsp;']","['64.7', '&nbsp;']","['35.3', '&nbsp;']"
11276,r061,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Advertising, public relations, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Advertising, public relations, and related services",,4,5418,"['189', '&nbsp;']","['101', '&nbsp;']","['88', '&nbsp;']","['53.4', '&nbsp;']","['46.6', '&nbsp;']"
11276,r062,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,5419,"['66', 'r']","['59', 'r']","['7', 'r']","['89.4', 'r']","['10.6', 'r']"
11276,r063,All industries -> Nonmanufacturing industries -> Management of companies and enterprises,All industries,Nonmanufacturing industries,Management of companies and enterprises,,,3,55,"['69', 'r']","['69', 'r']","['0', '&nbsp;']","['100.0', 'r']","['0.0', '&nbsp;']"
11276,r064,All industries -> Nonmanufacturing industries -> Administrative and support and waste management and remediation services,All industries,Nonmanufacturing industries,Administrative and support and waste management and remediation services,,,3,56,"['372', '&nbsp;']","['239', 'r']","['133', '&nbsp;']","['64.2', '&nbsp;']","['35.8', 'r']"
11276,r065,All industries -> Nonmanufacturing industries -> Educational services,All industries,Nonmanufacturing industries,Educational services,,,3,61,"['85', 'r']","['45', 'r']","['40', 'r']","['52.9', 'r']","['47.1', 'r']"
11276,r066,All industries -> Nonmanufacturing industries -> Health care and social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,,,3,62,"['917', '&nbsp;']","['527', '&nbsp;']","['390', '&nbsp;']","['57.5', '&nbsp;']","['42.5', '&nbsp;']"
11276,r067,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Health care services,All industries,Nonmanufacturing industries,Health care and social assistance,Health care services,,4,621–23,"['906', '&nbsp;']","['527', '&nbsp;']","['379', '&nbsp;']","['58.2', '&nbsp;']","['41.8', '&nbsp;']"
11276,r068,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,Social assistance,,4,624,"['10', 'r']","['0', '&nbsp;']","['10', 'r']","['0.0', '&nbsp;']","['100.0', 'r']"
11276,r069,"All industries -> Nonmanufacturing industries -> Arts, entertainment, and recreation",All industries,Nonmanufacturing industries,"Arts, entertainment, and recreation",,,3,71,"['43', 'r']","['42', 'r']","['1', '&nbsp;']","['97.7', 'r']","['2.3', '&nbsp;']"
11276,r070,All industries -> Nonmanufacturing industries -> Accommodation and food services,All industries,Nonmanufacturing industries,Accommodation and food services,,,3,72,"['1,209', '&nbsp;']","['800', '&nbsp;']","['409', 'i']","['66.2', '&nbsp;']","['33.8', '&nbsp;']"
11276,r071,All industries -> Nonmanufacturing industries -> Other services,All industries,Nonmanufacturing industries,Other services,,,3,81,"['1,137', '&nbsp;']","['870', '&nbsp;']","['267', '&nbsp;']","['76.5', '&nbsp;']","['23.5', '&nbsp;']"
