table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_all_r_da,field_paid_for_by_the_company,field_paid_for_by_others
7365,r040,United States -> Pennsylvania,United States,Pennsylvania,2,"['15,443', '&nbsp;']","['13,544', '&nbsp;']","['1,899', 'i']"
7365,r041,United States -> Rhode Island,United States,Rhode Island,2,"['700', 'i']","['581', 'i']","['119', '&nbsp;']"
7365,r042,United States -> South Carolina,United States,South Carolina,2,"['1,567', '&nbsp;']","['1,337', '&nbsp;']","['230', '&nbsp;']"
7365,r043,United States -> South Dakota,United States,South Dakota,2,"['216', '&nbsp;']","['209', '&nbsp;']","['7', '&nbsp;']"
7365,r044,United States -> Tennessee,United States,Tennessee,2,"['1,820', '&nbsp;']","['1,568', '&nbsp;']","['251', '&nbsp;']"
7365,r045,United States -> Texas,United States,Texas,2,"['26,084', '&nbsp;']","['22,834', '&nbsp;']","['3,250', 'i']"
7365,r046,United States -> Utah,United States,Utah,2,"['3,285', '&nbsp;']","['2,981', '&nbsp;']","['304', '&nbsp;']"
7365,r047,United States -> Vermont,United States,Vermont,2,"['368', '&nbsp;']","['295', '&nbsp;']","['73', '&nbsp;']"
7365,r048,United States -> Virginia,United States,Virginia,2,"['7,235', '&nbsp;']","['5,072', '&nbsp;']","['2,163', '&nbsp;']"
7365,r049,United States -> Washington,United States,Washington,2,"['41,615', '&nbsp;']","['40,576', '&nbsp;']","['1,038', '&nbsp;']"
7365,r050,United States -> West Virginia,United States,West Virginia,2,"['229', '&nbsp;']","['203', '&nbsp;']","['25', '&nbsp;']"
7365,r051,United States -> Wisconsin,United States,Wisconsin,2,"['6,430', '&nbsp;']","['5,506', '&nbsp;']","['924', '&nbsp;']"
7365,r052,United States -> Wyoming,United States,Wyoming,2,"['1,047', '&nbsp;']","['1,035', '&nbsp;']","['11', '&nbsp;']"
7365,r053,United States -> Undistributed funds<sup>b</sup>,United States,Undistributed funds<sup>b</sup>,2,"['807', '&nbsp;']","['707', '&nbsp;']","['100', '&nbsp;']"
