table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_hierarchy_depth,field_1993_extremely_dangerous_or_very_dangerous,field_1993_somewhat_dangerous,field_1993_not_very_dangerous_or_not_dangerous,field_1993_don_t_know,field_1994_extremely_dangerous_or_very_dangerous,field_1994_somewhat_dangerous,field_1994_not_very_dangerous_or_not_dangerous,field_1994_don_t_know,field_2000_extremely_dangerous_or_very_dangerous,field_2000_somewhat_dangerous,field_2000_not_very_dangerous_or_not_dangerous,field_2000_don_t_know,field_2010_extremely_dangerous_or_very_dangerous,field_2010_somewhat_dangerous,field_2010_not_very_dangerous_or_not_dangerous,field_2010_don_t_know,field_2016_extremely_dangerous_or_very_dangerous,field_2016_somewhat_dangerous,field_2016_not_very_dangerous_or_not_dangerous,field_2016_don_t_know,field_2018_extremely_dangerous_or_very_dangerous,field_2018_somewhat_dangerous,field_2018_not_very_dangerous_or_not_dangerous,field_2018_don_t_know
2274,r011,"Science and mathematics education<sup>a,b</sup>","Science and mathematics education<sup>a,b</sup>",,1,,,,,,,,,,,,,,,,,,,,,,,,
2274,r012,"Science and mathematics education<sup>a,b</sup> -> Low (<i>n</i> = na; na; na; 116; 500; 408)","Science and mathematics education<sup>a,b</sup>",Low (<i>n</i> = na; na; na; 116; 500; 408),2,na,na,na,na,na,na,na,na,na,na,na,na,41,49,9,1,60,31,8,2,66,28,5,2
2274,r013,"Science and mathematics education<sup>a,b</sup> -> Middle (<i>n</i> = na; na; na; 52; 180; 154)","Science and mathematics education<sup>a,b</sup>",Middle (<i>n</i> = na; na; na; 52; 180; 154),2,na,na,na,na,na,na,na,na,na,na,na,na,49,42,6,3,63,34,2,1,68,25,6,1
2274,r014,"Science and mathematics education<sup>a,b</sup> -> High (<i>n</i> = na; na; na; 54; 179; 159)","Science and mathematics education<sup>a,b</sup>",High (<i>n</i> = na; na; na; 54; 179; 159),2,na,na,na,na,na,na,na,na,na,na,na,na,32,44,22,2,64,26,9,0,57,39,3,1
2274,r015,Family income (quartile)<sup>a</sup>,Family income (quartile)<sup>a</sup>,,1,,,,,,,,,,,,,,,,,,,,,,,,
2274,r016,Family income (quartile)<sup>a</sup> -> Bottom (<i>n</i> = na; na; na; na; 211; 184),Family income (quartile)<sup>a</sup>,Bottom (<i>n</i> = na; na; na; na; 211; 184),2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,62,29,6,2,65,28,6,0.05
2274,r017,Family income (quartile)<sup>a</sup> -> Third (<i>n</i> = na; na; na; na; 184; 147),Family income (quartile)<sup>a</sup>,Third (<i>n</i> = na; na; na; na; 184; 147),2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,60,32,6,2,62,30,8,0
2274,r018,Family income (quartile)<sup>a</sup> -> Second (<i>n</i> = na; na; na; na; 223; 190),Family income (quartile)<sup>a</sup>,Second (<i>n</i> = na; na; na; na; 223; 190),2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,67,27,5,0.05,69,27,3,0.05
2274,r019,Family income (quartile)<sup>a</sup> -> Top (<i>n</i> = na; na; na; na; 211; 201),Family income (quartile)<sup>a</sup>,Top (<i>n</i> = na; na; na; na; 211; 201),2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,60,32,8,0.05,61,35,3,1
2274,r020,Age (years)<sup>a</sup>,Age (years)<sup>a</sup>,,1,,,,,,,,,,,,,,,,,,,,,,,,
2274,r021,Age (years)<sup>a</sup> -> 18&#8211;24 (<i>n</i> = 132; 97; 113; 137; 59; 57),Age (years)<sup>a</sup>,18&#8211;24 (<i>n</i> = 132; 97; 113; 137; 59; 57),2,37,47,13,3,30,50,14,6,39,42,14,5,46,39,9,6,57,33,7,2,57,31,12,0
2274,r022,Age (years)<sup>a</sup> -> 25&#8211;34 (<i>n</i> = 325; 330; 256; 246; 160; 148),Age (years)<sup>a</sup>,25&#8211;34 (<i>n</i> = 325; 330; 256; 246; 160; 148),2,34,51,13,2,29,55,12,4,44,41,8,7,43,40,12,5,66,27,6,1,63,32,4,1
2274,r023,Age (years)<sup>a</sup> -> 35&#8211;44 (<i>n</i> = 383; 305; 297; 263; 135; 139),Age (years)<sup>a</sup>,35&#8211;44 (<i>n</i> = 383; 305; 297; 263; 135; 139),2,41,48,8,3,38,47,10,5,47,40,6,7,57,35,6,2,74,23,3,0,59,30,9,2
2274,r024,Age (years)<sup>a</sup> -> 45&#8211;54 (<i>n</i> = 251; 261; 245; 260; 158; 130),Age (years)<sup>a</sup>,45&#8211;54 (<i>n</i> = 251; 261; 245; 260; 158; 130),2,38,49,9,4,37,45,12,6,49,36,8,6,58,33,6,3,61,31,6,2,70,27,2,1
2274,r025,Age (years)<sup>a</sup> -> 55&#8211;64 (<i>n</i> = 171; 158; 144; 234; 168; 114),Age (years)<sup>a</sup>,55&#8211;64 (<i>n</i> = 171; 158; 144; 234; 168; 114),2,39,47,9,4,28,49,15,8,41,45,7,7,57,35,6,1,59,32,8,2,67,30,3,0
2274,r026,Age (years)<sup>a</sup> -> 65 or older (<i>n</i> = 291; 233; 220; 287; 228; 195),Age (years)<sup>a</sup>,65 or older (<i>n</i> = 291; 233; 220; 287; 228; 195),2,32,47,13,8,30,48,16,6,46,34,10,10,49,39,8,3,54,35,8,2,63,29,4,4
2274,r027,Correct answers to questions about basic scientific facts<sup>c</sup>,Correct answers to questions about basic scientific facts<sup>c</sup>,,1,,,,,,,,,,,,,,,,,,,,,,,,
2274,r028,Correct answers to questions about basic scientific facts<sup>c</sup> -> Low (<i>n</i> = na; na; na; 60; 168; 150),Correct answers to questions about basic scientific facts<sup>c</sup>,Low (<i>n</i> = na; na; na; 60; 168; 150),2,na,na,na,na,na,na,na,na,na,na,na,na,48,39,7,6,59,26,9,6,65,26,4,6
2274,r029,Correct answers to questions about basic scientific facts<sup>c</sup> -> Middle (<i>n</i> = na; na; na; 134; 397; 345),Correct answers to questions about basic scientific facts<sup>c</sup>,Middle (<i>n</i> = na; na; na; 134; 397; 345),2,na,na,na,na,na,na,na,na,na,na,na,na,46,44,9,1,59,34,6,1,64,30,6,1
2274,r030,Correct answers to questions about basic scientific facts<sup>c</sup> -> High (<i>n</i> = na; na; na; 133; 346; 290),Correct answers to questions about basic scientific facts<sup>c</sup>,High (<i>n</i> = na; na; na; 133; 346; 290),2,na,na,na,na,na,na,na,na,na,na,na,na,44,40,12,3,66,29,6,0.05,64,32,4,1
