table_id,row_id,employment_sector_and_occupation_full_path,employment_sector_and_occupation_level_1,employment_sector_and_occupation_level_2,employment_sector_and_occupation_level_3,employment_sector_and_occupation_level_4,employment_sector_and_occupation_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_hispanic_or_latinoa_median_salary,field_hispanic_or_latinoa_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_median_salary,field_not_hispanic_or_latinob_american_indian_or_alaska_native_se,field_not_hispanic_or_latinob_asian_median_salary,field_not_hispanic_or_latinob_asian_se,field_not_hispanic_or_latinob_black_or_african_american_median_salary,field_not_hispanic_or_latinob_black_or_african_american_se,field_not_hispanic_or_latinob_white_median_salary,field_not_hispanic_or_latinob_white_se,field_not_hispanic_or_latinob_other_racec_median_salary,field_not_hispanic_or_latinob_other_racec_se
8163,r048,"All sectors -> Private, nonprofit -> Science occupations -> Computer and information scientists",All sectors,"Private, nonprofit",Science occupations,Computer and information scientists,4,131000,4000,85000,27500,,,118000,9000,0.05,0.05,138000,15000,S,S
8163,r049,"All sectors -> Private, nonprofit -> Science occupations -> Mathematical scientists",All sectors,"Private, nonprofit",Science occupations,Mathematical scientists,4,141000,11000,147000,28000,,,115000,12500,149000,18500,146000,11500,,
8163,r050,"All sectors -> Private, nonprofit -> Science occupations -> Physical scientists",All sectors,"Private, nonprofit",Science occupations,Physical scientists,4,137000,4500,90000,18500,,,126000,22000,98000,12500,141000,6000,S,S
8163,r051,"All sectors -> Private, nonprofit -> Science occupations -> Psychologists",All sectors,"Private, nonprofit",Science occupations,Psychologists,4,109000,4000,95000,7500,,,109000,16000,100000,10500,110000,2000,,
8163,r052,"All sectors -> Private, nonprofit -> Science occupations -> Social scientists",All sectors,"Private, nonprofit",Science occupations,Social scientists,4,131000,7500,98000,16500,,,159000,35500,118000,19000,135000,7000,S,S
8163,r053,"All sectors -> Private, nonprofit -> Engineering occupations",All sectors,"Private, nonprofit",Engineering occupations,,3,143000,5500,138000,7500,,,137000,7000,123000,18500,150000,9000,87000,43000
8163,r054,"All sectors -> Private, nonprofit -> S&E-related occupations",All sectors,"Private, nonprofit",S&E-related occupations,,3,149000,7000,137000,9500,,,140000,26500,183000,30000,149000,9000,149000,23000
8163,r055,"All sectors -> Private, nonprofit -> Non-S&E occupations",All sectors,"Private, nonprofit",Non-S&E occupations,,3,120000,4000,95000,14500,S,S,125000,36500,98000,13500,124000,5000,85000,14500
8163,r056,All sectors -> Federal government,All sectors,Federal government,,,2,131000,2500,119000,1500,131000,10500,135000,5500,120000,3500,134000,2000,120000,7000
8163,r057,All sectors -> Federal government -> Science occupations,All sectors,Federal government,Science occupations,,3,128000,2500,118000,5000,,,133000,6500,113000,5500,129000,2000,119000,7500
8163,r058,"All sectors -> Federal government -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,Federal government,Science occupations,"Biological, agricultural, and other life scientists",4,124000,3000,109000,8000,,,129000,6000,109000,6500,124000,3000,111000,8500
8163,r059,All sectors -> Federal government -> Science occupations -> Computer and information scientists,All sectors,Federal government,Science occupations,Computer and information scientists,4,138000,5000,117000,9500,,,138000,15000,135000,9000,138000,9000,0.05,0.05
8163,r060,All sectors -> Federal government -> Science occupations -> Mathematical scientists,All sectors,Federal government,Science occupations,Mathematical scientists,4,135000,5500,156000,13000,,,134000,10000,120000,4500,135000,8500,0.05,0.05
8163,r061,All sectors -> Federal government -> Science occupations -> Physical scientists,All sectors,Federal government,Science occupations,Physical scientists,4,135000,4000,110000,11500,,,125000,17000,114000,9000,139000,3500,109000,6000
8163,r062,All sectors -> Federal government -> Science occupations -> Psychologists,All sectors,Federal government,Science occupations,Psychologists,4,115000,2000,109000,5500,,,121000,13000,102000,4000,115000,2000,120000,11000
8163,r063,All sectors -> Federal government -> Science occupations -> Social scientists,All sectors,Federal government,Science occupations,Social scientists,4,137000,3500,122000,16000,,,163000,5000,113000,11500,137000,3500,,
8163,r064,All sectors -> Federal government -> Engineering occupations,All sectors,Federal government,Engineering occupations,,3,140000,3000,124000,4500,,,141000,12000,144000,4000,141000,4000,129000,18000
8163,r065,All sectors -> Federal government -> S&E-related occupations,All sectors,Federal government,S&E-related occupations,,3,150000,4500,137000,21000,,,130000,22500,149000,4500,154000,6500,133000,38000
8163,r066,All sectors -> Federal government -> Non-S&E occupations,All sectors,Federal government,Non-S&E occupations,,3,144000,3500,121000,4000,,,138000,16000,138000,22500,146000,4000,0.05,0.05
8163,r067,All sectors -> State or local government,All sectors,State or local government,,,2,105000,3000,93000,5000,S,S,105000,5500,93000,7000,105000,2000,111000,20000
8163,r068,All sectors -> State or local government -> Science occupations,All sectors,State or local government,Science occupations,,3,100000,1500,87000,3500,,,99000,6000,87000,8500,100000,4000,90000,19500
8163,r069,"All sectors -> State or local government -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,State or local government,Science occupations,"Biological, agricultural, and other life scientists",4,89000,4000,86000,5000,,,95000,20000,88000,16000,89000,5500,70000,31000
8163,r070,All sectors -> State or local government -> Science occupations -> Computer and information scientists,All sectors,State or local government,Science occupations,Computer and information scientists,4,112000,21000,,,,,98000,7000,S,S,127000,14000,,
8163,r071,All sectors -> State or local government -> Science occupations -> Mathematical scientists,All sectors,State or local government,Science occupations,Mathematical scientists,4,78000,7500,,,,,108000,20000,,,75000,3500,,
8163,r072,All sectors -> State or local government -> Science occupations -> Physical scientists,All sectors,State or local government,Science occupations,Physical scientists,4,116000,16000,90000,18500,,,97000,4000,118000,37000,138000,13000,,
8163,r073,All sectors -> State or local government -> Science occupations -> Psychologists,All sectors,State or local government,Science occupations,Psychologists,4,103000,2500,,,,,,,81000,9000,104000,3500,,
8163,r074,All sectors -> State or local government -> Science occupations -> Social scientists,All sectors,State or local government,Science occupations,Social scientists,4,100000,4000,83000,10500,,,105000,12000,93000,8000,100000,4500,,
8163,r075,All sectors -> State or local government -> Engineering occupations,All sectors,State or local government,Engineering occupations,,3,110000,11000,108000,28000,,,96000,5000,103000,11500,144000,25000,,
8163,r076,All sectors -> State or local government -> S&E-related occupations,All sectors,State or local government,S&E-related occupations,,3,119000,4500,89000,8000,,,120000,21000,135000,49500,114000,6500,S,S
8163,r077,All sectors -> State or local government -> Non-S&E occupations,All sectors,State or local government,Non-S&E occupations,,3,105000,5500,106000,18000,,,134000,17000,89000,13000,104000,7500,117000,23500
8163,r078,All sectors -> Self-employed<sup>g</sup>,All sectors,Self-employed<sup>g</sup>,,,2,109000,9500,79000,11000,,,118000,19500,89000,26500,115000,7000,113000,17500
8163,r079,All sectors -> Self-employed<sup>g</sup> -> Science occupations,All sectors,Self-employed<sup>g</sup>,Science occupations,,3,118000,6500,76000,22000,,,96000,7500,93000,37000,119000,4000,120000,9000
8163,r080,"All sectors -> Self-employed<sup>g</sup> -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,Self-employed<sup>g</sup>,Science occupations,"Biological, agricultural, and other life scientists",4,97000,30000,S,S,,,,,S,S,108000,32500,,
8163,r081,All sectors -> Self-employed<sup>g</sup> -> Science occupations -> Computer and information scientists,All sectors,Self-employed<sup>g</sup>,Science occupations,Computer and information scientists,4,104000,32000,,,,,S,S,,,155000,45500,,
8163,r082,All sectors -> Self-employed<sup>g</sup> -> Science occupations -> Mathematical scientists,All sectors,Self-employed<sup>g</sup>,Science occupations,Mathematical scientists,4,97000,39500,,,,,,,,,96000,46500,,
8163,r083,All sectors -> Self-employed<sup>g</sup> -> Science occupations -> Physical scientists,All sectors,Self-employed<sup>g</sup>,Science occupations,Physical scientists,4,57000,22000,,,,,,,,,45000,14000,,
8163,r084,All sectors -> Self-employed<sup>g</sup> -> Science occupations -> Psychologists,All sectors,Self-employed<sup>g</sup>,Science occupations,Psychologists,4,120000,5000,89000,13500,,,,,99000,23500,122000,5000,,
8163,r085,All sectors -> Self-employed<sup>g</sup> -> Science occupations -> Social scientists,All sectors,Self-employed<sup>g</sup>,Science occupations,Social scientists,4,111000,14500,,,,,S,S,,,111000,12500,,
8163,r086,All sectors -> Self-employed<sup>g</sup> -> Engineering occupations,All sectors,Self-employed<sup>g</sup>,Engineering occupations,,3,94000,4500,,,,,117000,32500,,,92000,8500,,
8163,r087,All sectors -> Self-employed<sup>g</sup> -> S&E-related occupations,All sectors,Self-employed<sup>g</sup>,S&E-related occupations,,3,123000,36000,,,,,305000,99000,,,90000,27500,,
8163,r088,All sectors -> Self-employed<sup>g</sup> -> Non-S&E occupations,All sectors,Self-employed<sup>g</sup>,Non-S&E occupations,,3,90000,11500,70000,10000,,,118000,25500,71000,21500,86000,11500,,
8163,r089,All sectors -> Other sector<sup>h</sup>,All sectors,Other sector<sup>h</sup>,,,2,140000,7000,159000,18500,,,135000,11500,120000,25500,140000,7500,159000,47500
8163,r090,All sectors -> Other sector<sup>h</sup> -> Science occupations,All sectors,Other sector<sup>h</sup>,Science occupations,,3,129000,10000,188000,30500,,,142000,29500,121000,19000,122000,7500,118000,22500
8163,r091,"All sectors -> Other sector<sup>h</sup> -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,Other sector<sup>h</sup>,Science occupations,"Biological, agricultural, and other life scientists",4,84000,6000,,,,,S,S,,,88000,19000,,
8163,r092,All sectors -> Other sector<sup>h</sup> -> Science occupations -> Computer and information scientists,All sectors,Other sector<sup>h</sup>,Science occupations,Computer and information scientists,4,170000,37000,,,,,202000,57000,,,,,,
8163,r093,All sectors -> Other sector<sup>h</sup> -> Science occupations -> Mathematical scientists,All sectors,Other sector<sup>h</sup>,Science occupations,Mathematical scientists,4,S,S,,,,,S,S,,,S,S,,
8163,r094,All sectors -> Other sector<sup>h</sup> -> Science occupations -> Physical scientists,All sectors,Other sector<sup>h</sup>,Science occupations,Physical scientists,4,123000,10500,,,,,92000,26000,,,127000,9000,,
8163,r095,All sectors -> Other sector<sup>h</sup> -> Science occupations -> Psychologists,All sectors,Other sector<sup>h</sup>,Science occupations,Psychologists,4,80000,14000,,,,,,,,,79000,15000,,
8163,r096,All sectors -> Other sector<sup>h</sup> -> Science occupations -> Social scientists,All sectors,Other sector<sup>h</sup>,Science occupations,Social scientists,4,174000,22500,195000,9500,,,S,S,,,170000,25500,,
8163,r097,All sectors -> Other sector<sup>h</sup> -> Engineering occupations,All sectors,Other sector<sup>h</sup>,Engineering occupations,,3,140000,6500,,,,,130000,4500,,,153000,4500,,
8163,r098,All sectors -> Other sector<sup>h</sup> -> S&E-related occupations,All sectors,Other sector<sup>h</sup>,S&E-related occupations,,3,190000,36500,,,,,S,S,,,168000,68500,,
8163,r099,All sectors -> Other sector<sup>h</sup> -> Non-S&E occupations,All sectors,Other sector<sup>h</sup>,Non-S&E occupations,,3,147000,27500,141000,40500,,,131000,17500,,,136000,39500,,
