table_id,row_id,_b_country_or_economy_of_citizenship_b_full_path,_b_country_or_economy_of_citizenship_b_level_1,_b_country_or_economy_of_citizenship_b_level_2,_b_country_or_economy_of_citizenship_b_level_3,_b_country_or_economy_of_citizenship_b_hierarchy_depth,field_2016_number,field_2016_staying,field_2017_number,field_2017_staying,field_2018_number,field_2018_staying,field_2019_number,field_2019_staying,field_2020_number,field_2020_staying,field_2021_number,field_2021_staying,field_2022_number,field_2022_staying
9582,r015,All temporary visa holders reporting intention to stay -> Africa -> Other,All temporary visa holders reporting intention to stay,Africa,Other,3,83,59.0,93,67.7,104,66.3,109,60.6,133,59.4,102,67.6,108,69.4
9582,r016,All temporary visa holders reporting intention to stay -> Americas,All temporary visa holders reporting intention to stay,Americas,,2,1503,57.5,1445,56.5,1474,60.0,1534,60.8,1663,60.3,1499,64.2,1704,68.1
9582,r017,All temporary visa holders reporting intention to stay -> Americas -> Canada,All temporary visa holders reporting intention to stay,Americas,Canada,3,408,56.6,409,59.2,431,62.2,427,62.3,398,57.8,369,54.5,474,59.1
9582,r018,All temporary visa holders reporting intention to stay -> Americas -> Brazil,All temporary visa holders reporting intention to stay,Americas,Brazil,3,156,56.4,168,61.3,178,61.2,253,63.6,318,60.7,274,72.3,283,73.5
9582,r019,All temporary visa holders reporting intention to stay -> Americas -> Mexico,All temporary visa holders reporting intention to stay,Americas,Mexico,3,221,61.1,180,69.4,185,71.4,187,64.2,236,64.0,218,71.6,226,76.1
9582,r020,All temporary visa holders reporting intention to stay -> Americas -> Colombia,All temporary visa holders reporting intention to stay,Americas,Colombia,3,187,61.5,190,48.4,205,52.7,202,58.9,191,60.2,191,66.5,224,66.5
9582,r021,All temporary visa holders reporting intention to stay -> Americas -> Chile,All temporary visa holders reporting intention to stay,Americas,Chile,3,130,32.3,128,25.8,91,39.6,100,35.0,106,43.4,85,54.1,92,64.1
9582,r022,All temporary visa holders reporting intention to stay -> Americas -> Argentina,All temporary visa holders reporting intention to stay,Americas,Argentina,3,65,61.5,52,69.2,60,66.7,52,61.5,64,68.8,46,63.0,42,71.4
9582,r023,All temporary visa holders reporting intention to stay -> Americas -> Peru,All temporary visa holders reporting intention to stay,Americas,Peru,3,56,69.6,50,70.0,46,50.0,51,76.5,55,72.7,48,72.9,63,76.2
9582,r024,All temporary visa holders reporting intention to stay -> Americas -> Ecuador,All temporary visa holders reporting intention to stay,Americas,Ecuador,3,42,40.5,49,36.7,44,38.6,50,42.0,49,63.3,54,59.3,45,77.8
9582,r025,All temporary visa holders reporting intention to stay -> Americas -> Jamaica,All temporary visa holders reporting intention to stay,Americas,Jamaica,3,34,76.5,29,69.0,44,54.5,32,68.8,30,80.0,30,60.0,28,67.9
9582,r026,All temporary visa holders reporting intention to stay -> Americas -> Costa Rica,All temporary visa holders reporting intention to stay,Americas,Costa Rica,3,33,42.4,24,45.8,28,50.0,26,38.5,31,41.9,35,51.4,41,63.4
9582,r027,All temporary visa holders reporting intention to stay -> Americas -> Venezuela,All temporary visa holders reporting intention to stay,Americas,Venezuela,3,27,,31,67.7,26,76.9,28,82.1,32,,30,,43,
9582,r028,All temporary visa holders reporting intention to stay -> Americas -> Uruguay,All temporary visa holders reporting intention to stay,Americas,Uruguay,3,13,,7,,15,,18,55.6,15,46.7,16,50.0,18,50.0
9582,r029,All temporary visa holders reporting intention to stay -> Americas -> Honduras,All temporary visa holders reporting intention to stay,Americas,Honduras,3,15,,12,58.3,14,,13,,10,,12,100.0,19,
9582,r030,All temporary visa holders reporting intention to stay -> Americas -> Guatemala,All temporary visa holders reporting intention to stay,Americas,Guatemala,3,12,,12,41.7,12,,11,,17,70.6,13,46.2,14,
9582,r031,All temporary visa holders reporting intention to stay -> Americas -> Dominican Republic,All temporary visa holders reporting intention to stay,Americas,Dominican Republic,3,13,,8,,10,50.0,6,,18,33.3,8,,18,
9582,r032,All temporary visa holders reporting intention to stay -> Americas -> Other,All temporary visa holders reporting intention to stay,Americas,Other,3,91,,96,63.5,85,74.1,78,66.7,93,,70,67.1,74,66.2
9582,r033,All temporary visa holders reporting intention to stay -> Asia,All temporary visa holders reporting intention to stay,Asia,,2,11016,78.1,10640,80.0,11323,77.5,11622,77.2,11813,79.0,11640,75.0,12856,78.3
9582,r034,All temporary visa holders reporting intention to stay -> Asia -> China<sup>a</sup>,All temporary visa holders reporting intention to stay,Asia,China<sup>a</sup>,3,5527,81.0,5553,83.3,6188,79.4,6316,79.2,6335,80.1,6200,73.9,6664,76.7
9582,r035,All temporary visa holders reporting intention to stay -> Asia -> India,All temporary visa holders reporting intention to stay,Asia,India,3,2195,87.2,1970,88.5,2045,87.1,2056,85.9,2250,88.0,2300,85.8,2671,88.2
9582,r036,All temporary visa holders reporting intention to stay -> Asia -> South Korea,All temporary visa holders reporting intention to stay,Asia,South Korea,3,1229,66.7,1128,68.5,1039,63.6,1168,65.3,1055,66.9,1036,63.8,1076,65.1
9582,r037,All temporary visa holders reporting intention to stay -> Asia -> Taiwan,All temporary visa holders reporting intention to stay,Asia,Taiwan,3,592,77.9,520,76.7,514,78.0,492,73.4,468,76.9,410,73.9,416,80.3
9582,r038,All temporary visa holders reporting intention to stay -> Asia -> Bangladesh,All temporary visa holders reporting intention to stay,Asia,Bangladesh,3,185,90.3,236,88.1,280,88.2,292,86.0,392,86.0,397,88.4,551,88.6
9582,r039,All temporary visa holders reporting intention to stay -> Asia -> Nepal,All temporary visa holders reporting intention to stay,Asia,Nepal,3,222,88.7,221,91.9,225,88.9,241,89.6,226,94.7,252,92.9,313,92.0
9582,r040,All temporary visa holders reporting intention to stay -> Asia -> Sri Lanka,All temporary visa holders reporting intention to stay,Asia,Sri Lanka,3,132,78.0,146,81.5,150,85.3,151,83.4,174,85.1,181,76.8,208,81.7
9582,r041,All temporary visa holders reporting intention to stay -> Asia -> Vietnam,All temporary visa holders reporting intention to stay,Asia,Vietnam,3,124,71.8,133,75.9,122,80.3,168,76.2,166,74.1,152,79.6,207,86.5
9582,r042,All temporary visa holders reporting intention to stay -> Asia -> Thailand,All temporary visa holders reporting intention to stay,Asia,Thailand,3,185,30.3,171,25.7,177,31.1,159,30.2,127,30.7,125,,112,48.2
9582,r043,All temporary visa holders reporting intention to stay -> Asia -> Pakistan,All temporary visa holders reporting intention to stay,Asia,Pakistan,3,102,45.1,113,54.0,110,59.1,112,64.3,157,70.7,135,63.7,166,68.7
9582,r044,All temporary visa holders reporting intention to stay -> Asia -> Japan,All temporary visa holders reporting intention to stay,Asia,Japan,3,166,53.6,117,58.1,118,50.0,128,51.6,114,50.0,123,49.6,121,52.1
9582,r045,All temporary visa holders reporting intention to stay -> Asia -> Singapore,All temporary visa holders reporting intention to stay,Asia,Singapore,3,91,38.5,101,41.6,81,25.9,100,38.0,107,49.5,72,37.5,77,50.6
9582,r046,All temporary visa holders reporting intention to stay -> Asia -> Indonesia,All temporary visa holders reporting intention to stay,Asia,Indonesia,3,92,43.5,69,50.7,81,34.6,79,43.0,77,44.2,78,47.4,76,38.2
9582,r047,All temporary visa holders reporting intention to stay -> Asia -> Malaysia,All temporary visa holders reporting intention to stay,Asia,Malaysia,3,72,55.6,65,47.7,83,59.0,71,50.7,59,52.5,61,70.5,71,77.5
9582,r048,All temporary visa holders reporting intention to stay -> Asia -> Philippines,All temporary visa holders reporting intention to stay,Asia,Philippines,3,51,76.5,47,70.2,57,73.7,38,65.8,45,64.4,58,51.7,55,
9582,r049,All temporary visa holders reporting intention to stay -> Asia -> Kazakhstan,All temporary visa holders reporting intention to stay,Asia,Kazakhstan,3,12,,6,,8,,11,,17,70.6,18,72.2,16,68.8
9582,r050,All temporary visa holders reporting intention to stay -> Asia -> Burma,All temporary visa holders reporting intention to stay,Asia,Burma,3,8,,6,,6,,9,,9,,7,,6,
9582,r051,All temporary visa holders reporting intention to stay -> Asia -> Other,All temporary visa holders reporting intention to stay,Asia,Other,3,31,58.1,38,57.9,39,69.2,31,71.0,35,60.0,35,68.6,50,80.0
9582,r052,All temporary visa holders reporting intention to stay -> Australia-Oceania,All temporary visa holders reporting intention to stay,Australia-Oceania,,2,65,61.5,79,62.0,66,57.6,81,71.6,80,63.8,69,63.8,76,55.3
9582,r053,All temporary visa holders reporting intention to stay -> Australia-Oceania -> Australia,All temporary visa holders reporting intention to stay,Australia-Oceania,Australia,3,42,66.7,47,72.3,37,64.9,53,73.6,51,66.7,39,64.1,50,54.0
9582,r054,All temporary visa holders reporting intention to stay -> Australia-Oceania -> New Zealand,All temporary visa holders reporting intention to stay,Australia-Oceania,New Zealand,3,23,52.2,,,23,56.5,,,,,30,63.3,,
9582,r055,All temporary visa holders reporting intention to stay -> Australia-Oceania -> Other,All temporary visa holders reporting intention to stay,Australia-Oceania,Other,3,0,0.0,,,6,16.7,,,,,0,0.0,,
9582,r056,All temporary visa holders reporting intention to stay -> Europe,All temporary visa holders reporting intention to stay,Europe,,2,1776,62.7,1785,67.4,1807,63.3,1757,64.4,1711,67.2,1682,63.7,1747,68.7
9582,r057,All temporary visa holders reporting intention to stay -> Europe -> Turkey,All temporary visa holders reporting intention to stay,Europe,Turkey,3,472,57.6,496,61.1,454,59.7,406,64.5,371,70.1,330,63.0,354,69.5
9582,r058,All temporary visa holders reporting intention to stay -> Europe -> Italy,All temporary visa holders reporting intention to stay,Europe,Italy,3,167,65.9,161,70.8,139,72.7,174,63.8,170,64.1,145,57.2,193,70.5
9582,r059,All temporary visa holders reporting intention to stay -> Europe -> Germany,All temporary visa holders reporting intention to stay,Europe,Germany,3,183,61.2,154,68.2,144,54.2,152,57.9,151,54.3,187,58.3,160,65.0
9582,r060,All temporary visa holders reporting intention to stay -> Europe -> United Kingdom,All temporary visa holders reporting intention to stay,Europe,United Kingdom,3,115,54.8,103,60.2,110,60.0,128,62.5,119,66.4,152,59.2,138,63.8
9582,r061,All temporary visa holders reporting intention to stay -> Europe -> Russia,All temporary visa holders reporting intention to stay,Europe,Russia,3,108,69.4,112,81.3,154,73.4,111,73.0,120,82.5,112,66.1,106,72.6
9582,r062,All temporary visa holders reporting intention to stay -> Europe -> France,All temporary visa holders reporting intention to stay,Europe,France,3,105,66.7,107,69.2,133,64.7,118,67.8,118,66.9,106,67.0,133,65.4
9582,r063,All temporary visa holders reporting intention to stay -> Europe -> Spain,All temporary visa holders reporting intention to stay,Europe,Spain,3,73,61.6,100,74.0,104,61.5,130,57.7,122,62.3,129,71.3,146,67.8
9582,r064,All temporary visa holders reporting intention to stay -> Europe -> Greece,All temporary visa holders reporting intention to stay,Europe,Greece,3,84,71.4,89,73.0,114,78.1,90,73.3,89,77.5,112,75.0,115,75.7
9582,r065,All temporary visa holders reporting intention to stay -> Europe -> Romania,All temporary visa holders reporting intention to stay,Europe,Romania,3,51,88.2,43,81.4,47,61.7,48,,25,,27,77.8,22,
9582,r066,All temporary visa holders reporting intention to stay -> Europe -> Netherlands,All temporary visa holders reporting intention to stay,Europe,Netherlands,3,40,50.0,27,55.6,30,66.7,38,55.3,39,59.0,40,42.5,32,68.8
9582,r067,All temporary visa holders reporting intention to stay -> Europe -> Ukraine,All temporary visa holders reporting intention to stay,Europe,Ukraine,3,31,71.0,37,83.8,35,74.3,43,81.4,43,83.7,32,75.0,23,
9582,r068,All temporary visa holders reporting intention to stay -> Europe -> Poland,All temporary visa holders reporting intention to stay,Europe,Poland,3,27,70.4,30,66.7,33,60.6,34,70.6,34,61.8,34,73.5,33,75.8
9582,r069,All temporary visa holders reporting intention to stay -> Europe -> Switzerland,All temporary visa holders reporting intention to stay,Europe,Switzerland,3,18,44.4,32,65.6,42,38.1,21,38.1,22,63.6,28,64.3,21,33.3
9582,r070,All temporary visa holders reporting intention to stay -> Europe -> Portugal,All temporary visa holders reporting intention to stay,Europe,Portugal,3,33,39.4,32,56.3,25,52.0,24,62.5,20,55.0,17,58.8,24,50.0
9582,r071,All temporary visa holders reporting intention to stay -> Europe -> Bulgaria,All temporary visa holders reporting intention to stay,Europe,Bulgaria,3,44,88.6,30,,23,78.3,21,,15,,16,,14,
9582,r072,All temporary visa holders reporting intention to stay -> Europe -> Serbia,All temporary visa holders reporting intention to stay,Europe,Serbia,3,25,80.0,20,70.0,16,,21,71.4,24,,21,,22,77.3
9582,r073,All temporary visa holders reporting intention to stay -> Europe -> Austria,All temporary visa holders reporting intention to stay,Europe,Austria,3,21,71.4,17,,14,50.0,17,52.9,22,54.5,20,50.0,15,66.7
9582,r074,All temporary visa holders reporting intention to stay -> Europe -> Hungary,All temporary visa holders reporting intention to stay,Europe,Hungary,3,20,45.0,20,,20,40.0,17,,24,66.7,15,60.0,10,
9582,r075,All temporary visa holders reporting intention to stay -> Europe -> Ireland,All temporary visa holders reporting intention to stay,Europe,Ireland,3,21,61.9,13,61.5,20,55.0,24,45.8,17,,7,,20,75.0
9582,r076,All temporary visa holders reporting intention to stay -> Europe -> Belgium,All temporary visa holders reporting intention to stay,Europe,Belgium,3,15,40.0,16,31.3,18,55.6,13,53.8,16,50.0,16,,16,62.5
9582,r077,All temporary visa holders reporting intention to stay -> Europe -> Sweden,All temporary visa holders reporting intention to stay,Europe,Sweden,3,19,63.2,14,64.3,14,64.3,12,,15,46.7,7,,16,62.5
9582,r078,All temporary visa holders reporting intention to stay -> Europe -> Cyprus,All temporary visa holders reporting intention to stay,Europe,Cyprus,3,14,64.3,16,68.8,11,45.5,9,,11,,10,,9,
9582,r079,All temporary visa holders reporting intention to stay -> Europe -> Croatia ,All temporary visa holders reporting intention to stay,Europe,Croatia ,3,13,46.2,17,76.5,10,,6,,7,,8,,14,57.1
9582,r080,All temporary visa holders reporting intention to stay -> Europe -> Albania,All temporary visa holders reporting intention to stay,Europe,Albania,3,10,,8,75.0,9,88.9,14,,12,,9,,7,
9582,r081,All temporary visa holders reporting intention to stay -> Europe -> Finland,All temporary visa holders reporting intention to stay,Europe,Finland,3,12,50.0,11,54.5,6,,7,,10,50.0,7,,8,
9582,r082,All temporary visa holders reporting intention to stay -> Europe -> Other,All temporary visa holders reporting intention to stay,Europe,Other,3,55,,80,,82,62.2,79,64.6,95,56.8,95,58.9,96,68.8
9582,r083,All temporary visa holders reporting intention to stay -> Middle East,All temporary visa holders reporting intention to stay,Middle East,,2,1309,63.9,1500,62.1,1749,62.3,2079,56.6,2102,58.0,1749,57.9,1813,61.9
9582,r084,All temporary visa holders reporting intention to stay -> Middle East -> Iran,All temporary visa holders reporting intention to stay,Middle East,Iran,3,695,91.1,767,92.6,935,91.4,964,91.5,963,92.2,815,91.2,859,91.7
9582,r085,All temporary visa holders reporting intention to stay -> Middle East -> Saudi Arabia,All temporary visa holders reporting intention to stay,Middle East,Saudi Arabia,3,238,10.1,339,10.3,403,14.9,554,12.8,614,14.3,485,10.1,493,11.6
9582,r086,All temporary visa holders reporting intention to stay -> Middle East -> Iraq,All temporary visa holders reporting intention to stay,Middle East,Iraq,3,28,25.0,50,36.0,122,27.0,202,19.8,192,35.4,152,44.7,110,60.0
9582,r087,All temporary visa holders reporting intention to stay -> Middle East -> Jordan,All temporary visa holders reporting intention to stay,Middle East,Jordan,3,98,44.9,114,44.7,77,57.1,89,56.2,114,51.8,83,57.8,93,72.0
9582,r088,All temporary visa holders reporting intention to stay -> Middle East -> Israel,All temporary visa holders reporting intention to stay,Middle East,Israel,3,83,51.8,77,49.4,64,50.0,80,53.8,69,50.7,65,55.4,71,50.7
9582,r089,All temporary visa holders reporting intention to stay -> Middle East -> Lebanon,All temporary visa holders reporting intention to stay,Middle East,Lebanon,3,57,70.2,52,78.8,51,76.5,53,79.2,39,84.6,42,,65,83.1
9582,r090,All temporary visa holders reporting intention to stay -> Middle East -> Kuwait,All temporary visa holders reporting intention to stay,Middle East,Kuwait,3,42,,38,,46,,68,7.4,45,11.1,46,10.9,45,11.1
9582,r091,All temporary visa holders reporting intention to stay -> Middle East -> Oman,All temporary visa holders reporting intention to stay,Middle East,Oman,3,6,,10,,13,,7,,8,,10,,12,
9582,r092,All temporary visa holders reporting intention to stay -> Middle East -> Syria,All temporary visa holders reporting intention to stay,Middle East,Syria,3,12,,9,,7,,12,,10,,6,,6,
9582,r093,All temporary visa holders reporting intention to stay -> Middle East -> Other,All temporary visa holders reporting intention to stay,Middle East,Other,3,50,58.0,44,61.4,31,54.8,50,62.0,48,64.6,45,66.7,59,74.6
9582,r094,All temporary visa holders reporting intention to stay -> Country or economy unknown,All temporary visa holders reporting intention to stay,Country or economy unknown,,2,155,12.9,139,62.6,418,45.5,508,49.4,316,48.4,369,54.7,526,52.1
