table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_all_othersa
9945,r098,"United States<sup>b</sup> -> Florida -> Health, Department of",United States<sup>b</sup>,Florida,"Health, Department of",3,91360963,0,91360963
9945,r099,United States<sup>b</sup> -> Florida -> Space Florida,United States<sup>b</sup>,Florida,Space Florida,3,1305000,0,1305000
9945,r100,"United States<sup>b</sup> -> Florida -> Transportation, Department of",United States<sup>b</sup>,Florida,"Transportation, Department of",3,12726826,6319934,6406892
9945,r101,United States<sup>b</sup> -> Georgia,United States<sup>b</sup>,Georgia,,2,24988379,16555047,8433332
9945,r102,"United States<sup>b</sup> -> Georgia -> Natural Resources, Department of",United States<sup>b</sup>,Georgia,"Natural Resources, Department of",3,1452630,1205671,246959
9945,r103,United States<sup>b</sup> -> Georgia -> Southern States Energy Board,United States<sup>b</sup>,Georgia,Southern States Energy Board,3,19326825,11629167,7697658
9945,r104,"United States<sup>b</sup> -> Georgia -> Transportation, Department of",United States<sup>b</sup>,Georgia,"Transportation, Department of",3,4208924,3720209,488715
9945,r105,United States<sup>b</sup> -> Hawaii,United States<sup>b</sup>,Hawaii,,2,6337851,3397342,2940509
9945,r106,"United States<sup>b</sup> -> Hawaii -> Agriculture, Department of",United States<sup>b</sup>,Hawaii,"Agriculture, Department of",3,1098423,960221,138202
9945,r107,"United States<sup>b</sup> -> Hawaii -> Business, Economic Development, and Tourism, Department of",United States<sup>b</sup>,Hawaii,"Business, Economic Development, and Tourism, Department of",3,2022042,2042,2020000
9945,r108,"United States<sup>b</sup> -> Hawaii -> Land and Natural Resources, Department of",United States<sup>b</sup>,Hawaii,"Land and Natural Resources, Department of",3,424000,424000,0
9945,r109,United States<sup>b</sup> -> Hawaii -> Natural Energy Laboratory of Hawaii Authority,United States<sup>b</sup>,Hawaii,Natural Energy Laboratory of Hawaii Authority,3,0,0,0
9945,r110,"United States<sup>b</sup> -> Hawaii -> Transportation, Department of",United States<sup>b</sup>,Hawaii,"Transportation, Department of",3,2793386,2011079,782307
9945,r111,United States<sup>b</sup> -> Idaho,United States<sup>b</sup>,Idaho,,2,20444262,11009398,9434864
9945,r112,"United States<sup>b</sup> -> Idaho -> Agriculture, Department of",United States<sup>b</sup>,Idaho,"Agriculture, Department of",3,1623399,1623399,0
9945,r113,United States<sup>b</sup> -> Idaho -> Barley Commission,United States<sup>b</sup>,Idaho,Barley Commission,3,367497,0,367497
9945,r114,United States<sup>b</sup> -> Idaho -> Bean Commission,United States<sup>b</sup>,Idaho,Bean Commission,3,33833,0,33833
9945,r115,United States<sup>b</sup> -> Idaho -> Beef Council,United States<sup>b</sup>,Idaho,Beef Council,3,211642,0,211642
9945,r116,"United States<sup>b</sup> -> Idaho -> Commerce, Department of ",United States<sup>b</sup>,Idaho,"Commerce, Department of ",3,1289693,0,1289693
9945,r117,United States<sup>b</sup> -> Idaho -> Dairy West,United States<sup>b</sup>,Idaho,Dairy West,3,2999460,0,2999460
9945,r118,"United States<sup>b</sup> -> Idaho -> Fish and Game, Department of",United States<sup>b</sup>,Idaho,"Fish and Game, Department of",3,9041798,7234227,1807571
9945,r119,United States<sup>b</sup> -> Idaho -> Oilseed Commission,United States<sup>b</sup>,Idaho,Oilseed Commission,3,72645,0,72645
9945,r120,United States<sup>b</sup> -> Idaho -> Pea and Lentil Commission,United States<sup>b</sup>,Idaho,Pea and Lentil Commission,3,177697,0,177697
9945,r121,United States<sup>b</sup> -> Idaho -> Potato Commission,United States<sup>b</sup>,Idaho,Potato Commission,3,878871,0,878871
9945,r122,United States<sup>b</sup> -> Idaho -> Transportation Department,United States<sup>b</sup>,Idaho,Transportation Department,3,2467766,2151772,315994
9945,r123,United States<sup>b</sup> -> Idaho -> Wheat Commission,United States<sup>b</sup>,Idaho,Wheat Commission,3,1279961,0,1279961
9945,r124,United States<sup>b</sup> -> Illinois,United States<sup>b</sup>,Illinois,,2,16463839,7466369,8997470
9945,r125,"United States<sup>b</sup> -> Illinois -> Children and Family Services, Department of",United States<sup>b</sup>,Illinois,"Children and Family Services, Department of",3,2347655,0,2347655
9945,r126,"United States<sup>b</sup> -> Illinois -> Midwest Dairy Association, Illinois Division",United States<sup>b</sup>,Illinois,"Midwest Dairy Association, Illinois Division",3,20772,0,20772
9945,r127,United States<sup>b</sup> -> Illinois -> Nutrient Research and Education Council,United States<sup>b</sup>,Illinois,Nutrient Research and Education Council,3,3912499,0,3912499
9945,r128,"United States<sup>b</sup> -> Illinois -> Public Health, Department of",United States<sup>b</sup>,Illinois,"Public Health, Department of",3,400000,0,400000
9945,r129,"United States<sup>b</sup> -> Illinois -> Transportation, Department of",United States<sup>b</sup>,Illinois,"Transportation, Department of",3,9782913,7466369,2316544
9945,r130,United States<sup>b</sup> -> Indiana,United States<sup>b</sup>,Indiana,,2,12104856,7098396,5006460
9945,r131,United States<sup>b</sup> -> Indiana -> Economic Development Corporation,United States<sup>b</sup>,Indiana,Economic Development Corporation,3,3399111,0,3399111
9945,r132,"United States<sup>b</sup> -> Indiana -> Natural Resources, Department of",United States<sup>b</sup>,Indiana,"Natural Resources, Department of",3,852281,715281,137000
9945,r133,"United States<sup>b</sup> -> Indiana -> Transportation, Department of",United States<sup>b</sup>,Indiana,"Transportation, Department of",3,7853464,6383115,1470349
9945,r134,United States<sup>b</sup> -> Iowa,United States<sup>b</sup>,Iowa,,2,10636720,5359474,5277246
9945,r135,United States<sup>b</sup> -> Iowa -> Beef Industry Council,United States<sup>b</sup>,Iowa,Beef Industry Council,3,60218,0,60218
9945,r136,"United States<sup>b</sup> -> Iowa -> Human Rights, Criminal and Juvenile Justice Planning, Division of, Department of",United States<sup>b</sup>,Iowa,"Human Rights, Criminal and Juvenile Justice Planning, Division of, Department of",3,626038,247423,378615
9945,r137,"United States<sup>b</sup> -> Iowa -> Midwest Dairy Association, Iowa Division",United States<sup>b</sup>,Iowa,"Midwest Dairy Association, Iowa Division",3,119439,0,119439
9945,r138,"United States<sup>b</sup> -> Iowa -> Natural Resources, Department of",United States<sup>b</sup>,Iowa,"Natural Resources, Department of",3,3688099,2195710,1492389
9945,r139,"United States<sup>b</sup> -> Iowa -> Transportation, Department of",United States<sup>b</sup>,Iowa,"Transportation, Department of",3,6142926,2916341,3226585
9945,r140,United States<sup>b</sup> -> Kansas,United States<sup>b</sup>,Kansas,,2,17633236,9188967,8444269
9945,r141,United States<sup>b</sup> -> Kansas -> Corn Commission,United States<sup>b</sup>,Kansas,Corn Commission,3,311744,0,311744
9945,r142,United States<sup>b</sup> -> Kansas -> Grain Sorghum Commission,United States<sup>b</sup>,Kansas,Grain Sorghum Commission,3,700000,0,700000
9945,r143,"United States<sup>b</sup> -> Kansas -> Midwest Dairy Association, Kansas Division",United States<sup>b</sup>,Kansas,"Midwest Dairy Association, Kansas Division",3,15579,0,15579
9945,r144,United States<sup>b</sup> -> Kansas -> Soybean Commission,United States<sup>b</sup>,Kansas,Soybean Commission,3,1248862,0,1248862
9945,r145,United States<sup>b</sup> -> Kansas -> State Board of Regents,United States<sup>b</sup>,Kansas,State Board of Regents,3,997727,0,997727
9945,r146,United States<sup>b</sup> -> Kansas -> Sunflower Commission,United States<sup>b</sup>,Kansas,Sunflower Commission,3,20000,0,20000
9945,r147,"United States<sup>b</sup> -> Kansas -> Transportation, Department of",United States<sup>b</sup>,Kansas,"Transportation, Department of",3,3765115,2007023,1758092
9945,r148,United States<sup>b</sup> -> Kansas -> Water Office,United States<sup>b</sup>,Kansas,Water Office,3,1207240,156476,1050764
9945,r149,United States<sup>b</sup> -> Kansas -> Wheat Commission,United States<sup>b</sup>,Kansas,Wheat Commission,3,2245000,0,2245000
9945,r150,"United States<sup>b</sup> -> Kansas -> Wildlife and Parks, Department of",United States<sup>b</sup>,Kansas,"Wildlife and Parks, Department of",3,7121969,7025468,96501
9945,r151,United States<sup>b</sup> -> Kentucky,United States<sup>b</sup>,Kentucky,,2,34881537,10566579,24314958
9945,r152,"United States<sup>b</sup> -> Kentucky -> Economic Development, Cabinet for",United States<sup>b</sup>,Kentucky,"Economic Development, Cabinet for",3,3447809,0,3447809
9945,r153,"United States<sup>b</sup> -> Kentucky -> Fish and Wildlife Resources, Department of ",United States<sup>b</sup>,Kentucky,"Fish and Wildlife Resources, Department of ",3,6989041,4837624,2151417
9945,r154,United States<sup>b</sup> -> Kentucky -> Horse Racing Commission,United States<sup>b</sup>,Kentucky,Horse Racing Commission,3,70000,0,70000
9945,r155,"United States<sup>b</sup> -> Kentucky -> Nature Preserves, Office of Kentucky",United States<sup>b</sup>,Kentucky,"Nature Preserves, Office of Kentucky",3,42320,6330,35990
9945,r156,"United States<sup>b</sup> -> Kentucky -> Postsecondary Education, Council on",United States<sup>b</sup>,Kentucky,"Postsecondary Education, Council on",3,11572700,0,11572700
9945,r157,"United States<sup>b</sup> -> Kentucky -> Public Health, Department for ",United States<sup>b</sup>,Kentucky,"Public Health, Department for ",3,3767275,0,3767275
9945,r158,United States<sup>b</sup> -> Kentucky -> Soybean Promotion Board,United States<sup>b</sup>,Kentucky,Soybean Promotion Board,3,210727,0,210727
9945,r159,United States<sup>b</sup> -> Kentucky -> Transportation Cabinet,United States<sup>b</sup>,Kentucky,Transportation Cabinet,3,8781665,5722625,3059040
9945,r160,United States<sup>b</sup> -> Louisiana,United States<sup>b</sup>,Louisiana,,2,31843839,17690354,14153485
9945,r161,United States<sup>b</sup> -> Louisiana -> Board of Regents,United States<sup>b</sup>,Louisiana,Board of Regents,3,12613939,4874950,7738989
9945,r162,United States<sup>b</sup> -> Louisiana -> Coastal Protection and Restoration Authority,United States<sup>b</sup>,Louisiana,Coastal Protection and Restoration Authority,3,3681012,687877,2993135
9945,r163,"United States<sup>b</sup> -> Louisiana -> Transportation and Development, Department of ",United States<sup>b</sup>,Louisiana,"Transportation and Development, Department of ",3,10000000,8000000,2000000
9945,r164,"United States<sup>b</sup> -> Louisiana -> Wildlife and Fisheries, Department of",United States<sup>b</sup>,Louisiana,"Wildlife and Fisheries, Department of",3,5548888,4127527,1421361
9945,r165,United States<sup>b</sup> -> Maine,United States<sup>b</sup>,Maine,,2,24812470,13633417,11179053
9945,r166,"United States<sup>b</sup> -> Maine -> Agriculture, Conservation and Forestry, Department of ",United States<sup>b</sup>,Maine,"Agriculture, Conservation and Forestry, Department of ",3,1889382,896721,992661
9945,r167,United States<sup>b</sup> -> Maine -> Aquaculture Innovation Center,United States<sup>b</sup>,Maine,Aquaculture Innovation Center,3,555101,150000,405101
9945,r168,"United States<sup>b</sup> -> Maine -> Inland Fisheries and Wildlife, Department of",United States<sup>b</sup>,Maine,"Inland Fisheries and Wildlife, Department of",3,1080841,847899,232942
9945,r169,"United States<sup>b</sup> -> Maine -> Marine Resources, Department of",United States<sup>b</sup>,Maine,"Marine Resources, Department of",3,2712300,2165250,547050
9945,r170,"United States<sup>b</sup> -> Maine -> MDI Biological Laboratory, Center for Biomedical Innovation",United States<sup>b</sup>,Maine,"MDI Biological Laboratory, Center for Biomedical Innovation",3,9143683,8373547,770136
9945,r171,United States<sup>b</sup> -> Maine -> Technology Institute,United States<sup>b</sup>,Maine,Technology Institute,3,7931163,0,7931163
9945,r172,"United States<sup>b</sup> -> Maine -> Transportation, Department of ",United States<sup>b</sup>,Maine,"Transportation, Department of ",3,1500000,1200000,300000
9945,r173,United States<sup>b</sup> -> Maryland,United States<sup>b</sup>,Maryland,,2,31280581,1732396,29548185
9945,r174,United States<sup>b</sup> -> Maryland -> Energy Administration,United States<sup>b</sup>,Maryland,Energy Administration,3,2000000,0,2000000
9945,r175,"United States<sup>b</sup> -> Maryland -> Health, Department of",United States<sup>b</sup>,Maryland,"Health, Department of",3,15000000,0,15000000
9945,r176,"United States<sup>b</sup> -> Maryland -> Natural Resources, Department of",United States<sup>b</sup>,Maryland,"Natural Resources, Department of",3,410466,257993,152473
9945,r177,United States<sup>b</sup> -> Maryland -> Technology Development Corporation,United States<sup>b</sup>,Maryland,Technology Development Corporation,3,11227112,0,11227112
9945,r178,"United States<sup>b</sup> -> Maryland -> Transportation, Department of",United States<sup>b</sup>,Maryland,"Transportation, Department of",3,2643003,1474403,1168600
9945,r179,United States<sup>b</sup> -> Massachusetts,United States<sup>b</sup>,Massachusetts,,2,26616423,7056757,19559666
9945,r180,United States<sup>b</sup> -> Massachusetts -> Clean Energy Technology Center,United States<sup>b</sup>,Massachusetts,Clean Energy Technology Center,3,6848706,0,6848706
9945,r181,"United States<sup>b</sup> -> Massachusetts -> Environmental Protection, Department of ",United States<sup>b</sup>,Massachusetts,"Environmental Protection, Department of ",3,1771575,22369,1749206
