table_id,row_id,field_and_degree_full_path,field_and_degree_level_1,field_and_degree_level_2,field_and_degree_level_3,field_and_degree_level_4,field_and_degree_hierarchy_depth,field_all_institutions_number_all_s_e_graduate_students,field_all_institutions_number_female,field_all_institutions_number_male,field_hbcus_number_all_s_e_graduate_students,field_hbcus_number_female,field_hbcus_number_male,field_hbcus_all_s_e_graduate_students,field_hbcus_female,field_hbcus_male
3239,r049,"All S&E graduate students -> All S&E master's students -> Engineering -> Electrical, electronics, and communications engineering",All S&E graduate students,All S&E master's students,Engineering,"Electrical, electronics, and communications engineering",4,585,92,493,66,14,52,11.28,15.22,10.55
3239,r050,"All S&E graduate students -> All S&E master's students -> Engineering -> Engineering mechanics, physics, and science",All S&E graduate students,All S&E master's students,Engineering,"Engineering mechanics, physics, and science",4,22,5,17,0,0,0,0.0,0.0,0.0
3239,r051,All S&E graduate students -> All S&E master's students -> Engineering -> Industrial and manufacturing engineering,All S&E graduate students,All S&E master's students,Engineering,Industrial and manufacturing engineering,4,438,142,296,18,10,8,4.11,7.04,2.7
3239,r052,All S&E graduate students -> All S&E master's students -> Engineering -> Mechanical engineering,All S&E graduate students,All S&E master's students,Engineering,Mechanical engineering,4,296,63,233,13,4,9,4.39,6.35,3.86
3239,r053,All S&E graduate students -> All S&E master's students -> Engineering -> Metallurgical and materials engineering,All S&E graduate students,All S&E master's students,Engineering,Metallurgical and materials engineering,4,56,21,35,0,0,0,0.0,0.0,0.0
3239,r054,All S&E graduate students -> All S&E master's students -> Engineering -> Mining engineering,All S&E graduate students,All S&E master's students,Engineering,Mining engineering,4,14,1,13,0,0,0,0.0,0.0,0.0
3239,r055,All S&E graduate students -> All S&E master's students -> Engineering -> Nanotechnology,All S&E graduate students,All S&E master's students,Engineering,Nanotechnology,4,4,3,1,0,0,0,0.0,0.0,0.0
3239,r056,All S&E graduate students -> All S&E master's students -> Engineering -> Nuclear engineering,All S&E graduate students,All S&E master's students,Engineering,Nuclear engineering,4,7,1,6,0,0,0,0.0,0.0,0.0
3239,r057,All S&E graduate students -> All S&E master's students -> Engineering -> Petroleum engineering,All S&E graduate students,All S&E master's students,Engineering,Petroleum engineering,4,13,1,12,0,0,0,0.0,0.0,0.0
3239,r058,All S&E graduate students -> All S&E master's students -> Engineering -> Engineering nec,All S&E graduate students,All S&E master's students,Engineering,Engineering nec,4,558,141,417,135,37,98,24.19,26.24,23.5
